,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,120.82,120.99,120.22,120.75,1556630,115.0705514876,115.2324617157,114.4991036239,115.0038825702,1556630,0.0,1.0,78979380743.5905,75768008743.5905,19.7096247961,9.5424349124,-0.5426546048
1,2017-05-05 00:00:00+00:00,121.52,121.52,120.765,120.91,1708102,115.7372406619,115.7372406619,115.0181687668,115.1562686672,1708102,0.0,1.0,79436966958.791,76225594958.791,19.823817292,9.5977213256,-0.545798606
2,2017-05-08 00:00:00+00:00,121.11,121.52,120.76,121.1,1522054,115.3467512884,115.7372406619,115.0134067012,115.3372271573,1522054,0.0,1.0,79168952175.6021,75957580175.6021,19.7569331158,9.5653392836,-0.5439571196
3,2017-05-09 00:00:00+00:00,121.07,121.63,120.91,121.3,1075219,115.3086547642,115.8420061036,115.1562686672,115.5277097786,1075219,0.0,1.0,79142804391.8763,75931432391.8763,19.7504078303,9.56218006,-0.5437774623
4,2017-05-10 00:00:00+00:00,121.2,121.37,120.56,121.07,1343589,115.432468468,115.594378696,114.82292408,115.3086547642,1343589,0.0,1.0,79227784688.9853,76016412688.9853,19.7716150082,9.5724475367,-0.5443613483
5,2017-05-11 00:00:00+00:00,120.8,120.9,119.67,120.75,1827173,115.0515032255,115.1467445361,113.9752764155,115.0038825702,1827173,0.0,1.0,78966306851.728,75754934851.728,19.7063621533,9.5408553006,-0.5425647762
6,2017-05-12 00:00:00+00:00,120.96,121.5,120.38,120.38,2340370,115.2038893225,115.7181923998,114.6514897209,114.6514897209,2340370,0.0,1.0,79070897986.6305,75859525986.6305,19.7324632953,9.5534921951,-0.543283405
7,2017-05-15 00:00:00+00:00,122.25,122.54,120.7601,120.96,1772180,116.4325022294,116.7087020302,115.0135019426,115.2038893225,1772180,0.0,1.0,79914164011.7856,76702792011.7856,19.942903752,9.6553771565,-0.5490773501
8,2017-05-16 00:00:00+00:00,123.14,123.31,122.22,122.69,2179049,117.2801498939,117.442060122,116.4039298363,116.8515639962,2179049,0.0,1.0,80495952199.6834,77284580199.6834,20.088091354,9.7256698818,-0.553074723
9,2017-05-17 00:00:00+00:00,120.44,123.07,120.34,122.2,2273078,114.7086345073,117.2134809765,114.6133931966,116.3848815741,2273078,0.0,1.0,78730976798.1958,75519604798.1958,19.647634584,9.5124222881,-0.5409478613
10,2017-05-18 00:00:00+00:00,120.4,121.03,119.41,120.86,1951023,114.670537983,115.2705582399,113.7276490079,115.1086480119,1951023,0.0,1.0,78704829014.4707,75493457014.4707,19.6411092985,9.5092630645,-0.5407682041
11,2017-05-19 00:00:00+00:00,120.98,121.21,120.19,121.01,2184952,115.2229375846,115.441992599,114.4705312307,115.2515099778,2184952,0.0,1.0,79083971878.4937,75872599878.4937,19.735725938,9.5550718069,-0.5433732336
12,2017-05-22 00:00:00+00:00,122.71,122.84,121.22,121.6,1870205,116.8706122583,116.9944259621,115.4515167301,115.8134337104,1870205,0.0,1.0,80214863524.6319,77003491524.6319,20.0179445351,9.691708228,-0.551143408
13,2017-05-23 00:00:00+00:00,122.15,123.07,121.8,122.86,1472349,116.3372609188,117.2134809765,116.0039163317,117.0134742242,1472349,0.0,1.0,79848794552.4714,76637422552.4714,19.9265905383,9.6474790975,-0.548628207
14,2017-05-24 00:00:00+00:00,121.95,122.15,120.3,120.43,2026867,116.1467782976,116.3372609188,114.5752966724,114.6991103762,2026867,0.0,1.0,79718055633.8424,76506683633.8424,19.8939641109,9.6316829794,-0.547729921
15,2017-05-25 00:00:00+00:00,123.1,123.56,122.2,122.75,1425480,117.2420533697,117.6801633985,116.3848815741,116.9087087825,1425480,0.0,1.0,80469804415.9576,77258432415.9576,20.0815660685,9.7225106582,-0.5528950658
16,2017-05-26 00:00:00+00:00,122.89,123.11,122.52,122.94,1414482,117.0420466174,117.2515775007,116.6896537681,117.0896672727,1414482,0.0,1.0,80332528551.3977,77121156551.3977,20.0473083197,9.7059247342,-0.5519518654
17,2017-05-30 00:00:00+00:00,123.77,123.97,122.35,122.61,1373030,117.8801701508,118.070652772,116.5277435401,116.7753709477,1373030,0.0,1.0,80907779793.3638,77696407793.3638,20.1908646003,9.7754276536,-0.5559043241
18,2017-05-31 00:00:00+00:00,124.47,124.6,123.525,124.0,2395003,118.5468593251,118.6706730289,117.6468289398,118.0992251652,2395003,0.0,1.0,81365366008.5643,78010832008.5643,21.5719237435,9.5789760258,-0.8628769497
19,2017-06-01 00:00:00+00:00,125.29,125.29,123.86,124.93,1898082,119.3278380722,119.3278380722,117.9658873304,118.984969354,1898082,0.0,1.0,81901395574.9414,78546861574.9414,21.7140381282,9.6420816765,-0.8685615251
20,2017-06-02 00:00:00+00:00,125.74,125.98,124.891,125.37,1764728,119.75642397,119.9850031155,118.9478252428,119.4040311207,1764728,0.0,1.0,82195558141.8562,78841024141.8562,21.7920277296,9.6767128263,-0.8716811092
21,2017-06-05 00:00:00+00:00,126.58,126.98,125.4401,126.0,1801115,120.5564509792,120.9374162216,119.4707952794,120.0040513776,1801115,0.0,1.0,82744661600.0965,79390127600.0965,21.9376083189,9.7413576392,-0.8775043328
22,2017-06-06 00:00:00+00:00,126.33,127.0,126.01,126.19,1510114,120.3183477026,120.9564644837,120.0135755086,120.1850098677,1510114,0.0,1.0,82581237951.8108,79226703951.8108,21.8942807626,9.7221181115,-0.8757712305
23,2017-06-07 00:00:00+00:00,126.55,126.77,125.53,126.08,1640394,120.527878586,120.7374094693,119.5564172177,120.0802444261,1640394,0.0,1.0,82725050762.3024,79370516762.3024,21.9324090121,9.7390488959,-0.8772963605
24,2017-06-08 00:00:00+00:00,126.17,127.0,125.52,126.97,2119052,120.1659616056,120.9564644837,119.5468930866,120.9278920906,2119052,0.0,1.0,82476646816.9083,79122112816.9083,21.8665511265,9.7098048139,-0.8746620451
25,2017-06-09 00:00:00+00:00,125.82,126.74,124.98,126.0,1929206,119.8326170185,120.7088370761,119.0325900093,120.0040513776,1929206,0.0,1.0,82247853709.3077,78893319709.3077,21.8058925477,9.6828694751,-0.8722357019
26,2017-06-12 00:00:00+00:00,126.3,126.46,124.73,125.53,2355766,120.2897753094,120.4421614064,118.7944867327,119.5564172177,2355766,0.0,1.0,82561627114.0166,79207093114.0166,21.8890814558,9.7198093682,-0.8755632582
27,2017-06-13 00:00:00+00:00,127.07,127.56,126.08,126.44,2427713,121.0231334012,121.4898158232,120.0802444261,120.4231131443,2427713,0.0,1.0,83064971950.737,79710437950.737,22.0225303293,9.7790671134,-0.8809012132
28,2017-06-14 00:00:00+00:00,127.25,128.0,126.7,127.8,1861213,121.1945677603,121.9088775899,120.6707405519,121.7183949687,1861213,0.0,1.0,83182636977.5028,79828102977.5028,22.0537261698,9.7929195733,-0.8821490468
29,2017-06-15 00:00:00+00:00,127.03,127.36,124.5,126.28,2183243,120.9850368769,121.299333202,118.5754317183,120.2707270473,2183243,0.0,1.0,83038824167.0112,79684290167.0112,22.0155979203,9.775988789,-0.8806239168
30,2017-06-16 00:00:00+00:00,127.56,128.0,126.53,127.52,2962903,121.4898158232,121.9088775899,120.5088303238,121.451719299,2962903,0.0,1.0,83385282301.3776,80030748301.3776,22.1074523397,9.8167765876,-0.8842980936
31,2017-06-19 00:00:00+00:00,127.77,128.47,127.39,128.47,1975777,121.6898225755,122.3565117498,121.3279055952,122.3565117498,1975777,0.0,1.0,83522558165.9375,80168024165.9375,22.143847487,9.8329377908,-0.8857538995
32,2017-06-20 00:00:00+00:00,126.53,127.64,126.38,127.33,2352618,120.5088303238,121.5660088717,120.3659683579,121.2707608088,2352618,0.0,1.0,82711976870.4398,79357442870.4398,21.9289428076,9.7375097337,-0.8771577123
33,2017-06-21 00:00:00+00:00,127.11,127.18,126.03,127.07,3230505,121.0612299254,121.1278988429,120.0326237708,121.0231334012,3230505,0.0,1.0,83091119734.4628,79736585734.4628,22.0294627383,9.7821454378,-0.8811785095
34,2017-06-22 00:00:00+00:00,122.08,123.9,119.1,122.97,8685500,116.2705920014,118.0039838546,113.432400945,117.1182396659,8685500,0.0,1.0,80013056874.2989,76658522874.2989,21.157712305,9.3950461415,-0.8463084922
35,2017-06-23 00:00:00+00:00,122.74,123.62,121.72,122.14,3727974,116.8991846515,117.7373081849,115.9277232832,116.3277367878,3727974,0.0,1.0,80445630740.1003,77091096740.1003,21.2720970537,9.4458384945,-0.8508838821
36,2017-06-26 00:00:00+00:00,122.34,124.05,122.28,123.15,2618484,116.518219409,118.1468458205,116.4610746226,117.289674025,2618484,0.0,1.0,80183464760.8268,76828930760.8268,21.2027729636,9.4150552503,-0.8481109185
37,2017-06-27 00:00:00+00:00,122.19,122.84,122.0,122.5,2214813,116.3753574431,116.9944259621,116.1943989529,116.670605506,2214813,0.0,1.0,80085152518.5992,76730618518.5992,21.1767764298,9.4035115337,-0.8470710572
38,2017-06-28 00:00:00+00:00,123.74,123.83,122.19,122.78,1723113,117.8515977576,117.9373149372,116.3753574431,116.9372811757,1723113,0.0,1.0,81101045688.2844,77746511688.2844,21.445407279,9.5227966051,-0.8578162912
39,2017-06-29 00:00:00+00:00,122.99,123.5,122.61,123.5,2685519,117.137287928,117.6230186121,116.7753709477,117.6230186121,2685519,0.0,1.0,80609484477.1462,77254950477.1462,21.3154246101,9.4650780222,-0.8526169844
40,2017-06-30 00:00:00+00:00,123.68,124.4,123.15,123.3,2256190,117.7944529713,118.4801904077,117.289674025,117.4325359909,2256190,0.0,1.0,81061720791.3929,77707186791.3929,21.4350086655,9.5181791185,-0.8574003466
41,2017-07-03 00:00:00+00:00,123.93,124.88,123.79,123.82,1236153,118.0325562478,118.9373486987,117.8992184129,117.9277908061,1236153,0.0,1.0,81225574528.4388,77871040528.4388,21.4783362218,9.5374186461,-0.8591334489
42,2017-07-05 00:00:00+00:00,124.05,124.78,123.99,124.0,1326798,118.1468458205,118.842107388,118.0897010342,118.0992251652,1326798,0.0,1.0,81304224322.2211,77949690322.2211,21.4991334489,9.5466536194,-0.859965338
43,2017-07-06 00:00:00+00:00,122.94,123.63,122.03,123.35,1934504,117.0896672727,117.746832316,116.2229713461,117.4801566462,1934504,0.0,1.0,80576713729.7367,77222179729.7367,21.3067590988,9.4612301166,-0.852270364
44,2017-07-07 00:00:00+00:00,124.21,124.75,123.07,123.55,1810756,118.2992319175,118.8135349949,117.2134809765,117.6706392675,1810756,0.0,1.0,81409090713.9307,78054556713.9307,21.5268630849,9.5589669171,-0.8610745234
