,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,99.1,99.13,97.59,98.31,3339770,92.9119474507,92.9400741755,91.4962356379,92.1712770321,3339770,0.0,1.0,41569766370.6498,40576766370.6498,25.3452685422,10.8421061822,1.9769309463
1,2017-05-05 00:00:00+00:00,99.29,99.53,98.64,99.35,1852437,93.0900833742,93.3150971723,92.4806710045,93.1463368237,1852437,0.0,1.0,41649466225.4473,40656466225.4473,25.3938618926,10.8628932677,1.9807212276
2,2017-05-08 00:00:00+00:00,96.7,99.65,96.42,99.5,4581224,90.6618094701,93.4276040713,90.3992933724,93.2869704475,4581224,0.0,1.0,40563031362.6826,39570031362.6826,24.7314578005,10.5795324704,1.9290537084
3,2017-05-09 00:00:00+00:00,97.08,97.43,96.17,96.63,2502837,91.018081317,91.3462264392,90.1649039994,90.5961804457,2502837,0.0,1.0,40722431072.2774,39729431072.2774,24.8286445013,10.6211066415,1.9366342711
4,2017-05-10 00:00:00+00:00,96.63,97.5,95.85,96.97,2916746,90.5961804457,91.4118554637,89.864885602,90.9149499929,2916746,0.0,1.0,40533668258.2835,39540668258.2835,24.7135549872,10.5718740705,1.927657289
5,2017-05-11 00:00:00+00:00,96.46,96.6,95.87,96.53,2995725,90.436795672,90.5680537209,89.8836367518,90.5024246965,2995725,0.0,1.0,40462357861.8858,39469357861.8858,24.6700767263,10.5532750992,1.9242659847
6,2017-05-12 00:00:00+00:00,97.17,97.3,96.25,96.57,1940901,91.1024614913,91.2243439653,90.2399085987,90.5399269962,1940901,0.0,1.0,40760183635.0762,39767183635.0762,24.8516624041,10.6309531556,1.9384296675
7,2017-05-15 00:00:00+00:00,98.45,98.54,96.7601,97.01,3328395,92.302535081,92.3869152553,90.7181566754,90.9524522926,3328395,0.0,1.0,41297108972.6587,40304108972.6587,25.179028133,10.7709924686,1.9639641944
8,2017-05-16 00:00:00+00:00,98.32,98.76,98.15,98.39,2192147,92.180652607,92.5931779035,92.0212678334,92.2462816315,2192147,0.0,1.0,41242577493.0605,40249577493.0605,25.1457800512,10.7567697259,1.961370844
9,2017-05-17 00:00:00+00:00,97.3,98.08,97.23,97.7,2801983,91.2243439653,91.955638809,91.1587149408,91.599366962,2801983,0.0,1.0,40814715114.6744,39821715114.6744,24.8849104859,10.6451758984,1.9410230179
10,2017-05-18 00:00:00+00:00,98.35,98.65,96.8,97.15,2183202,92.2087793318,92.4900465794,90.7555652193,91.0837103415,2183202,0.0,1.0,41255161680.6601,40262161680.6601,25.1534526854,10.7600518973,1.9619693095
11,2017-05-19 00:00:00+00:00,98.62,98.92,97.89,98.34,2780930,92.4619198546,92.7431871022,91.7775028855,92.1994037569,2780930,0.0,1.0,41368419369.0564,40375419369.0564,25.2225063939,10.7895914398,1.9673554987
12,2017-05-22 00:00:00+00:00,99.45,99.56,98.44,98.48,1989728,93.2400925729,93.343223897,92.2931595061,92.3306618058,1989728,0.0,1.0,41716581892.6451,40723581892.6451,25.4347826087,10.8803981818,1.9839130435
13,2017-05-23 00:00:00+00:00,99.53,99.54,99.06,99.37,1386524,93.3150971723,93.3244727472,92.8744451511,93.1650879736,1386524,0.0,1.0,41750139726.244,40757139726.244,25.4552429668,10.8891506389,1.9855089514
14,2017-05-24 00:00:00+00:00,99.98,100.06,99.4325,99.49,1934130,93.7369980437,93.812002643,93.2236853168,93.2775948726,1934130,0.0,1.0,41938902540.2379,40945902540.2379,25.5703324808,10.9383832099,1.9944859335
15,2017-05-25 00:00:00+00:00,101.16,101.43,100.03,100.27,1831378,94.8433158841,95.096456407,93.7838759182,94.0088897163,1831378,0.0,1.0,42433880585.8218,41440880585.8218,25.8721227621,11.0674819515,2.0180255754
16,2017-05-26 00:00:00+00:00,101.35,101.53,100.91,101.23,1918377,95.0214518076,95.1902121562,94.6089265112,94.9089449086,1918377,0.0,1.0,42513580440.6192,41520580440.6192,25.9207161125,11.088269037,2.0218158568
17,2017-05-30 00:00:00+00:00,101.53,101.66,100.535,101.21,1728298,95.1902121562,95.3120946301,94.2573424517,94.8901937587,1728298,0.0,1.0,42589085566.2168,41596085566.2168,25.9667519182,11.1079620654,2.0254066496
18,2017-05-31 00:00:00+00:00,102.37,102.5,101.51,101.7,3112944,95.9777604494,96.0996429233,95.1714610063,95.3495969298,3112944,0.0,1.0,42941442819.0053,41948442819.0053,26.1815856777,11.1998628645,2.0421636829
19,2017-06-01 00:00:00+00:00,103.35,103.4,102.01,103.0,2423608,96.8965667915,96.9434446661,95.6402397523,96.5684216693,2423608,0.0,1.0,43352526280.592,42359526280.592,26.4322250639,11.3070804635,2.061713555
20,2017-06-02 00:00:00+00:00,100.98,101.075,98.5,100.12,7832110,94.6745555356,94.7636234973,92.3494129556,93.8682560925,7832110,0.0,1.0,42358375460.2243,41365375460.2243,25.8260869565,11.0477889231,2.0144347826
