,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,141.89,142.18,132.02,132.21,2030782,141.89,142.18,132.02,132.21,2030782,0.0,1.0,11398213832.6,11137186832.6,51.7846715328,10.9011888121,0.73361618
1,2017-05-05 00:00:00+00:00,138.03,141.85,137.77,141.69,1410994,138.03,141.85,137.77,141.69,1410994,0.0,1.0,11088134860.2,10827107860.2,50.3759124088,10.604630994,0.7136587591
2,2017-05-08 00:00:00+00:00,137.0,138.77,136.32,138.25,1376564,137.0,138.77,136.32,138.25,1376564,0.0,1.0,11005393580.0,10744366580.0,50.0,10.5254976902,0.7083333333
3,2017-05-09 00:00:00+00:00,138.17,138.97,137.23,137.97,687974,138.17,138.97,137.23,137.97,687974,0.0,1.0,11099381247.8,10838354247.8,50.4270072993,10.615386977,0.7143826034
4,2017-05-10 00:00:00+00:00,137.01,138.35,135.81,137.96,1060762,137.01,138.35,135.81,137.96,1060762,0.0,1.0,11006196893.4,10745169893.4,50.003649635,10.5262659747,0.7083850365
5,2017-05-11 00:00:00+00:00,137.46,137.61,135.85,136.51,560925,137.46,137.61,135.85,136.51,560925,0.0,1.0,11042345996.4,10781318996.4,50.1678832117,10.5608387773,0.7107116788
6,2017-05-12 00:00:00+00:00,138.67,139.23,137.14,137.24,688241,138.67,139.23,137.14,137.24,688241,0.0,1.0,11139546917.8,10878519917.8,50.6094890511,10.6538012021,0.7169677616
7,2017-05-15 00:00:00+00:00,138.46,139.95,138.16,138.9,783021,138.46,139.95,138.16,138.9,783021,0.0,1.0,11122677336.4,10861650336.4,50.5328467153,10.6376672276,0.7158819951
8,2017-05-16 00:00:00+00:00,138.61,139.12,137.5,138.83,590711,138.61,139.12,137.5,138.83,590711,0.0,1.0,11134727037.4,10873700037.4,50.5875912409,10.6491914951,0.7166575426
9,2017-05-17 00:00:00+00:00,136.08,137.89,134.68,137.53,705848,136.08,137.89,134.68,137.53,705848,0.0,1.0,10931488747.2,10670461747.2,49.6642335766,10.4548155159,0.7035766423
10,2017-05-18 00:00:00+00:00,137.69,138.84,135.59,136.0,871609,137.69,138.84,135.59,136.0,871609,0.0,1.0,11060822204.6,10799795204.6,50.2518248175,10.5785093209,0.7119008516
11,2017-05-19 00:00:00+00:00,138.43,138.99,137.7,138.0,768061,138.43,138.99,137.7,138.0,768061,0.0,1.0,11120267396.2,10859240396.2,50.5218978102,10.6353623741,0.7157268856
12,2017-05-22 00:00:00+00:00,138.1,139.42,138.04,139.23,982948,138.1,139.42,138.04,139.23,982948,0.0,1.0,11093758054.0,10832731054.0,50.401459854,10.6100089855,0.7140206813
13,2017-05-23 00:00:00+00:00,138.22,138.31,136.26,137.93,893726,138.22,138.31,136.26,137.93,893726,0.0,1.0,11103397814.8,10842370814.8,50.4452554745,10.6192283995,0.7146411192
14,2017-05-24 00:00:00+00:00,138.65,139.26,137.78,138.78,1017437,138.65,139.26,137.78,138.78,1017437,0.0,1.0,11137940291.0,10876913291.0,50.602189781,10.6522646331,0.7168643552
15,2017-05-25 00:00:00+00:00,141.39,141.94,138.71,138.71,1879885,141.39,141.94,138.71,138.71,1879885,0.0,1.0,11358048162.6,11097021162.6,51.602189781,10.8627745869,0.7310310219
16,2017-05-26 00:00:00+00:00,142.1,143.09,140.24,141.4,1176611,142.1,143.09,140.24,141.4,1176611,0.0,1.0,11415083414.0,11154056414.0,51.8613138686,10.9173227866,0.7347019465
17,2017-05-30 00:00:00+00:00,143.33,144.45,141.7,142.56,766687,143.33,144.45,141.7,142.56,766687,0.0,1.0,11513890962.2,11252863962.2,52.3102189781,11.0118217805,0.7410614355
18,2017-05-31 00:00:00+00:00,145.2,146.0,142.6,144.59,1124257,145.2,146.0,142.6,144.59,1124257,0.0,1.0,11664110568.0,11403083568.0,52.9927007299,11.1554909826,0.750729927
19,2017-06-01 00:00:00+00:00,145.91,147.0,144.04,146.36,837506,145.91,147.0,144.04,146.36,837506,0.0,1.0,11721145819.4,11460118819.4,53.2518248175,11.2100391823,0.7544008516
20,2017-06-02 00:00:00+00:00,149.7,150.35,146.52,146.57,1151561,149.7,150.35,146.52,146.57,1151561,0.0,1.0,12025601598.0,11764574598.0,54.6350364964,11.5012190089,0.7739963504
21,2017-06-05 00:00:00+00:00,148.83,150.56,148.6,150.0,790741,148.83,150.56,148.6,150.0,790741,0.0,1.0,11955713332.2,11694686332.2,54.3175182482,11.4343782571,0.7694981752
22,2017-06-06 00:00:00+00:00,148.62,149.53,147.4,148.74,532124,148.62,149.53,147.4,148.74,532124,0.0,1.0,11938843750.8,11677816750.8,54.2408759124,11.4182442826,0.7684124088
23,2017-06-07 00:00:00+00:00,149.13,149.64,148.57,149.15,620266,149.13,149.64,148.57,149.15,620266,0.0,1.0,11979812734.2,11718785734.2,54.4270072993,11.4574267922,0.7710492701
24,2017-06-08 00:00:00+00:00,151.82,151.91,148.46,149.25,742790,151.82,151.91,148.46,149.25,742790,0.0,1.0,12195904038.8,11934877038.8,55.4087591241,11.6640953235,0.7849574209
25,2017-06-09 00:00:00+00:00,148.85,153.93,146.11,152.16,1149422,148.85,153.93,146.11,152.16,1149422,0.0,1.0,11957319959.0,11696292959.0,54.3248175182,11.4359148261,0.7696015815
26,2017-06-12 00:00:00+00:00,143.41,147.79,139.0,147.34,2156250,143.41,147.79,139.0,147.34,2156250,0.0,1.0,11520317469.4,11259290469.4,52.3394160584,11.0179680565,0.7414750608
27,2017-06-13 00:00:00+00:00,144.38,146.03,142.04,144.17,987092,144.38,146.03,142.04,144.17,987092,0.0,1.0,11598238869.2,11337211869.2,52.6934306569,11.0924916533,0.7464902676
28,2017-06-14 00:00:00+00:00,144.3,145.81,142.99,145.38,867262,144.3,145.81,142.99,145.38,867262,0.0,1.0,11591812362.0,11330785362.0,52.6642335766,11.0863453773,0.7460766423
29,2017-06-15 00:00:00+00:00,144.02,144.17,142.01,142.95,1026398,144.02,144.17,142.01,142.95,1026398,0.0,1.0,11569319586.8,11308292586.8,52.5620437956,11.0648334112,0.7446289538
30,2017-06-16 00:00:00+00:00,145.26,145.51,144.01,144.78,13714009,145.26,145.51,144.01,144.78,13714009,0.0,1.0,11668930448.4,11407903448.4,53.0145985401,11.1601006896,0.751040146
31,2017-06-19 00:00:00+00:00,149.7,152.14,146.25,146.32,1631887,149.7,152.14,146.25,146.32,1631887,0.0,1.0,12025601598.0,11764574598.0,54.6350364964,11.5012190089,0.7739963504
32,2017-06-20 00:00:00+00:00,146.99,150.84,146.77,150.08,940994,146.99,150.84,146.77,150.08,940994,0.0,1.0,11807903666.6,11546876666.6,53.6459854015,11.2930139086,0.7599847932
33,2017-06-21 00:00:00+00:00,149.42,149.77,147.15,147.16,666204,149.42,149.77,147.15,147.16,666204,0.0,1.0,12003108822.8,11742081822.8,54.5328467153,11.4797070428,0.7725486618
34,2017-06-22 00:00:00+00:00,149.69,150.98,148.85,150.07,652611,149.69,150.98,148.85,150.07,652611,0.0,1.0,12024798284.6,11763771284.6,54.6313868613,11.5004507244,0.7739446472
