,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,77.35,77.92,76.98,77.59,919662,75.1052418534,75.6587000028,74.7459795459,75.3382768637,919662,0.0,1.0,7156543717.22704,8418843717.22704,30.8167330677,47.6433637152,1.5408366534
1,2017-05-05 00:00:00+00:00,77.5,77.94,77.0,77.56,808196,75.2508887348,75.678119587,74.7653991301,75.3091474874,808196,0.0,1.0,7170421953.26562,8432721953.26562,30.8764940239,47.7357555,1.5438247012
2,2017-05-08 00:00:00+00:00,76.8,77.57,76.4,77.28,573289,74.5712032882,75.3188572795,74.1828116044,75.0372733088,573289,0.0,1.0,7105656851.75225,8367956851.75225,30.5976095618,47.3045938374,1.5298804781
3,2017-05-09 00:00:00+00:00,76.98,77.2,76.75,77.11,437959,74.7459795459,74.959594972,74.5226543277,74.8722068432,437959,0.0,1.0,7122310734.99855,8384610734.99855,30.6693227092,47.4154639792,1.5334661355
4,2017-05-10 00:00:00+00:00,76.83,76.94,75.85,76.76,613198,74.6003326645,74.7071403775,73.6487730392,74.5323641198,613198,0.0,1.0,7108432498.95997,8370732498.95997,30.609561753,47.3230721944,1.5304780876
5,2017-05-11 00:00:00+00:00,77.29,77.31,75.945,76.45,898346,75.0469831009,75.066402685,73.7410160641,74.2313605649,898346,0.0,1.0,7150992422.81161,8413292422.81161,30.7928286853,47.6064070012,1.5396414343
6,2017-05-12 00:00:00+00:00,76.73,77.31,76.64,77.16,412519,74.5032347435,75.066402685,74.4158466147,74.9207558036,412519,0.0,1.0,7099180341.60092,8361480341.60092,30.5697211155,47.2614776712,1.5284860558
7,2017-05-15 00:00:00+00:00,77.24,77.57,76.7,76.7,582400,74.9984341404,75.3188572795,74.4741053673,74.4741053673,582400,0.0,1.0,7146366344.13209,8408666344.13209,30.7729083665,47.5756097396,1.5386454183
8,2017-05-16 00:00:00+00:00,78.48,78.7,77.58,77.6,1238591,76.2024483601,76.4160637862,75.3285670716,75.3479866558,1238591,0.0,1.0,7261093095.38434,8523393095.38434,31.2669322709,48.3393818276,1.5633466135
9,2017-05-17 00:00:00+00:00,77.01,77.83,76.865,77.54,1008950,74.7751089222,75.571311874,74.6343169368,75.2897279032,1008950,0.0,1.0,7125086382.20627,8387386382.20627,30.6812749004,47.4339423362,1.534063745
10,2017-05-18 00:00:00+00:00,77.32,77.76,76.26,76.83,653625,75.0761124771,75.5033433293,74.0468745151,74.6003326645,653625,0.0,1.0,7153768070.01932,8416068070.01932,30.8047808765,47.6248853582,1.5402390438
11,2017-05-19 00:00:00+00:00,79.06,79.45,77.46,77.83,1065031,76.7656163016,77.1442981933,75.2120495665,75.571311874,1065031,0.0,1.0,7314755608.06684,8577055608.06684,31.4980079681,48.6966300623,1.5749003984
12,2017-05-22 00:00:00+00:00,79.46,79.99,79.2,79.2,798783,77.1540079854,77.6686269665,76.901553391,76.901553391,798783,0.0,1.0,7351764237.50305,8614064237.50305,31.6573705179,48.9430081552,1.5828685259
13,2017-05-23 00:00:00+00:00,78.9,79.71,78.76,79.5,823810,76.6102596281,77.3967527878,76.4743225388,77.1928471538,823810,0.0,1.0,7299952156.29236,8562252156.29236,31.4342629482,48.5980788252,1.5717131474
14,2017-05-24 00:00:00+00:00,79.05,79.2425,78.65,79.0,702043,76.7559065095,76.9428200074,76.3675148258,76.7073575491,702043,0.0,1.0,7313830392.33094,8576130392.33094,31.4940239044,48.69047061,1.5747011952
15,2017-05-25 00:00:00+00:00,79.46,79.69,79.05,79.29,645476,77.1540079854,77.3773332036,76.7559065095,76.9889415198,645476,0.0,1.0,7351764237.50305,8614064237.50305,31.6573705179,48.9430081552,1.5828685259
16,2017-05-26 00:00:00+00:00,79.38,79.68,79.11,79.36,655684,77.0763296487,77.3676234115,76.8141652621,77.0569100645,655684,0.0,1.0,7344362511.61581,8606662511.61581,31.625498008,48.8937325366,1.5812749004
17,2017-05-30 00:00:00+00:00,78.46,79.35,78.25,79.35,855338,76.183028776,77.0472002724,75.979123142,77.0472002724,855338,0.0,1.0,7259242663.91252,8521542663.91252,31.2589641434,48.327062923,1.5629482072
18,2017-05-31 00:00:00+00:00,78.63,79.17,77.76,78.62,3792394,76.3480952416,76.8724240147,75.5033433293,76.3383854495,3792394,0.0,1.0,7274971331.42292,8537271331.42292,31.3266932271,48.4317736125,1.5663346614
19,2017-06-01 00:00:00+00:00,79.14,79.55,78.8,79.02,907170,76.8432946384,77.2413961143,76.5131617072,76.7267771333,907170,0.0,1.0,7322157333.95409,8584457333.95409,31.5298804781,48.7459056809,1.5764940239
20,2017-06-02 00:00:00+00:00,80.06,80.17,78.87,79.05,703672,77.7365955111,77.8434032242,76.5811302518,76.7559065095,703672,0.0,1.0,7407277181.65736,8669577181.65736,31.8964143426,49.3125752946,1.5948207171
21,2017-06-05 00:00:00+00:00,80.0,80.37,79.635,80.0,498556,77.6783367586,78.0375990661,77.3239293471,77.6783367586,498556,0.0,1.0,7401725887.24193,8664025887.24193,31.8725099602,49.2756185806,1.593625498
22,2017-06-06 00:00:00+00:00,78.54,80.4,78.47,79.76,510368,76.2607071127,78.0667284423,76.192738568,77.4453017483,510368,0.0,1.0,7266644389.79977,8528944389.79977,31.2908366534,48.3763385415,1.5645418327
23,2017-06-07 00:00:00+00:00,78.33,79.04,78.12,78.61,511542,76.0568014787,76.7461967175,75.8528958447,76.3286756574,511542,0.0,1.0,7247214859.34576,8509514859.34576,31.2071713147,48.2469900428,1.5603585657
24,2017-06-08 00:00:00+00:00,77.65,78.57,77.37,78.2,723064,75.3965356163,76.289836489,75.1246614376,75.9305741815,723064,0.0,1.0,7184300189.3042,8446600189.3042,30.9362549801,47.8281472848,1.546812749
25,2017-06-09 00:00:00+00:00,77.23,78.22,76.9,77.83,756876,74.9887243483,75.9499937657,74.6683012092,75.571311874,756876,0.0,1.0,7145441128.39618,8407741128.39618,30.7689243028,47.5694502873,1.5384462151
26,2017-06-12 00:00:00+00:00,78.45,78.49,76.47,77.36,1033298,76.1733189839,76.2121581522,74.2507801491,75.1149516455,1033298,0.0,1.0,7258317448.17662,8520617448.17662,31.2549800797,48.3209034706,1.562749004
27,2017-06-13 00:00:00+00:00,79.28,79.4,77.81,78.19,611373,77.1345884012,77.2513410578,75.704368359,76.0740851046,611373,0.16,1.0,7349913806.03124,8612213806.03124,31.5856573705,48.8321380134,1.5792828685
28,2017-06-14 00:00:00+00:00,79.75,80.12,79.43,79.69,563066,77.5918696392,77.9518569968,77.2805292219,77.533493311,563066,0.0,1.0,7393486705.73904,8655786705.73904,31.7729083665,49.1216322726,1.5886454183
29,2017-06-15 00:00:00+00:00,80.75,80.83,79.04,79.32,600701,78.5648084435,78.6426435478,76.9010830882,77.1735059534,600701,0.0,1.0,7486195002.98969,8748495002.98969,32.171314741,49.7375775048,1.6085657371
30,2017-06-16 00:00:00+00:00,81.58,81.93,80.76,81.02,822417,79.372347651,79.7128762325,78.5745378315,78.8275019206,822417,0.0,1.0,7563142889.70773,8825442889.70773,32.5019920319,50.2488120476,1.6250996016
31,2017-06-19 00:00:00+00:00,82.17,82.38,81.66,82.04,401963,79.9463815455,80.1506986944,79.4501827554,79.819899501,401963,0.0,1.0,7617840785.0856,8880140785.0856,32.7370517928,50.6122197346,1.6368525896
32,2017-06-20 00:00:00+00:00,81.91,82.77,81.5,81.68,520483,79.6934174564,80.5301448281,79.2945125467,79.4696415315,520483,0.0,1.0,7593736627.80044,8856036627.80044,32.6334661355,50.4520739743,1.6316733068
33,2017-06-21 00:00:00+00:00,81.51,82.1,81.34,82.1,437796,79.3042419347,79.8782758292,79.138842338,79.8782758292,437796,0.0,1.0,7556653308.90018,8818953308.90018,32.4741035857,50.2056958814,1.6237051793
34,2017-06-22 00:00:00+00:00,81.19,81.9,81.17,81.49,298776,78.9929015174,79.6836880684,78.9734427413,79.2847831586,298776,0.0,1.0,7526986653.77998,8789286653.77998,32.3466135458,50.008593407,1.6173306773
35,2017-06-23 00:00:00+00:00,81.45,82.18,80.99,81.21,573435,79.2458656065,79.9561109336,78.7983137565,79.0123602935,573435,0.0,1.0,7551090811.06515,8813390811.06515,32.4501992032,50.1687391674,1.6225099602
36,2017-06-26 00:00:00+00:00,81.41,81.96,81.27,81.67,236799,79.2069480543,79.7420643966,79.0707366217,79.4599121434,236799,0.0,1.0,7547382479.17512,8809682479.17512,32.4342629482,50.1441013581,1.6217131474
37,2017-06-27 00:00:00+00:00,80.59,81.62,80.49,81.25,456014,78.4091382348,79.4112652032,78.3118443544,79.0512778456,456014,0.0,1.0,7471361675.42959,8733661675.42959,32.1075697211,49.6390262677,1.6053784861
38,2017-06-28 00:00:00+00:00,81.24,81.83,80.88,81.12,264575,79.0415484576,79.6155823521,78.6912904881,78.9247958011,264575,0.0,1.0,7531622068.64251,8793922068.64251,32.3665338645,50.0393906686,1.6183266932
