,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,85.57,86.03,85.11,85.11,2446687,80.8663353752,81.301049811,80.4316209394,80.4316209394,2446687,0.0,1.0,29477240256.3397,35381240256.3397,14.3333333333,1.4767036732,0.06536
1,2017-05-05 00:00:00+00:00,85.45,85.87,85.24,85.73,1639599,80.7529316093,81.1498447899,80.5544750191,81.0175403963,1639599,0.0,1.0,29435902534.8163,35339902534.8163,14.3132328308,1.4746328021,0.0652683417
2,2017-05-08 00:00:00+00:00,84.77,85.49,84.63,85.46,1959042,80.1103102694,80.7907328646,79.9780058759,80.7623819232,1959042,0.0,1.0,29201655446.1835,35105655446.1835,14.1993299832,1.4628978658,0.0647489447
3,2017-05-09 00:00:00+00:00,84.17,84.98,84.085,84.9,1794583,79.5432914401,80.3087668597,79.4629637726,80.2331643491,1794583,0.0,1.0,28994966838.5663,34898966838.5663,14.0988274707,1.4525435102,0.0642906533
4,2017-05-10 00:00:00+00:00,84.29,84.63,84.07,84.21,1710886,79.656695206,79.9780058759,79.4487883019,79.5810926954,1710886,0.0,1.0,29036304560.0897,34940304560.0897,14.1189279732,1.4546143813,0.0643823116
5,2017-05-11 00:00:00+00:00,83.91,84.24,83.19,83.97,2949814,79.2975832807,79.6094436369,78.6171606855,79.3542851637,2949814,0.0,1.0,28905401775.2654,34809401775.2654,14.0552763819,1.4480566228,0.0640920603
6,2017-05-12 00:00:00+00:00,84.13,84.6,83.53,83.81,1838578,79.5054901848,79.9496549345,78.9384713555,79.2030801425,1838578,0.0,1.0,28981187598.0584,34885187598.0584,14.0921273032,1.4518532199,0.0642601005
7,2017-05-15 00:00:00+00:00,84.53,84.65,84.06,84.06,1191073,79.8835027377,79.9969065036,79.4393379881,79.4393379881,1191073,0.0,1.0,29118980003.1366,35022980003.1366,14.1591289782,1.4587561236,0.0645656281
8,2017-05-16 00:00:00+00:00,84.33,84.78,84.2,84.49,1558755,79.6944964613,80.1197605833,79.5716423816,79.8457014824,1558755,0.0,1.0,29050083800.5975,34954083800.5975,14.1256281407,1.4553046717,0.0644128643
9,2017-05-17 00:00:00+00:00,84.36,84.71,83.11,83.63,2252186,79.7228474027,80.0536083865,78.541558175,79.0329744937,2252186,0.0,1.0,29060418230.9783,34964418230.9783,14.1306532663,1.4558223895,0.0644357789
10,2017-05-18 00:00:00+00:00,84.72,85.3,83.6,84.33,2172664,80.0630587003,80.611176902,79.0046235523,79.6944964613,2172664,0.0,1.0,29184431395.5487,35088431395.5487,14.1909547739,1.4620350028,0.0647107538
11,2017-05-19 00:00:00+00:00,84.13,84.8,84.06,84.78,2684922,79.5054901848,80.1386612109,79.4393379881,80.1197605833,2684922,0.0,1.0,28981187598.0584,34885187598.0584,14.0921273032,1.4518532199,0.0642601005
12,2017-05-22 00:00:00+00:00,84.79,84.88,84.25,84.58,2085367,80.1292108971,80.2142637215,79.6188939507,79.9307543068,2085367,0.0,1.0,29208545066.4373,35112545066.4373,14.202680067,1.463243011,0.0647642211
13,2017-05-23 00:00:00+00:00,85.4,85.5,84.55,84.69,1289057,80.7056800402,80.8001831784,79.9024033653,80.0347077589,1289057,0.0,1.0,29418678484.1815,35322678484.1815,14.3048576214,1.4737699391,0.0652301508
14,2017-05-24 00:00:00+00:00,85.81,85.89,85.4,85.55,951549,81.0931429069,81.1687454175,80.7056800402,80.8474347476,951549,0.0,1.0,29559915699.3866,35463915699.3866,14.3735343384,1.4808454154,0.0655433166
15,2017-05-25 00:00:00+00:00,86.28,86.385,85.82,85.95,1096646,81.5373076566,81.6365359517,81.1025932207,81.2254473004,1096646,0.0,1.0,29721821775.3534,35625821775.3534,14.4522613065,1.4889563272,0.0659023116
16,2017-05-26 00:00:00+00:00,86.5,86.6299,85.96,86.04,1046745,81.7452145606,81.8679741372,81.2348976143,81.3105001248,1046745,0.0,1.0,29797607598.1464,35701607598.1464,14.4891122278,1.4927529243,0.0660703518
17,2017-05-30 00:00:00+00:00,86.0,86.42,85.99,86.12,1134298,81.2726988695,81.6696120501,81.2632485557,81.3861026354,1134298,0.0,1.0,29625367091.7987,35529367091.7987,14.405360134,1.4841242946,0.0656884422
