,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,140.2,142.9,138.38,141.75,1609690,140.2,142.9,138.38,141.75,1609690,0.0,1.0,9955787064.0,9248356064.0,42.3564954683,8.1048500408,0.3441465257
1,2017-05-05 00:00:00+00:00,144.72,144.94,135.21,138.95,2258010,144.72,144.94,135.21,138.95,2258010,0.0,1.0,10276758230.4,9569327230.4,43.7220543807,8.3661476313,0.3552416918
2,2017-05-08 00:00:00+00:00,142.75,147.55,141.32,145.0,890266,142.75,147.55,141.32,145.0,890266,0.0,1.0,10279124013.5,9571693013.5,43.1268882175,8.2522635044,0.3504059668
3,2017-05-09 00:00:00+00:00,144.93,145.58,142.62,143.51,692686,144.93,145.58,142.62,143.51,692686,0.0,1.0,10436101178.82,9728670178.82,43.7854984894,8.3782875636,0.3557571752
4,2017-05-10 00:00:00+00:00,145.43,146.03,143.78,145.66,713168,145.43,146.03,143.78,145.66,713168,0.0,1.0,10472105115.82,9764674115.82,43.9365558912,8.4071921643,0.3569845166
5,2017-05-11 00:00:00+00:00,146.02,146.45,144.26,145.01,563630,146.02,146.45,144.26,145.01,563630,0.0,1.0,10514589761.48,9807158761.48,44.1148036254,8.4412995931,0.3584327795
6,2017-05-12 00:00:00+00:00,146.82,147.15,144.765,145.68,476868,146.82,147.15,144.765,145.68,476868,0.0,1.0,10572196060.68,9864765060.68,44.3564954683,8.4875469543,0.3603965257
7,2017-05-15 00:00:00+00:00,147.42,148.129,146.51,147.39,582059,147.42,148.129,146.51,147.39,582059,0.0,1.0,10615400785.08,9907969785.08,44.5377643505,8.5222324751,0.3618693353
8,2017-05-16 00:00:00+00:00,147.45,148.6,146.1,148.12,1180908,147.45,148.6,146.1,148.12,1180908,0.0,1.0,10617561021.3,9910130021.3,44.5468277946,8.5239667512,0.3619429758
9,2017-05-17 00:00:00+00:00,142.36,146.87,142.23,145.99,907234,142.36,146.87,142.23,145.99,907234,0.0,1.0,10251040942.64,9543609942.64,43.0090634441,8.2297179159,0.3494486405
10,2017-05-18 00:00:00+00:00,143.48,143.85,138.8,140.93,803916,143.48,143.85,138.8,140.93,803916,0.0,1.0,10331689761.52,9624258761.52,43.3474320242,8.2944642215,0.3521978852
11,2017-05-19 00:00:00+00:00,144.07,145.4,143.64,144.82,621899,144.07,145.4,143.64,144.82,621899,0.0,1.0,10374174407.18,9666743407.18,43.5256797583,8.3285716503,0.353646148
12,2017-05-22 00:00:00+00:00,143.15,144.3,142.246,143.42,708070,143.15,144.3,142.246,143.42,708070,0.0,1.0,10307927163.1,9600496163.1,43.247734139,8.275387185,0.3513878399
13,2017-05-23 00:00:00+00:00,143.2,144.03,141.05,142.68,814410,143.2,144.03,141.05,142.68,814410,0.0,1.0,10311527556.8,9604096556.8,43.2628398792,8.2782776451,0.351510574
14,2017-05-24 00:00:00+00:00,144.28,144.33,143.21,143.59,407620,144.28,144.33,143.21,143.59,407620,0.0,1.0,10389296060.72,9681865060.72,43.5891238671,8.3407115826,0.3541616314
15,2017-05-25 00:00:00+00:00,148.06,148.23,144.86,145.0,992116,148.06,148.23,144.86,145.0,992116,0.0,1.0,10661485824.44,9954054824.44,44.7311178248,8.559230364,0.3634403323
16,2017-05-26 00:00:00+00:00,146.45,148.4,145.07,148.06,619146,146.45,148.4,145.07,148.06,619146,0.0,1.0,10545553147.3,9838122147.3,44.2447129909,8.4661575497,0.3594882931
17,2017-05-30 00:00:00+00:00,147.22,147.46,145.5,146.45,653309,147.22,147.46,145.5,146.45,653309,0.0,1.0,10600999210.28,9893568210.28,44.4773413897,8.5106706348,0.3613783988
18,2017-05-31 00:00:00+00:00,147.38,148.04,145.33,147.8,2609339,147.38,148.04,145.33,147.8,2609339,0.0,1.0,10612520470.12,9905089470.12,44.5256797583,8.5199201071,0.361771148
19,2017-06-01 00:00:00+00:00,148.52,148.95,144.31,147.51,1573794,148.52,148.95,144.31,147.51,1573794,0.0,1.0,10694609446.48,9987178446.48,44.8700906344,8.5858225967,0.3645694864
20,2017-06-02 00:00:00+00:00,152.26,152.54,148.13,148.63,1281191,152.26,152.54,148.13,148.63,1281191,0.0,1.0,10963918895.24,10256487895.24,46.0,8.8020290101,0.37375
21,2017-06-05 00:00:00+00:00,154.33,154.89,152.26,152.26,928451,154.33,154.89,152.26,152.26,928451,0.0,1.0,11112975194.42,10405544194.42,46.6253776435,8.921694057,0.3788311934
22,2017-06-06 00:00:00+00:00,155.35,157.268,153.26,153.56,648386,155.35,157.268,153.26,153.56,648386,0.0,1.0,11186423225.9,10478992225.9,46.9335347432,8.9806594425,0.3813349698
23,2017-06-07 00:00:00+00:00,156.05,156.77,154.85,156.24,624889,156.05,156.77,154.85,156.24,624889,0.0,1.0,11236828737.7,10529397737.7,47.1450151057,9.0211258835,0.3830532477
24,2017-06-08 00:00:00+00:00,157.27,157.32,154.725,155.54,585423,157.27,157.32,154.725,155.54,585423,0.0,1.0,11324678343.98,10617247343.98,47.5135951662,9.0916531092,0.3860479607
25,2017-06-09 00:00:00+00:00,149.46,158.568,147.01,157.56,1015677,149.46,158.568,147.01,157.56,1015677,0.0,1.0,10762296848.04,10054865848.04,45.1540785498,8.640163246,0.3668768882
26,2017-06-12 00:00:00+00:00,149.76,149.76,143.0,147.48,1153668,149.76,149.76,143.0,147.48,1153668,0.0,1.0,10783899210.24,10076468210.24,45.2447129909,8.6575060065,0.3676132931
27,2017-06-13 00:00:00+00:00,151.78,153.37,149.39,150.95,630384,151.78,153.37,149.39,150.95,630384,0.0,1.0,10929355115.72,10221924115.72,45.8549848943,8.7742805934,0.3725717523
28,2017-06-14 00:00:00+00:00,151.05,153.38,148.925,151.85,550999,151.05,153.38,148.925,151.85,550999,0.0,1.0,10876789367.7,10169358367.7,45.6344410876,8.7320798763,0.3707798338
29,2017-06-15 00:00:00+00:00,151.23,151.33,147.905,149.37,539519,151.23,151.33,147.905,149.37,539519,0.0,1.0,10889750785.02,10182319785.02,45.6888217523,8.7424855326,0.3712216767
30,2017-06-16 00:00:00+00:00,151.58,153.15,151.05,152.37,1558087,151.58,153.15,151.05,152.37,1558087,0.0,1.0,10914953540.92,10207522540.92,45.7945619335,8.7627187531,0.3720808157
