,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2020-04-01 00:00:00+00:00,6.92,15.0,5.8,15.0,9548728,6.92,15.0,5.8,15.0,9548728,0.0,1.0,754427921.92,,,,
1,2020-04-02 00:00:00+00:00,6.21,7.98,6.0,7.31,13961937,6.21,7.98,6.0,7.31,13961937,0.0,1.0,677022744.96,,,,
2,2020-04-03 00:00:00+00:00,8.06,8.1,6.33,6.61,26553932,8.06,8.1,6.33,6.61,26553932,0.0,1.0,878712290.56,,,,
3,2020-04-06 00:00:00+00:00,7.3,9.0,7.23,8.68,7447182,7.3,9.0,7.23,8.68,7447182,0.0,1.0,795856044.8,,,,
4,2020-04-07 00:00:00+00:00,7.3,7.58,7.2,7.5,4968681,7.3,7.58,7.2,7.5,4968681,0.0,1.0,795856044.8,,,,
5,2020-04-08 00:00:00+00:00,10.03,10.3,7.2,7.2,7329256,10.03,10.3,7.2,7.2,7329256,0.0,1.0,1093484401.28,,,,
6,2020-04-09 00:00:00+00:00,10.79,11.14,10.0,10.87,6331688,10.79,11.14,10.0,10.87,6331688,0.0,1.0,1176340647.04,,,,
7,2020-04-13 00:00:00+00:00,9.5,11.84,9.45,10.97,2786464,9.5,11.84,9.45,10.97,2786464,0.0,1.0,1035703072.0,,,,
8,2020-04-14 00:00:00+00:00,9.66,10.19,9.11,10.0,2940242,9.66,10.19,9.11,10.0,2940242,0.0,1.0,1053146492.16,,,,
9,2020-04-15 00:00:00+00:00,8.89,9.24,8.7,9.12,1744165,8.89,9.24,8.7,9.12,1744165,0.0,1.0,969200032.64,,,,
10,2020-04-16 00:00:00+00:00,8.54,9.04,8.06,8.77,1828306,8.54,9.04,8.06,8.77,1828306,0.0,1.0,931042551.04,,,,
11,2020-04-17 00:00:00+00:00,9.47,10.2,8.9,8.94,4163865,9.47,10.2,8.9,8.94,4163865,0.0,1.0,1032432430.72,,,,
