,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,183.07,184.25,182.18,183.33,2238916,171.120920943,172.2239016974,170.2890117299,171.3639506007,2238916,0.0,1.0,103285335214.704,105894335214.704,21.1153402537,739.1992971846,0.5425469371
1,2017-05-05 00:00:00+00:00,185.01,185.07,183.16,183.16,2619262,172.9342960816,172.9903798488,171.2050465937,171.2050465937,2619262,0.0,1.0,104379853979.747,106988853979.747,21.339100346,747.0326212494,0.5482963283
2,2017-05-08 00:00:00+00:00,186.02,186.39,185.0,185.38,1963400,173.878372829,174.2242227266,172.9249487871,173.2801459792,1963400,0.0,1.0,104949680759.486,107558680759.486,21.4555940023,751.1107951182,0.5512895681
3,2017-05-09 00:00:00+00:00,186.91,187.205,186.05,186.11,2844172,174.7102820421,174.9860272307,173.9064147126,173.9624984798,2844172,0.0,1.0,105451805347.573,108060805347.573,21.5582468281,754.7044334778,0.5539271754
4,2017-05-10 00:00:00+00:00,183.18,185.65,178.18,185.14,6869552,172.5510570059,174.8777362875,167.8411799176,174.3973288245,6869552,1.42,1.0,104148538158.268,106757538158.268,21.1280276817,739.6434547347,0.5428729335
5,2017-05-11 00:00:00+00:00,183.94,184.33,182.17,182.9,2837184,173.2669583233,173.6343287362,171.5996618341,172.287303889,2837184,0.0,1.0,104580642585.609,107189642585.609,21.2156862745,742.7121796261,0.5451252723
6,2017-05-12 00:00:00+00:00,183.25,183.98,182.63,183.71,3456396,172.6169952851,173.30463734,172.0329705262,173.0503039773,3456396,0.0,1.0,104188337250.261,106797337250.261,21.1361014994,739.9261004484,0.5430803857
7,2017-05-15 00:00:00+00:00,182.39,184.11,182.28,183.3,3357027,171.806896426,173.4270941443,171.70327913,172.664094056,3357027,0.0,1.0,103699376977.217,106308376977.217,21.0369088812,736.4535959661,0.5405316865
8,2017-05-16 00:00:00+00:00,182.7,183.15,182.04,182.73,2152988,172.0989088054,172.5227977434,171.4772050298,172.127168068,2152988,0.0,1.0,103875630098.895,106484630098.895,21.0726643599,737.7053126981,0.5414504037
9,2017-05-17 00:00:00+00:00,178.78,181.52,178.68,181.39,2494001,168.4063651682,170.9873778126,168.3121676265,170.8649210083,2494001,0.0,1.0,101646880947.348,104255880947.348,20.6205305652,721.8771527321,0.529833077
10,2017-05-18 00:00:00+00:00,177.4,178.5,175.471,178.48,3104899,167.1064390919,168.1426120513,165.2893685112,168.1237725429,3104899,0.0,1.0,100862270276.651,103471270276.651,20.461361015,716.3049943768,0.5257433039
11,2017-05-19 00:00:00+00:00,180.76,181.42,176.77,177.73,4018267,170.2714764952,170.8931802708,166.5129945787,167.4172909797,4018267,0.0,1.0,102772626692.262,105381626692.262,20.8489042676,729.8719886333,0.5357010124
12,2017-05-22 00:00:00+00:00,183.67,185.32,182.52,183.78,2939028,173.0126249605,174.5668843997,171.9293532302,173.1162422565,2939028,0.0,1.0,104427131802.212,107036131802.212,21.184544406,741.6219747305,0.5443250993
13,2017-05-23 00:00:00+00:00,183.49,184.46,182.86,184.0,2101615,172.8430693854,173.7567855405,172.2496248722,173.3234768484,2101615,0.0,1.0,104324791279.947,106933791279.947,21.1637831603,740.8951714667,0.5437916506
14,2017-05-24 00:00:00+00:00,185.25,185.4,183.46,183.46,2424684,174.5009461204,174.6422424331,172.8148101228,172.8148101228,2424684,0.0,1.0,105325454164.315,107934454164.315,21.3667820069,748.0016922677,0.5490075932
15,2017-05-25 00:00:00+00:00,187.07,187.42,185.59,185.63,2296948,176.2153413806,176.5450327768,174.8212177624,174.8588967792,2296948,0.0,1.0,106360230556.105,108969230556.105,21.5767012687,755.3504808234,0.554401352
16,2017-05-26 00:00:00+00:00,186.59,187.605,186.27,186.73,1728729,175.7631931801,176.719298229,175.4617610464,175.8950697386,1728729,0.0,1.0,106087322496.732,108696322496.732,21.5213379469,753.4123387867,0.5529788222
17,2017-05-30 00:00:00+00:00,186.88,187.42,186.19,186.76,2104970,176.0363660512,176.5450327768,175.386403013,175.9233290011,2104970,0.0,1.0,106252204449.27,108861204449.27,21.5547866205,754.5832996005,0.5538382673
18,2017-05-31 00:00:00+00:00,187.63,188.26,186.72,187.37,4927182,176.7428476145,177.3362921276,175.8856499844,176.4979340059,4927182,0.0,1.0,106678623292.04,109287623292.04,21.6412918108,757.6116465328,0.5560609701
19,2017-06-01 00:00:00+00:00,187.32,187.91,184.53,187.41,2856844,176.450835235,177.0066007314,173.8227238197,176.5356130226,2856844,0.0,1.0,106502370170.362,109111370170.362,21.6055363322,756.3599298008,0.555142253
20,2017-06-02 00:00:00+00:00,190.23,191.7,187.6499,187.82,3031959,179.1919837004,180.5766875643,176.7615929253,176.9218229438,3031959,0.0,1.0,108156875280.311,110765875280.311,21.9411764706,768.1099158979,0.5637663399
21,2017-06-05 00:00:00+00:00,188.95,190.74,188.81,190.07,2420693,177.9862551658,179.6723911634,177.8543786073,179.0412676335,2420693,0.0,1.0,107429120455.316,110038120455.316,21.7935409458,762.9415371335,0.5599729271
22,2017-06-06 00:00:00+00:00,186.75,188.86,186.685,188.41,2719780,175.9139092469,177.9014773782,175.8526808448,177.4775884402,2719780,0.0,1.0,106178291849.856,108787291849.856,21.5397923875,754.0583861323,0.5534529988
23,2017-06-07 00:00:00+00:00,188.1,188.54,186.3926,186.85,2383451,177.1855760608,177.6000452445,175.5772472327,176.0081067887,2383451,0.0,1.0,106945845766.843,109554845766.843,21.6955017301,759.5094106103,0.5574538639
24,2017-06-08 00:00:00+00:00,189.93,191.07,187.7,188.1,2331276,178.9093910751,179.9832430512,176.8087858937,177.1855760608,2331276,0.0,1.0,107986307743.203,110595307743.203,21.9065743945,766.898577125,0.5628772587
25,2017-06-09 00:00:00+00:00,190.03,190.99,189.25,190.0,3342515,179.0035886168,179.9078850178,178.2688477911,178.9753293543,3342515,0.0,1.0,108043163588.906,110652163588.906,21.9181084198,767.302356716,0.5631736191
26,2017-06-12 00:00:00+00:00,190.0,190.53,188.05,190.3,2727957,178.9753293543,179.4745763257,177.1384772899,179.2579219796,2727957,0.0,1.0,108026106835.195,110635106835.195,21.9146482122,767.1812228387,0.563084711
27,2017-06-13 00:00:00+00:00,191.09,191.56,189.35,190.05,1879045,180.0020825595,180.4448110058,178.3630453328,179.0224281252,1879045,0.0,1.0,108645835553.355,111254835553.355,22.0403690888,771.5824203803,0.5663150391
28,2017-06-14 00:00:00+00:00,192.38,193.38,190.819,191.05,2197051,181.2172308483,182.159206266,179.7468072214,179.9644035428,2197051,0.0,1.0,109379275962.92,111988275962.92,22.1891580161,776.7911771037,0.5701380879
29,2017-06-15 00:00:00+00:00,195.45,195.55,191.37,191.43,2886533,184.1090953805,184.2032929223,180.2658356765,180.3223542015,2886533,0.0,1.0,111124750425.994,113733750425.994,22.5432525952,789.1872105465,0.5792363514
30,2017-06-16 00:00:00+00:00,196.44,197.95,195.81,196.01,6919311,185.041651044,186.4640339247,184.4482065309,184.6366016144,6919311,0.0,1.0,111687623298.451,114296623298.451,22.6574394464,793.184628497,0.5821703191
31,2017-06-19 00:00:00+00:00,199.08,199.47,197.0,197.88,2506813,187.5284661466,187.8958365595,185.5691572779,186.3980956454,2506813,0.0,1.0,113188617625.003,115797617625.003,22.9619377163,803.8444096986,0.589994233
32,2017-06-20 00:00:00+00:00,198.33,201.24,198.31,198.75,3071684,186.8219845834,189.5631330487,186.803145075,187.2176142588,3071684,0.0,1.0,112762198782.233,115371198782.233,22.875432526,800.8160627663,0.5877715302
33,2017-06-21 00:00:00+00:00,199.17,199.71,197.56,199.58,3089618,187.6132439342,188.1219106597,186.0966635118,187.9994538554,3089618,0.0,1.0,113239787886.136,115848787886.136,22.9723183391,804.2078113305,0.5902609573
34,2017-06-22 00:00:00+00:00,199.44,200.409,199.18,199.25,3336550,187.867577297,188.7803514767,187.6226636884,187.6886019676,3336550,0.0,1.0,113393298669.533,116002298669.533,23.0034602076,805.2980162261,0.5910611303
35,2017-06-23 00:00:00+00:00,202.23,202.35,198.68,199.26,4159432,190.4956887122,190.6087257623,187.1516759795,187.6980217218,4159432,0.0,1.0,114979576764.64,117588576764.64,23.3252595156,816.5634668141,0.5993295848
36,2017-06-26 00:00:00+00:00,199.98,204.39,199.94,202.77,3075601,188.3762440225,192.5303556143,188.3385650058,191.0043554377,3075601,0.0,1.0,113700320236.328,116309320236.328,23.0657439446,807.4784260173,0.5926614764
37,2017-06-27 00:00:00+00:00,198.89,200.92,198.89,199.8,2295003,187.3494908172,189.2617009151,187.3494908172,188.2066884473,2295003,0.0,1.0,113080591518.168,115689591518.168,22.9400230681,803.0772284757,0.5894311483
38,2017-06-28 00:00:00+00:00,199.62,200.95,199.3,199.5,2086085,188.0371328721,189.2899601776,187.7357007385,187.924095822,2086085,0.0,1.0,113495639191.798,116104639191.798,23.0242214533,806.0248194898,0.591594579
39,2017-06-29 00:00:00+00:00,197.46,199.755,196.45,199.62,2406937,186.00246597,188.1642995535,185.0510707982,188.0371328721,2406937,0.0,1.0,112267552924.619,114876552924.619,22.7750865052,797.3031803249,0.5851931949
40,2017-06-30 00:00:00+00:00,197.75,199.44,197.3901,198.5,2205468,186.2756388411,187.867577297,185.9366218883,186.9821204044,2205468,0.0,1.0,112432434877.157,114470434877.157,16.5481171548,-60.3428418443,-0.0186670834
41,2017-07-03 00:00:00+00:00,198.59,199.44,197.75,198.07,1511163,187.066898192,187.867577297,186.2756388411,186.5770709748,1511163,0.0,1.0,112910023981.06,114948023981.06,16.6184100418,-60.5991654203,-0.0187463772
42,2017-07-05 00:00:00+00:00,201.81,202.14,198.86,199.3,2713582,190.1000590368,190.4109109246,187.3212315547,187.7357007385,2713582,0.0,1.0,114740782212.688,116778782212.688,16.8878661088,-61.5817391282,-0.0190503368
43,2017-07-06 00:00:00+00:00,201.48,202.49,200.78,201.64,2724375,189.789207149,190.7406023208,189.1298243566,189.9399232158,2724375,0.0,1.0,114553157921.869,116591157921.869,16.860251046,-61.4810405805,-0.0190191856
44,2017-07-07 00:00:00+00:00,202.37,203.28,201.26,202.24,3014423,190.6275652707,191.4847629007,189.5819725571,190.5051084664,3014423,0.0,1.0,115059174948.623,117097174948.623,16.9347280335,-61.7526215122,-0.0191031993
45,2017-07-10 00:00:00+00:00,203.96,204.58,202.19,202.32,2700875,192.1253061848,192.7093309437,190.4580096955,190.5804664998,2700875,0.0,1.0,115963182895.297,118001182895.297,17.0677824268,-62.2378054238,-0.0192532912
46,2017-07-11 00:00:00+00:00,206.27,206.66,204.0,204.0,2674019,194.3012693995,194.6686398124,192.1629852015,192.1629852015,2674019,0.0,1.0,117276552931.03,119314552931.03,17.2610878661,-62.9426952578,-0.0194713491
47,2017-07-12 00:00:00+00:00,206.44,208.61,206.32,206.95,2796411,194.4614052205,196.5054918768,194.3483681704,194.9418126835,2796411,0.0,1.0,117373207868.724,119411207868.724,17.2753138075,-62.9945702672,-0.0194873967
48,2017-07-13 00:00:00+00:00,206.23,207.0,205.35,206.8,1925288,194.2635903828,194.9889114544,193.4346520153,194.8005163709,1925288,0.0,1.0,117253810592.749,119291810592.749,17.2577405858,-62.9304893732,-0.0194675732
49,2017-07-14 00:00:00+00:00,208.51,208.73,206.74,206.7979,3221699,196.4112943351,196.618528927,194.7439978458,194.7985382225,3221699,0.0,1.0,118550123874.771,120588123874.771,17.4485355649,-63.6262247937,-0.0196827993
50,2017-07-17 00:00:00+00:00,209.0,209.72,208.56,208.73,2414985,196.8728622897,197.5510845904,196.458393106,196.618528927,2414985,0.0,1.0,118828717518.715,120866717518.715,17.489539749,-63.7757468797,-0.019729054
51,2017-07-18 00:00:00+00:00,208.24,209.19,207.53,209.11,1942338,196.1569609723,197.0518376191,195.4881584258,196.9764795857,1942338,0.0,1.0,118396613091.374,120434613091.374,17.4259414226,-63.5438350728,-0.019657312
52,2017-07-19 00:00:00+00:00,210.88,210.93,208.99,209.43,2253923,198.6437760749,198.6908748458,196.8634425356,197.2779117193,2253923,0.0,1.0,119897607417.926,121935607417.926,17.6468619247,-64.3494234545,-0.0199065211
