,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,268.6,272.53,267.61,271.13,1132386,268.6,272.53,267.61,271.13,1132386,0.0,1.0,56974143525.8,62564343525.8,16.7979987492,5.058225267,-0.7688980871
1,2017-05-05 00:00:00+00:00,262.15,269.5,261.0,268.32,1907779,262.15,269.5,261.0,268.32,1907779,0.0,1.0,55606000466.45,61196200466.45,16.3946216385,4.9367600661,-0.7504342276
2,2017-05-08 00:00:00+00:00,260.42,263.6,259.99,262.52,1975153,260.42,263.6,259.99,262.52,1975153,0.0,1.0,55239041165.26,60829241165.26,16.2864290181,4.9041810277,-0.7454819056
3,2017-05-09 00:00:00+00:00,261.28,263.66,260.28,260.99,1150520,261.28,263.66,260.28,260.99,1150520,0.0,1.0,55421460239.84,61011660239.84,16.3402126329,4.9203763878,-0.7479437535
4,2017-05-10 00:00:00+00:00,257.92,262.3,257.02,260.63,1428945,257.92,262.3,257.02,260.63,1428945,0.0,1.0,54708753157.76,60298953157.76,16.1300813008,4.8571014924,-0.7383253709
5,2017-05-11 00:00:00+00:00,254.15,258.19,252.69,257.27,1840998,254.15,258.19,252.69,257.27,1840998,0.0,1.0,53909078842.45,59499278842.45,15.8943089431,4.7861055533,-0.7275333166
6,2017-05-12 00:00:00+00:00,254.84,256.3,253.3,255.41,1111845,254.84,256.3,253.3,255.41,1111845,0.0,1.0,54055438332.52,59645638332.52,15.9374609131,4.799099505,-0.7295085201
7,2017-05-15 00:00:00+00:00,258.53,259.95,253.97,253.97,1602188,258.53,259.95,253.97,253.97,1602188,0.0,1.0,54838143431.59,60428343431.59,16.1682301438,4.868588899,-0.7400715653
8,2017-05-16 00:00:00+00:00,257.64,260.62,256.6,259.44,1047372,257.64,260.62,256.6,259.44,1047372,0.0,1.0,54649360900.92,60239560900.92,16.1125703565,4.8518285845,-0.737523839
9,2017-05-17 00:00:00+00:00,251.34,256.14,251.17,255.38,1406434,251.34,256.14,251.17,255.38,1406434,0.0,1.0,53313035122.02,58903235122.02,15.7185741088,4.7331881557,-0.7194893716
10,2017-05-18 00:00:00+00:00,252.81,254.15,251.59,252.23,1222965,252.81,254.15,251.59,252.23,1222965,0.0,1.0,53624844470.43,59215044470.43,15.8105065666,4.7608709224,-0.723697414
11,2017-05-19 00:00:00+00:00,250.09,254.82,249.71,253.41,1986531,250.09,254.82,249.71,253.41,1986531,0.0,1.0,53047891118.27,58638091118.27,15.6404002502,4.709648388,-0.7159111042
12,2017-05-22 00:00:00+00:00,250.04,251.0,249.01,250.69,1322374,250.04,251.0,249.01,250.69,1322374,0.0,1.0,53037285358.12,58627485358.12,15.6372732958,4.7087067973,-0.7157679735
13,2017-05-23 00:00:00+00:00,248.1,250.97,247.97,250.97,997873,248.1,250.97,247.97,250.97,997873,0.0,1.0,52625781864.3,58215981864.3,15.5159474672,4.672173078,-0.7102145026
14,2017-05-24 00:00:00+00:00,253.33,254.37,246.12,249.3,2222761,253.33,254.37,246.12,249.3,2222761,0.0,1.0,53735144375.99,59325344375.99,15.8430268918,4.7706634657,-0.7251859732
15,2017-05-25 00:00:00+00:00,252.97,254.45,252.0,252.65,1551051,252.97,254.45,252.0,252.65,1551051,0.0,1.0,53658782902.91,59248982902.91,15.8205128205,4.7638840126,-0.7241554322
16,2017-05-26 00:00:00+00:00,250.8,253.62,250.51,252.59,819966,250.8,253.62,250.51,252.59,819966,0.0,1.0,53198492912.4,58788692912.4,15.6848030019,4.7230189761,-0.7179435601
17,2017-05-30 00:00:00+00:00,246.54,251.55,246.34,250.4,1359009,246.54,251.55,246.34,250.4,1359009,0.0,1.0,52294882147.62,57885082147.62,15.4183864916,4.642795448,-0.705748825
18,2017-05-31 00:00:00+00:00,247.77,247.98,244.28,247.31,1855958,247.77,247.98,244.28,247.31,1855958,0.0,1.0,52555783847.31,58145983847.31,15.4953095685,4.6659585793,-0.70926984
19,2017-06-01 00:00:00+00:00,252.38,253.11,248.61,250.03,1540279,252.38,253.11,248.61,250.03,1540279,0.0,1.0,53533634933.14,59123834933.14,15.7836147592,4.7527732423,-0.72246649
20,2017-06-02 00:00:00+00:00,256.65,258.26,252.14,252.98,1696571,256.65,258.26,252.14,252.98,1696571,0.0,1.0,54439366849.95,60029566849.95,16.0506566604,4.8331850885,-0.7346898513
21,2017-06-05 00:00:00+00:00,258.5,259.24,255.73,257.37,1532930,258.5,259.24,255.73,257.37,1532930,0.0,1.0,54831779975.5,60421979975.5,16.1663539712,4.8680239446,-0.7399856869
22,2017-06-06 00:00:00+00:00,257.16,258.3,254.96,257.06,1064793,257.16,258.3,254.96,257.06,1064793,0.0,1.0,54547545603.48,60137745603.48,16.0825515947,4.8427893137,-0.7361497843
23,2017-06-07 00:00:00+00:00,255.43,258.57,255.11,257.71,1095865,255.43,258.57,255.11,257.71,1095865,0.0,1.0,54180586302.29,59770786302.29,15.9743589744,4.8102102753,-0.7311974623
24,2017-06-08 00:00:00+00:00,257.17,258.11,254.52,255.25,1100062,257.17,258.11,254.52,255.25,1100062,0.0,1.0,54549666755.51,60139866755.51,16.0831769856,4.8429776319,-0.7361784105
25,2017-06-09 00:00:00+00:00,259.89,262.37,254.87,256.31,1551837,259.89,262.37,254.87,256.31,1551837,0.0,1.0,55126620107.67,60716820107.67,16.2532833021,4.8942001662,-0.7439647202
26,2017-06-12 00:00:00+00:00,262.11,265.48,259.57,260.23,1535937,262.11,265.48,259.57,260.23,1535937,0.0,1.0,55597515858.33,61187715858.33,16.392120075,4.9360067935,-0.750319723
27,2017-06-13 00:00:00+00:00,261.42,262.12,259.55,261.97,1265910,261.42,262.12,259.55,261.97,1265910,0.0,1.0,55451156368.26,61041356368.26,16.3489681051,4.9230128418,-0.7483445194
28,2017-06-14 00:00:00+00:00,253.37,257.38,250.88,255.56,3027446,253.37,257.38,250.88,255.56,3027446,0.0,1.0,53743628984.11,59333828984.11,15.8455284553,4.7714167383,-0.7253004777
29,2017-06-15 00:00:00+00:00,255.02,255.76,253.15,253.6,1440039,255.02,255.76,253.15,253.6,1440039,0.0,1.0,54093619069.06,59683819069.06,15.9487179487,4.8024892316,-0.7300237906
30,2017-06-16 00:00:00+00:00,251.74,256.77,250.89,255.49,2299305,251.74,256.77,250.89,255.49,2299305,0.0,1.0,53397881203.22,58988081203.22,15.7435897436,4.7407208813,-0.7206344171
31,2017-06-19 00:00:00+00:00,260.54,262.28,252.94,253.23,1898894,260.54,262.28,252.94,253.23,1898894,0.0,1.0,55264494989.62,60854694989.62,16.2939337086,4.9064408454,-0.7458254192
32,2017-06-20 00:00:00+00:00,266.0,269.0,259.61,260.82,2204549,266.0,269.0,259.61,260.82,2204549,0.0,1.0,56422643998.0,62012843998.0,16.6353971232,5.0092625504,-0.761455291
33,2017-06-21 00:00:00+00:00,278.6,279.81,266.11,266.11,3093016,278.6,279.81,266.11,266.11,3093016,0.0,1.0,59095295555.8,64685495555.8,17.4233896185,5.246543408,-0.7975242258
34,2017-06-22 00:00:00+00:00,280.57,284.21,278.3,279.86,2760073,280.57,284.21,278.3,279.86,2760073,0.0,1.0,59513162505.71,65103362505.71,17.5465916198,5.2836420818,-0.8031635752
35,2017-06-23 00:00:00+00:00,280.32,284.46,277.58,282.33,2101276,280.32,284.46,277.58,282.33,2101276,0.0,1.0,59460133704.96,65050333704.96,17.530956848,5.2789341283,-0.8024479217
36,2017-06-26 00:00:00+00:00,279.81,282.89,277.64,281.74,1247125,279.81,282.89,277.64,281.74,1247125,0.0,1.0,59351954951.43,64942154951.43,17.4990619137,5.2693299031,-0.8009879886
37,2017-06-27 00:00:00+00:00,271.25,279.4,271.2,279.0,1719741,271.25,279.4,271.2,279.0,1719741,0.0,1.0,57536248813.75,63126448813.75,16.9637273296,5.1081295744,-0.7764840138
38,2017-06-28 00:00:00+00:00,274.64,275.51,269.09,271.25,1170983,274.64,275.51,269.09,271.25,1170983,0.0,1.0,58255319351.92,63845519351.92,17.1757348343,5.1719694242,-0.7861882749
39,2017-06-29 00:00:00+00:00,271.88,275.2,268.91,275.0,997024,271.88,275.2,268.91,275.0,997024,0.0,1.0,57669881391.64,63260081391.64,17.0031269543,5.1199936173,-0.7782874606
40,2017-06-30 00:00:00+00:00,271.36,276.09,269.58,273.7,1303157,271.36,276.09,269.58,273.7,1303157,0.0,1.0,57559581486.08,62903981486.08,17.7707924034,4.9733515489,-1.1822513279
41,2017-07-03 00:00:00+00:00,272.52,275.11,272.12,272.62,612454,272.52,275.11,272.12,272.62,612454,0.0,1.0,57805635121.56,63150035121.56,17.8467583497,4.9946114538,-1.1873051735
42,2017-07-05 00:00:00+00:00,277.71,278.37,272.61,272.97,1275678,277.71,278.37,272.61,272.97,1275678,0.0,1.0,58906513025.13,64250913025.13,18.1866404715,5.0897312008,-1.2099167758
43,2017-07-06 00:00:00+00:00,271.96,276.89,271.0,275.57,1243089,271.96,276.89,271.0,275.57,1243089,0.0,1.0,57686850607.88,63031250607.88,17.8100851343,4.9843480514,-1.184865386
44,2017-07-07 00:00:00+00:00,273.93,274.86,270.8,271.9,872087,273.93,274.86,270.8,271.9,872087,0.0,1.0,58104717557.79,63449117557.79,17.9390962672,5.0204532348,-1.19344821
45,2017-07-10 00:00:00+00:00,273.58,274.08,270.31,273.5,897741,273.58,274.08,270.31,273.5,897741,0.0,1.0,58030477236.74,63374877236.74,17.9161755075,5.0140386083,-1.1919233428
46,2017-07-11 00:00:00+00:00,271.76,274.1,269.5,273.1,912709,271.76,274.1,269.5,273.1,912709,0.0,1.0,57644427567.28,62988827567.28,17.7969875573,4.9806825506,-1.1839940333
47,2017-07-12 00:00:00+00:00,275.08,276.45,272.33,274.15,1337236,275.08,276.45,272.33,274.15,1337236,0.0,1.0,58348650041.24,63693050041.24,18.0144073346,5.0415298646,-1.198458488
48,2017-07-13 00:00:00+00:00,278.36,280.75,272.61,276.04,1421079,278.36,280.75,272.61,276.04,1421079,0.0,1.0,59044387907.08,64388787907.08,18.2292075966,5.1016440785,-1.2127486721
