,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,26.35,26.55,26.26,26.52,4620821,26.35,26.55,26.26,26.52,4620821,0.0,1.0,36083735664.55,41441735664.55,79.8484848485,5.0939920125,1.9962121212
1,2017-05-05 00:00:00+00:00,26.51,26.53,26.31,26.45,3602109,26.51,26.53,26.31,26.45,3602109,0.0,1.0,36302839941.83,41660839941.83,80.3333333333,5.1249232733,2.0083333333
2,2017-05-08 00:00:00+00:00,26.39,26.58,26.33,26.55,4092031,26.39,26.58,26.33,26.55,4092031,0.0,1.0,36138511733.87,41496511733.87,79.9696969697,5.1017248277,1.9992424242
3,2017-05-09 00:00:00+00:00,26.38,26.69,26.27,26.42,5431665,26.38,26.69,26.27,26.42,5431665,0.0,1.0,36124817716.54,41482817716.54,79.9393939394,5.0997916239,1.9984848485
4,2017-05-10 00:00:00+00:00,26.46,26.5,26.24,26.35,4490466,26.46,26.5,26.24,26.35,4490466,0.0,1.0,36234369855.18,41592369855.18,80.1818181818,5.1152572543,2.0045454545
5,2017-05-11 00:00:00+00:00,26.37,26.47,26.14,26.37,6178411,26.37,26.47,26.14,26.37,6178411,0.0,1.0,36111123699.21,41469123699.21,79.9090909091,5.0978584201,1.9977272727
6,2017-05-12 00:00:00+00:00,26.23,26.49,26.17,26.34,6158160,26.23,26.49,26.17,26.34,6158160,0.0,1.0,35919407456.59,41277407456.59,79.4848484848,5.0707935669,1.9871212121
7,2017-05-15 00:00:00+00:00,26.42,26.46,26.16,26.23,8174166,26.42,26.46,26.16,26.23,8174166,0.0,1.0,36179593785.86,41537593785.86,80.0606060606,5.1075244391,2.0015151515
8,2017-05-16 00:00:00+00:00,26.48,26.76,26.39,26.45,10517902,26.48,26.76,26.39,26.45,10517902,0.0,1.0,36261757889.84,41619757889.84,80.2424242424,5.1191236619,2.0060606061
9,2017-05-17 00:00:00+00:00,25.94,26.48,25.93,26.48,7716922,25.94,26.48,25.93,26.48,7716922,0.0,1.0,35522280954.02,40880280954.02,78.6060606061,5.0147306567,1.9651515152
10,2017-05-18 00:00:00+00:00,26.14,26.23,25.88,25.95,5669493,26.14,26.23,25.88,25.95,5669493,0.0,1.0,35796161300.62,41154161300.62,79.2121212121,5.0533947327,1.9803030303
11,2017-05-19 00:00:00+00:00,26.41,26.56,26.18,26.18,7921279,26.41,26.56,26.18,26.18,7921279,0.0,1.0,36165899768.53,41523899768.53,80.0303030303,5.1055912353,2.0007575758
12,2017-05-22 00:00:00+00:00,26.8,26.97,26.39,26.41,7684953,26.8,26.97,26.39,26.41,7684953,0.0,1.0,36699966444.4,42057966444.4,81.2121212121,5.1809861835,2.0303030303
13,2017-05-23 00:00:00+00:00,26.67,26.87,26.61,26.78,4190840,26.67,26.87,26.61,26.78,4190840,0.0,1.0,36521944219.11,41879944219.11,80.8181818182,5.1558545341,2.0204545455
14,2017-05-24 00:00:00+00:00,27.05,27.09,26.69,26.75,5639987,27.05,27.09,26.69,26.75,5639987,0.0,1.0,37042316877.65,42400316877.65,81.9696969697,5.2293162785,2.0492424242
15,2017-05-25 00:00:00+00:00,27.26,27.39,27.04,27.13,4693616,27.26,27.39,27.04,27.13,4693616,0.0,1.0,37329891241.58,42687891241.58,82.6060606061,5.2699135583,2.0651515152
16,2017-05-26 00:00:00+00:00,27.32,27.52,27.19,27.26,4799311,27.32,27.52,27.19,27.26,4799311,0.0,1.0,37412055345.56,42770055345.56,82.7878787879,5.2815127811,2.0696969697
17,2017-05-30 00:00:00+00:00,27.36,27.42,27.15,27.24,4060680,27.36,27.42,27.15,27.24,4060680,0.0,1.0,37466831414.88,42824831414.88,82.9090909091,5.2892455963,2.0727272727
18,2017-05-31 00:00:00+00:00,27.03,27.46,26.89,27.46,12827925,27.03,27.46,26.89,27.46,12827925,0.0,1.0,37014928842.99,42372928842.99,81.9090909091,5.2254498709,2.0477272727
19,2017-06-01 00:00:00+00:00,27.61,27.7,27.1,27.1,13246673,27.61,27.7,27.1,27.1,13246673,0.0,1.0,37809181848.13,43167181848.13,83.6666666667,5.3375756913,2.0916666667
20,2017-06-02 00:00:00+00:00,27.6,27.78,27.57,27.62,6428253,27.6,27.78,27.57,27.62,6428253,0.0,1.0,37795487830.8,43153487830.8,83.6363636364,5.3356424875,2.0909090909
21,2017-06-05 00:00:00+00:00,27.51,27.7,27.44,27.58,4487543,27.51,27.7,27.44,27.58,4487543,0.0,1.0,37672241674.83,43030241674.83,83.3636363636,5.3182436533,2.0840909091
22,2017-06-06 00:00:00+00:00,27.5,27.6,27.34,27.38,3764227,27.5,27.6,27.34,27.38,3764227,0.0,1.0,37658547657.5,43016547657.5,83.3333333333,5.3163104495,2.0833333333
23,2017-06-07 00:00:00+00:00,27.84,27.84,27.54,27.61,4455350,27.84,27.84,27.54,27.61,4455350,0.0,1.0,38124144246.72,43482144246.72,84.3636363636,5.3820393786,2.1090909091
24,2017-06-08 00:00:00+00:00,27.91,27.95,27.76,27.84,6634156,27.91,27.95,27.76,27.84,6634156,0.0,1.0,38220002368.03,43578002368.03,84.5757575758,5.3955718052,2.1143939394
25,2017-06-09 00:00:00+00:00,27.82,28.2,27.69,27.99,6083875,27.82,28.2,27.69,27.99,6083875,0.0,1.0,38096756212.06,43454756212.06,84.303030303,5.378172971,2.1075757576
26,2017-06-12 00:00:00+00:00,27.75,27.82,27.32,27.75,8737506,27.75,27.82,27.32,27.75,8737506,0.0,1.0,38000898090.75,43358898090.75,84.0909090909,5.3646405444,2.1022727273
27,2017-06-13 00:00:00+00:00,27.92,28.02,27.73,27.8,5087526,27.92,28.02,27.73,27.8,5087526,0.0,1.0,38233696385.36,43591696385.36,84.6060606061,5.397505009,2.1151515152
28,2017-06-14 00:00:00+00:00,27.82,28.1,27.7,28.01,3727276,27.82,28.1,27.7,28.01,3727276,0.0,1.0,38096756212.06,43454756212.06,84.303030303,5.378172971,2.1075757576
29,2017-06-15 00:00:00+00:00,27.75,27.84,27.57,27.77,3982483,27.75,27.84,27.57,27.77,3982483,0.0,1.0,38000898090.75,43358898090.75,84.0909090909,5.3646405444,2.1022727273
