,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,32.76,32.92,32.63,32.74,1214377,32.76,32.92,32.63,32.74,1214377,0.0,1.0,9159728760.0,9309309760.0,41.4683544304,10.8643342311,0.8812025316
1,2017-05-05 00:00:00+00:00,33.04,33.06,32.78,32.86,1171558,33.04,33.06,32.78,32.86,1171558,0.0,1.0,9238017040.0,9387598040.0,41.8227848101,10.9571917886,0.8887341772
2,2017-05-08 00:00:00+00:00,32.83,33.02,32.78,33.0,1460758,32.83,33.02,32.78,33.0,1460758,0.0,1.0,9179300830.0,9328881830.0,41.5569620253,10.8875486205,0.883085443
3,2017-05-09 00:00:00+00:00,33.0,33.14,32.87,32.93,1402625,33.0,33.14,32.87,32.93,1402625,0.0,1.0,9226833000.0,9376414000.0,41.7721518987,10.9439264233,0.8876582278
4,2017-05-10 00:00:00+00:00,32.93,33.09,32.86,33.03,1216005,32.93,33.09,32.86,33.03,1216005,0.0,1.0,9207260930.0,9356841930.0,41.6835443038,10.9207120339,0.8857753165
5,2017-05-11 00:00:00+00:00,32.99,32.99,32.68,32.86,1631398,32.99,32.99,32.68,32.86,1631398,0.0,1.0,9224036990.0,9373617990.0,41.7594936709,10.9406100819,0.8873892405
6,2017-05-12 00:00:00+00:00,32.89,33.1,32.74,33.02,916760,32.89,33.1,32.74,33.02,916760,0.0,1.0,9196076890.0,9345657890.0,41.6329113924,10.9074466685,0.8846993671
7,2017-05-15 00:00:00+00:00,33.15,33.19,32.93,33.06,1405859,33.15,33.19,32.93,33.06,1405859,0.0,1.0,9268773150.0,9418354150.0,41.9620253165,10.9936715434,0.891693038
8,2017-05-16 00:00:00+00:00,33.24,33.31,33.03,33.25,1674597,33.24,33.31,33.03,33.25,1674597,0.0,1.0,9293937240.0,9443518240.0,42.0759493671,11.0235186155,0.8941139241
9,2017-05-17 00:00:00+00:00,32.39,33.05,32.39,32.92,1555494,32.39,33.05,32.39,32.92,1555494,0.0,1.0,9056276390.0,9205857390.0,41.0,10.7416296015,0.87125
10,2017-05-18 00:00:00+00:00,32.32,32.7,32.07,32.28,2741771,32.32,32.7,32.07,32.28,2741771,0.0,1.0,9036704320.0,9186285320.0,40.9113924051,10.7184152121,0.8693670886
11,2017-05-19 00:00:00+00:00,32.78,32.88,32.38,32.61,2155424,32.78,32.88,32.38,32.61,2155424,0.0,1.0,9165320780.0,9314901780.0,41.4936708861,10.8709669138,0.8817405063
12,2017-05-22 00:00:00+00:00,33.53,33.56,32.77,32.89,2465730,33.53,33.56,32.77,32.89,2465730,0.0,1.0,9375021530.0,9524602530.0,42.4430379747,11.1196925143,0.901914557
13,2017-05-23 00:00:00+00:00,34.02,34.12,33.31,33.57,3026051,34.02,34.12,33.31,33.57,3026051,0.0,1.0,9512026020.0,9661607020.0,43.0632911392,11.28219324,0.9150949367
14,2017-05-24 00:00:00+00:00,34.27,34.31,33.8,34.06,2716502,34.27,34.31,33.8,34.06,2716502,0.0,1.0,9581926270.0,9731507270.0,43.3797468354,11.3651017735,0.9218196203
15,2017-05-25 00:00:00+00:00,34.76,34.87,34.3,34.32,2104930,34.76,34.87,34.3,34.32,2104930,0.0,1.0,9718930760.0,9868511760.0,44.0,11.5276024992,0.935
16,2017-05-26 00:00:00+00:00,34.93,35.29,34.57,34.7,2225636,34.93,35.29,34.57,34.7,2225636,0.0,1.0,9766462930.0,9916043930.0,44.2151898734,11.583980302,0.9395727848
17,2017-05-30 00:00:00+00:00,34.93,35.12,34.71,34.87,1547254,34.93,35.12,34.71,34.87,1547254,0.0,1.0,9766462930.0,9916043930.0,44.2151898734,11.583980302,0.9395727848
18,2017-05-31 00:00:00+00:00,35.14,35.4,34.83,34.99,4453529,35.14,35.4,34.83,34.99,4453529,0.0,1.0,9825179140.0,9974760140.0,44.4810126582,11.6536234701,0.945221519
19,2017-06-01 00:00:00+00:00,34.98,35.43,34.71,35.15,2143955,34.98,35.43,34.71,35.15,2143955,0.0,1.0,9780442980.0,9930023980.0,44.2784810127,11.6005620087,0.9409177215
20,2017-06-02 00:00:00+00:00,35.27,35.43,35.03,35.03,1718056,35.27,35.43,35.03,35.03,1718056,0.0,1.0,9861527270.0,10011108270.0,44.6455696203,11.6967359076,0.9487183544
21,2017-06-05 00:00:00+00:00,35.52,35.65,35.31,35.31,1192074,35.52,35.65,35.31,35.31,1192074,0.0,1.0,9931427520.0,10081008520.0,44.9620253165,11.7796444411,0.955443038
22,2017-06-06 00:00:00+00:00,35.41,35.6,35.28,35.4,1350637,35.41,35.6,35.28,35.4,1350637,0.0,1.0,9900671410.0,10050252410.0,44.8227848101,11.7431646863,0.9524841772
23,2017-06-07 00:00:00+00:00,35.35,35.61,35.2,35.48,1546257,35.35,35.61,35.2,35.48,1546257,0.0,1.0,9883895350.0,10033476350.0,44.746835443,11.7232666383,0.9508702532
24,2017-06-08 00:00:00+00:00,35.44,35.54,35.2,35.41,1068501,35.44,35.54,35.2,35.41,1068501,0.0,1.0,9909059440.0,10058640440.0,44.8607594937,11.7531137103,0.9532911392
25,2017-06-09 00:00:00+00:00,34.72,35.69,34.19,35.53,1373043,34.72,35.69,34.19,35.53,1373043,0.0,1.0,9707746720.0,9857327720.0,43.9493670886,11.5143371338,0.9339240506
26,2017-06-12 00:00:00+00:00,34.23,34.52,33.56,34.47,3361303,34.23,34.52,33.56,34.47,3361303,0.0,1.0,9570742230.0,9720323230.0,43.3291139241,11.3518364082,0.9207436709
27,2017-06-13 00:00:00+00:00,34.4,34.74,34.35,34.46,2116096,34.4,34.74,34.35,34.46,2116096,0.0,1.0,9618274400.0,9767855400.0,43.5443037975,11.4082142109,0.9253164557
28,2017-06-14 00:00:00+00:00,34.34,34.69,33.96,34.55,1247062,34.34,34.69,33.96,34.55,1247062,0.0,1.0,9601498340.0,9751079340.0,43.4683544304,11.3883161629,0.9237025316
29,2017-06-15 00:00:00+00:00,34.15,34.49,33.65,33.97,1163761,34.15,34.49,33.65,33.97,1163761,0.0,1.0,9548374150.0,9697955150.0,43.2278481013,11.3253056774,0.9185917722
30,2017-06-16 00:00:00+00:00,34.18,34.37,33.9,34.08,2178822,34.18,34.37,33.9,34.08,2178822,0.0,1.0,9556762180.0,9706343180.0,43.2658227848,11.3352547014,0.9193987342
31,2017-06-19 00:00:00+00:00,34.26,34.49,34.04,34.31,2754314,34.26,34.49,34.04,34.31,2754314,0.0,1.0,9579130260.0,9728711260.0,43.3670886076,11.3617854322,0.9215506329
