,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,124.46,124.73,123.63,123.69,2391308,124.46,124.73,123.63,123.69,2391308,0.0,1.0,97181396734.1,106192396734.1,45.4233576642,12.6668899765,0.3843514879
1,2017-05-05 00:00:00+00:00,122.41,124.15,121.7,123.97,3898923,122.41,124.15,121.7,123.97,3898923,0.0,1.0,95580706847.35,104591706847.35,44.6751824818,12.4582516634,0.3780207748
2,2017-05-08 00:00:00+00:00,118.36,122.52,117.31,122.09,6126682,118.36,122.52,117.31,122.09,6126682,0.0,1.0,92418368290.6,101429368290.6,43.197080292,12.0460637765,0.3655137563
3,2017-05-09 00:00:00+00:00,120.1,120.21,118.59,118.81,4294441,120.1,120.21,118.59,118.81,4294441,0.0,1.0,93777002633.5,102788002633.5,43.8321167883,12.2231519057,0.3708871421
4,2017-05-10 00:00:00+00:00,119.68,120.47,118.92,120.04,3201417,119.68,120.47,118.92,120.04,3201417,0.0,1.0,93449056412.8,102460056412.8,43.6788321168,12.1804064952,0.3695901179
5,2017-05-11 00:00:00+00:00,119.52,119.58,118.26,119.07,2573716,119.52,119.58,118.26,119.07,2573716,0.0,1.0,93324124519.2,102335124519.2,43.6204379562,12.1641225293,0.3690960135
6,2017-05-12 00:00:00+00:00,119.32,120.2,118.9,119.85,2615522,119.32,120.2,118.9,119.85,2615522,0.0,1.0,93167959652.2,102178959652.2,43.5474452555,12.1437675719,0.3684783829
7,2017-05-15 00:00:00+00:00,119.04,119.54,118.68,119.33,2942800,119.04,119.54,118.68,119.33,2942800,0.0,1.0,92949328838.4,101960328838.4,43.4452554745,12.1152706316,0.3676137002
8,2017-05-16 00:00:00+00:00,119.36,119.84,118.55,119.17,2991441,119.36,119.84,118.55,119.17,2991441,0.0,1.0,93199192625.6,102210192625.6,43.5620437956,12.1478385634,0.368601909
9,2017-05-17 00:00:00+00:00,117.1,118.8,117.0,118.45,3630148,117.1,118.8,117.0,118.45,3630148,0.0,1.0,91434529628.5,100445529628.5,42.7372262774,11.917827545,0.3616226839
10,2017-05-18 00:00:00+00:00,117.4,119.09,117.07,117.07,3623018,117.4,119.09,117.07,117.07,3623018,0.0,1.0,91668776929.0,100679776929.0,42.8467153285,11.9483599811,0.3625491297
