,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,70.96,71.76,70.58,71.26,814207,65.2103848524,65.9455639375,64.8611747869,65.4860770093,814207,0.0,1.0,10739377316.075,11038377316.075,19.3351498638,1.6108540998,2.7552588556
1,2017-05-05 00:00:00+00:00,70.83,71.33,70.53,71.29,565781,65.090918251,65.5504051793,64.8152260941,65.513646225,565781,0.0,1.0,10719702583.1115,11018702583.1115,19.2997275204,1.607902986,2.7502111717
2,2017-05-08 00:00:00+00:00,69.92,71.0,69.89,70.9,427031,64.2546520417,65.2471438066,64.227082826,65.155246421,427031,0.0,1.0,10581979452.367,10880979452.367,19.0517711172,1.5872451896,2.7148773842
3,2017-05-09 00:00:00+00:00,68.99,70.22,68.78,70.03,621219,63.4000063552,64.5303441986,63.2070218454,64.3557391659,621219,0.0,1.0,10441229439.6282,10740229439.6282,18.7983651226,1.5661333758,2.67876703
4,2017-05-10 00:00:00+00:00,69.21,69.66,68.88,68.97,699927,63.6021806036,64.015718839,63.298919231,63.3816268781,699927,0.0,1.0,10474525141.5664,10773525141.5664,18.8583106267,1.5711275683,2.6873092643
5,2017-05-11 00:00:00+00:00,69.38,69.61,68.79,68.87,588049,63.7584061592,63.9697701462,63.2162115839,63.2897294924,588049,0.0,1.0,10500253638.5186,10799253638.5186,18.9046321526,1.5749867171,2.6939100817
6,2017-05-12 00:00:00+00:00,69.06,69.8,69.0,69.07,505029,63.4643345252,64.1443751789,63.4091960938,63.4735242637,505029,0.0,1.0,10451823526.6085,10750823526.6085,18.8174386921,1.567722437,2.6814850136
7,2017-05-15 00:00:00+00:00,69.62,69.81,69.08,69.08,589857,63.9789598848,64.1535649175,63.4827140023,63.4827140023,589857,0.0,1.0,10536576222.4513,10835576222.4513,18.970027248,1.5804349271,2.7032288828
8,2017-05-16 00:00:00+00:00,69.33,69.77,69.23,69.61,347033,63.7124574664,64.1168059632,63.6205600808,63.9697701462,347033,0.0,1.0,10492686433.5327,10791686433.5327,18.8910081744,1.5738516733,2.6919686649
9,2017-05-17 00:00:00+00:00,68.69,69.0,68.5,68.58,741979,63.1243141983,63.4091960938,62.9497091656,63.0232270741,741979,0.0,1.0,10395826209.7124,10694826209.7124,18.7166212534,1.5593231132,2.6671185286
10,2017-05-18 00:00:00+00:00,68.98,69.555,68.49,68.76,722159,63.3908166166,63.9192265841,62.940519427,63.1886423682,722159,0.0,1.0,10439715998.631,10738715998.631,18.795640327,1.565906367,2.6783787466
11,2017-05-19 00:00:00+00:00,69.04,69.555,68.77,69.15,518093,63.445955048,63.9192265841,63.1978321068,63.5470421722,518093,0.0,1.0,10448796644.6141,10747796644.6141,18.8119891008,1.5672684195,2.6807084469
12,2017-05-22 00:00:00+00:00,69.53,69.65,69.06,69.25,347340,63.8962522377,64.0065291005,63.4643345252,63.6389395579,347340,0.0,1.0,10522955253.4765,10821955253.4765,18.9455040872,1.5783918483,2.6997343324
13,2017-05-23 00:00:00+00:00,69.57,69.83,69.31,69.73,405329,63.9330111919,64.1719443946,63.6940779893,64.080047009,405329,0.0,1.0,10529009017.4653,10828009017.4653,18.9564032698,1.5792998833,2.7012874659
14,2017-05-24 00:00:00+00:00,69.7,69.975,69.49,69.79,302779,64.0524777933,64.3051956038,63.8594932834,64.1351854404,302779,0.0,1.0,10548683750.4288,10847683750.4288,18.9918256131,1.5822509971,2.7063351499
15,2017-05-25 00:00:00+00:00,70.45,70.52,69.74,69.82,485037,64.7417081856,64.8060363556,64.0892367475,64.1627546561,485037,0.0,1.0,10662191825.2182,10961191825.2182,19.1961852861,1.5992766535,2.7354564033
16,2017-05-26 00:00:00+00:00,69.91,70.45,69.845,70.33,434944,64.2454623031,64.7417081856,64.1857290025,64.6314313228,434944,0.0,1.0,10580466011.3698,10879466011.3698,19.0490463215,1.5870181809,2.7144891008
17,2017-05-30 00:00:00+00:00,69.53,69.77,69.14,69.66,483469,63.8962522377,64.1168059632,63.5378524337,64.015718839,483469,0.0,1.0,10522955253.4765,10821955253.4765,18.9455040872,1.5783918483,2.6997343324
18,2017-05-31 00:00:00+00:00,70.08,70.17,69.36,69.81,714400,64.4016878587,64.4843955058,63.7400266821,64.1535649175,714400,0.0,1.0,10606194508.3221,10905194508.3221,19.0953678474,1.5908773297,2.7210899183
19,2017-06-01 00:00:00+00:00,70.93,70.93,69.9,69.99,548005,65.1828156367,65.1828156367,64.2362725646,64.3189802116,548005,0.0,1.0,10734836993.0834,11033836993.0834,19.3269754768,1.6101730735,2.7540940054
20,2017-06-02 00:00:00+00:00,70.72,71.03,70.545,70.89,480955,64.9898311268,65.2747130223,64.829010702,65.1460566824,480955,0.0,1.0,10703054732.1424,11002054732.1424,19.2697547684,1.6054058897,2.7459400545
21,2017-06-05 00:00:00+00:00,70.34,70.86,70.29,70.52,455866,64.6406210614,65.1184874667,64.5946723686,64.8060363556,455866,0.0,1.0,10645543974.2491,10944543974.2491,19.1662125341,1.5967795572,2.7311852861
22,2017-06-06 00:00:00+00:00,69.48,70.34,69.44,69.95,492891,63.8503035449,64.6406210614,63.8135445906,64.2822212574,492891,0.0,1.0,10515388048.4906,10814388048.4906,18.931880109,1.5772568046,2.6977929155
23,2017-06-07 00:00:00+00:00,69.56,69.74,69.29,69.72,620867,63.9238214534,64.0892367475,63.6756985121,64.0708572704,620867,0.0,1.0,10527495576.4681,10826495576.4681,18.9536784741,1.5790728746,2.7008991826
24,2017-06-08 00:00:00+00:00,70.46,70.56,69.6,69.73,536565,64.7508979242,64.8427953098,63.9605804076,64.080047009,536565,0.0,1.0,10663705266.2154,10962705266.2154,19.1989100817,1.5995036622,2.7358446866
25,2017-06-09 00:00:00+00:00,71.78,71.81,70.61,70.61,522407,65.9639434147,65.9915126303,64.8887440026,64.8887440026,522407,0.0,1.0,10863479477.8447,11162479477.8447,19.5585831063,1.6294688174,2.7870980926
26,2017-06-12 00:00:00+00:00,73.02,73.09,71.6201,71.72,714206,67.1034709966,67.1677991666,65.816999495,65.9088049833,714206,0.0,1.0,11051146161.4966,11350146161.4966,19.8964577657,1.6576179026,2.8352452316
27,2017-06-13 00:00:00+00:00,72.88,73.3,72.5201,73.3,494978,66.9748146567,67.3607836764,66.6440759658,67.3607836764,494978,0.0,1.0,11029957987.5359,11328957987.5359,19.8583106267,1.65443978,2.8298092643
28,2017-06-14 00:00:00+00:00,73.05,73.25,72.43,72.71,393984,67.1310402123,67.3148349836,66.5612764213,66.8185891011,393984,0.0,1.0,11055686484.4881,11354686484.4881,19.9046321526,1.6582989288,2.8364100817
29,2017-06-15 00:00:00+00:00,73.89,73.96,72.57,72.57,389281,67.9029782517,67.9673064217,66.6899327612,66.6899327612,389281,0.0,1.0,11182815528.2523,11481815528.2523,20.1335149864,1.6773676639,2.8690258856
30,2017-06-16 00:00:00+00:00,73.75,73.98,73.32,73.93,865374,67.7743219118,67.9856858988,67.3791631536,67.939737206,865374,0.0,1.0,11161627354.2916,11460627354.2916,20.0953678474,1.6741895414,2.8635899183
31,2017-06-19 00:00:00+00:00,73.1,73.54,72.84,73.42,462040,67.6364758334,68.0435900518,67.3959083407,67.9325589013,462040,0.5,1.0,11138925739.3337,11437925739.3337,19.9182561308,1.6594339726,2.8383514986
