,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,472.4,481.95,470.85,480.48,782400,472.4,481.95,470.85,480.48,782400,0.0,1.0,13540415844.4,13418002844.4,143.5866261398,9.6555178451,-0.5095009315
1,2017-05-05 00:00:00+00:00,475.3,475.8,466.48,472.59,953618,475.3,475.8,466.48,472.59,953618,0.0,1.0,13623538634.3,13501125634.3,144.4680851064,9.7147917693,-0.5126286891
2,2017-05-08 00:00:00+00:00,471.15,476.16,468.07,475.66,565700,471.15,476.16,468.07,475.66,565700,0.0,1.0,13504587055.65,13382174055.65,143.2066869301,9.6299687399,-0.5081527601
3,2017-05-09 00:00:00+00:00,479.13,480.64,471.97,472.29,812868,479.13,480.64,471.97,472.29,812868,0.0,1.0,13733318043.03,13610905043.03,145.632218845,9.7930742277,-0.5167594862
4,2017-05-10 00:00:00+00:00,486.42,488.06,477.81,479.84,773884,486.42,488.06,477.81,479.84,773884,0.0,1.0,13942271539.02,13819858539.02,147.8480243161,9.9420766093,-0.5246220218
5,2017-05-11 00:00:00+00:00,488.52,491.6,481.35,485.9,681646,488.52,491.6,481.35,485.9,681646,0.0,1.0,14002463904.12,13880050904.12,148.4863221885,9.9849991061,-0.5268869497
6,2017-05-12 00:00:00+00:00,489.33,495.97,488.47,490.46,730183,489.33,495.97,488.47,490.46,730183,0.0,1.0,14025680959.23,13903267959.23,148.7325227964,10.0015549263,-0.5277605648
7,2017-05-15 00:00:00+00:00,495.31,495.95,485.46,488.75,716066,495.31,495.95,485.46,488.75,716066,0.0,1.0,14197085884.61,14074672884.61,150.5501519757,10.1237818456,-0.5342102167
8,2017-05-16 00:00:00+00:00,496.14,499.0,491.0,496.58,911342,496.14,499.0,491.0,496.58,911342,0.0,1.0,14220876200.34,14098463200.34,150.8024316109,10.1407464515,-0.5351054025
9,2017-05-17 00:00:00+00:00,479.83,496.14,478.97,496.14,798212,479.83,496.14,478.97,496.14,798212,0.0,1.0,13753382164.73,13630969164.73,145.8449848024,9.8073817266,-0.5175144622
10,2017-05-18 00:00:00+00:00,484.74,486.32,476.04,479.15,626627,484.74,486.32,476.04,479.15,626627,0.0,1.0,13894117646.94,13771704646.94,147.3373860182,9.9077386119,-0.5228100794
11,2017-05-19 00:00:00+00:00,484.99,489.66,483.62,487.85,584123,484.99,489.66,483.62,487.85,584123,0.0,1.0,13901283404.69,13778870404.69,147.4133738602,9.9128484329,-0.5230797137
12,2017-05-22 00:00:00+00:00,482.79,485.78,476.59,485.17,612679,482.79,485.78,476.59,485.17,612679,0.0,1.0,13838224736.49,13715811736.49,146.7446808511,9.8678820077,-0.5207069321
13,2017-05-23 00:00:00+00:00,475.0,484.56,474.0,484.56,540039,475.0,484.56,474.0,484.56,540039,0.0,1.0,13614939725.0,13492526725.0,144.376899696,9.708659984,-0.512305128
14,2017-05-24 00:00:00+00:00,478.8,480.0,474.29,476.43,418965,478.8,480.0,474.29,476.43,418965,0.0,1.0,13723859242.8,13601446242.8,145.5319148936,9.7863292639,-0.516403569
15,2017-05-25 00:00:00+00:00,481.39,484.86,480.0,483.45,651918,481.39,484.86,480.0,483.45,651918,0.0,1.0,13798096493.09,13675683493.09,146.3191489362,9.8392670099,-0.5191969801
16,2017-05-26 00:00:00+00:00,480.15,483.25,478.94,483.01,477673,480.15,483.25,478.94,483.01,477673,0.0,1.0,13762554334.65,13640141334.65,145.9422492401,9.8139222975,-0.5178595941
17,2017-05-30 00:00:00+00:00,475.7,477.85,472.42,475.28,604076,475.7,477.85,472.42,475.28,604076,0.0,1.0,13635003846.7,13512590846.7,144.5896656535,9.7229674829,-0.5130601039
18,2017-05-31 00:00:00+00:00,477.35,478.0,471.53,476.92,639940,477.35,478.0,471.53,476.92,639940,0.0,1.0,13682297847.85,13559884847.85,145.0911854103,9.7566923018,-0.5148396902
