,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,37.51,37.59,37.02,37.36,936275,37.51,37.59,37.02,37.36,936275,0.0,1.0,6093312400.12,5998712400.12,11.1970149254,3.8202585581,-0.0999733475
1,2017-05-05 00:00:00+00:00,38.1,38.14,37.4,37.59,1830730,38.1,38.14,37.4,37.59,1830730,0.0,1.0,6189154957.2,6094554957.2,11.3731343284,3.8803479355,-0.1015458422
2,2017-05-08 00:00:00+00:00,38.24,38.54,38.14,38.31,1760625,38.24,38.54,38.14,38.31,1760625,0.0,1.0,6211897258.88,6117297258.88,11.4149253731,3.8946064319,-0.1019189765
3,2017-05-09 00:00:00+00:00,38.65,38.97,38.16,38.29,1292003,38.65,38.97,38.16,38.29,1292003,0.0,1.0,6278499713.8,6183899713.8,11.5373134328,3.9363634569,-0.1030117271
4,2017-05-10 00:00:00+00:00,38.23,38.67,37.53,38.35,2634074,38.23,38.67,37.53,38.35,2634074,0.0,1.0,6210272808.76,6115672808.76,11.4119402985,3.8935879679,-0.1018923241
5,2017-05-11 00:00:00+00:00,37.18,38.09,36.66,38.08,2417712,37.18,38.09,36.66,38.08,2417712,0.0,1.0,6039705546.16,5945105546.16,11.0985074627,3.7866492452,-0.0990938166
6,2017-05-12 00:00:00+00:00,36.74,37.13,36.41,36.95,2261970,36.74,37.13,36.41,36.95,2261970,0.0,1.0,5968229740.88,5873629740.88,10.9671641791,3.7418368281,-0.0979211087
7,2017-05-15 00:00:00+00:00,36.47,36.92,36.34,36.75,2300046,36.47,36.92,36.34,36.75,2300046,0.0,1.0,5924369587.64,5829769587.64,10.8865671642,3.7143382995,-0.0972014925
8,2017-05-16 00:00:00+00:00,35.95,36.42,35.62,36.4,2211000,35.95,36.42,35.62,36.4,2211000,0.0,1.0,5839898181.4,5745298181.4,10.7313432836,3.6613781702,-0.095815565
9,2017-05-17 00:00:00+00:00,35.82,36.28,35.64,35.95,1761577,35.82,36.28,35.64,35.95,1761577,0.0,1.0,5818780329.84,5724180329.84,10.6925373134,3.6481381378,-0.0954690832
