,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,30.52,30.55,30.15,30.31,803851,30.52,30.55,30.15,30.31,803851,0.0,1.0,7010296222.16,7387581222.16,16.9555555556,6.9662070974,1.1529777778
1,2017-05-05 00:00:00+00:00,30.65,30.66,30.28,30.58,1240676,30.65,30.66,30.28,30.58,1240676,0.0,1.0,7040156592.7,7417441592.7,17.0277777778,6.9958796703,1.1578888889
2,2017-05-08 00:00:00+00:00,30.5,30.77,30.43,30.63,701928,30.5,30.77,30.43,30.63,701928,0.0,1.0,7005702319.0,7382987319.0,16.9444444444,6.9616420862,1.1522222222
3,2017-05-09 00:00:00+00:00,30.41,30.67,30.34,30.53,611483,30.41,30.67,30.34,30.53,611483,0.0,1.0,6985029754.78,7362314754.78,16.8944444444,6.9410995358,1.1488222222
4,2017-05-10 00:00:00+00:00,30.17,30.51,30.02,30.32,866150,30.17,30.51,30.02,30.32,866150,0.0,1.0,6929902916.86,7307187916.86,16.7611111111,6.8863194014,1.1397555556
5,2017-05-11 00:00:00+00:00,29.92,30.2,29.64,30.1,938309,29.92,30.2,29.64,30.1,938309,0.0,1.0,6872479127.36,7249764127.36,16.6222222222,6.8292567613,1.1303111111
6,2017-05-12 00:00:00+00:00,29.89,29.94,29.75,29.9,469041,29.89,29.94,29.75,29.9,469041,0.0,1.0,6865588272.62,7242873272.62,16.6055555556,6.8224092445,1.1291777778
7,2017-05-15 00:00:00+00:00,29.98,30.22,29.79,29.89,794427,29.98,30.22,29.79,29.89,794427,0.0,1.0,6886260836.84,7263545836.84,16.6555555556,6.8429517949,1.1325777778
8,2017-05-16 00:00:00+00:00,29.97,30.13,29.76,29.95,701158,29.97,30.13,29.76,29.95,701158,0.0,1.0,6883963885.26,7261248885.26,16.65,6.8406692893,1.1322
9,2017-05-17 00:00:00+00:00,29.18,29.86,29.17,29.69,1138990,29.18,29.86,29.17,29.69,1138990,0.0,1.0,6702504710.44,7079789710.44,16.2111111111,6.6603513468,1.1023555556
10,2017-05-18 00:00:00+00:00,29.34,29.55,29.09,29.19,771370,29.34,29.55,29.09,29.19,771370,0.0,1.0,6739255935.72,7116540935.72,16.3,6.6968714364,1.1084
11,2017-05-19 00:00:00+00:00,29.31,29.41,28.89,29.24,1833084,29.31,29.41,28.89,29.24,1833084,0.0,1.0,6732365080.98,7109650080.98,16.2833333333,6.6900239196,1.1072666667
12,2017-05-22 00:00:00+00:00,29.7,29.76,29.37,29.39,1005124,29.7,29.76,29.37,29.39,1005124,0.0,1.0,6821946192.6,7199231192.6,16.5,6.7790416381,1.122
13,2017-05-23 00:00:00+00:00,30.02,30.11,29.75,29.85,1121019,30.02,30.11,29.75,29.85,1121019,0.0,1.0,6895448643.16,7272733643.16,16.6777777778,6.8520818173,1.1340888889
14,2017-05-24 00:00:00+00:00,29.98,30.08,29.81,29.98,1075474,29.98,30.08,29.81,29.98,1075474,0.0,1.0,6886260836.84,7263545836.84,16.6555555556,6.8429517949,1.1325777778
15,2017-05-25 00:00:00+00:00,31.41,31.67,29.93,30.0,3495080,31.41,31.67,29.93,30.0,3495080,0.0,1.0,7234703808.66,7611988808.66,17.45,7.169350096,1.1866
16,2017-05-26 00:00:00+00:00,31.05,31.6,30.99,31.38,1987113,31.05,31.6,30.99,31.38,1987113,0.0,1.0,7151784567.3,7529069567.3,17.25,7.0871798943,1.173
17,2017-05-30 00:00:00+00:00,30.89,31.44,30.88,31.1,1271560,30.89,31.44,30.88,31.1,1271560,0.0,1.0,7114931571.14,7492216571.14,17.1611111111,7.0506598047,1.1669555556
18,2017-05-31 00:00:00+00:00,31.19,31.28,30.57,31.02,1141771,31.19,31.28,30.57,31.02,1141771,0.0,1.0,7184030938.94,7561315938.94,17.3277777778,7.1191349728,1.1782888889
19,2017-06-01 00:00:00+00:00,31.79,31.79,31.34,31.36,1297177,31.79,31.79,31.34,31.36,1297177,0.0,1.0,7322229674.54,7699514674.54,17.6611111111,7.2560853089,1.2009555556
20,2017-06-02 00:00:00+00:00,31.72,32.0,31.46,31.79,870761,31.72,32.0,31.46,31.79,870761,0.0,1.0,7306106488.72,7683391488.72,17.6222222222,7.2401077697,1.1983111111
21,2017-06-05 00:00:00+00:00,31.29,31.74,31.29,31.64,913448,31.29,31.74,31.29,31.64,913448,0.0,1.0,7207064061.54,7584349061.54,17.3833333333,7.1419600288,1.1820666667
22,2017-06-06 00:00:00+00:00,30.98,31.24,30.96,31.13,706015,30.98,31.24,30.96,31.13,706015,0.0,1.0,7135661381.48,7512946381.48,17.2111111111,7.0712023551,1.1703555556
23,2017-06-07 00:00:00+00:00,31.16,31.35,30.89,31.1,1186995,31.16,31.35,30.89,31.1,1186995,0.0,1.0,7177121002.16,7554406002.16,17.3111111111,7.112287456,1.1771555556
24,2017-06-08 00:00:00+00:00,31.07,31.38,31.04,31.24,1023164,31.07,31.38,31.04,31.24,1023164,0.0,1.0,7156391191.82,7533676191.82,17.2611111111,7.0917449056,1.1737555556
25,2017-06-09 00:00:00+00:00,31.35,31.4,31.05,31.09,856203,31.35,31.4,31.05,31.09,856203,0.0,1.0,7220883935.1,7598168935.1,17.4166666667,7.1556550624,1.1843333333
26,2017-06-12 00:00:00+00:00,31.44,31.61,31.16,31.3,1244965,31.44,31.61,31.16,31.3,1244965,0.0,1.0,7241613745.44,7618898745.44,17.4666666667,7.1761976128,1.1877333333
27,2017-06-13 00:00:00+00:00,31.57,31.68,31.4,31.58,1158656,31.57,31.68,31.4,31.58,1158656,0.0,1.0,7271556804.82,7648841804.82,17.5388888889,7.2058701857,1.1926444444
28,2017-06-14 00:00:00+00:00,31.5,31.76,31.34,31.64,842391,31.5,31.76,31.34,31.64,842391,0.0,1.0,7255433619.0,7632718619.0,17.5,7.1898926464,1.19
29,2017-06-15 00:00:00+00:00,31.45,31.49,31.1,31.18,811185,31.45,31.49,31.1,31.18,811185,0.0,1.0,7243917057.7,7621202057.7,17.4722222222,7.1784801184,1.1881111111
30,2017-06-16 00:00:00+00:00,31.24,31.5,31.14,31.43,1508596,31.24,31.5,31.14,31.43,1508596,0.0,1.0,7195547500.24,7572832500.24,17.3555555556,7.1305475008,1.1801777778
31,2017-06-19 00:00:00+00:00,31.58,31.78,31.28,31.44,1472793,31.58,31.78,31.28,31.44,1472793,0.0,1.0,7273860117.08,7651145117.08,17.5444444444,7.2081526913,1.1930222222
32,2017-06-20 00:00:00+00:00,31.18,31.53,31.08,31.53,1099138,31.18,31.53,31.08,31.53,1099138,0.0,1.0,7181727626.68,7559012626.68,17.3222222222,7.1168524672,1.1779111111
33,2017-06-21 00:00:00+00:00,30.99,31.3,30.85,31.3,1784661,30.99,31.3,30.85,31.3,1784661,0.0,1.0,7137964693.74,7515249693.74,17.2166666667,7.0734848607,1.1707333333
34,2017-06-22 00:00:00+00:00,31.27,31.34,30.84,30.99,979658,31.27,31.34,30.84,30.99,979658,0.0,1.0,7202457437.02,7579742437.02,17.3722222222,7.1373950176,1.1813111111
35,2017-06-23 00:00:00+00:00,31.54,31.57,31.22,31.27,1661697,31.54,31.57,31.22,31.27,1661697,0.0,1.0,7264646868.04,7641931868.04,17.5222222222,7.1990226688,1.1915111111
36,2017-06-26 00:00:00+00:00,31.45,31.59,31.4,31.54,1039201,31.45,31.59,31.4,31.54,1039201,0.0,1.0,7243917057.7,7621202057.7,17.4722222222,7.1784801184,1.1881111111
37,2017-06-27 00:00:00+00:00,31.28,31.58,31.26,31.46,1185871,31.28,31.58,31.26,31.46,1185871,0.0,1.0,7204760749.28,7582045749.28,17.3777777778,7.1396775232,1.1816888889
38,2017-06-28 00:00:00+00:00,31.51,31.72,31.12,31.44,990632,31.51,31.72,31.12,31.44,990632,0.0,1.0,7257736931.26,7635021931.26,17.5055555556,7.192175152,1.1903777778
39,2017-06-29 00:00:00+00:00,31.41,31.64,31.04,31.52,1078815,31.41,31.64,31.04,31.52,1078815,0.0,1.0,7234703808.66,7611988808.66,17.45,7.169350096,1.1866
40,2017-06-30 00:00:00+00:00,31.79,31.98,31.52,31.52,1436117,31.79,31.98,31.52,31.52,1436117,0.0,1.0,7322229674.54,7699514674.54,17.6611111111,7.2560853089,1.2009555556
41,2017-07-03 00:00:00+00:00,31.81,32.17,31.81,31.89,673988,31.81,32.17,31.81,31.89,673988,0.0,1.0,7326836299.06,7704121299.06,17.6722222222,7.2606503201,1.2017111111
42,2017-07-05 00:00:00+00:00,31.63,31.98,31.61,31.76,1809984,31.63,31.98,31.61,31.76,1809984,0.0,1.0,7285376678.38,7662661678.38,17.5722222222,7.2195652193,1.1949111111
