,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,86.52,87.13,86.29,86.75,2138432,86.52,87.13,86.29,86.75,2138432,0.0,1.0,61212900000.0,61007366000.0,206.0,7.7147889064,-2.06
1,2017-05-05 00:00:00+00:00,86.97,86.98,86.22,86.44,2586538,86.97,86.98,86.22,86.44,2586538,0.0,1.0,61531275000.0,61325741000.0,207.0714285714,7.7549143688,-2.0707142857
2,2017-05-08 00:00:00+00:00,86.86,87.17,86.62,86.93,2150315,86.86,87.17,86.62,86.93,2150315,0.0,1.0,61453450000.0,61247916000.0,206.8095238095,7.7451059224,-2.0680952381
3,2017-05-09 00:00:00+00:00,87.13,87.62,86.9,87.03,2883272,87.13,87.62,86.9,87.03,2883272,0.0,1.0,61644475000.0,61438941000.0,207.4523809524,7.7691811998,-2.0745238095
4,2017-05-10 00:00:00+00:00,87.31,87.62,86.9,87.38,2920685,87.31,87.62,86.9,87.38,2920685,0.0,1.0,61771825000.0,61566291000.0,207.880952381,7.7852313848,-2.0788095238
5,2017-05-11 00:00:00+00:00,87.71,87.95,86.57,87.38,2685988,87.71,87.95,86.57,87.38,2685988,0.0,1.0,62054825000.0,61849291000.0,208.8333333333,7.8208984625,-2.0883333333
6,2017-05-12 00:00:00+00:00,89.04,89.28,87.57,87.97,5559800,89.04,89.28,87.57,87.97,5559800,0.0,1.0,62995800000.0,62790266000.0,212.0,7.9394914959,-2.12
7,2017-05-15 00:00:00+00:00,89.8,89.94,89.05,89.27,4049443,89.8,89.94,89.05,89.27,4049443,0.0,1.0,63533500000.0,63327966000.0,213.8095238095,8.0072589435,-2.1380952381
8,2017-05-16 00:00:00+00:00,89.75,90.28,89.41,90.01,6412583,89.75,90.28,89.41,90.01,6412583,0.0,1.0,63498125000.0,63292591000.0,213.6904761905,8.0028005588,-2.1369047619
9,2017-05-17 00:00:00+00:00,87.84,89.75,87.57,89.75,5563710,87.84,89.75,87.57,89.75,5563710,0.0,1.0,62146800000.0,61941266000.0,209.1428571429,7.8324902628,-2.0914285714
10,2017-05-18 00:00:00+00:00,87.75,88.4,87.17,87.88,9446547,87.75,88.4,87.17,87.88,9446547,0.0,1.0,62083125000.0,61877591000.0,208.9285714286,7.8244651703,-2.0892857143
11,2017-05-19 00:00:00+00:00,87.4,91.0,86.44,90.95,15613432,87.4,91.0,86.44,90.95,15613432,0.0,1.0,61835500000.0,61629966000.0,208.0952380952,7.7932564773,-2.080952381
12,2017-05-22 00:00:00+00:00,88.94,89.05,86.87,87.54,6020003,88.94,89.05,86.87,87.54,6020003,0.0,1.0,63343068000.0,63137534000.0,211.7619047619,7.9305747264,-2.1176190476
13,2017-05-23 00:00:00+00:00,88.49,89.25,88.16,88.73,4340777,88.49,89.25,88.16,88.73,4340777,0.0,1.0,63022578000.0,62817044000.0,210.6904761905,7.890449264,-2.1069047619
14,2017-05-24 00:00:00+00:00,89.6,89.72,88.33,88.43,4577242,89.6,89.72,88.33,88.43,4577242,0.0,1.0,63813120000.0,63607586000.0,213.3333333333,7.9894254046,-2.1333333333
15,2017-05-25 00:00:00+00:00,91.27,91.81,89.91,89.97,7376085,91.27,91.81,89.91,89.97,7376085,0.0,1.0,65002494000.0,64796960000.0,217.3095238095,8.138335454,-2.1730952381
16,2017-05-26 00:00:00+00:00,90.83,91.1,90.46,90.93,5273074,90.83,91.1,90.46,90.93,5273074,0.0,1.0,64689126000.0,64483592000.0,216.2619047619,8.0991016686,-2.1626190476
17,2017-05-30 00:00:00+00:00,90.86,91.07,90.47,90.5,4625135,90.86,91.07,90.47,90.5,4625135,0.0,1.0,64710492000.0,64504958000.0,216.3333333333,8.1017766994,-2.1633333333
18,2017-05-31 00:00:00+00:00,89.64,90.97,89.48,90.69,5965643,89.64,90.97,89.48,90.69,5965643,0.0,1.0,63841608000.0,63636074000.0,213.4285714286,7.9929921124,-2.1342857143
19,2017-06-01 00:00:00+00:00,90.05,90.64,89.32,90.0,4835649,90.05,90.64,89.32,90.0,4835649,0.0,1.0,64133610000.0,63928076000.0,214.4047619048,8.0295508671,-2.144047619
20,2017-06-02 00:00:00+00:00,90.86,91.09,89.83,90.24,4957135,90.86,91.09,89.83,90.24,4957135,0.0,1.0,64710492000.0,64504958000.0,216.3333333333,8.1017766994,-2.1633333333
21,2017-06-05 00:00:00+00:00,91.38,91.88,90.75,91.0,5491979,91.38,91.88,90.75,91.0,5491979,0.0,1.0,65080836000.0,64875302000.0,217.5714285714,8.1481439004,-2.1757142857
22,2017-06-06 00:00:00+00:00,91.1,91.95,90.8,91.0,4251554,91.1,91.95,90.8,91.0,4251554,0.0,1.0,64881420000.0,64675886000.0,216.9047619048,8.123176946,-2.169047619
23,2017-06-07 00:00:00+00:00,91.39,91.99,90.62,91.45,3471212,91.39,91.99,90.62,91.45,3471212,0.0,1.0,65087958000.0,64882424000.0,217.5952380952,8.1490355773,-2.175952381
24,2017-06-08 00:00:00+00:00,91.25,91.62,90.59,91.39,3788753,91.25,91.62,90.59,91.39,3788753,0.0,1.0,64988250000.0,64782716000.0,217.2619047619,8.1365521001,-2.1726190476
25,2017-06-09 00:00:00+00:00,87.27,91.22,85.23,91.09,11663698,87.27,91.22,85.23,91.09,11663698,0.0,1.0,62153694000.0,61948160000.0,207.7857142857,7.781664677,-2.0778571429
