,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,60.21,60.94,60.09,60.7,14508897,55.7699142079,56.4460815783,55.6587634073,56.2237799771,14508897,0.0,1.0,155269293070.16,358111293070.16,12.1146881288,0.7280044743,0.5330462777
1,2017-05-05 00:00:00+00:00,60.24,60.58,60.1,60.49,11435022,55.797701908,56.1126291764,55.668025974,56.029266076,11435022,0.0,1.0,155346656943.14,358188656943.14,12.1207243461,0.728367207,0.5333118712
2,2017-05-08 00:00:00+00:00,60.5,60.73,60.12,60.15,8455615,56.0385286427,56.2515676772,55.6865511074,55.7143388076,8455615,0.0,1.0,156017143842.297,358859143842.297,12.1730382294,0.7315108901,0.5356136821
3,2017-05-09 00:00:00+00:00,60.23,61.04,60.07,60.65,13168382,55.7884393413,56.5387072455,55.6402382738,56.1774671435,13168382,0.0,1.0,155320868985.48,358162868985.48,12.1187122736,0.7282462961,0.53322334
4,2017-05-10 00:00:00+00:00,60.37,60.64,60.0,60.1,11558148,55.9181152754,56.1682045767,55.5754003068,55.668025974,11558148,0.0,1.0,155681900392.719,358523900392.719,12.1468812877,0.7299390486,0.5344627767
5,2017-05-11 00:00:00+00:00,60.7,60.915,59.92,60.25,16276607,56.2237799771,56.4229251615,55.5012997731,55.8069644748,16276607,0.0,1.0,156532902995.495,359374902995.495,12.2132796781,0.733929108,0.5373843058
6,2017-05-12 00:00:00+00:00,61.07,61.1,60.21,60.36,15261047,56.5664949456,56.5942826458,55.7699142079,55.9088527086,15261047,0.0,1.0,157487057428.911,360329057428.911,12.2877263581,0.7384028109,0.5406599598
7,2017-05-15 00:00:00+00:00,61.42,61.7,61.09,61.22,14803533,56.8906847807,57.1500366488,56.585020079,56.7054334464,14803533,0.0,1.0,158389635947.006,361231635947.006,12.3581488934,0.7426346921,0.5437585513
8,2017-05-16 00:00:00+00:00,62.49,62.58,61.38,61.49,21155052,57.8817794195,57.96514252,56.8536345139,56.9555227478,21155052,0.0,1.0,161148947416.614,363990947416.614,12.5734406439,0.7555721574,0.5532313883
9,2017-05-17 00:00:00+00:00,59.98,61.96,59.67,61.4,33231159,55.5568751734,57.3908633835,55.2697356051,56.8721596473,33231159,0.0,1.0,154676170043.983,357518170043.983,12.0684104628,0.7252235238,0.5310100604
10,2017-05-18 00:00:00+00:00,60.08,60.6,59.1,59.73,25109140,55.6495008405,56.1311543099,54.7417693022,55.3253110054,25109140,0.0,1.0,154934049620.582,357776049620.582,12.0885311871,0.7264326327,0.5318953722
11,2017-05-19 00:00:00+00:00,61.1,61.765,60.24,60.41,20221366,56.5942826458,57.2102433325,55.797701908,55.9551655422,20221366,0.0,1.0,157564421301.89,360406421301.89,12.2937625755,0.7387655436,0.5409255533
12,2017-05-22 00:00:00+00:00,61.06,61.55,60.72,61.41,11715887,56.5572323789,57.0110981481,56.2423051105,56.881422214,11715887,0.0,1.0,157461269471.251,360303269471.251,12.2857142857,0.7382819,0.5405714286
13,2017-05-23 00:00:00+00:00,61.71,61.95,60.73,61.09,12403627,57.1592992155,57.3816008168,56.2515676772,56.585020079,12403627,0.0,1.0,159137486719.143,361979486719.143,12.416498994,0.7461411079,0.5463259557
14,2017-05-24 00:00:00+00:00,62.27,62.44,61.66,61.84,16102728,57.6780029517,57.8354665859,57.112986382,57.2797125829,16102728,0.0,1.0,160581612348.096,363423612348.096,12.5291750503,0.7529121178,0.5512837022
15,2017-05-25 00:00:00+00:00,61.95,62.69,61.78,62.25,13351710,57.3816008168,58.0670307539,57.2241371826,57.6594778183,13351710,0.0,1.0,159756397702.98,362598397702.98,12.4647887324,0.7490429693,0.5484507042
16,2017-05-26 00:00:00+00:00,62.07,62.33,61.65,61.87,10848159,57.4927516174,57.7335783521,57.1037238152,57.307500283,10848159,0.0,1.0,160065853194.899,362907853194.899,12.4889336016,0.7504939,0.5495130785
17,2017-05-30 00:00:00+00:00,61.64,62.0668,61.51,61.79,12595697,57.0944612485,57.489787596,56.9740478812,57.2333997493,12595697,0.0,1.0,158956971015.524,361798971015.524,12.4024144869,0.7452947317,0.5457062374
18,2017-05-31 00:00:00+00:00,60.54,61.6,59.87,61.59,22626955,56.0755789096,57.0574109817,55.4549869395,57.0481484149,22626955,0.0,1.0,156120295672.937,358962295672.937,12.1810865191,0.7319945337,0.5359678068
19,2017-06-01 00:00:00+00:00,61.08,61.09,60.165,60.89,13529919,56.5757575123,56.585020079,55.7282326576,56.3997687447,13529919,0.0,1.0,157512845386.57,360354845386.57,12.2897384306,0.7385237218,0.5407484909
20,2017-06-02 00:00:00+00:00,61.11,61.6,60.3,60.33,13642744,56.6035452125,57.0574109817,55.8532773083,55.8810650085,13642744,0.0,1.0,157590209259.55,360432209259.55,12.2957746479,0.7388864545,0.5410140845
21,2017-06-05 00:00:00+00:00,61.25,61.77,60.96,61.04,10023552,56.7332211465,57.2148746159,56.4646067117,56.5387072455,10023552,0.0,1.0,157951240666.788,360793240666.788,12.323943662,0.740579207,0.5422535211
22,2017-06-06 00:00:00+00:00,61.01,61.17,60.44,60.68,10691367,56.5109195453,56.6591206128,55.9829532424,56.2052548436,10691367,0.0,1.0,157332329682.951,360174329682.951,12.2756539235,0.7376773456,0.5401287726
23,2017-06-07 00:00:00+00:00,61.88,62.225,61.1,61.21,16017222,57.3167628498,57.6363214015,56.5942826458,56.6961708797,16017222,0.0,1.0,159575881999.361,362417881999.361,12.4507042254,0.7481965931,0.5478309859
24,2017-06-08 00:00:00+00:00,63.21,63.82,61.72,61.84,25839619,58.5486842232,59.113700793,57.1685617823,57.2797125829,25839619,0.0,1.0,163005680368.126,365847680368.126,12.7183098592,0.7642777416,0.5596056338
25,2017-06-09 00:00:00+00:00,64.45,64.74,63.51,63.84,31102115,59.6972424962,59.965856931,58.8265612248,59.1322259264,31102115,0.0,1.0,166203387117.951,369045387117.951,12.967806841,0.7792706921,0.570583501
26,2017-06-12 00:00:00+00:00,64.32,65.4,64.07,64.51,27442813,59.5768291289,60.5771863344,59.345264961,59.7528178965,27442813,0.0,1.0,165868143668.373,368710143668.373,12.9416498994,0.7776988505,0.5694325956
27,2017-06-13 00:00:00+00:00,64.69,65.26,64.335,64.88,18725276,59.9195440975,60.4475104004,59.590722979,60.0955328651,18725276,0.0,1.0,166822298101.788,369664298101.788,13.0160965795,0.7821725534,0.5727082495
28,2017-06-14 00:00:00+00:00,64.72,64.92,63.5,64.25,20648406,59.9473317976,60.132583132,58.817298658,59.5119911619,20648406,0.0,1.0,166899661974.768,369741661974.768,13.0221327968,0.7825352861,0.5729738431
29,2017-06-15 00:00:00+00:00,64.1,64.94,63.94,64.31,14061587,59.3730526611,60.1511082654,59.2248515936,59.5675665622,14061587,0.0,1.0,165300808599.855,368142808599.855,12.8973843058,0.7750388109,0.5674849095
30,2017-06-16 00:00:00+00:00,63.89,64.23,63.71,64.16,19508987,59.17853876,59.4934660284,59.0118125591,59.4286280614,19508987,0.0,1.0,164759261488.998,367601261488.998,12.8551307847,0.7724996822,0.5656257545
31,2017-06-19 00:00:00+00:00,64.48,64.89,64.255,64.4,12578181,59.7250301964,60.1047954318,59.5166224452,59.6509296626,12578181,0.0,1.0,166280750990.931,369122750990.931,12.9738430584,0.7796334247,0.5708490946
32,2017-06-20 00:00:00+00:00,63.91,64.42,63.91,64.31,12148974,59.1970638935,59.6694547961,59.1970638935,59.5675665622,12148974,0.0,1.0,164810837404.318,367652837404.318,12.8591549296,0.772741504,0.5658028169
