,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,32.51,32.65,32.36,32.36,2439613,31.4085253382,31.5437819838,31.2636075037,31.2636075037,2439613,0.0,1.0,11796327039.1449,14014427039.1449,12.5521235521,1.6813719388,0.8315781853
1,2017-05-05 00:00:00+00:00,32.6,32.68,32.33,32.64,2954683,31.495476039,31.5727655507,31.2346239368,31.5341207948,2954683,0.0,1.0,11828983742.7291,14047083742.7291,12.5868725869,1.6860266135,0.8338803089
2,2017-05-08 00:00:00+00:00,32.66,32.825,32.46,32.5,2012683,31.5534431728,31.7128527908,31.3602193934,31.3988641493,2012683,0.0,1.0,11850754878.4519,14068854878.4519,12.61003861,1.6891297299,0.8354150579
3,2017-05-09 00:00:00+00:00,33.21,33.29,32.64,32.73,3118372,32.0848085661,32.1620980778,31.5341207948,31.6210714956,3118372,0.0,1.0,12050323622.5777,14268423622.5777,12.8223938224,1.7175749642,0.8494835907
4,2017-05-10 00:00:00+00:00,33.16,33.4,33.015,33.14,2368722,32.0365026212,32.2683711565,31.8964153812,32.0171802433,2368722,0.0,1.0,12032181009.4754,14250281009.4754,12.8030888031,1.7149890338,0.8482046332
5,2017-05-11 00:00:00+00:00,33.25,33.335,32.84,33.09,2529722,32.1234533219,32.2055734282,31.7273445742,31.9688742984,2529722,0.0,1.0,12064837713.0596,14282937713.0596,12.8378378378,1.7196437085,0.8505067568
6,2017-05-12 00:00:00+00:00,33.07,33.26,32.97,33.24,1455200,31.9495519205,32.1331145109,31.8529400308,32.113792133,1455200,0.0,1.0,11999524305.8912,14217624305.8912,12.7683397683,1.7103343591,0.8459025097
7,2017-05-15 00:00:00+00:00,33.45,33.59,33.06,33.15,5883483,32.3166771013,32.4519337469,31.9398907315,32.0268414323,5883483,0.0,1.0,12137408165.469,14355508165.469,12.9150579151,1.7299874301,0.8556225869
8,2017-05-16 00:00:00+00:00,33.56,33.62,33.19,33.61,2280417,32.42295018,32.4809173138,32.0654861881,32.4712561248,2280417,0.0,1.0,12177321914.2942,14395421914.2942,12.9575289575,1.7356764769,0.8584362934
9,2017-05-17 00:00:00+00:00,32.86,33.52,32.85,33.2,2948583,31.7466669522,32.3843054241,31.7370057632,32.0751473771,2948583,0.0,1.0,11923325330.8613,14141425330.8613,12.6872586873,1.6994734515,0.840530888
10,2017-05-18 00:00:00+00:00,33.25,33.35,32.56,32.86,1984086,32.1234533219,32.2200652116,31.4568312831,31.7466669522,1984086,0.0,1.0,12064837713.0596,14282937713.0596,12.8378378378,1.7196437085,0.8505067568
