,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,26.63,26.99,26.0,26.72,7923625,26.63,26.99,26.0,26.72,7923625,0.0,1.0,10349916310.32,18184916310.32,13.8697916667,1.8534950412,-1.1650625
1,2017-05-05 00:00:00+00:00,27.09,27.12,26.74,26.78,4071149,27.09,27.12,26.74,26.78,4071149,0.0,1.0,10528698191.76,18363698191.76,14.109375,1.8855118538,-1.1851875
2,2017-05-08 00:00:00+00:00,27.25,27.4,26.56,27.4,5797449,27.25,27.4,26.56,27.4,5797449,0.0,1.0,10590883194.0,18425883194.0,14.1927083333,1.8966481365,-1.1921875
3,2017-05-09 00:00:00+00:00,26.66,26.9,25.79,26.47,6142704,26.66,26.9,25.79,26.47,6142704,0.0,1.0,10252709035.12,18087709035.12,13.8854166667,1.8555830942,-1.166375
4,2017-05-10 00:00:00+00:00,26.11,26.6,26.0,26.49,5297237,26.11,26.6,26.0,26.49,5297237,0.0,1.0,10041194032.52,17876194032.52,13.5989583333,1.8173021227,-1.1423125
5,2017-05-11 00:00:00+00:00,26.33,26.39,25.9,26.1,3123924,26.33,26.39,25.9,26.1,3123924,0.0,1.0,10125800033.56,17960800033.56,13.7135416667,1.8326145113,-1.1519375
6,2017-05-12 00:00:00+00:00,26.07,26.39,26.0,26.32,1785934,26.07,26.39,26.0,26.32,1785934,0.0,1.0,10025811123.24,17860811123.24,13.578125,1.814518052,-1.1405625
7,2017-05-15 00:00:00+00:00,26.01,26.19,25.89,26.04,2512710,26.01,26.19,25.89,26.04,2512710,0.0,1.0,10002736759.32,17837736759.32,13.546875,1.810341946,-1.1379375
8,2017-05-16 00:00:00+00:00,25.58,26.06,25.22,26.01,3442239,25.58,26.06,25.22,26.01,3442239,0.0,1.0,9837370484.56,17672370484.56,13.3229166667,1.7804131864,-1.119125
9,2017-05-17 00:00:00+00:00,25.11,25.57,25.07,25.43,3577132,25.11,25.57,25.07,25.43,3577132,0.0,1.0,9656621300.52,17491621300.52,13.078125,1.7477003562,-1.0985625
10,2017-05-18 00:00:00+00:00,25.18,25.4,24.88,25.02,1891492,25.18,25.4,24.88,25.02,1891492,0.0,1.0,9683541391.76,17518541391.76,13.1145833333,1.7525724799,-1.101625
11,2017-05-19 00:00:00+00:00,25.87,25.93,25.08,25.13,2308976,25.87,25.93,25.08,25.13,2308976,0.0,1.0,9948896576.84,17783896576.84,13.4739583333,1.8005976987,-1.1318125
12,2017-05-22 00:00:00+00:00,26.21,26.27,25.77,25.81,2832932,26.21,26.27,25.77,25.81,2832932,0.0,1.0,10079651305.72,17914651305.72,13.6510416667,1.8242622993,-1.1466875
13,2017-05-23 00:00:00+00:00,25.63,26.2,25.47,26.16,3198604,25.63,26.2,25.47,26.16,3198604,0.0,1.0,9856599121.16,17691599121.16,13.3489583333,1.7838932748,-1.1213125
14,2017-05-24 00:00:00+00:00,25.46,25.81,25.27,25.73,2862260,25.46,25.81,25.27,25.73,2862260,0.0,1.0,9791221756.72,17626221756.72,13.2604166667,1.7720609745,-1.113875
15,2017-05-25 00:00:00+00:00,25.6,25.86,25.45,25.52,2515991,25.6,25.86,25.45,25.52,2515991,0.0,1.0,9845061939.2,17680061939.2,13.3333333333,1.7818052218,-1.12
16,2017-05-26 00:00:00+00:00,25.87,25.87,25.55,25.66,1830862,25.87,25.87,25.55,25.66,1830862,0.0,1.0,9948896576.84,17783896576.84,13.4739583333,1.8005976987,-1.1318125
17,2017-05-30 00:00:00+00:00,26.2,26.24,25.76,25.9,3550906,26.2,26.24,25.76,25.9,3550906,0.0,1.0,10075805578.4,17910805578.4,13.6458333333,1.8235662817,-1.14625
18,2017-05-31 00:00:00+00:00,26.5,26.95,25.99,26.21,5177974,26.5,26.95,25.99,26.21,5177974,0.0,1.0,10191177398.0,18026177398.0,13.8020833333,1.8444468116,-1.159375
19,2017-06-01 00:00:00+00:00,26.74,26.78,26.16,26.5,2657642,26.74,26.78,26.16,26.5,2657642,0.0,1.0,10283474853.68,18118474853.68,13.9270833333,1.8611512356,-1.169875
