,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,104.19,104.28,103.281,103.78,953256,94.5848005394,94.6665035056,93.7596005807,94.2125981378,953256,0.0,1.0,16967323718.3082,28695323718.3082,18.3110720562,1.9297196703,0.2972856404
1,2017-05-05 00:00:00+00:00,104.54,105.15,104.28,104.46,666347,94.9025342968,95.4562988455,94.6665035056,94.829909438,666347,0.0,1.0,17024321158.5751,28752321158.5751,18.3725834798,1.9362020763,0.2982842965
2,2017-05-08 00:00:00+00:00,104.49,104.76,103.83,104.76,511571,94.85714376,95.1022526586,94.2579886745,95.1022526586,511571,0.0,1.0,17016178667.1084,28744178667.1084,18.3637961336,1.9352760183,0.2981416313
3,2017-05-09 00:00:00+00:00,103.97,104.5,103.78,104.48,502307,94.3850821775,94.8662218674,94.2125981378,94.8480656527,502307,0.0,1.0,16931496755.8547,28659496755.8547,18.2724077329,1.9256450151,0.2966579138
4,2017-05-10 00:00:00+00:00,104.62,104.625,103.95,103.99,643366,94.9751591556,94.9796982093,94.3669259628,94.4032383922,643366,0.0,1.0,17037349144.9218,28765349144.9218,18.3866432337,1.9376837691,0.2985125607
5,2017-05-11 00:00:00+00:00,104.76,104.77,103.84,104.2,544588,95.1022526586,95.111330766,94.2670667819,94.5938786467,544588,0.0,1.0,17060148121.0286,28788148121.0286,18.4112478032,1.9402767315,0.2989120232
6,2017-05-12 00:00:00+00:00,105.42,105.43,104.8,104.82,515774,95.7014077441,95.7104858515,95.1385650881,95.1567213028,515774,0.0,1.0,17167629008.389,28895629008.389,18.5272407733,1.9525006972,0.3007952031
7,2017-05-15 00:00:00+00:00,105.95,106.01,105.11,105.32,635493,96.182547434,96.2370160781,95.4199864161,95.6106266705,635493,0.0,1.0,17253939417.936,28981939417.936,18.6203866432,1.9623169121,0.3023074537
8,2017-05-16 00:00:00+00:00,104.8,106.15,104.65,105.85,522672,95.1385650881,96.3641095811,95.0023934777,96.0917663604,522672,0.0,1.0,17066662114.2019,28794662114.2019,18.4182776801,1.941017578,0.2990261553
9,2017-05-17 00:00:00+00:00,105.17,105.71,104.82,104.96,625724,95.4744550602,95.9646728574,95.1567213028,95.2838148057,625724,0.0,1.0,17126916551.0555,28854916551.0555,18.4833040422,1.9478704072,0.3000818774
10,2017-05-18 00:00:00+00:00,105.34,106.205,104.59,105.54,663630,95.6287828853,96.4140391715,94.9479248336,95.8103450324,663630,0.0,1.0,17154601022.0423,28882601022.0423,18.5131810193,1.9510190044,0.3005669389
11,2017-05-19 00:00:00+00:00,106.03,106.11,104.61,105.43,891678,96.2551722928,96.3277971517,94.9660810483,95.7104858515,891678,0.0,1.0,17266967404.2827,28994967404.2827,18.6344463972,1.9637986049,0.302535718
12,2017-05-22 00:00:00+00:00,107.04,107.12,105.935,105.96,762657,97.1720611357,97.2446859946,96.1689302729,96.1916255413,762657,0.0,1.0,17431445731.91,29159445731.91,18.8119507909,1.9825049766,0.305417554
13,2017-05-23 00:00:00+00:00,107.37,108.25,106.95,107.0,542588,97.4716386785,98.2705121258,97.0903581695,97.1357487063,542588,0.0,1.0,17485186175.5903,29213186175.5903,18.8699472759,1.9886169594,0.306359144
