,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,82.59,82.66,81.87,81.93,2110419,72.6838085746,72.7454124806,72.0501683981,72.1029717462,2110419,0.0,1.0,50850168788.7065,102528168788.706,26.4711538462,1.4029189253,26.7358653846
1,2017-05-05 00:00:00+00:00,82.98,83.15,82.69,82.69,2125498,73.0270303368,73.176639823,72.7718141547,72.7718141547,2125498,0.0,1.0,51090289454.9808,102768289454.981,26.5961538462,1.4095436786,26.8621153846
2,2017-05-08 00:00:00+00:00,82.92,83.155,82.37,83.02,2179395,72.9742269888,73.181040102,72.4901962985,73.0622325689,2179395,0.0,1.0,51053347814.0155,102731347814.016,26.5769230769,1.4085244858,26.8426923077
3,2017-05-09 00:00:00+00:00,82.11,82.97,82.08,82.53,2474969,72.2613817903,73.0182297788,72.2349801163,72.6310052266,2474969,0.0,1.0,50574550825.5443,102252550825.544,26.3173076923,1.3947653827,26.5804807692
4,2017-05-10 00:00:00+00:00,82.48,82.695,82.01,82.27,2142933,72.5870024365,72.7762144337,72.1733762102,72.4021907184,2142933,0.0,1.0,50802447352.2213,102480447352.221,26.4358974359,1.4010504051,26.7002564103
5,2017-05-11 00:00:00+00:00,83.0,83.02,82.06,82.15,2361983,73.0446314529,73.0622325689,72.2173790003,72.2965840223,2361983,0.0,1.0,51122734362.6864,102800734362.686,26.6025641026,1.4098834096,26.8685897436
6,2017-05-12 00:00:00+00:00,83.48,83.6701,83.02,83.1,1988764,73.4670582372,73.6343568449,73.0622325689,73.1326370329,1988764,0.0,1.0,51418383910.8079,103096383910.808,26.7564102564,1.4180369522,27.023974359
7,2017-05-15 00:00:00+00:00,83.58,83.785,83.26,83.55,1928668,73.5550638172,73.7354752564,73.273445961,73.5286621432,1928668,0.0,1.0,51479977566.6665,103157977566.667,26.7884615385,1.4197356069,27.0563461538
8,2017-05-16 00:00:00+00:00,83.12,83.8,83.09,83.58,2612482,73.1502381489,73.7486760934,73.1238364749,73.5550638172,2612482,0.0,1.0,51196646749.7168,102874646749.717,26.641025641,1.4119217952,26.9074358974
9,2017-05-17 00:00:00+00:00,82.78,83.235,82.3,82.3,4336596,73.6034668863,74.0080281019,73.1766770324,73.1766770324,4336596,0.855,1.0,51513854077.3888,103191854077.389,26.5320512821,1.4061463692,26.7973717949
10,2017-05-18 00:00:00+00:00,83.25,83.66,82.49,83.1,3667747,74.0213652849,74.3859149517,73.3456146829,73.8879934555,3667747,0.0,1.0,51806334282.9502,103484334282.95,26.6826923077,1.4141300464,26.9495192308
11,2017-05-19 00:00:00+00:00,83.37,83.43,82.72,83.36,2979028,74.1280627483,74.1814114801,73.5501181545,74.1191712931,2979028,0.0,1.0,51881010080.1148,103559010080.115,26.7211538462,1.416168432,26.9883653846
12,2017-05-22 00:00:00+00:00,84.1,84.34,83.19,83.27,2213195,74.7771389845,74.9905339114,73.9680165531,74.0391481954,2213195,0.0,1.0,52335287846.1996,104013287846.2,26.9551282051,1.4285686114,27.2246794872
13,2017-05-23 00:00:00+00:00,84.3,84.78,84.02,84.13,1747221,74.9549680903,75.3817579442,74.7060073422,74.8038133503,1747221,0.0,1.0,52459747508.1405,104137747508.141,27.0192307692,1.4319659208,27.2894230769
14,2017-05-24 00:00:00+00:00,84.69,84.88,84.39,84.47,2971148,75.3017348466,75.4706724971,75.0349911879,75.1061228302,2971148,0.0,1.0,52702443848.9256,104380443848.926,27.1442307692,1.4385906742,27.4156730769
15,2017-05-25 00:00:00+00:00,85.14,85.25,84.61,84.81,2801706,75.7018503346,75.7996563428,75.2306032042,75.40843231,2801706,0.0,1.0,52982478088.2928,104660478088.293,27.2884615385,1.4462346204,27.5613461538
16,2017-05-26 00:00:00+00:00,85.07,85.3499,84.9515,85.19,2022617,75.6396101476,75.8884819811,75.5342464024,75.746307611,2022617,0.0,1.0,52938917206.6135,104616917206.613,27.266025641,1.4450455621,27.5386858974
17,2017-05-30 00:00:00+00:00,85.41,85.54,84.8832,85.2,2462502,75.9419196274,76.0575085462,75.4735177627,75.7551990663,2462502,0.0,1.0,53150498631.9132,104828498631.913,27.375,1.4508209881,27.64875
18,2017-05-31 00:00:00+00:00,85.68,86.01,85.4,85.52,3047484,76.1819889202,76.4754069448,75.9330281721,76.0397256356,3047484,0.0,1.0,53318519175.5336,104996519175.534,27.4615384615,1.4554073558,27.7361538462
19,2017-06-01 00:00:00+00:00,86.4,86.4,85.2398,85.48,3153669,76.8221737011,76.8221737011,75.7905870584,76.0041598144,3153669,0.0,1.0,53766573958.5213,105444573958.521,27.6923076923,1.4676376697,27.9692307692
20,2017-06-02 00:00:00+00:00,86.28,86.8,85.92,86.79,2112610,76.7154762376,77.1778319126,76.3953838472,77.1689404573,2112610,0.0,1.0,53691898161.3567,105369898161.357,27.6538461538,1.4655992841,27.9303846154
21,2017-06-05 00:00:00+00:00,85.83,86.3,85.69,86.25,1942174,76.3153607496,76.7332591482,76.1908803755,76.6888018717,1942174,0.0,1.0,53411863921.9894,105089863921.989,27.5096153846,1.4579553379,27.7847115385
22,2017-06-06 00:00:00+00:00,85.81,86.16,85.66,86.09,20668,76.297577839,76.6087787741,76.1642060096,76.5465385871,20668,0.0,1.0,53399417955.7953,105077417955.795,27.5032051282,1.4576156069,27.7782371795
23,2017-06-07 00:00:00+00:00,86.09,86.24,85.58,85.81,30251,76.5465385871,76.6799104164,76.0930743673,76.297577839,30251,0.0,1.0,53573661482.5127,105251661482.513,27.5929487179,1.4623718401,27.8688782051
24,2017-06-08 00:00:00+00:00,85.38,86.02,84.75,85.98,2560222,75.9152452615,76.4842984001,75.3550835783,76.4487325789,2560222,0.0,1.0,53131829682.6221,104809829682.622,27.3653846154,1.4503113917,27.6390384615
25,2017-06-09 00:00:00+00:00,85.72,85.75,84.917,85.1,2264194,76.2175547414,76.2442291072,75.5035708816,75.6662845134,2264194,0.0,1.0,53343411107.9218,105021411107.922,27.4743589744,1.4560868177,27.7491025641
26,2017-06-12 00:00:00+00:00,85.62,86.19,85.08,85.73,3292572,76.1286401885,76.63545314,75.6485016028,76.2264461967,3292572,0.0,1.0,53281181276.9513,104959181276.951,27.4423076923,1.454388163,27.7167307692
27,2017-06-13 00:00:00+00:00,85.95,86.045,85.42,85.53,2415046,76.422058213,76.5065270383,75.9508110827,76.0486170909,2415046,0.0,1.0,53486539719.154,105164539719.154,27.5480769231,1.4599937235,27.8235576923
28,2017-06-14 00:00:00+00:00,86.32,86.84,86.09,86.44,2428961,76.7510420587,77.2133977338,76.5465385871,76.8577395222,2428961,0.0,1.0,53716790093.7449,105394790093.745,27.6666666667,1.466278746,27.9433333333
29,2017-06-15 00:00:00+00:00,86.95,86.96,86.08,86.21,2448308,77.311203742,77.3200951973,76.5376471318,76.6532360506,2448308,0.0,1.0,54108838028.8591,105786838028.859,27.8685897436,1.4769802706,28.147275641
30,2017-06-16 00:00:00+00:00,87.14,87.49,86.91,87.12,4863396,77.4801413925,77.7913423276,77.2756379208,77.4623584819,4863396,0.0,1.0,54227074707.7031,105905074707.703,27.9294871795,1.4802077146,28.2087820513
31,2017-06-19 00:00:00+00:00,86.89,87.31,86.52,87.31,2144996,77.2578550102,77.6312961324,76.9288711645,77.6312961324,2144996,0.0,1.0,54071500130.2768,105749500130.277,27.8493589744,1.4759610778,28.1278525641
32,2017-06-20 00:00:00+00:00,86.91,87.05,86.67,86.84,2404312,77.2756379208,77.4001182949,77.0622429939,77.2133977338,2404312,0.0,1.0,54083946096.4709,105761946096.471,27.8557692308,1.4763008088,28.1343269231
33,2017-06-21 00:00:00+00:00,86.57,87.14,86.12,86.93,1725268,76.973328441,77.4801413925,76.5732129529,77.2934208314,1725268,0.0,1.0,53872364671.1712,105550364671.171,27.7467948718,1.4705253827,28.0242628205
34,2017-06-22 00:00:00+00:00,86.28,86.7343,86.22,86.4,2102981,76.7154762376,77.1194150514,76.6621275058,76.8221737011,2102981,0.0,1.0,53691898161.3567,105369898161.357,27.6538461538,1.4655992841,27.9303846154
35,2017-06-23 00:00:00+00:00,85.96,86.595,85.86,86.22,1458239,76.4309496683,76.9955570792,76.3420351154,76.6621275058,1458239,0.0,1.0,53492762702.2511,105170762702.251,27.5512820513,1.460163589,27.8267948718
36,2017-06-26 00:00:00+00:00,86.7,87.05,85.99,86.33,2825822,77.0889173597,77.4001182949,76.4576240342,76.759933514,2825822,0.0,1.0,53953263451.4328,105631263451.433,27.7884615385,1.4727336339,28.0663461538
37,2017-06-27 00:00:00+00:00,85.7,86.54,85.45,86.36,2395806,76.1997718308,76.9466540751,75.9774854486,76.7866078799,2395806,0.0,1.0,53330965141.7278,105008965141.728,27.4679487179,1.4557470868,27.7426282051
38,2017-06-28 00:00:00+00:00,84.97,86.08,84.86,86.03,3147860,75.5506955947,76.5376471318,75.4528895865,76.4931898553,3147860,0.0,1.0,52876687375.643,104554687375.643,27.233974359,1.4433469074,27.5063141026
39,2017-06-29 00:00:00+00:00,84.03,84.73,83.77,84.73,3840759,74.7148987974,75.3373006677,74.4837209599,75.3373006677,3840759,0.0,1.0,52291726964.5202,103969726964.52,26.9326923077,1.4273795531,27.2020192308
40,2017-06-30 00:00:00+00:00,83.59,84.42,83.59,84.15,3499537,74.3236747647,75.0616655537,74.3236747647,74.8215962609,3499537,0.0,1.0,52017915708.2499,104722915708.25,24.8779761905,1.4167497483,0.7670709325
41,2017-07-03 00:00:00+00:00,83.31,83.835,83.16,83.78,1705902,74.0747140166,74.5415154193,73.9413421873,74.4926124152,1705902,0.0,1.0,51843672181.5326,104548672181.533,24.7946428571,1.4120040858,0.7645014881
42,2017-07-05 00:00:00+00:00,83.29,83.49,82.72,83.32,3480161,74.056931106,74.2347602118,73.5501181545,74.0836054719,3480161,0.0,1.0,51831226215.3384,104536226215.338,24.7886904762,1.4116651099,0.7643179563
43,2017-07-06 00:00:00+00:00,83.21,83.3,82.765,83.1,2789527,73.9857994637,74.0658225613,73.5901297033,73.8879934555,2789527,0.0,1.0,51781442350.562,104486442350.562,24.7648809524,1.4103092063,0.7635838294
44,2017-07-07 00:00:00+00:00,83.42,83.745,83.085,83.22,2436872,74.1725200248,74.4614923217,73.8746562726,73.994690919,2436872,0.0,1.0,51912124995.6001,104617124995.6,24.8273809524,1.4138684532,0.7655109127
45,2017-07-10 00:00:00+00:00,83.19,83.815,83.16,83.58,1823813,73.9680165531,74.5237325087,73.9413421873,74.3147833094,1823813,0.0,1.0,51768996384.3679,104473996384.368,24.7589285714,1.4099702304,0.7634002976
46,2017-07-11 00:00:00+00:00,83.18,83.44,82.8,83.37,2486567,73.9591250978,74.1903029354,73.6212497968,74.1280627483,2486567,0.0,1.0,51762773401.2709,104467773401.271,24.755952381,1.4098007425,0.7633085317
47,2017-07-12 00:00:00+00:00,83.98,84.27,83.71,83.83,2944095,74.670441521,74.9282937244,74.4303722282,74.5370696917,2944095,0.0,1.0,52260612049.035,104965612049.035,24.994047619,1.4233597782,0.7706498016
48,2017-07-13 00:00:00+00:00,83.37,83.98,83.35,83.82,2162434,74.1280627483,74.670441521,74.1102798378,74.5281782364,2162434,0.0,1.0,51881010080.1148,104586010080.115,24.8125,1.4130210134,0.7650520833
49,2017-07-14 00:00:00+00:00,83.84,84.13,83.68,83.85,1346380,74.5459611469,74.8038133503,74.4036978623,74.5548526022,1346380,0.0,1.0,52173490285.6763,104878490285.676,24.9523809524,1.420986947,0.7693650794
50,2017-07-17 00:00:00+00:00,84.03,84.1,83.6,83.84,1594108,74.7148987974,74.7771389845,74.33256622,74.5459611469,1594108,0.0,1.0,52291726964.5202,104996726964.52,25.0089285714,1.4242072179,0.771108631
51,2017-07-18 00:00:00+00:00,84.19,84.28,83.93,84.07,1653505,74.8571620821,74.9371851797,74.6259842446,74.7504646186,1653505,0.0,1.0,52391294694.073,105096294694.073,25.056547619,1.4269190251,0.7725768849
52,2017-07-19 00:00:00+00:00,84.35,84.43,83.96,84.27,1696860,74.9994253667,75.070557009,74.6526586104,74.9282937244,1696860,0.0,1.0,52490862423.6258,105195862423.626,25.1041666667,1.4296308322,0.7740451389
53,2017-07-20 00:00:00+00:00,84.93,84.95,84.24,84.6,1964695,75.5151297735,75.5329126841,74.9016193585,75.2217117489,1964695,0.0,1.0,52851795443.2548,105556795443.255,25.2767857143,1.4394611332,0.7793675595
54,2017-07-21 00:00:00+00:00,85.2,85.23,84.38,84.89,2477868,75.7551990663,75.7818734322,75.0260997326,75.4795639523,2477868,0.0,1.0,53019815986.8752,105724815986.875,25.3571428571,1.4440373077,0.7818452381
55,2017-07-24 00:00:00+00:00,84.55,85.28,84.325,85.24,2531226,75.1772544725,75.8263307086,74.9771967285,75.7907648875,2531226,0.0,1.0,52615322085.5669,105320322085.567,25.1636904762,1.4330205912,0.7758804563
56,2017-07-25 00:00:00+00:00,83.81,84.66,83.685,84.57,1901790,74.5192867811,75.2750604807,74.40814359,75.1950373831,1901790,0.0,1.0,52154821336.3851,104859821336.385,24.943452381,1.4204784831,0.7690897817
57,2017-07-26 00:00:00+00:00,84.45,84.46,83.6,83.68,1702383,75.0883399196,75.0972313749,74.33256622,74.4036978623,1702383,0.0,1.0,52553092254.5963,105258092254.596,25.1339285714,1.4313257117,0.7749627976
58,2017-07-27 00:00:00+00:00,85.05,85.05,84.045,84.2,2179600,75.621827237,75.621827237,74.7282359804,74.8660535374,2179600,0.0,1.0,52926471240.4194,105631471240.419,25.3125,1.4414949885,0.78046875
59,2017-07-28 00:00:00+00:00,84.91,85.225,84.58,85.01,2086991,75.4973468629,75.7774277045,75.2039288384,75.5862614158,2086991,0.0,1.0,52839349477.0607,105544349477.061,25.2708333333,1.4391221573,0.7791840278
60,2017-07-31 00:00:00+00:00,85.12,85.33,84.66,84.9,2435149,75.684067424,75.8707879851,75.2750604807,75.4884554076,2435149,0.0,1.0,52970032122.0988,105675032122.099,25.3333333333,1.4426814042,0.7811111111
61,2017-08-01 00:00:00+00:00,86.48,86.58,85.97,86.17,2820625,76.8933053434,76.9822198963,76.4398411236,76.6176702294,2820625,0.0,1.0,53816357823.2977,106521357823.298,25.7380952381,1.4657317649,0.7935912698
