,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,77.3,77.385,76.39,76.65,2438405,67.6253404619,67.6997020912,66.8292336079,67.056692709,2438405,0.0,1.0,42535375759.9608,78163375759.9608,21.7134831461,2.8259891895,1.4698357822
1,2017-05-05 00:00:00+00:00,78.23,78.53,77.53,77.53,2275481,68.43894417,68.701396979,67.8265542822,67.8265542822,2275481,0.0,1.0,43047120901.7042,78675120901.7042,21.9747191011,2.8599888007,1.4875194468
2,2017-05-08 00:00:00+00:00,78.53,78.6,77.8,78.25,2057227,68.701396979,68.7626359678,68.0627618103,68.4564410239,2057227,0.0,1.0,43212199979.6859,78840199979.6859,22.058988764,2.8709564173,1.4932238548
3,2017-05-09 00:00:00+00:00,77.48,78.47,77.32,78.32,1549190,67.7828121474,68.6489064172,67.6428373159,68.5176800127,1549190,0.0,1.0,42634423206.7499,78262423206.7499,21.7640449438,2.8325697594,1.473258427
4,2017-05-10 00:00:00+00:00,77.73,77.9,77.29,77.53,1921377,68.0015228216,68.15024608,67.616592035,67.8265542822,1921377,0.0,1.0,42771989105.0679,78399989105.0679,21.8342696629,2.8417094399,1.4780121003
5,2017-05-11 00:00:00+00:00,77.61,77.71,77.0676,77.58,1415119,67.8965416979,67.9840259676,67.4220270192,67.870296417,1415119,0.0,1.0,42705957473.8753,78333957473.8753,21.8005617978,2.8373223933,1.4757303371
6,2017-05-12 00:00:00+00:00,77.93,78.28,77.585,77.79,1447813,68.1764913609,68.4826863048,67.8746706305,68.0540133834,1447813,0.0,1.0,42882041823.7224,78510041823.7224,21.8904494382,2.8490211842,1.4818150389
7,2017-05-15 00:00:00+00:00,77.97,78.16,77.55,77.8,1826878,68.2114850688,68.3777051812,67.8440511361,68.0627618103,1826878,0.0,1.0,42904052367.4533,78532052367.4533,21.9016853933,2.8504835331,1.4825756266
8,2017-05-16 00:00:00+00:00,77.21,78.16,77.15,78.02,2253019,67.5466046192,68.3777051812,67.4941140574,68.2552272036,2253019,0.0,1.0,42485852036.5663,78113852036.5663,21.6882022472,2.8226989046,1.4681244598
9,2017-05-17 00:00:00+00:00,77.48,77.93,76.95,77.28,2537067,67.7828121474,68.1764913609,67.3191455181,67.607843608,2537067,0.0,1.0,42634423206.7499,78262423206.7499,21.7640449438,2.8325697594,1.473258427
