,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,35.92,36.575,35.69,36.25,3117722,35.2744668783,35.9176956034,35.0486003031,35.5985363123,3117722,0.0,1.0,9700857733.14876,8226857733.14876,18.6113989637,1.5311049332,-1.6750259067
1,2017-05-05 00:00:00+00:00,35.8,36.18,35.48,36.04,1904998,35.1566234477,35.5297943112,34.8423742996,35.3923103088,1904998,0.0,1.0,9668449522.45896,8194449522.45896,18.5492227979,1.5259898833,-1.6694300518
2,2017-05-08 00:00:00+00:00,35.69,35.99,35.5709,35.8,2881291,35.0486003031,35.3432088795,34.9316406983,35.1566234477,2881291,0.0,1.0,9638741995.99328,8164741995.99328,18.4922279793,1.5213010876,-1.6643005181
3,2017-05-09 00:00:00+00:00,35.63,36.12,35.54,35.76,2348059,34.9896785878,35.4708725959,34.9012960149,35.1173423042,2348059,0.0,1.0,9622537890.6484,8148537890.6484,18.4611398964,1.5187435627,-1.6615025907
4,2017-05-10 00:00:00+00:00,35.28,35.64,35.08,35.52,2869564,34.645968582,34.9994988737,34.4495628644,34.8816554431,2869564,0.0,1.0,9528013942.80312,8054013942.80312,18.2797927461,1.5038246672,-1.6451813472
5,2017-05-11 00:00:00+00:00,34.88,35.14,34.29,35.04,2296664,34.2531571469,34.5084845797,33.67376028,34.4102817209,2296664,0.0,1.0,9419986573.83711,7945986573.83711,18.0725388601,1.4867745009,-1.6265284974
6,2017-05-12 00:00:00+00:00,34.38,34.72,34.1,34.63,2395462,33.7621428529,34.0960325728,33.4871748483,34.0076499999,2395462,0.0,1.0,9284952362.62957,7810952362.62957,17.8134715026,1.465461793,-1.6032124352
7,2017-05-15 00:00:00+00:00,34.98,35.0,34.49,34.56,1960142,34.3513600056,34.3710005774,33.8701659976,33.9389079987,1960142,0.0,1.0,9446993416.07859,7972993416.07859,18.1243523316,1.4910370424,-1.6311917098
8,2017-05-16 00:00:00+00:00,35.28,35.32,34.69,35.17,2091586,34.645968582,34.6852497255,34.0665717151,34.5379454374,2091586,0.0,1.0,9528013942.80312,8054013942.80312,18.2797927461,1.5038246672,-1.6451813472
9,2017-05-17 00:00:00+00:00,33.4,34.67,33.06,34.38,2951205,32.7997548367,34.0469311434,32.4658651168,33.7621428529,2951205,0.0,1.0,9020285308.66281,7546285308.66281,17.3056994819,1.4236888856,-1.5575129534
10,2017-05-18 00:00:00+00:00,33.39,33.765,33.27,33.34,4010030,32.7899345508,33.1581952713,32.6720911203,32.7408331214,4010030,0.0,1.0,9017584624.43867,7543584624.43867,17.3005181347,1.4232626314,-1.5570466321
11,2017-05-19 00:00:00+00:00,34.05,34.46,33.34,33.53,4045022,33.4380734189,33.8407051399,32.7408331214,32.9274185532,4045022,0.0,1.0,9195829783.23261,7721829783.23261,17.6424870466,1.4513954058,-1.5878238342
12,2017-05-22 00:00:00+00:00,34.36,34.5,34.03,34.25,1379445,33.7425022811,33.8799862834,33.4184328471,33.6344791365,1379445,0.0,1.0,9279550994.18127,7805550994.18127,17.8031088083,1.4646092847,-1.6022797927
13,2017-05-23 00:00:00+00:00,34.73,34.93,33.98,34.41,1877209,34.1058528587,34.3022585763,33.3693314177,33.7916037105,1877209,0.0,1.0,9379476310.47485,7905476310.47485,17.9948186528,1.4803806885,-1.6195336788
14,2017-05-24 00:00:00+00:00,34.6,34.73,34.29,34.73,1500171,33.9781891422,34.1058528587,33.67376028,34.1058528587,1500171,0.0,1.0,9344367415.56088,7870367415.56088,17.9274611399,1.4748393845,-1.6134715026
15,2017-05-25 00:00:00+00:00,35.19,35.56,34.62,34.8,2178163,34.5575860091,34.9209365866,33.997829714,34.1745948598,2178163,0.0,1.0,9503707784.78577,8029707784.78577,18.2331606218,1.4999883797,-1.640984456
16,2017-05-26 00:00:00+00:00,35.08,35.21,34.85,35.07,1453148,34.4495628644,34.5772265809,34.2236962892,34.4397425786,1453148,0.0,1.0,9474000258.3201,8000000258.3201,18.1761658031,1.495299584,-1.6358549223
17,2017-05-30 00:00:00+00:00,34.74,34.99,34.55,34.93,1677472,34.1156731445,34.3611802915,33.9290877128,34.3022585763,1677472,0.0,1.0,9382176994.69898,7908176994.69898,18.0,1.4808069427,-1.62
18,2017-05-31 00:00:00+00:00,34.61,34.95,34.0,34.76,2062147,33.9880094281,34.321899148,33.3889719895,34.1353137163,2062147,0.0,1.0,9347068099.78504,7873068099.78504,17.932642487,1.4752656386,-1.6139378238
19,2017-06-01 00:00:00+00:00,34.92,35.27,34.423,34.85,2613283,34.2924382904,34.6361482961,33.8043700822,34.2236962892,2613283,0.0,1.0,9430789310.7337,7956789310.7337,18.0932642487,1.4884795175,-1.6283937824
20,2017-06-02 00:00:00+00:00,34.58,34.714,34.17,34.48,2430476,33.9585485705,34.0901404013,33.5559168494,33.8603457117,2430476,0.0,1.0,9338966047.11258,7864966047.11258,17.9170984456,1.4739868761,-1.6125388601
21,2017-06-05 00:00:00+00:00,35.17,35.4,34.61,34.7,2064428,34.5379454374,34.7638120126,33.9880094281,34.076392001,2064428,0.0,1.0,9498306416.33747,8024306416.33747,18.2227979275,1.4991358714,-1.6400518135
22,2017-06-06 00:00:00+00:00,35.02,35.21,34.59,34.75,1565037,34.3906411492,34.5772265809,33.9683688564,34.1254934304,1565037,0.0,1.0,9457796152.97521,7983796152.97521,18.1450777202,1.4927420591,-1.6330569948
23,2017-06-07 00:00:00+00:00,35.25,35.745,35.02,35.25,1671552,34.6165077244,35.1026118754,34.3906411492,34.6165077244,1671552,0.0,1.0,9519911890.13066,8045911890.13066,18.2642487047,1.5025459047,-1.6437823834
24,2017-06-08 00:00:00+00:00,36.23,36.6,35.22,35.33,2833175,35.5788957406,35.9422463181,34.5870468667,34.6950700114,2833175,0.0,1.0,9784578944.09742,8310578944.09742,18.7720207254,1.5443188121,-1.6894818653
25,2017-06-09 00:00:00+00:00,36.94,37.43,36.64,36.66,3845579,36.276136038,36.7573300461,35.9815274616,36.0011680334,3845579,0.0,1.0,9976327524.01211,8502327524.01211,19.1398963731,1.5745828573,-1.7225906736
26,2017-06-12 00:00:00+00:00,37.06,37.58,36.5,37.12,3034546,36.3939794685,36.9046343343,35.8440434593,36.4529011838,3034546,0.0,1.0,10008735734.7019,8534735734.7019,19.2020725389,1.5796979072,-1.7281865285
27,2017-06-13 00:00:00+00:00,37.24,37.4459,37.04,37.26,1692768,36.5707446144,36.7729443006,36.3743388968,36.5903851861,1692768,0.0,1.0,10057348050.7366,8583348050.7366,19.2953367876,1.587370482,-1.7365803109
28,2017-06-14 00:00:00+00:00,37.38,37.48,36.5569,36.96,2670613,36.7082286167,36.8064314755,35.8999208859,36.2957766097,2670613,0.0,1.0,10095157629.8747,8621157629.8747,19.3678756477,1.5933380402,-1.7431088083
29,2017-06-15 00:00:00+00:00,37.25,37.66,37.0483,37.1,1656273,36.5805649002,36.9831966213,36.3824897341,36.4332606121,1656273,0.0,1.0,10060048734.9608,8586048734.9608,19.3005181347,1.5877967361,-1.7370466321
