,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,76.56,76.74,76.225,76.31,1170879,67.8308994329,67.9903764692,67.5340949487,67.6094035492,1170879,0.0,1.0,12168503718.8393,28064321718.8393,-18.7188264059,1.7184150519,0.2909311574
1,2017-05-05 00:00:00+00:00,77.36,77.42,76.76,76.76,851113,68.5396862609,68.592845273,68.0080961399,68.0080961399,851113,0.0,1.0,12300536274.9043,28196354274.9043,-18.9144254279,1.7363713221,0.2939711904
2,2017-05-08 00:00:00+00:00,77.14,77.37,76.8647,77.34,1238319,68.3447698832,68.5485460962,68.100858616,68.5219665902,1238319,0.0,1.0,12265555432.3439,28161373432.3439,-18.8606356968,1.7314333478,0.2931351813
3,2017-05-09 00:00:00+00:00,75.23,76.299,75.17,76.05,922450,67.4233470069,68.3814163668,67.3695732355,68.1582552156,922450,0.87,1.0,12100191449.3307,27996009449.3307,-18.3936430318,1.6885627528,0.2858771025
4,2017-05-10 00:00:00+00:00,75.68,75.75,75.092,75.32,1183143,67.8266502922,67.8893863588,67.2996673327,67.5040076639,1183143,0.0,1.0,12172570635.19,28068388635.19,-18.5036674817,1.6986631548,0.2875871211
5,2017-05-11 00:00:00+00:00,75.38,75.72,74.96,75.35,1224550,67.5577814353,67.8624994731,67.1813650357,67.5308945496,1224550,0.0,1.0,12124317844.6171,28020135844.6171,-18.4303178484,1.6919295535,0.2864471087
6,2017-05-12 00:00:00+00:00,75.7,75.89,75.35,75.39,965606,67.8445748826,68.014858492,67.5308945496,67.5667437305,965606,0.0,1.0,12175787487.8949,28071605487.8949,-18.5085574572,1.6991120615,0.2876631219
7,2017-05-15 00:00:00+00:00,75.8,76.45,75.5301,75.65,1003412,67.9341978349,68.5167470248,67.6923054867,67.7997634065,1003412,0.0,1.0,12191871751.4192,28087689751.4192,-18.533007335,1.7013565953,0.288043126
8,2017-05-16 00:00:00+00:00,75.14,75.98,75.12,75.8,706993,67.3426863498,68.095519149,67.3247617594,67.9341978349,706993,0.0,1.0,12085715612.1588,27981533612.1588,-18.3716381418,1.6865426725,0.2855350988
9,2017-05-17 00:00:00+00:00,75.38,75.91,75.01,75.16,1126173,67.5577814353,68.0327830824,67.2261765118,67.3606109403,1126173,0.0,1.0,12124317844.6171,28020135844.6171,-18.4303178484,1.6919295535,0.2864471087
10,2017-05-18 00:00:00+00:00,75.77,75.97,74.88,75.5,958751,67.9073109492,68.0865568538,67.1096666739,67.6653289781,958751,0.0,1.0,12187046472.3619,28082864472.3619,-18.5256723716,1.7006832352,0.2879291248
11,2017-05-19 00:00:00+00:00,75.69,75.9,75.13,75.87,1107803,67.8356125874,68.0238207872,67.3337240546,67.9969339015,1107803,0.0,1.0,12174179061.5424,28069997061.5424,-18.5061124694,1.6988876082,0.2876251215
12,2017-05-22 00:00:00+00:00,76.36,76.64,75.48,75.54,1483475,68.4360863677,68.6870306341,67.6474043876,67.701178159,1483475,0.0,1.0,12281943627.1552,28177761627.1552,-18.6699266504,1.7139259844,0.2901711491
13,2017-05-23 00:00:00+00:00,76.56,77.02,76.295,76.38,778314,68.6153322723,69.0275978528,68.3778314487,68.4540109582,778314,0.0,1.0,12314112154.2039,28209930154.2039,-18.7188264059,1.7184150519,0.2909311574
14,2017-05-24 00:00:00+00:00,77.02,77.09,76.42,76.54,822958,69.0275978528,69.0903339194,68.4898601391,68.5974076819,822958,0.0,1.0,12388099766.4156,28283917766.4156,-18.8312958435,1.7287399073,0.2926791764
15,2017-05-25 00:00:00+00:00,77.86,78.115,76.77,77.2,1350757,69.7804306521,70.0089691804,68.8035404721,69.188919167,1350757,0.0,1.0,12523207580.0198,28419025580.0198,-19.0366748166,1.7475939909,0.295871211
16,2017-05-26 00:00:00+00:00,77.65,78.07,77.53,77.99,1065752,69.5922224523,69.9686388519,69.4846749095,69.89694049,1065752,0.0,1.0,12489430626.6187,28385248626.6187,-18.9853300733,1.74288047,0.2950732023
17,2017-05-30 00:00:00+00:00,78.24,78.59,77.55,77.69,1040625,70.1209978708,70.4346782038,69.5025995,69.6280716332,1040625,0.0,1.0,12584327781.4121,28480145781.4121,-19.1295843521,1.7561232192,0.2973152267
18,2017-05-31 00:00:00+00:00,79.06,79.48,78.05,78.35,2092358,70.8559060795,71.2323224791,69.9507142614,70.2195831183,2092358,0.0,1.0,12716218742.3114,28612036742.3114,-19.3300733496,1.7745283961,0.3004312605
19,2017-06-01 00:00:00+00:00,79.87,80.0,78.51,78.94,1682961,71.5818519931,71.698361831,70.3629798419,70.7483585368,1682961,0.0,1.0,12846501276.8582,28742319276.8582,-19.5281173594,1.7927091196,0.3035092939
20,2017-06-02 00:00:00+00:00,80.24,80.57,79.97,80.12,975697,71.9134569165,72.2092126591,71.6714749454,71.8059093738,975697,0.0,1.0,12906013051.8981,28801831051.8981,-19.6185819071,1.8010138946,0.3049153092
21,2017-06-05 00:00:00+00:00,80.13,80.27,79.78,80.19,1183200,71.814871669,71.9403438022,71.501191336,71.8686454404,1183200,0.0,1.0,12888320362.0214,28784138362.0214,-19.5916870416,1.7985449074,0.3044973046
22,2017-06-06 00:00:00+00:00,80.03,80.31,79.855,80.27,991014,71.7252487167,71.9761929831,71.5684085502,71.9403438022,991014,0.0,1.0,12872236098.4971,28768054098.4971,-19.5672371638,1.7963003737,0.3041173005
23,2017-06-07 00:00:00+00:00,80.45,80.61,79.99,80.08,1218383,72.1016651163,72.24506184,71.6893995358,71.7700601929,1218383,0.0,1.0,12939790005.2991,28835608005.2991,-19.6699266504,1.8057274155,0.3057133178
24,2017-06-08 00:00:00+00:00,79.31,80.3,78.875,80.25,1484044,71.0799634603,71.9672306879,70.6901036178,71.9224192118,1484044,0.0,1.0,12756429401.1221,28652247401.1221,-19.391198044,1.7801397305,0.3013812708
