,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,150.85,151.52,148.72,150.17,36060301,150.85,151.52,148.72,150.17,36060301,0.0,1.0,437189992605.8,430085992605.8,37.6184538653,7.0102541364,0.5099390413
1,2017-05-05 00:00:00+00:00,150.24,151.63,149.79,151.45,17051519,150.24,151.63,149.79,151.45,17051519,0.0,1.0,435422104667.52,428318104667.52,37.4663341646,6.9819064067,0.5078769742
2,2017-05-08 00:00:00+00:00,151.06,151.08,149.74,150.71,15662472,151.06,151.08,149.74,150.71,15662472,0.0,1.0,437798609764.88,430694609764.88,37.6708229426,7.0200131909,0.5106489332
3,2017-05-09 00:00:00+00:00,150.48,152.59,150.21,151.49,17325999,150.48,152.59,150.21,151.49,17325999,0.0,1.0,436117667135.04,429013667135.04,37.5261845387,6.9930596118,0.5086882793
4,2017-05-10 00:00:00+00:00,150.29,150.52,148.86,150.23,11653395,150.29,150.52,148.86,150.23,11653395,0.0,1.0,435567013514.92,428463013514.92,37.4788029925,6.9842299911,0.5080459961
5,2017-05-11 00:00:00+00:00,150.04,150.65,149.41,150.31,11623865,150.04,150.65,149.41,150.31,11623865,0.0,1.0,434842469277.92,427738469277.92,37.4164588529,6.9726120691,0.5072008867
6,2017-05-12 00:00:00+00:00,150.33,150.46,149.63,150.4,9497040,150.33,150.46,149.63,150.4,9497040,0.0,1.0,435682940592.84,428578940592.84,37.4887780549,6.9860888586,0.5081812136
7,2017-05-15 00:00:00+00:00,150.19,151.48,149.77,150.17,14909882,150.19,151.48,149.77,150.17,14909882,0.0,1.0,435277195820.12,428173195820.12,37.4538653367,6.9795828223,0.5077079523
8,2017-05-16 00:00:00+00:00,149.78,150.21,149.03,150.11,14420715,149.78,150.21,149.03,150.11,14420715,0.0,1.0,434088943271.44,426984943271.44,37.3516209476,6.9605294302,0.5063219728
9,2017-05-17 00:00:00+00:00,144.85,148.67,144.42,148.0,27908167,144.85,148.67,144.42,148.0,27908167,0.0,1.0,419800930917.8,412696930917.8,36.1221945137,6.7314240083,0.4896564145
