,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,28.87,29.07,28.7843,28.89,4798863,25.946533051,26.1262804224,25.8695113024,25.9645077882,4798863,0.0,1.0,11513514939.3222,34008514939.3222,-1.9506756757,2.0808485526,0.0475477196
1,2017-05-05 00:00:00+00:00,28.83,29.1,28.79,28.91,4276184,25.9105835768,26.1532425281,25.8746341025,25.9824825253,4276184,0.0,1.0,11497562719.1084,33992562719.1084,-1.947972973,2.0779654927,0.0474818412
2,2017-05-08 00:00:00+00:00,29.06,29.12,28.7,28.88,4649749,26.1172930538,26.1712172652,25.7937477854,25.9555204196,4649749,0.0,1.0,11589287985.3378,34084287985.3378,-1.9635135135,2.0945430876,0.0478606419
3,2017-05-09 00:00:00+00:00,28.76,29.2,28.745,28.94,6628822,25.8476719968,26.2431162137,25.834190944,26.009444631,6628822,0.0,1.0,11469646333.7342,33964646333.7342,-1.9432432432,2.0729201377,0.0473665541
4,2017-05-10 00:00:00+00:00,28.85,29.0,28.65,28.83,3227653,25.9285583139,26.0633688424,25.7488109426,25.9105835768,3227653,0.0,1.0,11505538829.2153,34000538829.2153,-1.9493243243,2.0794070227,0.0475147804
5,2017-05-11 00:00:00+00:00,28.81,28.87,28.605,28.85,4798122,25.8926088396,25.946533051,25.708367784,25.9285583139,4798122,0.0,1.0,11489586609.0015,33984586609.0015,-1.9466216216,2.0765239627,0.047448902
6,2017-05-12 00:00:00+00:00,28.72,28.9111,28.57,28.86,2562073,25.8117225225,25.9834711359,25.6769119941,25.9375456825,2562073,0.0,1.0,11453694113.5204,33948694113.5204,-1.9405405405,2.0700370777,0.0473006757
7,2017-05-15 00:00:00+00:00,28.93,29.06,28.69,28.69,4359891,26.0004572624,26.1172930538,25.7847604169,25.7847604169,4359891,0.0,1.0,11537443269.6429,34032443269.6429,-1.9547297297,2.0851731426,0.0476465372
8,2017-05-16 00:00:00+00:00,28.69,28.955,28.59,28.87,3270672,25.7847604169,26.0229256839,25.6948867312,25.946533051,3270672,0.0,1.0,11441729948.36,33936729948.36,-1.9385135135,2.0678747827,0.0472512669
9,2017-05-17 00:00:00+00:00,28.59,28.89,28.4701,28.71,2706533,25.6948867312,25.9645077882,25.5871281821,25.802735154,2706533,0.0,1.0,11401849397.8255,33896849397.8255,-1.9317567568,2.0606671327,0.0470865709
10,2017-05-18 00:00:00+00:00,28.16,28.83,28.14,28.43,4940490,25.3084298828,25.9105835768,25.2904551457,25.5510888341,4940490,0.0,1.0,11230363030.527,33725363030.527,-1.9027027027,2.0296742377,0.0463783784
