,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,70.73,71.27,69.93,71.09,2360431,51.5822248376,51.9760379496,50.998798005,51.8447669123,3104674,0.0,1.0,6948898959.07969,8946298959.07969,227.2011821014,4.3360095865,-0.6340498105
1,2017-05-05 00:00:00+00:00,73.29,73.32,70.46,70.88,1985626,53.449190702,53.4710692082,51.3853182816,51.6916173687,2611693,0.0,1.0,7200407248.84704,9197807248.84704,235.4244964826,4.4929470182,-0.6569985948
2,2017-05-08 00:00:00+00:00,72.85,73.29,71.8851,72.47,1224392,53.128305944,53.449190702,52.4246202555,52.8511781985,1610442,0.0,1.0,7157179261.54328,9154579261.54328,234.0111143233,4.4659733971,-0.6530542725
3,2017-05-09 00:00:00+00:00,72.6,73.24,72.48,72.95,1033711,52.9459850588,53.4127265249,52.8584710339,53.2012342981,1359639,0.0,1.0,7132617905.12069,9130017905.12069,233.2080562783,4.4506474761,-0.6508131803
4,2017-05-10 00:00:00+00:00,74.09,74.28,72.58,72.78,1679094,54.0326175346,54.1711814073,52.931399388,53.0772560962,2208512,0.0,1.0,7279003589.39934,9276403589.39934,237.9942822267,4.5419899656,-0.6641700899
5,2017-05-11 00:00:00+00:00,73.54,74.2,72.69,73.95,949184,53.6315115871,54.112838724,53.0116205775,53.9305178389,1248461,0.0,1.0,7224968605.26964,9222368605.26964,236.2275545276,4.5082729393,-0.6592396871
6,2017-05-12 00:00:00+00:00,72.75,73.66,72.7,72.88,726464,53.0553775899,53.719025612,53.0189134129,53.1501844502,955518,0.0,1.0,7147354718.97424,9144754718.97424,233.6898911053,4.4598430287,-0.6521578356
7,2017-05-15 00:00:00+00:00,74.85,75.27,74.07,74.07,1655383,54.5868730255,54.8931721127,54.0180318637,54.0180318637,2177325,0.0,1.0,7353670112.92401,9351070112.92401,240.4355786836,4.5885807656,-0.6709830103
8,2017-05-16 00:00:00+00:00,75.67,76.02,74.78,75.17,1565632,55.184885529,55.4401347682,54.5358231777,54.8202437586,2059275,0.0,1.0,7434231361.99011,9431631361.99011,243.0696090713,4.6388497867,-0.6783337928
9,2017-05-17 00:00:00+00:00,73.71,74.92,73.68,74.81,1608669,53.7554897891,54.6379228734,53.7336112829,54.5577016839,2115882,0.0,1.0,7241670327.637,9239070327.637,236.7736339983,4.5186945656,-0.6607636298
10,2017-05-18 00:00:00+00:00,72.34,72.635,69.9392,71.49,1824728,52.7563713382,52.9715099828,51.0055074136,52.1364803286,2400064,0.0,1.0,7107074094.44119,9104474094.44119,232.3728759115,4.4347085182,-0.6484824444
11,2017-05-19 00:00:00+00:00,74.31,75.06,72.75,72.88,1540957,54.1930599135,54.7400225691,53.0553775899,53.1501844502,2026820,0.0,1.0,7300617583.05122,9298017583.05122,238.7009733063,4.5554767761,-0.6661422511
12,2017-05-22 00:00:00+00:00,74.59,75.06,73.56,74.71,858731,54.3972593049,54.7400225691,53.646097258,54.4847733298,1129488,0.0,1.0,7328126302.24451,9325526302.24451,239.6003983168,4.5726418077,-0.6686522744
13,2017-05-23 00:00:00+00:00,74.52,75.0,73.8,74.7,1268881,54.3462094571,54.6962655566,53.8211253077,54.4774804944,1668959,0.0,1.0,7321249122.44619,9318649122.44619,239.3755420642,4.5683505498,-0.6680247686
14,2017-05-24 00:00:00+00:00,74.66,75.31,74.22,74.84,564324,54.4483091528,54.9223434543,54.1274243949,54.5795801901,742255,0.0,1.0,7335003482.04284,9332403482.04284,239.8252545694,4.5769330656,-0.6692797802
15,2017-05-25 00:00:00+00:00,75.32,75.39,74.55,74.98,680923,54.9296362897,54.9806861375,54.3680879633,54.6816798858,895617,0.0,1.0,7399845462.99848,9397245462.99848,241.9453278083,4.6173934972,-0.6751962637
16,2017-05-26 00:00:00+00:00,75.25,75.62,75.15,75.28,683954,54.8785864418,55.1484213519,54.8056580878,54.9004649481,899604,0.0,1.0,7392968283.20015,9390368283.20015,241.7204715557,4.6131022393,-0.6745687578
17,2017-05-30 00:00:00+00:00,75.0,75.7,74.78,75.21,549302,54.6962655566,55.2067640352,54.5358231777,54.8494151002,722496,0.0,1.0,7368406926.77756,9365806926.77756,240.9174135106,4.5977763183,-0.6723276656
18,2017-05-31 00:00:00+00:00,75.37,75.53,74.33,74.93,1878819,54.9661004667,55.0827858332,54.2076455843,54.6452157088,2471210,0.0,1.0,7404757734.283,9402157734.283,242.1059394173,4.6204586814,-0.6756444821
19,2017-06-01 00:00:00+00:00,76.13,76.68,75.19,75.45,896278,55.5203559577,55.9214619051,54.8348294294,55.02444315,1178874,0.0,1.0,7479424257.80768,9476824257.80768,244.5472358742,4.6670494815,-0.6824574024
20,2017-06-02 00:00:00+00:00,76.47,76.61,75.78,76.02,754978,55.7683123616,55.8704120573,55.2651067184,55.4401347682,993022,0.0,1.0,7512827702.54241,9510227702.54241,245.6393948155,4.6878927341,-0.6855052879
21,2017-06-05 00:00:00+00:00,75.81,76.59,75.73,76.13,488444,55.2869852247,55.8558263864,55.2286425414,55.5203559577,642450,0.0,1.0,7447985721.58676,9445385721.58676,243.5193215766,4.6474323025,-0.6795888044
22,2017-06-06 00:00:00+00:00,76.0,76.11,75.1,75.61,1193659,55.4255490974,55.5057702869,54.7691939107,55.1411285165,1570019,0.0,1.0,7466652352.46793,9464052352.46793,244.1296456908,4.6590800025,-0.6812920345
23,2017-06-07 00:00:00+00:00,76.19,76.39,75.32,76.19,983465,55.5641129701,55.7099696783,54.9296362897,55.5641129701,1293551,0.0,1.0,7485318983.3491,9482718983.3491,244.739969805,4.6707277025,-0.6829952646
24,2017-06-08 00:00:00+00:00,76.25,76.59,75.83,76.08,965556,55.6078699826,55.8558263864,55.3015708955,55.4838917807,1269995,0.0,1.0,7491213708.89052,9488613708.89052,244.9327037358,4.6744059236,-0.6835331267
25,2017-06-09 00:00:00+00:00,76.62,77.38,76.06,76.26,707164,55.8777048927,56.4319603836,55.4693061098,55.615162818,930132,0.0,1.0,7527564516.39596,9524964516.39596,246.1212296425,4.6970882867,-0.6868499432
26,2017-06-12 00:00:00+00:00,75.42,77.01,75.31,76.44,851295,55.0025646438,56.1621254736,54.9223434543,55.7464338553,1119708,0.0,1.0,7409670005.56752,9407070005.56752,242.2665510263,4.6235238656,-0.6760927005
27,2017-06-13 00:00:00+00:00,76.77,76.8,75.27,75.55,1306824,55.9870974238,56.00897593,54.8931721127,55.0973715041,1718865,0.0,1.0,7542301330.24952,9539701330.24952,246.6030644695,4.7062838394,-0.6881945985
28,2017-06-14 00:00:00+00:00,75.82,76.925,75.51,76.91,1513131,55.2942780601,56.1001363726,55.0682001624,56.0891971195,1990221,0.0,1.0,7448968175.84367,9446368175.84367,243.5514438984,4.6480453393,-0.6796784481
29,2017-06-15 00:00:00+00:00,75.82,75.85,74.47,75.0,1282144,55.2942780601,55.3161565663,54.30974528,54.6962655566,1686403,0.0,1.0,7448968175.84367,9446368175.84367,243.5514438984,4.6480453393,-0.6796784481
30,2017-06-16 00:00:00+00:00,76.15,76.58,75.47,76.01,1771665,55.5349416285,55.848533551,55.0390288208,55.4328419328,2330270,0.0,1.0,7481389166.32149,9478789166.32149,244.6114805178,4.6682755551,-0.6826366898
31,2017-06-19 00:00:00+00:00,75.61,76.99,75.58,76.47,1671028,55.1411285165,56.1475398028,55.1192500103,55.7683123616,2197902,0.0,1.0,7428336636.44869,9425736636.44869,242.8768751405,4.6351715657,-0.6777959306
32,2017-06-20 00:00:00+00:00,75.83,76.18,75.25,75.25,959383,55.3015708955,55.5568201347,54.8785864418,54.8785864418,1261876,0.0,1.0,7449950630.10057,9447350630.10057,243.5835662202,4.6486583762,-0.6797680918
33,2017-06-21 00:00:00+00:00,75.59,76.34,75.54,75.9,1067526,55.1265428457,55.6735055013,55.0900786687,55.3526207433,1404116,0.0,1.0,7426371727.93488,9423771727.93488,242.8126304969,4.633945492,-0.6776166432
34,2017-06-22 00:00:00+00:00,74.26,75.98,74.25,75.6,715889,54.1565957365,55.4109634266,54.1493029011,55.1338356811,941608,0.0,1.0,7295705311.7667,9293105311.7667,238.5403616973,4.5524115919,-0.6656940326
35,2017-06-23 00:00:00+00:00,74.78,75.19,73.375,74.02,920229,54.5358231777,54.8348294294,53.5111798029,53.9815676867,1210377,0.0,1.0,7346792933.12568,9344192933.12568,240.210722431,4.5842895077,-0.6703555045
36,2017-06-26 00:00:00+00:00,74.77,75.42,74.59,75.18,477563,54.5285303423,55.0025646438,54.3972593049,54.827536594,628138,0.0,1.0,7345810478.86878,9343210478.86878,240.1786001092,4.5836764709,-0.6702658608
37,2017-06-27 00:00:00+00:00,74.01,75.43,74.01,75.15,534655,53.9742748513,55.0098574792,53.9742748513,54.8056580878,703231,0.0,1.0,7271143955.34411,9268543955.34411,237.7373036523,4.5370856709,-0.6634529404
38,2017-06-28 00:00:00+00:00,75.02,75.42,74.19,74.29,510416,54.8311830117,55.1235380264,54.2245463561,54.2976351098,671350,0.165,1.0,7386582330.53029,9383982330.53029,240.9816581542,4.5990023919,-0.672506953
39,2017-06-29 00:00:00+00:00,73.36,75.09,72.61,75.01,994001,53.6179097006,54.8823451393,53.069744048,54.8238741363,1307409,0.0,1.0,7223136227.2421,9220536227.2421,235.6493527352,4.4972382761,-0.6576261007
40,2017-06-30 00:00:00+00:00,73.05,73.72,71.43,72.62,3331957,53.3913345642,53.8810292138,52.2072967545,53.0770529233,4382522,0.0,1.0,7192613159.76057,8929413159.76057,186.3425335442,4.1890080296,13.0439773481
41,2017-07-03 00:00:00+00:00,73.57,73.83,72.65,73.62,551592,53.7713960833,53.9614268429,53.0989795494,53.8079404602,725508,0.0,1.0,7243813143.92313,8980613143.92313,187.6689964798,4.2188271148,13.1368297536
42,2017-07-05 00:00:00+00:00,73.55,73.96,72.82,73.65,922107,53.7567783326,54.0564422227,53.2232304307,53.8298670863,1212847,0.0,1.0,7241843913.76303,8978643913.76303,187.6179786746,4.2176802269,13.1332585072
43,2017-07-06 00:00:00+00:00,73.6,73.9,72.84,73.23,742686,53.7933227094,54.0125889705,53.2378481814,53.5228943208,976854,0.0,1.0,7246766989.16328,8983566989.16328,187.7455231876,4.2205474467,13.1421866231
44,2017-07-07 00:00:00+00:00,74.59,74.93,73.56,73.84,665485,54.5169013709,54.7654031334,53.7640872079,53.9687357182,875312,0.0,1.0,7344243882.08816,9081043882.08816,190.2709045457,4.2773183974,13.3189633182
45,2017-07-10 00:00:00+00:00,75.87,76.48,74.04,74.35,1052672,55.452437418,55.8982788154,54.1149132256,54.341488362,1384579,0.0,1.0,7470274612.33448,9207074612.33448,193.5360440794,4.3507192225,13.5475230856
46,2017-07-11 00:00:00+00:00,74.23,75.59,73.93,75.56,1308083,54.2537818576,55.2477889077,54.0345155966,55.2258622816,1720521,0.0,1.0,7308797739.20639,9045597739.20639,189.3525840518,4.2566744153,13.2546808836
47,2017-07-12 00:00:00+00:00,75.53,75.66,74.87,74.97,788958,55.2039356555,55.2989510352,54.7215498812,54.7946386348,1037716,0.0,1.0,7436797699.6128,9173597699.6128,192.6687413907,4.3312221283,13.4868118974
48,2017-07-13 00:00:00+00:00,76.83,77.05,75.4,75.9,1400148,56.1540894533,56.3148847114,55.1089202757,55.4743640441,1841614,0.0,1.0,7564797660.01922,9301597660.01922,195.9848987297,4.4057698414,13.7189429111
49,2017-07-14 00:00:00+00:00,76.49,77.22,76.39,76.99,864220,55.9055876908,56.4391355927,55.8324989371,56.2710314592,1136708,0.0,1.0,7531320747.29754,9268120747.29754,195.117596041,4.3862727472,13.6582317229
50,2017-07-17 00:00:00+00:00,76.78,77.18,76.45,76.45,736552,56.1175450765,56.4099000912,55.8763521893,55.8763521893,968786,0.0,1.0,7559874584.61898,9296674584.61898,195.8573542166,4.4029026217,13.7100147952
51,2017-07-18 00:00:00+00:00,76.0,76.48,75.85,76.15,661046,55.5474527978,55.8982788154,55.4378196672,55.6570859283,869473,0.0,1.0,7483074608.37512,9219874608.37512,193.8676598133,4.3581739938,13.5707361869
