,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,131.4,135.5,128.6,133.63,810400,119.2013797765,122.9207531181,116.6613199335,121.2243560086,810400,0.0,1.0,8610959150.1353,11604216150.1353,41.0625,4.2720994824,-1.4115234375
1,2017-05-05 00:00:00+00:00,132.78,133.15,131.25,131.47,403239,120.4532664134,120.7889171784,119.0653051421,119.2648812726,403239,0.0,1.0,8701393880.9358,11694650880.9358,41.49375,4.3169662806,-1.4263476562
2,2017-05-08 00:00:00+00:00,130.44,133.45,130.19,132.94,366806,118.330502116,121.0610664473,118.1037110586,120.5984126902,366806,0.0,1.0,8548048033.05666,11541305033.0567,40.7625,4.2408877967,-1.4012109375
3,2017-05-09 00:00:00+00:00,130.55,130.675,129.21,130.63,395407,118.4302901813,118.54368571,117.2146901136,118.5028633197,395407,0.0,1.0,8555256598.55526,11548513598.5553,40.796875,4.2444641357,-1.4023925781
4,2017-05-10 00:00:00+00:00,132.0,132.33,129.94,130.51,379164,119.7456783143,120.0450425101,117.8769200012,118.3940036121,379164,0.0,1.0,8650278598.30942,11643535598.3094,41.25,4.291606786,-1.41796875
5,2017-05-11 00:00:00+00:00,129.72,131.48,129.14,131.48,409420,117.6773438707,119.2739529149,117.1511886175,119.2739529149,409420,0.0,1.0,8500864695.24768,11494121695.2477,40.5375,4.2174790324,-1.3934765625
6,2017-05-12 00:00:00+00:00,125.43,129.76,125.27,129.61,833370,113.7856093255,117.7136304399,113.6404630487,117.5775558054,833370,0.0,1.0,8219730640.80266,11212987640.8027,39.196875,4.0780018119,-1.3473925781
7,2017-05-15 00:00:00+00:00,126.57,127.365,125.03,125.37,618723,114.8197765473,115.5409721098,113.4227436336,113.7311794717,618723,0.0,1.0,8294437592.3335,11287694592.3335,39.553125,4.1150656887,-1.3596386719
8,2017-05-16 00:00:00+00:00,122.46,126.44,122.46,126.44,867234,111.0913315634,114.7018451974,111.0913315634,114.7018451974,867234,0.0,1.0,8025099372.34067,11018356372.3407,38.26875,3.9814406592,-1.3154882812
9,2017-05-17 00:00:00+00:00,122.97,123.86,121.7301,122.12,726331,111.5539853205,112.3613614849,110.4291923922,110.7828957253,726331,0.0,1.0,8058520903.28866,11051777903.2887,38.428125,3.9980218672,-1.3209667969
10,2017-05-18 00:00:00+00:00,124.29,124.51,121.87,123.05,710675,112.7514421037,112.9510182342,110.5561046679,111.6265584589,710675,0.0,1.0,8145023689.27175,11138280689.2718,38.840625,4.0409379351,-1.3351464844
11,2017-05-19 00:00:00+00:00,125.59,127.12,123.59,124.53,750511,113.9307556022,115.3187168736,112.1164271429,112.9691615188,750511,0.0,1.0,8230215826.98239,11223472826.9824,39.246875,4.0832037595,-1.3491113281
12,2017-05-22 00:00:00+00:00,126.48,126.71,124.915,125.75,787800,114.7381317666,114.9467795394,113.3184197472,114.075901879,787800,0.0,1.0,8288539675.10736,11281796675.1074,39.525,4.1121395931,-1.358671875
13,2017-05-23 00:00:00+00:00,125.71,126.98,125.33,126.61,532264,114.0396153098,115.1917138814,113.6948929025,114.8560631165,532264,0.0,1.0,8238079716.61725,11231336716.6173,39.284375,4.0871052202,-1.3504003906
14,2017-05-24 00:00:00+00:00,127.4,127.93,125.72,125.78,471168,115.5727228579,116.0535198996,114.0486869521,114.1031168058,471168,0.0,1.0,8348829495.64108,11342086495.6411,39.8125,4.1420507919,-1.3685546875
15,2017-05-25 00:00:00+00:00,127.38,128.6,126.96,127.74,416484,115.5545795733,116.6613199335,115.1735705968,115.881158696,416484,0.0,1.0,8347518847.36854,11340775847.3685,39.80625,4.1414005485,-1.3683398438
16,2017-05-26 00:00:00+00:00,126.32,127.48,125.52,127.45,406914,114.5929854899,115.6452959963,113.8672541061,115.6180810694,406914,0.0,1.0,8278054488.92764,11271311488.9276,39.475,4.1069376455,-1.356953125
17,2017-05-30 00:00:00+00:00,123.82,126.22,123.79,126.09,524817,112.3250749157,114.5022690669,112.2978599888,114.384337717,524817,0.0,1.0,8114223454.8687,11107480454.8687,38.69375,4.0256572139,-1.3300976562
18,2017-05-31 00:00:00+00:00,122.74,124.505,122.26,123.99,1885403,111.3453375477,112.946482413,110.9098987175,112.4792928348,1885403,0.0,1.0,8043448448.15526,11036705448.1553,38.35625,3.9905440675,-1.3184960938
19,2017-06-01 00:00:00+00:00,124.29,124.75,122.13,122.55,524554,112.7514421037,113.1687376493,110.7919673676,111.1729763441,524554,0.0,1.0,8145023689.27175,11138280689.2718,38.840625,4.0409379351,-1.3351464844
20,2017-06-02 00:00:00+00:00,123.37,125.98,122.99,125.29,541381,111.9168510124,114.2845496518,111.5721286051,113.6586063333,541381,0.0,1.0,8084733868.73811,11077990868.7381,38.553125,4.0110267363,-1.3252636719
21,2017-06-05 00:00:00+00:00,121.73,123.03,121.27,122.88,557168,110.4291016758,111.6084151743,110.0118061301,111.4723405399,557168,0.0,1.0,7977260710.39549,10970517710.3955,38.040625,3.9577067732,-1.3076464844
22,2017-06-06 00:00:00+00:00,122.18,123.03,120.495,121.85,425999,110.8373255791,111.6084151743,109.3087538521,110.5379613833,425999,0.0,1.0,8006750296.52608,11000007296.5261,38.18125,3.9723372508,-1.3124804688
23,2017-06-07 00:00:00+00:00,124.99,125.62,122.285,122.41,570390,113.3864570644,113.9579705291,110.9325778232,111.0459733519,570390,0.0,1.0,8190896378.80827,11184153378.8083,39.059375,4.0636964559,-1.3426660156
24,2017-06-08 00:00:00+00:00,122.88,125.39,122.73,125.39,588750,111.4723405399,113.7493227563,111.3362659054,113.7493227563,588750,0.0,1.0,8052622986.0626,11045879986.0626,38.4,3.9950957717,-1.32
25,2017-06-09 00:00:00+00:00,124.68,125.2,122.07,122.92,621898,113.1052361532,113.5769615526,110.7375375138,111.508627109,621898,0.0,1.0,8170581330.58494,11163838330.5849,38.9625,4.0536176824,-1.3393359375
26,2017-06-12 00:00:00+00:00,126.94,127.11,124.55,124.55,571815,115.1554273122,115.3096452313,112.9873048034,112.9873048034,571815,0.0,1.0,8318684585.37422,11311941585.3742,39.66875,4.1270951925,-1.3636132812
27,2017-06-13 00:00:00+00:00,127.88,128.69,125.81,126.62,741216,116.0081616881,116.7429647141,114.1303317327,114.8651347588,741216,0.0,1.0,8380285054.18033,11373542054.1803,39.9625,4.1576566348,-1.3737109375
28,2017-06-14 00:00:00+00:00,126.99,128.97,126.35,128.94,384716,115.2007855237,116.9969706984,114.6202004167,116.9697557716,384716,0.0,1.0,8321961206.05542,11315218206.0554,39.684375,4.1287208012,-1.3641503906
29,2017-06-15 00:00:00+00:00,128.32,128.81,126.34,126.34,477201,116.4073139492,116.8518244217,114.6111287745,114.6111287745,477201,0.0,1.0,8409119316.17472,11402376316.1747,40.1,4.1719619907,-1.3784375
30,2017-06-16 00:00:00+00:00,125.37,128.71,124.78,128.59,933465,113.7311794717,116.7611079987,113.1959525762,116.6522482912,933465,0.0,1.0,8215798695.98519,11209055695.9852,39.178125,4.0760510815,-1.3467480469
31,2017-06-19 00:00:00+00:00,125.19,125.64,124.12,125.15,744452,113.5678899104,113.9761138137,112.5972241846,113.5316033412,744452,0.0,1.0,8204002861.533,11197259861.533,39.121875,4.0701988904,-1.3448144531
32,2017-06-20 00:00:00+00:00,123.84,125.3,122.57,123.93,535642,113.2322391454,114.5671799493,112.0710235146,113.3145300169,535642,0.98,1.0,8179755868.49228,11173012868.4923,38.7,4.0263074574,-1.3303125
33,2017-06-21 00:00:00+00:00,123.33,124.31,122.76,124.05,453300,112.765924207,113.6619803631,112.2447486877,113.4242511788,453300,0.0,1.0,8146069858.37494,11139326858.3749,38.540625,4.0097262494,-1.3248339844
34,2017-06-22 00:00:00+00:00,124.19,124.51,122.53,123.06,404890,113.5522592011,113.8448489663,112.034449794,112.5190515926,404890,0.0,1.0,8202873718.57279,11196130718.5728,38.809375,4.0376867178,-1.3340722656
35,2017-06-23 00:00:00+00:00,125.05,126.19,123.48,124.34,1106080,114.3385941952,115.3809452338,112.9030756595,113.6894106536,1106080,0.0,1.0,8259677578.77064,11252934578.7706,39.078125,4.0656471863,-1.3433105469
36,2017-06-26 00:00:00+00:00,127.72,129.0,125.47,125.47,605504,116.7798900488,117.9502491098,114.722618262,114.722618262,605504,0.0,1.0,8436033749.38498,11429290749.385,39.9125,4.1524546872,-1.3719921875
37,2017-06-27 00:00:00+00:00,127.44,128.24,126.981,127.15,453365,116.5238740043,117.2553484173,116.1041905597,116.2587145295,453365,0.0,1.0,8417539469.32052,11410796469.3205,39.825,4.1433512788,-1.368984375
38,2017-06-28 00:00:00+00:00,128.13,129.0,127.4297,127.74,517395,117.1547706855,117.9502491098,116.5144562712,116.7981769092,517395,0.0,1.0,8463114659.47928,11456371659.4793,40.040625,4.1657846779,-1.3763964844
39,2017-06-29 00:00:00+00:00,127.71,129.14,126.89,128.08,500470,116.7707466187,118.0782571321,116.0209853453,117.1090535347,500470,0.0,1.0,8435373239.38265,11428630239.3827,39.909375,4.1521295654,-1.3718847656
40,2017-06-30 00:00:00+00:00,126.39,128.48,125.965,128.23,393812,115.5638138371,117.4747907413,115.1752180551,117.2462049872,393812,0.0,1.0,8348185919.07898,11394847919.079,36.5289017341,4.0783340308,1.1099166296
41,2017-07-03 00:00:00+00:00,129.04,129.38,126.87,127.09,273984,117.9868228304,118.297699456,116.0026984849,116.2038539485,273984,0.0,1.0,8523221069.68865,11569883069.6887,37.2947976879,4.1638438431,1.1331880836
42,2017-07-05 00:00:00+00:00,126.26,129.19,125.72,129.11,603852,115.444949245,118.1239742829,114.9512040161,118.0508268416,603852,0.0,1.0,8339599289.04908,11386261289.0491,36.4913294798,4.0741392098,1.1087750111
43,2017-07-06 00:00:00+00:00,125.38,126.71,124.96,125.93,435998,114.6403273906,115.8564036023,114.2563033237,115.1432160496,435998,0.0,1.0,8281474408.84656,11328136408.8466,36.2369942197,4.0457434985,1.1010471321
44,2017-07-07 00:00:00+00:00,126.28,126.73,125.17,125.47,331384,115.4632361053,115.8746904626,114.4483153571,114.722618262,331384,0.0,1.0,8340920309.05367,11387582309.0537,36.4971098266,4.0747845669,1.1089506447
45,2017-07-10 00:00:00+00:00,124.76,126.72,124.7,126.64,471268,114.0734347204,115.8655470325,114.0185741394,115.7923995912,471268,0.0,1.0,8240522788.70391,11287184788.7039,36.0578034682,4.0257374292,1.09560249
46,2017-07-11 00:00:00+00:00,124.84,125.545,122.9701,124.74,422407,114.1465821617,114.7911939883,112.4368521555,114.0551478601,422407,0.0,1.0,8245806868.72236,11292468868.7224,36.0809248555,4.0283188575,1.0963050245
47,2017-07-12 00:00:00+00:00,125.41,127.7,125.18,125.95,439159,114.6677576811,116.7616031885,114.4574587873,115.1615029099,439159,0.0,1.0,8283455938.85349,11330117938.8535,36.2456647399,4.0467115341,1.1013105825
48,2017-07-13 00:00:00+00:00,126.67,126.99,125.32,125.42,321631,115.8198298817,116.1124196469,114.5854668096,114.6769011112,321631,0.0,1.0,8366680199.14338,11413342199.1434,36.6098265896,4.0873690298,1.1123755002
49,2017-07-14 00:00:00+00:00,128.27,128.81,126.83,127.33,402152,117.2827787078,117.7765239367,115.9661247643,116.4232962725,402152,0.0,1.0,8472361799.51151,11519023799.5115,37.0722543353,4.1389975958,1.1264261894
50,2017-07-17 00:00:00+00:00,129.01,129.57,127.88,128.12,322249,117.9593925399,118.4714246291,116.9261849315,117.1456272554,322249,0.0,1.0,8521239539.68173,11567901539.6817,37.2861271676,4.1628758075,1.1329246332
51,2017-07-18 00:00:00+00:00,128.71,129.3,127.685,128.81,454866,117.685089635,118.2245520147,116.7478880433,117.7765239367,454866,0.0,1.0,8501424239.61274,11548086239.6127,37.1994219653,4.1531954514,1.1302901289
52,2017-07-19 00:00:00+00:00,129.93,129.95,128.38,128.93,351330,118.800588115,118.8188749753,117.3833564396,117.8862450986,351330,0.0,1.0,8582006459.89344,11628668459.8934,37.5520231214,4.1925622329,1.1410037795
53,2017-07-20 00:00:00+00:00,130.0,131.16,129.74,130.24,330421,118.8645921261,119.9252300251,118.6268629419,119.0840344501,330421,0.0,1.0,8586630029.90955,11633292029.9095,37.5722543353,4.1948209827,1.1416184971
54,2017-07-21 00:00:00+00:00,130.48,131.21,129.15,130.86,324872,119.303476774,119.9709471759,118.0874005622,119.6509271202,324872,0.0,1.0,8618334510.01997,11664996510.02,37.710982659,4.2103095525,1.1458337039
55,2017-07-24 00:00:00+00:00,131.26,131.31,128.865,130.74,410859,120.0166643267,120.0623814776,117.8268128026,119.5412059582,410859,0.0,1.0,8669854290.19944,11716516290.1994,37.936416185,4.2354784784,1.1526834149
56,2017-07-25 00:00:00+00:00,132.13,132.24,130.37,131.19,481364,120.812142751,120.9127204828,119.2028990422,119.9526603156,481364,0.0,1.0,8727318660.39956,11773980660.3996,38.1878612717,4.2635515111,1.1603234771
57,2017-07-26 00:00:00+00:00,132.7,133.51,131.66,132.25,387625,121.3333182703,122.0739361135,120.3824015333,120.9218639129,387625,0.0,1.0,8764967730.53075,11811629730.5308,38.3526011561,4.2819441877,1.1653290351
58,2017-07-27 00:00:00+00:00,135.03,135.57,131.76,132.56,435807,123.4637374984,123.9574827272,120.4738358349,121.205310248,435807,0.0,1.0,8918866561.06677,11965528561.0668,39.0260115607,4.3571282869,1.1857903513
59,2017-07-28 00:00:00+00:00,132.81,135.59,132.44,135.03,459771,121.4338960021,123.9757695875,121.095589086,123.4637374984,459771,0.0,1.0,8772233340.55606,11818895340.5561,38.3843930636,4.2854936516,1.16629502
60,2017-07-31 00:00:00+00:00,132.63,133.12,131.18,133.12,761046,121.2693142591,121.7173423372,119.9435168854,121.7173423372,761046,0.0,1.0,8760344160.51463,11807006160.5146,38.3323699422,4.279685438,1.1647143175
61,2017-08-01 00:00:00+00:00,134.4,135.12,132.28,132.95,581776,122.8877013981,123.5460283699,120.9492942034,121.5619040244,581776,0.0,1.0,8877254430.92186,11923916430.9219,38.8439306358,4.336799539,1.1802578924
62,2017-08-02 00:00:00+00:00,132.84,134.08,132.13,134.08,434743,121.4613262926,122.5951116329,120.812142751,122.5951116329,434743,0.0,1.0,8776212059.15114,11822874059.1511,38.3930635838,4.2864616872,1.1665584704
63,2017-08-03 00:00:00+00:00,132.98,134.04,131.8,132.69,448195,121.5893343149,122.5585379122,120.5104095556,121.3241748401,448195,0.0,1.0,8785461304.01929,11832123304.0193,38.4335260116,4.2909791868,1.1677879057
64,2017-08-04 00:00:00+00:00,133.64,134.87,132.48,132.88,409154,122.1928007057,123.3174426158,121.1321628067,121.4979000132,409154,0.0,1.0,8829064886.96899,11875726886.969,38.6242774566,4.3122759702,1.173583815
65,2017-08-07 00:00:00+00:00,133.41,134.14,132.82,133.63,251902,121.9825018119,122.6499722138,121.4430394322,122.1836572755,251902,0.0,1.0,8813869698.97133,11860531698.9713,38.5578034682,4.3048543638,1.1715640285
66,2017-08-08 00:00:00+00:00,132.59,134.01,131.57,133.16,338600,121.2327405385,122.5311076217,120.3001106618,121.7539160578,338600,0.0,1.0,8759695550.45812,11806357550.4581,38.3208092486,4.2783947238,1.1643630502
67,2017-08-09 00:00:00+00:00,132.75,133.505,132.0,132.88,349396,121.3790354211,122.0693643984,120.6932781588,121.4979000132,349396,0.0,1.0,8770266116.02163,11816928116.0216,38.3670520231,4.2835575804,1.1657681192
68,2017-08-10 00:00:00+00:00,132.04,133.0,131.68,132.45,311719,120.7298518795,121.6076211752,120.4006883936,121.1047325162,311719,0.0,1.0,8723359231.3333,11770021231.3333,38.161849711,4.2606474043,1.1595331258
69,2017-08-11 00:00:00+00:00,129.4,132.09,129.12,131.84,364816,118.3159863163,120.7755690303,118.0599702717,120.5469832762,364816,0.0,1.0,8548944899.5345,11595606899.5345,37.3988439306,4.1754602705,1.1363494887
70,2017-08-14 00:00:00+00:00,131.06,131.58,128.13,129.21,404390,119.8337957235,120.309254092,117.1547706855,118.1422611432,404390,0.0,1.0,8658614517.2565,11705276517.2565,37.8786127168,4.2290249076,1.1509270787
71,2017-08-15 00:00:00+00:00,129.27,131.35,128.57,131.35,512189,118.1971217242,120.0989551982,117.5570816127,120.0989551982,512189,0.0,1.0,8540356315.01411,11587018315.0141,37.3612716763,4.1712654495,1.1352078702
72,2017-08-16 00:00:00+00:00,129.65,130.46,129.375,129.42,489623,118.5445720704,119.2851899136,118.2931277409,118.3342731766,489623,0.0,1.0,8565461408.22752,11612123408.2275,37.4710982659,4.1835272339,1.1385449088
73,2017-08-17 00:00:00+00:00,128.55,130.02,128.55,129.48,505712,117.5387947524,118.8828789865,117.5387947524,118.3891337576,505712,0.0,1.0,8492788769.97802,11539450769.978,37.1531791908,4.1480325948,1.12888506
74,2017-08-18 00:00:00+00:00,126.96,128.22,125.87,128.22,1327374,116.0849893564,117.237061557,115.0883554686,117.237061557,1327374,0.0,1.0,8387743774.69009,11434405774.6901,36.6936416185,4.0967267074,1.1149221876
