,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,194.55,195.13,193.38,194.28,1093721,182.814407503,183.3594208998,181.7149839267,182.56069437,1093721,0.0,1.0,55152446428.405,56873446428.405,21.8841394826,5.5653880398,1.0115335583
1,2017-05-05 00:00:00+00:00,195.97,195.99,194.27,194.75,697063,184.148750647,184.1675442124,182.5512975873,183.0023431571,697063,0.0,1.0,55554998337.5714,57275998337.5714,22.0438695163,5.6060092221,1.0189166354
2,2017-05-08 00:00:00+00:00,196.33,196.5,195.13,195.59,883606,184.4870348243,184.6467801303,183.3594208998,183.7916729042,883606,0.0,1.0,55657053751.163,57378053751.163,22.0843644544,5.61630755,1.0207884014
3,2017-05-09 00:00:00+00:00,196.59,197.0,196.07,196.49,736816,184.7313511746,185.1166192655,184.242718474,184.6373833476,736816,0.0,1.0,55730760438.7569,57451760438.7569,22.1136107987,5.6237452312,1.0221402325
4,2017-05-10 00:00:00+00:00,194.39,195.89,193.35,195.06,1359764,182.6640589798,184.0735763853,181.6867935786,183.2936434209,1359764,0.0,1.0,55107088466.8088,56828088466.8088,21.8661417323,5.5608110051,1.0107016623
5,2017-05-11 00:00:00+00:00,194.98,195.43,193.17,194.26,896878,183.2184691593,183.641324381,181.5176514899,182.5419008046,896878,0.0,1.0,55274345950.1949,56995345950.1949,21.9325084364,5.5776888203,1.0137692788
6,2017-05-12 00:00:00+00:00,195.59,195.64,194.17,194.36,660211,183.7916729042,183.8386568177,182.4573297603,182.6358686317,660211,0.0,1.0,55447273178.7806,57168273178.7806,22.0011248594,5.5951387648,1.0169408824
7,2017-05-15 00:00:00+00:00,195.18,196.03,194.88,195.48,853973,183.4064048134,184.2051313432,183.1245013323,183.6883082945,853973,0.0,1.0,55331043402.19,57052043402.19,21.9550056243,5.5834101136,1.0148091489
8,2017-05-16 00:00:00+00:00,195.29,196.19,194.81,195.07,785189,183.5097694231,184.3554798665,183.0587238533,183.3030402036,785189,0.0,1.0,55362227000.7876,57083227000.7876,21.9673790776,5.5865568249,1.0153810774
9,2017-05-17 00:00:00+00:00,192.01,194.24,191.61,193.72,1367096,180.4276246963,182.5231072392,180.0517533881,182.0344745386,1367096,0.0,1.0,54432388788.0649,56153388788.0649,21.5984251969,5.4927276151,0.9983272091
10,2017-05-18 00:00:00+00:00,192.64,193.51,190.305,191.79,1248474,181.0196220066,181.8371421018,178.8254732453,180.2208954768,1248474,0.0,1.0,54610985761.85,56331985761.85,21.6692913386,5.5107496889,1.0016027997
11,2017-05-19 00:00:00+00:00,195.87,196.5,192.956,193.21,1062959,184.0547828199,184.6467801303,181.31656034,181.5552386207,1062959,0.0,1.0,55526649611.5739,57247649611.5739,22.0326209224,5.6031485754,1.0183967004
12,2017-05-22 00:00:00+00:00,197.75,199.0,196.295,197.48,1453350,185.8213779683,186.9959758062,184.4541460848,185.5676648352,1453350,0.0,1.0,56059605660.3294,57780605660.3294,22.2440944882,5.6569287323,1.0281714786
13,2017-05-23 00:00:00+00:00,199.32,199.37,197.04,198.22,1012683,187.2966728528,187.3436567663,185.1542063963,186.2630267553,1012683,0.0,1.0,56504680658.4922,58225680658.4922,22.4206974128,5.7018408845,1.0363344582
14,2017-05-24 00:00:00+00:00,199.98,200.608,199.08,199.6,679103,187.9168605112,188.506978465,187.0711500679,187.5597827685,679103,0.0,1.0,56691782250.0767,58412782250.0767,22.4949381327,5.7207211523,1.0397660292
15,2017-05-25 00:00:00+00:00,201.09,201.9,200.19,200.51,1122111,188.9599033913,189.7210427903,188.114192948,188.4148899945,1122111,0.0,1.0,57006453108.6504,58727453108.6504,22.6197975253,5.7524743301,1.0455373078
16,2017-05-26 00:00:00+00:00,202.24,202.576,200.85,201.09,751108,190.0405334023,190.3562653011,188.7343806064,188.9599033913,751108,0.0,1.0,57332463457.6234,59053463457.6234,22.7491563555,5.7853717664,1.0515165604
17,2017-05-30 00:00:00+00:00,202.01,202.65,200.95,202.19,919219,189.8244074001,190.4258014931,188.8283484335,189.9935494888,919219,0.0,1.0,57267261387.8289,58988261387.8289,22.7232845894,5.7787922792,1.0503207099
18,2017-05-31 00:00:00+00:00,203.25,203.28,201.58,202.37,1443319,190.9896084554,191.0177988035,189.4203457438,190.1626915774,1443319,0.0,1.0,57618785590.1996,59339785590.1996,22.8627671541,5.8142642975,1.056767904
19,2017-06-01 00:00:00+00:00,202.52,203.47,201.88,203.16,1290887,190.303643318,191.1963376748,189.7022492249,190.905037411,1290887,0.0,1.0,57411839890.4167,59132839890.4167,22.7806524184,5.793381577,1.0529723785
20,2017-06-02 00:00:00+00:00,203.7,205.07,202.58,202.7,916370,191.412463677,192.6998229075,190.3600240142,190.4727854066,916370,0.0,1.0,57746354857.1888,59467354857.1888,22.9133858268,5.8271372074,1.0591076115
21,2017-06-05 00:00:00+00:00,201.47,203.48,201.34,203.37,848438,189.3169811341,191.2057344575,189.1948229589,191.1023698478,848438,0.0,1.0,57114178267.4416,58835178267.4416,22.6625421822,5.7633447873,1.0475130609
22,2017-06-06 00:00:00+00:00,198.44,201.24,198.3,200.93,1190903,186.4697559748,189.1008551319,186.338201017,188.8095548681,1190903,0.0,1.0,56255211869.713,57976211869.713,22.3217097863,5.6766671941,1.0317590301
23,2017-06-07 00:00:00+00:00,198.87,199.02,197.73,198.85,938575,186.8738176311,187.0147693716,185.8025844028,186.8550240657,938575,0.0,1.0,56377111391.503,58098111391.503,22.3700787402,5.6889679746,1.0339947507
24,2017-06-08 00:00:00+00:00,199.64,199.83,197.59,199.36,991930,187.5973698993,187.7759087706,185.671029445,187.3342599836,991930,0.0,1.0,56595396581.6848,58316396581.6848,22.4566929134,5.7109949538,1.0379982502
25,2017-06-09 00:00:00+00:00,199.47,200.7414,198.44,199.64,1055481,187.4376245933,188.6323315463,186.4697559748,187.5973698993,1055481,0.0,1.0,56547203747.4888,58268203747.4888,22.4375703037,5.7061318545,1.0371143607
26,2017-06-12 00:00:00+00:00,198.4,200.06,197.03,199.47,1858344,186.432168844,187.9920347728,185.1448096136,187.4376245933,1858344,0.0,1.0,56243872379.3141,57964872379.3141,22.3172103487,5.6755229354,1.0315510561
27,2017-06-13 00:00:00+00:00,200.55,200.93,198.12,198.4,1263486,188.4524771253,188.8095548681,186.1690589283,186.432168844,1263486,0.0,1.0,56853369988.2634,58574369988.2634,22.5590551181,5.7370268382,1.0427296588
28,2017-06-14 00:00:00+00:00,201.28,202.45,200.35,200.55,928311,189.1384422627,190.2378658391,188.2645414712,188.4524771253,928311,0.0,1.0,57060315688.046,58781315688.046,22.6411698538,5.7579095587,1.0465251844
29,2017-06-15 00:00:00+00:00,202.03,202.27,199.24,199.77,820983,189.8432009655,190.0687237504,187.2214985911,187.7195280744,820983,0.0,1.0,57272931133.0282,58993931133.0282,22.7255343082,5.7793644085,1.0504246969
30,2017-06-16 00:00:00+00:00,202.67,203.3,201.66,202.37,1389079,190.4445950585,191.0365923689,189.4955200055,190.1626915774,1389079,0.0,1.0,57454362979.4133,59175362979.4133,22.7975253093,5.797672547,1.053752281
31,2017-06-19 00:00:00+00:00,204.52,204.74,203.0,203.41,1023199,192.1829998587,192.3897290782,190.7546888878,191.1399569786,1023199,0.0,1.0,57978814410.3694,59699814410.3694,23.005624297,5.8505945098,1.0633710786
32,2017-06-20 00:00:00+00:00,203.86,205.17,203.76,203.76,833865,191.5628122003,192.7937907345,191.4688443733,191.4688443733,833865,0.0,1.0,57791712818.7853,59512712818.7853,22.9313835771,5.831714242,1.0599395076
33,2017-06-21 00:00:00+00:00,203.89,204.88,203.5,204.4,668664,191.5910025484,192.5212840361,191.224528023,192.0702384663,668664,0.0,1.0,57800217436.5844,59521217436.5844,22.9347581552,5.832572436,1.0600954881
34,2017-06-22 00:00:00+00:00,201.26,203.9812,201.19,203.79,906934,189.1196486973,191.6767012067,189.0538712184,191.4970347214,906934,0.0,1.0,57054645942.8467,58775645942.8467,22.638920135,5.7573374294,1.0464211974
35,2017-06-23 00:00:00+00:00,201.32,202.42,200.8101,201.23,1162534,189.1760293935,190.2096754909,188.6968874435,189.0914583492,1162534,0.0,1.0,57071655178.4453,58792655178.4453,22.6456692913,5.7590538173,1.0467331584
36,2017-06-26 00:00:00+00:00,200.2,202.33,200.13,201.77,672893,188.1235897307,190.1251044466,188.0578122518,189.5988846152,672893,0.0,1.0,56754149447.2714,58475149447.2714,22.5196850394,5.727014575,1.0409098863
37,2017-06-27 00:00:00+00:00,198.84,200.3582,198.83,200.11,713780,186.845627283,188.2722468331,186.8362305003,188.0390186864,713780,0.0,1.0,56368606773.7038,58089606773.7038,22.366704162,5.6881097806,1.0338387702
38,2017-06-28 00:00:00+00:00,200.83,201.415,199.33,199.82,787111,188.715587041,189.2652988292,187.3060696355,187.7665119879,787111,0.0,1.0,56932746421.0567,58653746421.0567,22.5905511811,5.7450366488,1.0441854768
39,2017-06-29 00:00:00+00:00,196.96,201.07,196.13,200.99,1419995,185.0790321346,188.9411098259,184.2990991702,188.8659355643,1419995,0.0,1.0,55835650724.948,57556650724.948,22.1552305962,5.6343296238,1.024063992
40,2017-06-30 00:00:00+00:00,198.1,199.21,196.26,197.75,939354,186.1502653629,187.193308243,184.4212573454,185.8213779683,939354,0.0,1.0,56158826201.3211,57879826201.3211,22.2834645669,5.6669409955,1.0299912511
41,2017-07-03 00:00:00+00:00,199.66,200.55,198.14,199.42,750575,187.6161634647,188.4524771253,186.1878524937,187.3906406798,750575,0.0,1.0,56601066326.8844,58723066326.8844,22.0862831858,5.4998645496,3.4601843658
42,2017-07-05 00:00:00+00:00,200.74,201.21,198.95,199.03,1151270,189.4203457438,189.8638426179,187.7312831809,187.8067720105,1151270,0.84,1.0,57145361866.0389,59267361866.0389,22.2057522124,5.5296143929,3.4789011799
43,2017-07-06 00:00:00+00:00,199.02,201.07,198.79,200.7,797994,187.7973359068,189.731737166,187.5803055216,189.382601329,797994,0.0,1.0,56655723416.2552,58777723416.2552,22.0154867257,5.4822350129,3.4490929204
44,2017-07-07 00:00:00+00:00,201.26,202.18,199.115,199.5,1264496,189.9110231364,190.7791446771,187.886978892,188.2502688846,1264496,0.0,1.0,57293392095.0435,59415392095.0435,22.2632743363,5.5439383916,3.4879129794
45,2017-07-10 00:00:00+00:00,201.07,202.24,200.21,201.22,1028579,189.731737166,190.8357612993,188.9202322475,189.8732787216,1028579,0.0,1.0,57239304126.7532,59361304126.7532,22.2422566372,5.5387046228,3.4846202065
46,2017-07-11 00:00:00+00:00,199.91,201.01,198.75,200.8,1139412,188.6371491364,189.6751205438,187.5425611068,189.476962366,1139412,0.0,1.0,56909082846.6667,59031082846.6667,22.1139380531,5.5067510874,3.4645169617
47,2017-07-12 00:00:00+00:00,201.11,202.47,199.87,201.32,1402060,189.7694815808,191.0527916845,188.5994047216,189.9676397586,1402060,0.0,1.0,57250691067.4459,59372691067.4459,22.2466814159,5.5398064689,3.4853134218
48,2017-07-13 00:00:00+00:00,200.15,201.47,199.97,201.19,766231,188.8636156253,190.1091813142,188.6937657587,189.8449704105,766231,0.0,1.0,56977404490.8223,59099404490.8223,22.1404867257,5.5133621637,3.4686762537
49,2017-07-14 00:00:00+00:00,201.15,201.68,200.06,200.28,1019837,189.8072259957,190.3073394919,188.778690692,188.9862849735,1019837,0.0,1.0,57262078008.1385,59384078008.1385,22.2511061947,5.5409083149,3.4860066372
50,2017-07-17 00:00:00+00:00,200.14,201.42,199.5,201.08,1150768,188.8541795216,190.0620007957,188.2502688846,189.7411732697,1150768,0.0,1.0,56974557755.6493,59096557755.6493,22.139380531,5.5130867022,3.4685029499
51,2017-07-18 00:00:00+00:00,201.42,201.67,199.28,200.25,1118532,190.0620007957,190.2979033882,188.0426746031,188.9579766623,1118532,0.0,1.0,57338939857.8138,59460939857.8138,22.2809734513,5.5483457758,3.4906858407
52,2017-07-19 00:00:00+00:00,202.34,202.4599,201.25,202.0,640564,190.9301223364,191.0432612198,189.9015870327,190.6092948105,640564,0.0,1.0,57600839493.7447,59722839493.7447,22.3827433628,5.5736882349,3.5066297935
53,2017-07-20 00:00:00+00:00,202.4,203.19,201.995,202.51,1058659,190.9867389586,191.7321911512,190.6045767586,191.0905360993,1058659,0.0,1.0,57617919904.7837,59739919904.7837,22.389380531,5.5753410039,3.5076696165
54,2017-07-21 00:00:00+00:00,204.55,204.55,201.83,202.11,986160,193.0155012548,193.0155012548,190.4488810475,190.7130919512,986160,0.0,1.0,58229967967.0134,60351967967.0134,22.6272123894,5.634565229,3.544929941
55,2017-07-24 00:00:00+00:00,204.93,205.51,204.13,204.55,1073395,193.3740731956,193.9213672104,192.6191848993,193.0155012548,1073395,0.0,1.0,58338143903.5936,60460143903.5936,22.6692477876,5.6450327665,3.5515154867
56,2017-07-25 00:00:00+00:00,203.56,205.9,202.905,205.66,1204660,192.0813269882,194.2893752548,191.4632621956,194.0629087659,1204660,0.0,1.0,57948141184.8705,60070141184.8705,22.517699115,5.6072945393,3.5277728614
57,2017-07-26 00:00:00+00:00,194.66,199.37,193.57,199.1,4074110,183.6831946921,188.1275995364,182.6546593884,187.8728247364,4074110,0.0,1.0,55006100479.6125,57128100479.6125,21.5331858407,5.3621337936,3.3735324484
58,2017-07-27 00:00:00+00:00,193.84,195.93,192.84,195.73,2265716,182.9094341884,184.8815798624,181.9658238181,184.6928577884,2265716,0.0,1.0,54774388764.8623,56896388764.8623,21.4424778761,5.3395459496,3.3593215339
59,2017-07-28 00:00:00+00:00,197.94,198.07,194.04,194.05,1779819,186.7782367068,186.900906055,183.0981562625,183.1075923662,1779819,0.0,1.0,55932947338.6134,58054947338.6134,21.8960176991,5.4524851696,3.4303761062
60,2017-07-31 00:00:00+00:00,196.33,198.59,196.08,198.58,1470377,185.2590240106,187.3915834476,185.023121418,187.3821473439,1470377,0.0,1.0,55478001166.9698,57600001166.9698,21.717920354,5.4081358661,3.4024741888
61,2017-08-01 00:00:00+00:00,196.53,196.98,193.9,196.96,1390046,185.4477460847,185.8723707513,182.9660508106,185.8534985439,1390046,0.0,1.0,55534516219.348,57656516219.348,21.7400442478,5.4136450964,3.4059402655
62,2017-08-02 00:00:00+00:00,198.04,198.175,196.08,196.53,980934,186.8725977439,186.9999851439,185.023121418,185.4477460847,980934,0.0,1.0,55961204864.8025,58083204864.8025,21.907079646,5.4552397847,3.4321091445
63,2017-08-03 00:00:00+00:00,199.33,199.4,197.33,198.3,1070719,188.0898551216,188.1559078476,186.2026343809,187.1179364402,1070719,0.0,1.0,56325726952.6414,58447726952.6414,22.0497787611,5.4907743197,3.4544653392
