,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,29.2,29.31,29.05,29.27,19544097,26.5071013892,26.6069569082,26.3709347725,26.5706458104,20314642,0.0,1.0,231268707580.187,318370707580.187,38.4210526316,3.2156166913,
1,2017-05-05 00:00:00+00:00,29.22,29.24,29.11,29.13,16687305,26.5252569381,26.543412487,26.4254014192,26.4435569681,17345218,0.0,1.0,230344349816.343,317446349816.343,38.4473684211,3.2178191685,
2,2017-05-08 00:00:00+00:00,29.07,29.245,29.0,29.16,21584760,26.3890903214,26.5479513743,26.3255459003,26.4707902915,22435760,0.0,1.0,229161883954.862,316263883954.862,38.25,3.2013005896,
3,2017-05-09 00:00:00+00:00,28.93,29.09,28.86,29.08,23644067,26.2620014791,26.4072458703,26.198457058,26.3981680959,24576257,0.0,1.0,228058249150.814,315160249150.814,38.0657894737,3.1858832493,
4,2017-05-10 00:00:00+00:00,28.7,28.93,28.6,28.92,26025480,26.0532126668,26.2620014791,25.9624349223,26.2529237047,27051560,0.0,1.0,226245134829.878,313347134829.878,37.7631578947,3.1605547616,
5,2017-05-11 00:00:00+00:00,28.87,28.89,28.5,28.68,27586723,26.2075348325,26.2256903813,25.8716571779,26.0350571179,28674356,0.0,1.0,227585262806.222,314687262806.222,37.9868421053,3.1792758177,
6,2017-05-12 00:00:00+00:00,28.27,28.45,27.85,28.36,67907806,25.6628683655,25.8262683056,25.2816018387,25.7445683356,70585138,0.0,1.0,222855399360.301,309957399360.301,37.1973684211,3.1132015021,
7,2017-05-15 00:00:00+00:00,28.18,28.24,27.97,28.07,39555728,25.5811683955,25.6356350422,25.3905351321,25.4813128766,41115251,0.0,1.0,222145919843.413,309247919843.413,37.0789473684,3.1032903548,
8,2017-05-16 00:00:00+00:00,28.04,28.28,28.0,28.25,29380413,25.4540795532,25.67194614,25.4177684554,25.6447128167,30538764,0.0,1.0,221042285039.365,308144285039.365,36.8947368421,3.0878730145,
9,2017-05-17 00:00:00+00:00,27.41,27.87,27.41,27.82,51736251,24.882179763,25.2997573876,24.882179763,25.2543685154,53776003,0.0,1.0,216075928421.148,303177928421.148,36.0657894737,3.0184949831,
