,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,86.14,86.22,84.29,84.79,3003543,85.8610679139,85.9408088639,84.0170584451,84.5154393827,3003543,0.0,1.0,13092455307.5286,16507275307.5286,58.2027027027,4.5590396064,-1.2242637465
1,2017-05-05 00:00:00+00:00,86.07,86.62,85.745,86.62,1684454,85.7912945827,86.3395136139,85.4673469733,86.3395136139,1684454,0.0,1.0,13081815977.6989,16496635977.6989,58.1554054054,4.5553347913,-1.2232688723
2,2017-05-08 00:00:00+00:00,86.54,86.93,86.12,86.34,1148706,86.2597726639,86.6485097952,85.8411326764,86.0604202889,1148706,0.0,1.0,13153251477.9838,16568071477.9838,58.472972973,4.5802099784,-1.2299487418
3,2017-05-09 00:00:00+00:00,87.27,87.55,86.44,86.63,1590988,86.9874088327,87.2665021577,86.1600964764,86.3494812327,1590988,0.0,1.0,13264204489.0645,16679024489.0645,58.9662162162,4.6188459073,-1.2403238583
4,2017-05-10 00:00:00+00:00,87.79,88.17,87.13,87.26,1149838,87.5057250077,87.8844945202,86.8478621702,86.9774412139,1149838,0.0,1.0,13343239510.6563,16758059510.6563,59.3175675676,4.6463673909,-1.2477143523
5,2017-05-11 00:00:00+00:00,88.25,88.3,86.99,87.27,851079,87.9642354702,88.014073564,86.7083155077,86.9874088327,851079,0.0,1.0,13413155106.6798,16827975106.6798,59.6283783784,4.6707133186,-1.2542520969
6,2017-05-12 00:00:00+00:00,87.74,88.25,87.5,88.07,890605,87.455886914,87.9642354702,87.2166640639,87.7848183327,890605,0.0,1.0,13335639989.3494,16750459989.3494,59.2837837838,4.6437210944,-1.2470037279
7,2017-05-15 00:00:00+00:00,89.44,89.83,87.68,87.72,1227050,89.1503821015,89.5391192327,87.3960812014,87.4359516764,1227050,0.0,1.0,13594023713.784,17008843713.784,60.4324324324,4.7336951753,-1.2711649581
8,2017-05-16 00:00:00+00:00,89.36,89.98,89.09,89.78,985152,89.0706411515,89.688633514,88.8015154452,89.489281139,985152,0.0,1.0,13581864479.693,16996684479.693,60.3783783784,4.7294611009,-1.270027959
9,2017-05-17 00:00:00+00:00,88.1,89.07,88.07,88.7,1290823,87.814721189,88.7815802077,87.7848183327,88.412778314,1290823,0.0,1.0,13390356542.7591,16805176542.7591,59.527027027,4.6627744292,-1.2521202237
10,2017-05-18 00:00:00+00:00,88.77,89.38,87.68,88.09,1014468,88.4825516452,89.090576389,87.3960812014,87.8047535702,1014468,0.0,1.0,13492190128.2715,16907010128.2715,59.9797297297,4.6982348022,-1.2616425909
11,2017-05-19 00:00:00+00:00,90.04,90.31,89.02,89.29,971913,89.7484392265,90.0175649327,88.731742114,89.0008678202,971913,0.0,1.0,13685217969.4668,17100037969.4668,60.8378378378,4.7654507333,-1.2796924511
12,2017-05-22 00:00:00+00:00,91.73,91.78,90.21,90.31,918337,91.4329667953,91.482804889,89.9178887452,90.0175649327,918337,0.0,1.0,13942081789.6401,17356901789.6401,61.9797297297,4.8548955549,-1.3037115564
13,2017-05-23 00:00:00+00:00,91.21,92.18,90.955,91.95,1477838,90.9146506203,91.881509639,90.6604763421,91.6522544078,1477838,0.0,1.0,13863046768.0483,17277866768.0483,61.6283783784,4.8273740713,-1.2963210624
14,2017-05-24 00:00:00+00:00,92.51,92.64,90.95,91.23,1037318,92.2104410578,92.3400201015,90.6554925328,90.9345858578,1037318,0.0,1.0,14060634322.0277,17475454322.0277,62.5067567568,4.8961777803,-1.3147972973
15,2017-05-25 00:00:00+00:00,92.37,93.05,92.32,93.0,1061552,92.0708943953,92.7486924703,92.0210563015,92.6988543765,1061552,0.0,1.0,14039355662.3684,17454175662.3684,62.4121621622,4.8887681501,-1.3128075489
16,2017-05-26 00:00:00+00:00,91.85,92.68,91.76,92.19,1068025,91.5525782203,92.3798905765,91.4628696515,91.8914772578,1068025,0.0,1.0,13960320640.7766,17375140640.7766,62.0608108108,4.8612466665,-1.305417055
17,2017-05-30 00:00:00+00:00,91.98,92.26,91.58,91.82,845130,91.682157264,91.961250589,91.283452514,91.522675364,845130,0.0,1.0,13980079396.1746,17394899396.1746,62.1486486486,4.8681270374,-1.3072646785
18,2017-05-31 00:00:00+00:00,91.61,92.38,91.34,92.21,1403250,91.3133553703,92.080862014,91.044229664,91.9114124953,1403250,0.0,1.0,13923842938.5035,17338662938.5035,61.8986486486,4.8485444433,-1.3020060578
19,2017-06-01 00:00:00+00:00,93.31,93.31,91.96,91.96,1251325,93.0078505578,93.0078505578,91.6622220265,91.6622220265,1251325,0.0,1.0,14182226662.9381,17597046662.9381,63.0472972973,4.9385185242,-1.326167288
20,2017-06-02 00:00:00+00:00,92.39,93.31,92.135,93.28,1226400,92.0908296328,93.0078505578,91.8366553546,92.9779477015,1226400,0.0,1.0,14042395470.8912,17457215470.8912,62.4256756757,4.8898266687,-1.3130917987
21,2017-06-05 00:00:00+00:00,91.72,92.93,91.65,92.65,1498319,91.4229991765,92.6290810453,91.3532258453,92.3499877203,1498319,0.0,1.0,13940561885.3787,17355381885.3787,61.972972973,4.8543662956,-1.3035694315
22,2017-06-06 00:00:00+00:00,92.24,93.52,91.16,91.64,1170076,91.9413153515,93.2171705515,90.8648125265,91.3432582265,1170076,0.0,1.0,14019596906.9705,17434416906.9705,62.3243243243,4.8818877792,-1.3109599254
23,2017-06-07 00:00:00+00:00,92.25,92.92,91.96,92.28,859824,91.9645399032,92.6324666429,91.6754372845,91.9944470707,859824,0.0133,1.0,14023138283.8995,17437958283.8995,62.3310810811,4.8824170385,-1.3111020503
24,2017-06-08 00:00:00+00:00,91.08,92.1729,90.39,92.01,1054041,90.7981603727,91.8876784829,90.1102955214,91.7252825636,1054041,0.0,1.0,13845283847.1281,17260103847.1281,61.5405405405,4.8204937004,-1.294473439
25,2017-06-09 00:00:00+00:00,89.1,91.155,88.391,91.14,1719579,88.8242873212,90.8729282914,88.1174812638,90.8579747076,1719579,0.0,1.0,13544299415.6688,16959119415.6688,60.2027027027,4.7157003591,-1.266332712
26,2017-06-12 00:00:00+00:00,89.5,90.1,87.3,88.66,1392383,89.2230495538,89.8211929028,87.0298572743,88.3856488652,1392383,0.0,1.0,13605104351.3171,17019924351.3171,60.472972973,4.7368707311,-1.2720177074
27,2017-06-13 00:00:00+00:00,90.8,91.44,89.9999,90.0,924758,90.5190268099,91.1570463821,89.721402654,89.7215023446,924758,0.0,1.0,13802720392.1742,17217540392.1742,61.3513513514,4.80567444,-1.2904939422
28,2017-06-14 00:00:00+00:00,90.4,91.18,89.83,91.01,698618,90.1202645772,90.8978509309,89.5520283957,90.728376982,698618,0.0,1.0,13741915456.5259,17156735456.5259,61.0810810811,4.7845040681,-1.2848089469
29,2017-06-15 00:00:00+00:00,90.34,90.7,88.63,89.38,831882,90.0604502423,90.4193362517,88.3557416978,89.103420884,831882,0.0,1.0,13732794716.1786,17147614716.1786,61.0405405405,4.7813285123,-1.2839561976
30,2017-06-16 00:00:00+00:00,89.55,90.31,89.18,90.31,1158061,89.2728948329,90.0305430749,88.9040397677,90.0305430749,1158061,0.0,1.0,13612704968.2732,17027524968.2732,60.5067567568,4.7395170276,-1.2727283318
31,2017-06-19 00:00:00+00:00,89.75,90.73,89.38,89.91,653322,89.4722759492,90.4492434192,89.103420884,89.6317808423,653322,0.0,1.0,13643107436.0973,17057927436.0973,60.6418918919,4.7501022136,-1.2755708295
32,2017-06-20 00:00:00+00:00,89.11,90.57,89.05,89.47,616049,88.834256377,90.2897385261,88.7744420421,89.1931423863,616049,0.0,1.0,13545819539.06,16960639539.06,60.2094594595,4.7162296184,-1.2664748369
33,2017-06-21 00:00:00+00:00,89.61,90.07,88.95,89.28,862818,89.3327091678,89.7912857353,88.6747514839,89.0037303258,862818,0.0,1.0,13621825708.6204,17036645708.6204,60.5472972973,4.7426925834,-1.2735810811
34,2017-06-22 00:00:00+00:00,90.48,90.85,89.1,89.71,914565,90.2000170238,90.568872089,88.8242873212,89.4323997259,914565,0.0,1.0,13754076443.6555,17168896443.6555,61.1351351351,4.7887381424,-1.2859459459
35,2017-06-23 00:00:00+00:00,91.26,91.42,90.1101,90.86,1151380,90.9776033774,91.1371082705,89.8312616491,90.5788411448,1151380,0.0,1.0,13872646068.1698,17287466068.1698,61.6621621622,4.8300203678,-1.2970316869
36,2017-06-26 00:00:00+00:00,90.25,91.89,90.11,91.32,515040,89.97072874,91.6056538938,89.8311619586,91.0374177123,515040,0.0,1.0,13719113605.6578,17133933605.6578,60.9797297297,4.7765651786,-1.2826770736
37,2017-06-27 00:00:00+00:00,89.86,90.62,89.41,90.08,793056,89.5819355632,90.3395838052,89.1333280514,89.8012547911,793056,0.0,1.0,13659828793.4006,17074648793.4006,60.7162162162,4.7559240659,-1.2771342032
38,2017-06-28 00:00:00+00:00,91.88,91.97,89.59,90.51,1066158,91.595684838,91.6854063404,89.3127710561,90.2299241912,1066158,0.0,1.0,13966893718.4248,17381713718.4248,62.0810810811,4.8628344444,-1.3058434296
39,2017-06-29 00:00:00+00:00,90.41,91.83,89.66,91.63,971123,90.1302336331,91.5458395589,89.3825544469,91.3464584426,971123,0.0,1.0,13743435579.9171,17158255579.9171,61.0878378378,4.7850333274,-1.2849510718
40,2017-06-30 00:00:00+00:00,90.32,91.24,90.32,91.02,660532,90.0405121307,90.9576652658,90.0405121307,90.7383460378,660532,0.0,1.0,13729754469.3962,17229383469.3962,61.8630136986,4.5837042434,-14.2284931507
41,2017-07-03 00:00:00+00:00,90.05,90.88,89.78,90.86,476459,89.7713476237,90.5987792564,89.5021831166,90.5788411448,476459,0.0,1.0,13688711137.8336,17188340137.8336,61.6780821918,4.5700018503,-14.1859589041
42,2017-07-05 00:00:00+00:00,89.88,90.665,89.43,90.1,946807,89.6018736748,90.3844445564,89.1532661631,89.8211929028,946807,0.0,1.0,13662869040.183,17162498040.183,61.5616438356,4.5613744176,-14.1591780822
43,2017-07-06 00:00:00+00:00,88.41,89.25,88.05,89.25,962542,88.1364224698,88.9738231584,87.7775364605,88.9738231584,962542,0.0,1.0,13439410901.6754,16939039901.6754,60.5547945205,4.4867724995,-13.9276027397
44,2017-07-07 00:00:00+00:00,88.99,89.58,88.41,88.77,840801,88.7146277072,89.3028020003,88.1364224698,88.4953084792,840801,0.0,1.0,13527578058.3655,17027207058.3655,60.9520547945,4.5162072699,-14.0189726027
45,2017-07-10 00:00:00+00:00,88.65,89.36,87.99,88.75,1331041,88.3756798094,89.0834827724,87.7177221256,88.4753703676,1331041,0.0,1.0,13475893863.0644,16975522863.0644,60.7191780822,4.4989524045,-13.9654109589
46,2017-07-11 00:00:00+00:00,88.31,88.74,87.8601,88.48,1171993,88.0367319117,88.4654013118,87.5882240905,88.2062058606,1171993,0.0,1.0,13424209667.7633,16923838667.7633,60.4863013699,4.4816975391,-13.9118493151
