,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,187.54,191.99,185.8,191.44,1147804,177.250434662,181.4562810641,175.6059014621,180.9364573515,1147804,1.28,1.0,10352435357.2373,12402975357.2373,18.9625884732,5.7574874821,-11.3775530839
1,2017-05-05 00:00:00+00:00,189.23,189.37,186.285,187.44,773241,178.8477111608,178.980029924,176.0642914632,177.1559212597,773241,0.0,1.0,10445725406.0468,12496265406.0468,19.1334681496,5.8093705675,-11.4800808898
2,2017-05-08 00:00:00+00:00,188.98,189.88,188.05,188.95,544816,178.611427655,179.4620482757,177.7324530137,178.5830736343,544816,0.0,1.0,10431925102.9685,12482465102.9685,19.108190091,5.8016955549,-11.4649140546
3,2017-05-09 00:00:00+00:00,187.77,189.9499,187.03,189.23,1130395,177.4678154873,179.5281131439,176.7684163103,178.8477111608,1130395,0.0,1.0,10365131636.0694,12415671636.0694,18.9858442872,5.7645484937,-11.3915065723
4,2017-05-10 00:00:00+00:00,187.86,188.48,186.41,187.65,758988,177.5528775493,178.1388606436,176.1824332161,177.3543994045,758988,0.0,1.0,10370099745.1776,12420639745.1776,18.9949443883,5.7673114983,-11.396966633
5,2017-05-11 00:00:00+00:00,187.69,188.5,185.0,187.8,686233,177.3922047654,178.157763324,174.8497942437,177.496169508,686233,0.0,1.0,10360715539.0843,12411255539.0843,18.9777553084,5.7620924897,-11.386653185
6,2017-05-12 00:00:00+00:00,184.62,187.47,183.92,187.4,683359,174.490643315,177.1842752804,173.829049499,177.1181158988,683359,0.0,1.0,10191247817.2825,12241787817.2825,18.6673407482,5.6678433344,-11.2004044489
7,2017-05-15 00:00:00+00:00,181.38,184.99,179.68,184.6,1364121,171.4284090807,174.8403429035,169.8216812417,174.4717406346,1364121,0.0,1.0,10012395889.3874,12062935889.3874,18.3397371082,5.5683751706,-11.0038422649
8,2017-05-16 00:00:00+00:00,179.1,181.22,178.42,181.04,833000,169.2735035084,171.277187637,168.6308123728,171.1070635129,833000,0.0,1.0,9886537125.31302,11937077125.313,18.1092012133,5.4983790554,-10.865520728
9,2017-05-17 00:00:00+00:00,174.77,179.6,173.5,178.0,1290230,165.1810731891,169.7460705199,163.9807529799,168.2338560832,1290230,0.0,1.0,9647515875.99643,11698055875.9964,17.6713852376,5.3654478364,-10.6028311426
10,2017-05-18 00:00:00+00:00,173.3,176.99,170.21,170.52,1308381,163.7917261753,167.27927072,160.8712620445,161.1642535916,1308381,0.0,1.0,9566370093.89584,11616910093.8958,17.5227502528,5.3203187621,-10.5136501517
11,2017-05-19 00:00:00+00:00,174.85,176.0,173.5872,173.89,929144,165.2566839109,166.3435880373,164.0631686667,164.3493552489,929144,0.0,1.0,9651931972.98148,11702471972.9815,17.6794742164,5.3679038405,-10.6076845298
12,2017-05-22 00:00:00+00:00,178.3,179.0,175.45,175.45,998274,168.51739629,169.1789901061,165.8237643247,165.8237643247,998274,0.0,1.0,9842376155.46234,11892916155.4623,18.0283114257,5.4738190149,-10.8169868554
13,2017-05-23 00:00:00+00:00,176.62,178.7,176.36,178.16,978504,166.9295711315,168.8954498992,166.6838362855,168.3850775268,978504,0.0,1.0,9749638118.77602,11800178118.776,17.8584428716,5.42224293,-10.715065723
14,2017-05-24 00:00:00+00:00,177.31,179.0505,175.77,177.13,1258339,167.5817136073,169.2267193743,166.126207212,167.4115894832,1258339,0.0,1.0,9787726955.27221,11838266955.2722,17.9282103134,5.4434259648,-10.7569261881
15,2017-05-25 00:00:00+00:00,176.37,178.399,175.91,177.38,885584,166.6932876258,168.6109645583,166.2585259752,167.6478729889,885584,0.0,1.0,9735837815.69769,11786377815.6977,17.8331648129,5.4145679173,-10.6998988878
16,2017-05-26 00:00:00+00:00,173.58,175.49,171.89,175.0,784325,164.0563637018,165.8615696856,162.459087203,165.3984540143,784325,0.0,1.0,9581826433.34356,11632366433.3436,17.5510616785,5.3289147763,-10.5306370071
17,2017-05-30 00:00:00+00:00,171.97,174.32,171.63,173.59,735008,162.5346979248,164.7557628787,162.213352357,164.065815042,735008,0.0,1.0,9492952481.51914,11543492481.5191,17.3882709808,5.2794876949,-10.4329625885
18,2017-05-31 00:00:00+00:00,172.28,172.38,169.75,171.97,1420703,162.8276894719,162.9222028742,160.4365003939,162.5346979248,1420703,0.0,1.0,9510064857.33626,11560604857.3363,17.4196157735,5.2890047105,-10.4517694641
19,2017-06-01 00:00:00+00:00,173.43,174.48,170.19,171.91,709961,163.9145935983,164.9069843224,160.852359364,162.4779898835,709961,0.0,1.0,9573546251.49656,11624086251.4966,17.5358948433,5.3243097687,-10.521536906
20,2017-06-02 00:00:00+00:00,172.72,174.76,171.93,174.06,659324,163.243548442,165.1716218488,162.4968925639,164.5100280328,659324,0.0,1.0,9534353390.7541,11584893390.7541,17.4641051567,5.3025127328,-10.478463094
21,2017-06-05 00:00:00+00:00,173.96,174.87,171.57,171.86,1091342,164.4155146305,165.2755865914,162.1566443157,162.4307331823,1091342,0.0,1.0,9602802894.02263,11653342894.0226,17.5894843276,5.3405807955,-10.5536905966
22,2017-06-06 00:00:00+00:00,169.88,172.86,168.58,172.86,1190566,160.5593678169,163.3758672053,159.3306935871,163.3758672053,1190566,0.0,1.0,9377581947.78431,11428121947.7843,17.1769464105,5.2153245892,-10.3061678463
