,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,83.48,83.87,81.42,82.58,2992390,81.1994192581,81.578764892,79.1956961667,80.324006257,2992390,0.0,1.0,30056208636.6575,60817208636.6575,11.0569536424,-5.7682233414,6.4498896247
1,2017-05-05 00:00:00+00:00,83.5,84.21,83.13,83.6,1346233,81.2188728804,81.9094764701,80.8589808688,81.3161409916,1346233,0.0,1.0,30063409453.293,60824409453.293,11.059602649,-5.7696052828,6.4514348786
2,2017-05-08 00:00:00+00:00,83.86,83.99,83.47,83.74,2059958,81.5690380808,81.6954866254,81.189692447,81.4523163473,2059958,0.0,1.0,30193024152.7324,60954024152.7324,11.1072847682,-5.7944802277,6.4792494481
3,2017-05-09 00:00:00+00:00,84.13,84.28,83.77,84.01,1604281,81.8316619812,81.977564148,81.4814967807,81.7149402477,1604281,0.0,1.0,30024413206.5323,60785413206.5323,11.1430463576,-5.8131364364,6.5001103753
4,2017-05-10 00:00:00+00:00,85.56,85.9,83.9368,84.24,1935428,83.2225959718,83.55330755,81.6437399903,81.9386569035,1935428,0.0,1.0,30534753285.9967,61295753285.9967,11.3324503311,-5.9119452455,6.6105960265
5,2017-05-11 00:00:00+00:00,85.29,85.39,84.44,85.03,1191328,82.9599720715,83.0572401827,82.133193126,82.7070749823,1191328,0.0,1.0,30438395368.895,61199395368.895,11.2966887417,-5.8932890368,6.5897350993
6,2017-05-12 00:00:00+00:00,84.61,85.22,84.04,85.21,1213246,82.2985489151,82.8918843936,81.744120681,82.8821575825,1213246,0.0,1.0,30195716170.2686,60956716170.2686,11.2066225166,-5.8463030297,6.537196468
7,2017-05-15 00:00:00+00:00,83.82,84.72,83.77,84.52,1557846,81.5301308363,82.4055438374,81.4814967807,82.211007615,1557846,0.0,1.0,29913780042.4526,60674780042.4526,11.101986755,-5.791716345,6.4761589404
8,2017-05-16 00:00:00+00:00,83.49,84.23,83.2,84.23,1411249,81.2091460693,81.9289300924,80.9270685467,81.9289300924,1411249,0.0,1.0,29796009254.8839,60557009254.8839,11.0582781457,-5.7689143121,6.4506622517
9,2017-05-17 00:00:00+00:00,81.57,83.15,81.43,83.03,3319064,79.3415983336,80.8784344911,79.2054229778,80.7617127576,3319064,0.0,1.0,29110797399.9387,59871797399.9387,10.8039735099,-5.6362479391,6.3023178808
