,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,45.84,46.39,45.29,46.39,5046327,43.2219116652,43.7404991743,42.7033241562,43.7404991743,5046327,0.0,1.0,13740950365.2024,17839950365.2024,-2.3763608087,0.9524994084,0.0628821629
1,2017-05-05 00:00:00+00:00,47.42,47.48,46.1842,46.45,4335418,44.7116721458,44.7682453286,43.5464531573,43.7970723571,4335418,0.0,1.0,14214569509.5527,18313569509.5527,-2.4582685329,0.9853298854,0.0650495673
2,2017-05-08 00:00:00+00:00,48.43,48.49,47.21,47.44,4016108,45.6639873898,45.7205605726,44.513666006,44.7305298734,4016108,0.0,1.0,14517326051.1944,18616326051.1944,-2.510627268,1.0063164561,0.06643506
3,2017-05-09 00:00:00+00:00,47.83,48.5,47.68,48.43,3162284,45.0982555617,45.7299894364,44.9568226047,45.6639873898,3162284,0.0,1.0,14337470679.9221,18436470679.9221,-2.4795230689,0.9938491864,0.0656119951
4,2017-05-10 00:00:00+00:00,49.23,49.55,48.06,48.18,4223365,46.4182964939,46.7200201355,45.3151194291,45.4282657947,4223365,0.0,1.0,14757133212.8908,18856133212.8908,-2.5520995334,1.0229394824,0.06753248
5,2017-05-11 00:00:00+00:00,49.66,49.92,49.2,49.36,4981580,46.8237376373,47.0688880962,46.3900099025,46.5408717233,4981580,0.0,1.0,14886029562.3026,18985029562.3026,-2.5743908761,1.0318743591,0.0681223432
6,2017-05-12 00:00:00+00:00,49.37,49.79,49.08,49.52,3537388,46.5503005871,46.9463128667,46.2768635369,46.6917335441,3537388,0.0,1.0,14799099466.1876,18898099466.1876,-2.5593571799,1.025848512,0.0677245285
7,2017-05-15 00:00:00+00:00,49.71,51.26,49.62,51.26,4603303,46.8708819563,48.3323558455,46.7860221821,48.3323558455,4603303,0.0,1.0,14901017509.9086,19000017509.9086,-2.5769828927,1.0329132982,0.0681909319
8,2017-05-16 00:00:00+00:00,48.78,50.16,48.4,50.06,2833675,45.9939976228,47.2951808274,45.6357007984,47.2008921894,2833675,0.0,1.0,14622241684.4365,18721241684.4365,-2.5287713841,1.0135890301,0.0669151812
9,2017-05-17 00:00:00+00:00,47.95,48.92,47.67,48.37,2707777,45.2114019273,46.126001716,44.9473937409,45.607414207,2707777,0.0,1.0,14373441754.1765,18472441754.1765,-2.4857439088,0.9963426403,0.065776608
10,2017-05-18 00:00:00+00:00,47.78,48.24,47.16,47.61,2813674,45.0511112427,45.4848389775,44.466521687,44.8908205581,2813674,0.0,1.0,14322482732.3161,18421482732.3161,-2.4769310524,0.9928102472,0.0655434063
11,2017-05-19 00:00:00+00:00,48.93,49.38,47.95,48.2,3630860,46.1354305798,46.5597294509,45.2114019273,45.4471235223,3630860,0.0,1.0,14667205527.2546,18766205527.2546,-2.5365474339,1.0167058476,0.0671209475
12,2017-05-22 00:00:00+00:00,49.24,49.97,48.91,49.44,2784334,46.4277253577,47.1160324152,46.1165728522,46.6163026337,2784334,0.0,1.0,14760130802.412,18859130802.412,-2.5526179368,1.0231472703,0.0675461977
