,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,18.75,18.8,18.61,18.75,6535957,13.4901431036,13.5261168185,13.3894167017,13.4901431036,8386320,0.0,1.0,22362671063.3279,28175671063.3279,14.2045454545,1.0713853215,-0.0481939935
1,2017-05-05 00:00:00+00:00,18.83,18.85,18.67,18.84,12654728,13.5477010475,13.5620905335,13.4325851597,13.5548957905,16237346,0.0,1.0,22458085126.5315,28271085126.5315,14.2651515152,1.0759565656,-0.0483996212
2,2017-05-08 00:00:00+00:00,18.89,18.95,18.76,18.84,9048071,13.5908695054,13.6340379633,13.4973378466,13.5548957905,11609626,0.0,1.0,22529645673.9342,28342645673.9342,14.3106060606,1.0793849986,-0.048553842
3,2017-05-09 00:00:00+00:00,18.78,18.97,18.635,18.87,16245822,13.5117273325,13.6484274493,13.4074035592,13.5764800194,20845098,0.0,1.0,22398451337.0292,28211451337.0292,14.2272727273,1.073099538,-0.0482711039
4,2017-05-10 00:00:00+00:00,19.0,19.0,18.75,18.79,11297233,13.6700116783,13.6700116783,13.4901431036,13.5189220755,14495538,0.0,1.0,22660840010.8389,28473840010.8389,14.3939393939,1.0856704591,-0.0488365801
5,2017-05-11 00:00:00+00:00,18.86,19.055,18.805,18.92,12415980,13.5692852764,13.7095827647,13.52971419,13.6124537344,15931008,0.0,1.0,22493865400.2328,28306865400.2328,14.2878787879,1.0776707821,-0.0484767316
6,2017-05-12 00:00:00+00:00,18.88,19.02,18.84,18.88,9556246,13.5836747624,13.6844011643,13.5548957905,13.5836747624,12261668,0.0,1.0,22517718916.0337,28330718916.0337,14.303030303,1.0788135931,-0.0485281385
7,2017-05-15 00:00:00+00:00,18.99,19.13,18.87,18.9,10679245,13.6628169353,13.7635433371,13.5764800194,13.5980642484,13702594,0.0,1.0,22648913252.9386,28461913252.9386,14.3863636364,1.0850990536,-0.0488108766
8,2017-05-16 00:00:00+00:00,19.11,19.16,18.915,19.0,9391480,13.7491538512,13.7851275661,13.6088563629,13.6700116783,12050256,0.0,1.0,22792034347.7438,28605034347.7438,14.4772727273,1.0919559197,-0.0491193182
9,2017-05-17 00:00:00+00:00,18.8,19.025,18.72,18.93,12770089,13.5261168185,13.6879985358,13.4685588746,13.6196484774,16385367,0.0,1.0,22422304852.8302,28235304852.8302,14.2424242424,1.074242349,-0.0483225108
10,2017-05-18 00:00:00+00:00,18.78,18.96,18.52,18.65,12428219,13.5117273325,13.6412327063,13.3246640148,13.4181956737,15946712,0.0,1.0,22398451337.0292,28211451337.0292,14.2272727273,1.073099538,-0.0482711039
11,2017-05-19 00:00:00+00:00,18.53,19.0,18.47,18.84,20128881,13.3318587578,13.6700116783,13.2886902999,13.5548957905,25827471,0.0,1.0,22100282389.5182,27913282389.5182,14.0378787879,1.0588144004,-0.0476285173
12,2017-05-22 00:00:00+00:00,18.79,18.85,18.51,18.52,12605881,13.5189220755,13.5620905335,13.3174692718,13.3246640148,16174671,0.0,1.0,22410378094.9297,28223378094.9297,14.2348484848,1.0736709435,-0.0482968074
13,2017-05-23 00:00:00+00:00,18.86,18.9,18.75,18.87,13899901,13.5692852764,13.5980642484,13.4901431036,13.5764800194,17835034,0.0,1.0,22493865400.2328,28306865400.2328,14.2878787879,1.0776707821,-0.0484767316
14,2017-05-24 00:00:00+00:00,18.91,18.98,18.78,18.84,11762730,13.6052589914,13.6556221923,13.5117273325,13.5548957905,15092819,0.0,1.0,22553499189.735,28366499189.735,14.3257575758,1.0805278096,-0.0486052489
15,2017-05-25 00:00:00+00:00,18.84,19.0,18.81,18.97,15812371,13.5548957905,13.6700116783,13.5333115615,13.6484274493,20288934,0.0,1.0,22470011884.4319,28283011884.4319,14.2727272727,1.0765279711,-0.0484253247
16,2017-05-26 00:00:00+00:00,18.83,18.89,18.74,18.85,13431357,13.5477010475,13.5908695054,13.4829483606,13.5620905335,17233843,0.0,1.0,22458085126.5315,28271085126.5315,14.2651515152,1.0759565656,-0.0483996212
17,2017-05-30 00:00:00+00:00,18.85,18.93,18.69,18.78,17734265,13.5620905335,13.6196484774,13.4469746456,13.5117273325,22754927,0.0,1.0,22481938642.3323,28294938642.3323,14.2803030303,1.0770993766,-0.0484510281
18,2017-05-31 00:00:00+00:00,18.81,18.875,18.56,18.8,23343784,13.5333115615,13.5800773909,13.3534429868,13.5261168185,29952529,0.0,1.0,22434231610.7305,28247231610.7305,14.25,1.0748137545,-0.0483482143
19,2017-06-01 00:00:00+00:00,17.52,18.37,17.47,18.35,388790,12.605189716,13.21674287,12.569216001,13.202353384,498858,0.0,1.0,20895679841.5736,26708679841.5736,13.2727272727,1.0011024444,-0.0450324675
20,2017-06-02 00:00:00+00:00,17.4,17.58,16.95,17.34,29914649,12.5188528001,12.6483581739,12.1950893656,12.4756843422,38383640,0.0,1.0,20752558746.7683,26565558746.7683,13.1818181818,0.9942455784,-0.044724026
21,2017-06-05 00:00:00+00:00,17.16,17.35,17.13,17.34,15521459,12.3461789684,12.4828790852,12.3245947394,12.4756843422,19915664,0.0,1.0,20466316557.1578,26279316557.1578,13.0,0.9805318463,-0.0441071429
22,2017-06-06 00:00:00+00:00,17.03,17.19,17.03,17.14,13801809,12.2526473095,12.3677631973,12.2526473095,12.3317894824,17709172,0.0,1.0,20311268704.4521,26124268704.4521,12.9015151515,0.9731035747,-0.0437729978
23,2017-06-07 00:00:00+00:00,17.04,17.24,17.01,17.03,14542052,12.2598420525,12.4037369123,12.2382578236,12.2526473095,18658982,0.0,1.0,20323195462.3524,26136195462.3524,12.9090909091,0.9736749802,-0.0437987013
24,2017-06-08 00:00:00+00:00,17.05,17.12,16.98,17.09,10657804,12.2670367955,12.3173999964,12.2166735946,12.2958157675,13675083,0.0,1.0,20150205558.6963,25963205558.6963,12.9166666667,0.9742463857,-0.0438244048
25,2017-06-09 00:00:00+00:00,16.99,17.32,16.805,17.04,10517977,12.2238683376,12.4612948562,12.0907655923,12.2598420525,13495670,0.0,1.0,20079295744.4135,25892295744.4135,12.8712121212,0.9708179527,-0.043670184
26,2017-06-12 00:00:00+00:00,16.85,16.98,16.56,16.89,11555220,12.1699077652,12.2638002286,11.9604553467,12.1987977539,14826562,0.065,1.0,19990658476.56,25803658476.56,12.7651515152,0.9628182756,-0.0433103355
27,2017-06-13 00:00:00+00:00,16.88,16.97,16.8,16.82,12160915,12.1915752567,12.2565777314,12.1337952792,12.1482402736,15603732,0.0,1.0,20026250153.3728,25839250153.3728,12.7878787879,0.9645324921,-0.0433874459
28,2017-06-14 00:00:00+00:00,16.74,16.95,16.65,16.85,11392675,12.0904602961,12.2421327371,12.0254578214,12.1699077652,14618000,0.0,1.0,19860155661.5795,25673155661.5795,12.6818181818,0.956532815,-0.0430275974
29,2017-06-15 00:00:00+00:00,16.52,16.76,16.47,16.7,17815515,11.9315653579,12.1049052905,11.8954528719,12.0615703073,22859179,0.0,1.0,19599150031.6184,25412150031.6184,12.5151515152,0.9439618939,-0.0424621212
30,2017-06-16 00:00:00+00:00,16.49,16.61,16.44,16.58,15005698,11.9098978663,11.9965678326,11.8737853804,11.974900341,19253888,0.0,1.0,19563558354.8056,25376558354.8056,12.4924242424,0.9422476774,-0.0423850108
31,2017-06-19 00:00:00+00:00,16.72,16.77,16.51,16.51,11130370,12.0760153017,12.1121277876,11.9243428607,11.9243428607,14281435,0.0,1.0,19836427877.0376,25649427877.0376,12.6666666667,0.955390004,-0.0429761905
32,2017-06-20 00:00:00+00:00,16.64,16.74,16.48,16.69,12896515,12.0182353242,12.0904602961,11.9026753691,12.0543478101,16547585,0.0,1.0,19741516738.8699,25554516738.8699,12.6060606061,0.95081876,-0.0427705628
33,2017-06-21 00:00:00+00:00,16.57,16.79,16.54,16.7,9438654,11.9676778438,12.126572782,11.9460103523,12.0615703073,12110785,0.0,1.0,19658469492.9733,25471469492.9733,12.553030303,0.9468189215,-0.0425906385
34,2017-06-22 00:00:00+00:00,16.68,16.75,16.5,16.54,7940591,12.0471253129,12.0976827933,11.9171203635,11.9460103523,10188613,0.0,1.0,19788972307.9538,25601972307.9538,12.6363636364,0.953104382,-0.0428733766
