,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,110.0,110.49,109.5,109.73,847009,104.6176104855,105.0836343867,104.1420758924,104.3608218052,847009,0.0,1.0,12754159391.4119,16665159391.4119,23.4042553191,4.6982782121,-0.4860883797
1,2017-05-05 00:00:00+00:00,110.72,111.8,110.23,110.28,968892,105.3023802996,106.3295350207,104.8363563983,104.8839098576,968892,0.0,1.0,12837641161.9739,16748641161.9739,23.5574468085,4.7290305786,-0.4892700491
2,2017-05-08 00:00:00+00:00,108.0,111.1,107.854,110.82,1382004,102.715472113,105.6637865903,102.5766160118,105.3974872182,1382004,0.0,1.0,12522265584.2953,16433265584.2953,22.9787234043,4.6128549719,-0.4772504092
3,2017-05-09 00:00:00+00:00,108.5,108.53,107.22,107.79,1277027,103.1910067061,103.2195387817,101.9736381478,102.5157475839,1277027,0.0,1.0,12580239036.0744,16491239036.0744,23.085106383,4.6342107819,-0.4794599018
4,2017-05-10 00:00:00+00:00,108.96,108.96,108.17,108.49,714814,103.6284985318,103.6284985318,102.8771538747,103.1814960143,714814,0.0,1.0,12633574611.7113,16544574611.7113,23.1829787234,4.6538581272,-0.481492635
5,2017-05-11 00:00:00+00:00,108.97,109.05,108.04,108.51,570212,103.6380092237,103.7140947586,102.7535148805,103.200517398,570212,0.0,1.0,12634734080.7468,16545734080.7468,23.185106383,4.6542852434,-0.4815368249
6,2017-05-12 00:00:00+00:00,107.76,109.15,107.6032,109.15,547085,102.4872155083,103.8092016772,102.3380878599,103.8092016772,547085,0.0,1.0,12494438327.4414,16405438327.4414,22.9276595745,4.602604183,-0.4761898527
7,2017-05-15 00:00:00+00:00,108.63,108.82,107.73,107.89,596280,103.3146457003,103.4953488457,102.4586834327,102.6108545025,596280,0.0,1.0,12595312133.537,16506312133.537,23.1127659574,4.6397632925,-0.4800343699
8,2017-05-16 00:00:00+00:00,108.64,108.99,108.38,108.79,637163,103.3241563922,103.6570306074,103.0768784038,103.4668167701,637163,0.0,1.0,12596471602.5727,16507471602.5727,23.114893617,4.6401904087,-0.4800785597
9,2017-05-17 00:00:00+00:00,107.18,107.94,107.06,107.53,1215483,101.9355953803,102.6584079618,101.821467078,102.2684695955,1215483,0.0,1.0,12427189123.3776,16338189123.3776,22.8042553191,4.5778314434,-0.4736268412
10,2017-05-18 00:00:00+00:00,107.44,107.64,106.18,107.09,912048,102.1828733687,102.373087206,100.9845261941,101.8499991535,912048,0.0,1.0,12457335318.3027,16368335318.3027,22.8595744681,4.5889364646,-0.4747757774
11,2017-05-19 00:00:00+00:00,107.81,108.46,107.46,107.95,2379024,102.5347689676,103.1529639387,102.2018947525,102.6679186537,2379024,0.0,1.0,12500235672.6192,16411235672.6192,22.9382978723,4.604739764,-0.476410802
12,2017-05-22 00:00:00+00:00,108.55,109.29,108.07,108.33,770331,103.2385601654,103.9423513633,102.7820469561,103.0293249445,770331,0.0,1.0,12586036381.2524,16497036381.2524,23.0957446809,4.6363463629,-0.4796808511
13,2017-05-23 00:00:00+00:00,108.94,109.21,107.91,108.66,515006,103.6094771481,103.8662658284,102.6298758863,103.3431777759,515006,0.0,1.0,12631255673.6401,16542255673.6401,23.1787234043,4.6530038948,-0.4814042553
14,2017-05-24 00:00:00+00:00,109.88,110.0,108.64,108.7,775052,104.5034821831,104.6176104855,103.3241563922,103.3812205434,775052,0.0,1.0,12740245762.9849,16651245762.9849,23.3787234043,4.6931528177,-0.4855581015
15,2017-05-25 00:00:00+00:00,111.05,111.35,109.62,110.0,602337,105.616233131,105.9015538869,104.2562041947,104.6176104855,602337,0.0,1.0,12875903640.1481,16786903640.1481,23.6276595745,4.7431254132,-0.4907283142
16,2017-05-26 00:00:00+00:00,110.56,111.16,110.15,110.93,801211,105.1502092298,105.7208507415,104.7602708634,105.5021048287,801211,0.0,1.0,12819089657.4046,16730089657.4046,23.5234042553,4.7221967193,-0.4885630115
17,2017-05-30 00:00:00+00:00,110.53,111.28,109.86,110.56,912660,105.1216771542,105.8349790439,104.4844607994,105.1502092298,912660,0.0,1.0,12815611250.2979,16726611250.2979,23.5170212766,4.7209153707,-0.4884304419
18,2017-05-31 00:00:00+00:00,112.16,112.23,109.96,110.4,1262204,107.1759865964,107.2428760317,105.0737472017,105.4941950807,1262204,0.53,1.0,13066056561.9837,16977056561.9837,23.8638297872,4.7905353115,-0.4956333879
19,2017-06-01 00:00:00+00:00,113.36,113.36,112.01,112.26,667417,108.3226626299,108.3226626299,107.0326520923,107.2715429326,667417,0.0,1.0,13205850319.7795,17116850319.7795,24.1191489362,4.8417892556,-0.5009361702
20,2017-06-02 00:00:00+00:00,113.82,114.32,113.44,113.56,661661,108.7622217761,109.2400034567,108.3991076988,108.5137753022,661661,0.0,1.0,13259437926.9346,17170437926.9346,24.2170212766,4.8614366009,-0.5029689034
21,2017-06-05 00:00:00+00:00,112.74,113.68,112.685,113.44,799062,107.730213346,108.6284429055,107.6776573611,108.3991076988,799062,0.0,1.0,13133623544.9184,17044623544.9184,23.9872340426,4.8153080512,-0.4981963993
22,2017-06-06 00:00:00+00:00,110.89,112.52,110.68,112.52,977056,105.9624211277,107.5199894065,105.7617528218,107.5199894065,977056,0.0,1.0,12918108168.3165,16829108168.3165,23.5936170213,4.736291554,-0.4900212766
23,2017-06-07 00:00:00+00:00,110.45,111.8,110.22,110.72,1314183,105.5419732487,106.8319837864,105.3221936756,105.7999753563,1314183,0.0,1.0,12866850457.1246,16777850457.1246,23.5,4.7174984411,-0.4880769231
24,2017-06-08 00:00:00+00:00,111.21,111.2934,110.0,110.28,647298,106.2682014033,106.3478953876,105.1119697362,105.3795274773,647298,0.0,1.0,12955386503.7287,16866386503.7287,23.6617021277,4.7499592724,-0.4914353519
25,2017-06-09 00:00:00+00:00,109.06,111.54,108.76,111.29,1908051,104.2137401766,106.5835373125,103.9270711682,106.3446464722,1908051,0.0,1.0,12704922687.6778,16615922687.6778,23.2042553191,4.6581292892,-0.4819345336
26,2017-06-12 00:00:00+00:00,108.53,109.28,107.78,109.18,1090045,103.7072915952,104.4239641161,102.9906190742,104.32840778,1090045,0.0,1.0,12643180444.6513,16554180444.6513,23.0914893617,4.6354921305,-0.4795924714
27,2017-06-13 00:00:00+00:00,109.31,109.54,108.74,109.02,830560,104.4526310169,104.67241059,103.907959901,104.1755176422,830560,0.0,1.0,12734046387.2186,16645046387.2186,23.2574468085,4.6688071942,-0.4830392799
28,2017-06-14 00:00:00+00:00,109.37,109.97,108.79,109.32,738331,104.5099648186,105.0833028353,103.9557380691,104.4621866505,738331,0.0,1.0,12741036075.1084,16652036075.1084,23.270212766,4.6713698914,-0.483304419
29,2017-06-15 00:00:00+00:00,109.5,109.89,108.26,108.85,900357,104.6341880556,105.0068577664,103.4492894876,104.0130718707,900357,0.0,1.0,12756180398.8696,16667180398.8696,23.2978723404,4.676922402,-0.4838788871
30,2017-06-16 00:00:00+00:00,110.54,110.6,109.13,109.77,2229493,105.6279739512,105.6853077529,104.2806296119,104.8921901631,2229493,0.0,1.0,12877334988.9594,16788334988.9594,23.5191489362,4.7213424869,-0.4884746318
31,2017-06-19 00:00:00+00:00,112.28,112.3,110.39,110.73,711764,107.2906541998,107.309765467,105.4846394471,105.8095309899,711764,0.0,1.0,13080035937.7634,16991035937.7634,23.8893617021,4.7956607059,-0.4961636661
32,2017-06-20 00:00:00+00:00,111.87,112.69,111.84,112.01,544051,106.8988732217,107.6824351779,106.8702063209,107.0326520923,544051,0.0,1.0,13032273070.5164,16943273070.5164,23.8021276596,4.7781489417,-0.4943518822
33,2017-06-21 00:00:00+00:00,111.71,112.33,111.49,111.81,424208,106.7459830839,107.3384323679,106.5357591444,106.84153942,424208,0.0,1.0,13013633902.8103,16924633902.8103,23.7680851064,4.7713150825,-0.4936448445
34,2017-06-22 00:00:00+00:00,110.99,112.25,110.99,111.62,407922,106.0579774638,107.261987299,106.0579774638,106.6599823814,407922,0.0,1.0,12929757648.1328,16840757648.1328,23.614893617,4.740562716,-0.4904631751
35,2017-06-23 00:00:00+00:00,111.39,111.6,110.66,111.02,1108004,106.4402028083,106.6408711142,105.7426415546,106.0866443646,1108004,0.0,1.0,12976355567.3981,16887355567.3981,23.7,4.757647364,-0.4922307692
36,2017-06-26 00:00:00+00:00,110.91,112.425,110.71,111.52,581756,105.9815323949,107.4292108872,105.7904197227,106.5644260453,581756,0.0,1.0,12920438064.2798,16831438064.2798,23.5978723404,4.7371457864,-0.4901096563
37,2017-06-27 00:00:00+00:00,109.35,111.095,109.31,110.8,478627,104.4908535514,106.1583116167,104.4526310169,105.8764204252,478627,0.0,1.0,12738706179.1451,16649706179.1451,23.2659574468,4.670515659,-0.4832160393
38,2017-06-28 00:00:00+00:00,110.42,110.83,109.53,110.02,514937,105.5133063479,105.905087326,104.6628549564,105.1310810034,514937,0.0,1.0,12863355613.1798,16774355613.1798,23.4936170213,4.7162170925,-0.4879443535
39,2017-06-29 00:00:00+00:00,108.99,110.3,108.29,110.3,526254,104.1468507413,105.3986387445,103.4779563885,105.3986387445,526254,0.0,1.0,12696768051.8064,16607768051.8064,23.1893617021,4.6551394758,-0.4816252046
40,2017-06-30 00:00:00+00:00,109.08,110.21,108.7,109.21,464388,104.2328514438,105.312638042,103.8697373666,104.3570746808,464388,0.0,1.0,12707252583.6411,16253252583.6411,24.6787330317,4.5417277863,-1.1369844861
41,2017-07-03 00:00:00+00:00,109.67,110.21,109.08,109.8,466385,104.796633827,105.312638042,104.2328514438,104.9208570639,466385,0.0,1.0,12775984514.5574,16321984514.5574,24.8122171946,4.5662934206,-1.1431342922
42,2017-07-05 00:00:00+00:00,110.83,110.95,109.56,109.66,713467,105.905087326,106.0197549293,104.6915218572,104.7870781934,713467,0.0,1.0,12911118480.4267,16457118480.4267,25.0746606335,4.6145919559,-1.1552254363
43,2017-07-06 00:00:00+00:00,110.28,111.015,110.2,110.38,647187,105.3795274773,106.0818665478,105.3030824084,105.4750838134,647187,0.0,1.0,12847046341.4369,16393046341.4369,24.9502262443,4.5916917883,-1.1494925663
44,2017-07-07 00:00:00+00:00,112.81,113.03,110.66,111.16,994616,107.7971027813,108.0073267207,105.7426415546,106.2204232352,994616,0.0,1.0,13141778180.7898,16687778180.7898,25.5226244344,4.6970325593,-1.1758637686
45,2017-07-10 00:00:00+00:00,113.9,114.22,112.4,112.82,1608745,108.838666845,109.1444471206,107.4053218031,107.8066584149,1608745,0.0,1.0,13268757510.7877,16814757510.7877,25.7692307692,4.7424165278,-1.1872252747
46,2017-07-11 00:00:00+00:00,114.72,114.97,113.64,113.9,794767,109.6222288012,109.8611196415,108.5902203711,108.838666845,794767,0.0,1.0,13364283245.2815,16910283245.2815,25.9547511312,4.7765585959,-1.1957724628
47,2017-07-12 00:00:00+00:00,115.59,116.09,115.0,115.44,553943,110.4535689255,110.9313506061,109.8897865424,110.3102344213,553943,0.0,1.0,13465633719.6835,17011633719.6835,26.1515837104,4.8127824974,-1.2048408209
48,2017-07-13 00:00:00+00:00,115.14,115.79,114.79,115.66,643401,110.0235654129,110.6446815977,109.6891182365,110.5204583608,643401,0.0,1.0,13413211060.51,16959211060.51,26.0497737557,4.7940459966,-1.2001502909
49,2017-07-14 00:00:00+00:00,115.18,115.43,114.07,115.22,1022340,110.0617879474,110.3006787877,109.0011126164,110.1000104818,1022340,0.0,1.0,13417870852.4366,16963870852.4366,26.0588235294,4.7957114634,-1.2005672269
50,2017-07-17 00:00:00+00:00,113.49,115.15,113.39,115.0,1057935,108.4468858669,110.0331210465,108.3513295308,109.8897865424,1057935,0.0,1.0,13220994643.5407,16766994643.5407,25.6764705882,4.7253454938,-1.1829516807
51,2017-07-18 00:00:00+00:00,113.78,113.8,112.925,113.09,575756,108.7239992417,108.7431105089,107.9069925678,108.0646605224,575756,0.0,1.0,13254778135.008,16800778135.008,25.742081448,4.7374201276,-1.1859744667
52,2017-07-19 00:00:00+00:00,114.43,114.651,114.14,114.14,521945,109.3451154265,109.5562949293,109.0680020517,109.0680020517,521945,0.0,1.0,13330499753.8141,16876499753.8141,25.8891402715,4.7644839621,-1.1927496768
53,2017-07-20 00:00:00+00:00,114.23,114.76,113.95,114.59,519109,109.1540027542,109.6604513357,108.8864450131,109.4980055643,519109,0.0,1.0,13307200794.1815,16853200794.1815,25.8438914027,4.7561566284,-1.1906649968
54,2017-07-21 00:00:00+00:00,113.94,114.52,113.645,113.92,1047656,108.8768893794,109.431116129,108.5949981879,108.8577781122,1047656,0.0,1.0,13273417302.7141,16819417302.7141,25.778280543,4.7440819946,-1.1876422107
55,2017-07-24 00:00:00+00:00,113.94,114.41,113.67,114.08,674844,108.8768893794,109.3260041592,108.6188872719,109.01066825,674844,0.0,1.0,13273417302.7141,16819417302.7141,25.778280543,4.7440819946,-1.1876422107
56,2017-07-25 00:00:00+00:00,114.97,115.1,114.0503,114.42,349611,109.8611196415,109.9853428785,108.9822880182,109.3355597928,349611,0.0,1.0,13393406944.8223,16939406944.8223,26.0113122172,4.786967763,-1.1983783129
57,2017-07-26 00:00:00+00:00,115.23,115.529,114.57,115.27,419523,110.1095661154,110.3952795605,109.478894297,110.1477886499,419523,0.0,1.0,13423695592.3447,16969695592.3447,26.0701357466,4.7977932968,-1.2010883969
58,2017-07-27 00:00:00+00:00,113.88,115.64,113.28,115.64,715431,108.8195555778,110.5013470936,108.246217561,110.5013470936,715431,0.0,1.0,13266427614.8244,16812427614.8244,25.7647058824,4.7415837945,-1.1870168067
59,2017-07-28 00:00:00+00:00,114.41,114.47,113.7,113.82,370762,109.3260041592,109.3833379609,108.6475541728,108.7622217761,370762,0.0,1.0,13328169857.8509,16874169857.8509,25.8846153846,4.7636512287,-1.1925412088
60,2017-07-31 00:00:00+00:00,114.47,114.97,113.97,114.8,785988,109.3833379609,109.8611196415,108.9055562803,109.6986738701,785988,0.0,1.0,13335159545.7407,16881159545.7407,25.8981900452,4.7661494288,-1.1931666128
61,2017-08-01 00:00:00+00:00,116.69,117.71,116.38,117.26,1084984,111.5046886229,112.4793632513,111.2084639809,112.0493597388,1084984,0.0,1.0,13593777997.663,17139777997.663,26.4004524887,4.8585828326,-1.2163065611
62,2017-08-02 00:00:00+00:00,116.25,116.925,115.97,116.05,1008926,111.0842407439,111.7292460127,110.8166830028,110.8931280717,1008926,0.0,1.0,13542520286.4712,17088520286.4712,26.3009049774,4.8402626985,-1.211720265
63,2017-08-03 00:00:00+00:00,116.91,116.95,115.951,115.96,592441,111.7149125623,111.7531350968,110.7985272989,110.8071273691,592441,0.0,1.0,13619406853.2589,17165406853.2589,26.4502262443,4.8677428996,-1.2185997091
64,2017-08-04 00:00:00+00:00,116.69,117.71,116.38,117.26,390570,111.5046886229,112.4793632513,111.2084639809,112.0493597388,390570,0.0,1.0,13593777997.663,17139777997.663,26.4004524887,4.8585828326,-1.2163065611
65,2017-08-07 00:00:00+00:00,117.38,117.42,116.62,116.69,570572,112.1640273421,112.2022498766,111.4377991876,111.5046886229,570572,0.0,1.0,13674159408.3956,17220159408.3956,26.556561086,4.8873121338,-1.2234987072
