,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,160.46,161.02,158.83,160.47,766092,160.46,161.02,158.83,160.47,766092,0.0,1.0,14140288947.46,15245748947.46,58.5620437956,-191.0558199164,1.1061719384
1,2017-05-05 00:00:00+00:00,162.47,162.76,160.11,161.02,769841,162.47,162.76,160.11,161.02,769841,0.0,1.0,14317417083.97,15422877083.97,59.295620438,-193.449078037,1.1200283861
2,2017-05-08 00:00:00+00:00,161.66,162.65,160.56,161.89,398156,161.66,162.65,160.56,161.89,398156,0.0,1.0,14246037088.66,15351497088.66,59.0,-192.4846307347,1.1144444444
3,2017-05-09 00:00:00+00:00,162.06,162.25,160.8,160.8,454250,162.06,162.25,160.8,160.8,454250,0.0,1.0,14281286469.06,15386746469.06,59.1459854015,-192.9609010074,1.1172019465
4,2017-05-10 00:00:00+00:00,163.01,163.63,161.55,162.08,593467,163.01,163.63,161.55,162.08,593467,0.0,1.0,14365003747.51,15470463747.51,59.4927007299,-194.0920429052,1.1237510138
5,2017-05-11 00:00:00+00:00,163.17,163.27,161.83,162.07,362635,163.17,163.27,161.83,162.07,362635,0.0,1.0,14379103499.67,15484563499.67,59.5510948905,-194.2825510143,1.1248540146
6,2017-05-12 00:00:00+00:00,163.22,164.0,162.59,163.17,374102,163.22,164.0,162.59,163.17,374102,0.0,1.0,14383509672.22,15488969672.22,59.5693430657,-194.3420847984,1.1251987024
7,2017-05-15 00:00:00+00:00,164.48,164.56,162.71,163.15,356996,164.48,164.56,162.71,163.15,356996,0.0,1.0,14494545220.48,15600005220.48,60.0291970803,-195.8423361576,1.1338848337
8,2017-05-16 00:00:00+00:00,164.72,164.97,163.71,164.9,354250,164.72,164.97,163.71,164.9,354250,0.0,1.0,14515694848.72,15621154848.72,60.1167883212,-196.1280983212,1.135539335
9,2017-05-17 00:00:00+00:00,161.04,164.06,160.91,163.92,475267,161.04,164.06,160.91,163.92,475267,0.0,1.0,14191400549.04,15296860549.04,58.7737226277,-191.7464118119,1.1101703163
10,2017-05-18 00:00:00+00:00,161.59,162.76,160.51,161.2,606013,161.59,162.76,160.51,161.2,606013,0.0,1.0,14239868447.09,15345328447.09,58.9744525547,-192.4012834369,1.1139618816
11,2017-05-19 00:00:00+00:00,161.63,162.39,160.98,161.75,467673,161.63,162.39,160.98,161.75,467673,0.0,1.0,14243393385.13,15348853385.13,58.9890510949,-192.4489104642,1.1142376318
12,2017-05-22 00:00:00+00:00,162.97,163.25,161.05,161.13,428707,162.97,163.25,161.05,161.13,428707,0.0,1.0,14361478809.47,15466938809.47,59.4781021898,-194.0444158779,1.1234752636
13,2017-05-23 00:00:00+00:00,164.2,164.45,162.68,163.37,417922,164.2,164.45,162.68,163.37,417922,0.0,1.0,14469870654.2,15575330654.2,59.9270072993,-195.5089469667,1.1319545823
14,2017-05-24 00:00:00+00:00,164.6,165.0,163.2,164.57,380608,164.6,165.0,163.2,164.57,380608,0.0,1.0,14505120034.6,15610580034.6,60.0729927007,-195.9852172394,1.1347120843
15,2017-05-25 00:00:00+00:00,167.4,168.43,164.75,165.05,466174,167.4,168.43,164.75,165.05,466174,0.0,1.0,14751865697.4,15857325697.4,61.0948905109,-199.3191091487,1.1540145985
16,2017-05-26 00:00:00+00:00,167.56,168.12,166.58,166.97,383500,167.56,168.12,166.58,166.97,383500,0.0,1.0,14765965449.56,15871425449.56,61.1532846715,-199.5096172578,1.1551175994
17,2017-05-30 00:00:00+00:00,167.93,168.91,167.31,167.44,299308,167.93,168.91,167.31,167.44,299308,0.0,1.0,14798571126.43,15904031126.43,61.2883211679,-199.9501672601,1.1576682887
18,2017-05-31 00:00:00+00:00,168.39,169.23,166.77,168.13,688092,168.39,169.23,166.77,168.13,688092,0.0,1.0,14839107913.89,15944567913.89,61.4562043796,-200.4978780738,1.1608394161
19,2017-06-01 00:00:00+00:00,168.25,169.06,165.19,166.88,1004162,168.25,169.06,165.19,166.88,1004162,0.0,1.0,14826770630.75,15932230630.75,61.4051094891,-200.3311834783,1.1598742903
20,2017-06-02 00:00:00+00:00,169.86,170.18,168.0,168.56,545530,169.86,170.18,168.0,168.56,545530,0.0,1.0,14968649386.86,16074109386.86,61.9927007299,-202.2481713262,1.170973236
21,2017-06-05 00:00:00+00:00,169.99,171.51,169.53,170.55,391759,169.99,171.51,169.53,170.55,391759,0.0,1.0,14980105435.49,16085565435.49,62.0401459854,-202.4029591648,1.1718694242
22,2017-06-06 00:00:00+00:00,170.88,172.25,169.34,170.09,450793,170.88,172.25,169.34,170.09,450793,0.0,1.0,15058535306.88,16163995306.88,62.3649635036,-203.4626605217,1.1780048662
23,2017-06-07 00:00:00+00:00,171.94,173.01,170.9,171.24,572870,171.94,173.01,170.9,171.24,572870,0.0,1.0,15151946164.94,16257406164.94,62.7518248175,-204.7247767445,1.1853122466
24,2017-06-08 00:00:00+00:00,171.34,172.86,170.32,172.02,458435,171.34,172.86,170.32,172.02,458435,0.0,1.0,15099072094.34,16204532094.34,62.5328467153,-204.0103713354,1.1811759935
25,2017-06-09 00:00:00+00:00,164.56,172.18,164.23,171.71,842828,164.56,172.18,164.23,171.71,842828,0.0,1.0,14501595096.56,15607055096.56,60.0583941606,-195.9375902121,1.1344363341
26,2017-06-12 00:00:00+00:00,158.22,164.56,156.02,164.35,1354045,158.22,164.56,156.02,164.35,1354045,0.0,1.0,13942892417.22,15048352417.22,57.7445255474,-188.3887063889,1.090729927
27,2017-06-13 00:00:00+00:00,161.3,161.63,158.22,159.35,925944,161.3,161.63,158.22,159.35,925944,0.0,1.0,14214312646.3,15319772646.3,58.8686131387,-192.0559874892,1.1119626926
28,2017-06-14 00:00:00+00:00,160.63,164.26,160.25,162.31,645066,160.63,164.26,160.25,162.31,645066,0.0,1.0,14155269934.13,15260729934.13,58.6240875912,-191.2582347823,1.1073438767
29,2017-06-15 00:00:00+00:00,160.57,160.99,157.88,159.77,740980,160.57,160.99,157.88,159.77,740980,0.0,1.0,14149982527.07,15255442527.07,58.602189781,-191.1867942414,1.1069302514
30,2017-06-16 00:00:00+00:00,160.71,162.75,159.51,160.21,1081904,160.71,162.75,159.51,160.21,1081904,0.0,1.0,14162319810.21,15267779810.21,58.6532846715,-191.3534888369,1.1078953771
31,2017-06-19 00:00:00+00:00,164.38,164.62,161.19,161.4,584220,164.38,164.62,161.19,161.4,584220,0.0,1.0,14485732875.38,15591192875.38,59.9927007299,-195.7232685894,1.1331954582
32,2017-06-20 00:00:00+00:00,166.02,167.29,163.84,163.9,672386,166.02,167.29,163.84,163.9,672386,0.0,1.0,14630255335.02,15735715335.02,60.5912408759,-197.6759767077,1.1445012165
33,2017-06-21 00:00:00+00:00,166.61,167.07,165.83,166.02,451390,166.61,167.07,165.83,166.02,451390,0.0,1.0,14682248171.11,15787708171.11,60.8065693431,-198.37847536,1.148568532
34,2017-06-22 00:00:00+00:00,166.52,167.98,165.44,166.5,417293,166.52,167.98,165.44,166.5,417293,0.0,1.0,14674317060.52,15779777060.52,60.7737226277,-198.2713145487,1.1479480941
