,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,188.85,188.97,186.79,188.66,676038,188.85,188.97,186.79,188.66,676038,0.0,1.0,27628755000.0,27703755000.0,37.6946107784,10.8305586045,0.1216598549
1,2017-05-05 00:00:00+00:00,187.14,189.48,186.63,188.33,878644,187.14,189.48,186.63,188.33,878644,0.0,1.0,27322440000.0,27397440000.0,37.3532934132,10.7324900039,0.1205582486
2,2017-05-08 00:00:00+00:00,184.65,186.39,183.1,186.1,1043904,184.65,186.39,183.1,186.1,1043904,0.0,1.0,26958900000.0,27033900000.0,36.8562874251,10.5896883575,0.1189541552
3,2017-05-09 00:00:00+00:00,183.59,185.27,182.71,184.35,1116563,183.59,185.27,182.71,184.35,1116563,0.0,1.0,26804140000.0,26879140000.0,36.6447105788,10.5288972952,0.1182712881
4,2017-05-10 00:00:00+00:00,182.11,183.96,180.19,182.97,971678,182.11,183.96,180.19,182.97,971678,0.0,1.0,26588060000.0,26663060000.0,36.3493013972,10.4440192082,0.1173178511
5,2017-05-11 00:00:00+00:00,181.74,182.41,179.28,182.14,816477,181.74,182.41,179.28,182.14,816477,0.0,1.0,26534040000.0,26609040000.0,36.2754491018,10.4227996864,0.1170794918
6,2017-05-12 00:00:00+00:00,182.38,182.51,180.69,181.91,636218,182.38,182.51,180.69,181.91,636218,0.0,1.0,26627480000.0,26702480000.0,36.4031936128,10.459503724,0.1174917889
7,2017-05-15 00:00:00+00:00,180.05,181.09,179.0,180.76,1222552,180.05,181.09,179.0,180.76,1222552,0.0,1.0,26287300000.0,26362300000.0,35.9381237525,10.325878087,0.1159907698
8,2017-05-16 00:00:00+00:00,178.24,180.04,176.52,180.04,1212710,178.24,180.04,176.52,180.04,1212710,0.0,1.0,26023040000.0,26098040000.0,35.5768463074,10.2220744806,0.1148247421
9,2017-05-17 00:00:00+00:00,175.56,177.92,175.25,176.98,961130,175.56,177.92,175.25,176.98,961130,0.0,1.0,25631760000.0,25706760000.0,35.0419161677,10.068376323,0.1130982479
10,2017-05-18 00:00:00+00:00,175.89,177.48,174.81,176.29,930521,175.89,177.48,174.81,176.29,930521,0.0,1.0,25679940000.0,25754940000.0,35.1077844311,10.0873018424,0.1133108386
11,2017-05-19 00:00:00+00:00,177.01,177.5,174.85,175.88,1057225,177.01,177.5,174.85,175.88,1057225,0.0,1.0,25843460000.0,25918460000.0,35.3313373253,10.1515339083,0.1140323586
12,2017-05-22 00:00:00+00:00,174.92,176.5,174.49,176.36,1169850,174.92,176.5,174.49,176.36,1169850,0.0,1.0,25538320000.0,25613320000.0,34.9141716567,10.0316722854,0.1126859508
13,2017-05-23 00:00:00+00:00,174.72,176.31,174.19,175.0,996874,174.72,176.31,174.19,175.0,996874,0.0,1.0,25509120000.0,25584120000.0,34.874251497,10.0202022736,0.112557108
14,2017-05-24 00:00:00+00:00,174.48,175.98,173.78,175.34,1250609,174.48,175.98,173.78,175.34,1250609,0.0,1.0,25474080000.0,25549080000.0,34.8263473054,10.0064382595,0.1124024966
15,2017-05-25 00:00:00+00:00,173.76,174.77,172.34,174.77,1214247,173.76,174.77,172.34,174.77,1214247,0.0,1.0,25368960000.0,25443960000.0,34.6826347305,9.9651462172,0.1119386624
16,2017-05-26 00:00:00+00:00,175.91,177.14,173.8,174.01,957959,175.91,177.14,173.8,174.01,957959,0.0,1.0,25682860000.0,25757860000.0,35.1117764471,10.0884488436,0.1133237229
17,2017-05-30 00:00:00+00:00,173.58,176.51,173.02,175.19,723877,173.58,176.51,173.02,175.19,723877,0.0,1.0,25342680000.0,25417680000.0,34.6467065868,9.9548232066,0.1118227038
18,2017-05-31 00:00:00+00:00,177.36,177.46,173.26,174.7,1411635,177.36,177.46,173.26,174.7,1411635,0.0,1.0,25894560000.0,25969560000.0,35.4011976048,10.1716064289,0.1142578335
19,2017-06-01 00:00:00+00:00,180.65,180.94,176.05,177.61,898420,180.65,180.94,176.05,177.61,898420,0.0,1.0,26374900000.0,26449900000.0,36.0578842315,10.3602881223,0.1163772983
20,2017-06-02 00:00:00+00:00,183.79,184.44,180.04,181.0,713791,183.79,184.44,180.04,181.0,713791,0.0,1.0,26833340000.0,26908340000.0,36.6846307385,10.5403673069,0.118400131
21,2017-06-05 00:00:00+00:00,181.51,184.75,181.44,184.75,563881,181.51,184.75,181.44,184.75,563881,0.0,1.0,26500460000.0,26575460000.0,36.2295409182,10.4096091729,0.1169313225
22,2017-06-06 00:00:00+00:00,179.45,181.54,178.69,180.62,599253,179.45,181.54,178.69,180.62,599253,0.0,1.0,26199700000.0,26274700000.0,35.8183632735,10.2914680517,0.1156042413
23,2017-06-07 00:00:00+00:00,179.15,180.1,177.75,179.47,560301,179.15,180.1,177.75,179.47,560301,0.0,1.0,26155900000.0,26230900000.0,35.7584830339,10.2742630341,0.115410977
24,2017-06-08 00:00:00+00:00,177.69,179.0,176.66,178.91,583648,177.69,179.0,176.66,178.91,583648,0.0,1.0,25942740000.0,26017740000.0,35.4670658683,10.1905319483,0.1144704242
25,2017-06-09 00:00:00+00:00,174.08,178.3,173.45,176.26,876854,174.08,178.3,173.45,176.26,876854,0.0,1.0,25415680000.0,25490680000.0,34.746506986,9.983498236,0.1121448109
26,2017-06-12 00:00:00+00:00,171.46,174.41,168.87,173.81,907974,171.46,174.41,168.87,173.81,907974,0.0,1.0,25033160000.0,25108160000.0,34.2235528942,9.8332410819,0.1104569697
27,2017-06-13 00:00:00+00:00,173.46,173.5,170.55,171.46,691381,173.46,173.5,170.55,171.46,691381,0.0,1.0,25325160000.0,25400160000.0,34.622754491,9.9479411995,0.1117453981
28,2017-06-14 00:00:00+00:00,172.59,176.11,171.61,174.26,742603,172.59,176.11,171.61,174.26,742603,0.0,1.0,25198140000.0,25273140000.0,34.4491017964,9.8980466484,0.1111849317
