,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,49.14,50.22,49.1,49.79,2989646,44.0374013127,45.0052562867,44.0015548322,44.6199066211,2989646,0.0,1.0,7347695543.8578,9436695543.8578,22.75,12.1108870359,0.5584090909
1,2017-05-05 00:00:00+00:00,49.01,49.5,48.705,49.32,2019777,43.9209002511,44.3600196374,43.6475708371,44.1987104751,2019777,0.0,1.0,7328257195.85818,9417257195.85818,22.6898148148,12.0788476522,0.5569318182
2,2017-05-08 00:00:00+00:00,48.7,49.67,48.68,49.34,1682582,43.6430900271,44.5123671796,43.6251667868,44.2166337153,1682582,0.0,1.0,7281904212.16676,9370904212.16676,22.5462962963,12.0024460449,0.5534090909
3,2017-05-09 00:00:00+00:00,49.35,49.41,48.63,48.94,1953928,44.2255953354,44.2793650562,43.5803586862,43.8581689102,1953928,0.0,1.0,7379095952.16488,9468095952.16488,22.8472222222,12.1626429634,0.5607954545
4,2017-05-10 00:00:00+00:00,50.01,50.04,48.7,48.99,2463014,44.8170622639,44.8439471243,43.6430900271,43.9029770108,2463014,0.0,1.0,7477782949.70143,9566782949.70143,23.1527777778,12.3253044498,0.5682954545
5,2017-05-11 00:00:00+00:00,46.21,48.77,45.8,48.5,9690353,41.411646615,43.705821368,41.0442201897,43.4638576245,9690353,0.0,1.0,6909585085.09705,8998585085.09705,21.3935185185,11.3887686188,0.5251136364
6,2017-05-12 00:00:00+00:00,41.2,43.59,41.0,43.57,18785691,36.9218749305,39.0637021413,36.7426425279,39.045778901,18785691,0.0,1.0,6160461058.34231,8249461058.34231,19.0740740741,10.1540200626,0.4681818182
7,2017-05-15 00:00:00+00:00,41.4,42.5773,41.23,41.36,5148132,37.1011073331,38.1561588708,36.9487597909,37.0652608526,5148132,0.0,1.0,6190366209.11096,8279366209.11096,19.1666666667,10.2033114222,0.4704545455
8,2017-05-16 00:00:00+00:00,40.64,41.11,40.28,41.11,4627929,36.4200242033,36.8412203493,36.0974058787,36.8412203493,4627929,0.0,1.0,6076726636.19009,8165726636.19009,18.8148148148,10.016004256,0.4618181818
9,2017-05-17 00:00:00+00:00,40.81,41.54,40.7,40.85,3412049,36.5723717455,37.2265700149,36.4737939241,36.608218226,3412049,0.0,1.0,6102146014.34345,8191146014.34345,18.8935185185,10.0579019116,0.46375
10,2017-05-18 00:00:00+00:00,40.66,41.49,40.47,41.06,1914600,36.4379474436,37.1817619142,36.2676766611,36.7964122487,1914600,0.0,1.0,6079717151.26695,8168717151.26695,18.8240740741,10.0209333919,0.4620454545
11,2017-05-19 00:00:00+00:00,40.77,41.23,39.53,41.23,2762062,36.536525265,36.9487597909,35.425284369,36.9487597909,2762062,0.0,1.0,6096164984.18971,8185164984.18971,18.875,10.0480436396,0.4632954545
12,2017-05-22 00:00:00+00:00,42.04,42.26,40.79,40.98,2487979,37.6746510213,37.8718066642,36.5544485052,36.7247192877,2487979,0.0,1.0,6286062691.57065,8375062691.57065,19.462962963,10.3610437726,0.4777272727
13,2017-05-23 00:00:00+00:00,41.55,42.14,41.22,42.12,1827942,37.235531635,37.7642672226,36.9397981708,37.7463439824,1827942,0.0,1.0,6212795072.18746,8301795072.18746,19.2361111111,10.2402799418,0.4721590909
14,2017-05-24 00:00:00+00:00,41.29,41.43,40.68,41.36,1793511,37.3341094564,37.4606964103,36.7825520147,37.3974029333,1793511,0.37,1.0,6229242905.1102,8318242905.1102,19.1157407407,10.1762011744,0.4692045455
15,2017-05-25 00:00:00+00:00,41.8,42.47,41.67,41.89,1672879,37.7952476454,38.4010566388,37.6777026168,37.8766249729,1672879,0.0,1.0,6306184389.28571,8395184389.28571,19.3518518519,10.3018941412,0.475
16,2017-05-26 00:00:00+00:00,42.47,42.54,41.63,41.98,2288544,38.4010566388,38.4643501157,37.6415349157,37.9580023003,2288544,0.0,1.0,6407264378.30057,8496264378.30057,19.662037037,10.4670201956,0.4826136364
17,2017-05-30 00:00:00+00:00,42.44,42.7,42.25,42.54,1657769,38.3739308629,38.6090209201,38.2021342827,38.4643501157,1657769,0.0,1.0,6402738408.6432,8491738408.6432,19.6481481481,10.4596264917,0.4822727273
18,2017-05-31 00:00:00+00:00,41.8,42.37,41.13,42.37,3055425,37.7952476454,38.310637386,37.189438652,38.310637386,3055425,0.0,1.0,6275978918.70572,8364978918.70572,19.3518518519,10.3018941412,0.475
19,2017-06-01 00:00:00+00:00,42.88,42.94,41.71,41.92,2165463,38.771775575,38.8260271266,37.7138703179,37.9037507487,2165463,0.0,1.0,6438133397.945,8527133397.945,19.8518518519,10.5680674827,0.4872727273
20,2017-06-02 00:00:00+00:00,42.47,43.225,42.21,42.94,1484650,38.4010566388,39.083721997,38.1659665816,38.8260271266,1484650,0.0,1.0,6376574753.0486,8465574753.0486,19.662037037,10.4670201956,0.4826136364
21,2017-06-05 00:00:00+00:00,41.65,42.34,41.47,42.23,2194579,37.6596187663,38.2835116102,37.4968641114,38.1840504322,2194579,0.0,1.0,6253457463.25582,8342457463.25582,19.2824074074,10.2649256216,0.4732954545
22,2017-06-06 00:00:00+00:00,40.14,41.66,39.715,41.51,4557957,36.2942880499,37.6686606916,35.9100062258,37.5330318125,4557957,0.0,1.0,6026741478.39347,8115741478.39347,18.5833333333,9.8927758571,0.4561363636
23,2017-06-07 00:00:00+00:00,40.48,40.624,39.87,40.23,2509820,36.6017135092,36.7319172332,36.0501560675,36.3756653774,2509820,0.0,1.0,6077790110.74659,8166790110.74659,18.7407407407,9.9765711683,0.46
24,2017-06-08 00:00:00+00:00,44.63,47.9,40.48,40.48,231619,40.354112498,43.3108220626,36.6017135092,36.6017135092,231619,0.0,1.0,6700883711.52719,8789883711.52719,20.662037037,10.9993668785,0.5071590909
25,2017-06-09 00:00:00+00:00,47.16,48.05,43.3991,44.11,10651229,42.6417195923,43.4464509417,39.241141916,39.8839323837,10651229,0.0,1.0,7080745593.44884,9169745593.44884,21.8333333333,11.6229025765,0.5359090909
26,2017-06-12 00:00:00+00:00,46.47,48.3265,46.385,47.06,3797431,42.0178267484,43.6964601755,41.9409703835,42.5513003395,3797431,0.0,1.0,6977146898.37931,9066146898.37931,21.5138888889,11.4528473862,0.5280681818
27,2017-06-13 00:00:00+00:00,46.38,47.15,46.11,46.43,2080028,41.9364494209,42.632677667,41.6923174385,41.9816590473,2080028,0.0,1.0,6963634025.10936,9052634025.10936,21.4722222222,11.4306662744,0.5270454545
28,2017-06-14 00:00:00+00:00,47.32,47.38,45.54,46.41,2119948,42.7863903967,42.8406419483,41.1769276979,41.9635751967,2119948,0.0,1.0,7104768479.26208,9193768479.26208,21.9074074074,11.6623356642,0.5377272727
29,2017-06-15 00:00:00+00:00,47.0,48.23,46.91,47.27,2725072,42.4970487879,43.6092055966,42.4156714604,42.7411807703,2725072,0.0,1.0,7056722707.63561,9145722707.63561,21.7592592593,11.5834694889,0.5340909091
30,2017-06-16 00:00:00+00:00,47.5,47.505,45.71,46.25,3421948,42.9491450516,42.9536660142,41.3306404275,41.8189043923,3421948,0.0,1.0,7131794225.80195,9220794225.80195,21.9907407407,11.7066978877,0.5397727273
31,2017-06-19 00:00:00+00:00,48.06,48.3,46.78,47.56,2169395,43.4554928669,43.6724990735,42.2981264319,43.0033966032,2169395,0.0,1.0,7215874326.14826,9304874326.14826,22.25,11.8447136944,0.5461363636
32,2017-06-20 00:00:00+00:00,46.16,48.03,46.09,48.03,2725105,41.7375270649,43.4283670911,41.674233588,43.4283670911,2725105,0.0,1.0,6930602557.11617,9019602557.11617,21.3703703704,11.3764457789,0.5245454545
33,2017-06-21 00:00:00+00:00,46.08,46.27,45.0,45.93,2126449,41.6651916627,41.8369882429,40.6886637331,41.5295627836,2126449,0.0,1.0,6918591114.20956,9007591114.20956,21.3333333333,11.3567292351,0.5236363636
34,2017-06-22 00:00:00+00:00,47.48,47.84,45.73,45.86,3747515,42.931061201,43.2565705109,41.3487242781,41.4662693067,3747515,0.0,1.0,7128791365.0753,9217791365.0753,21.9814814815,11.7017687518,0.5395454545
35,2017-06-23 00:00:00+00:00,48.0,48.04,46.93,47.48,3090710,43.4012413153,43.4374090164,42.433755311,42.931061201,3090710,0.0,1.0,7206865743.96828,9295865743.96828,22.2222222222,11.8299262866,0.5454545455
36,2017-06-26 00:00:00+00:00,47.8,48.3,47.48,48.02,1535865,43.2204028098,43.6724990735,42.931061201,43.4193251658,1535865,0.0,1.0,7176837136.70175,9265837136.70175,22.1296296296,11.780634927,0.5431818182
37,2017-06-27 00:00:00+00:00,47.67,48.43,47.64,47.94,1563294,43.1028577813,43.7900441021,43.0757320054,43.3469897637,1563294,0.0,1.0,7157318541.97851,9246318541.97851,22.0694444444,11.7485955433,0.5417045455
38,2017-06-28 00:00:00+00:00,47.68,48.23,47.29,48.08,1679585,43.1118997065,43.6092055966,42.7592646208,43.4735767175,1679585,0.0,1.0,7158819972.34184,9247819972.34184,22.0740740741,11.7510601113,0.5418181818
39,2017-06-29 00:00:00+00:00,47.56,48.07,47.09,47.79,1740145,43.0033966032,43.4645347922,42.5784261154,43.2113608845,1740145,0.0,1.0,7140802807.98192,9229802807.98192,22.0185185185,11.7214852956,0.5404545455
40,2017-06-30 00:00:00+00:00,47.83,48.11,47.31,47.86,1390997,43.2475285856,43.5007024933,42.7773484714,43.2746543615,1390997,0.0,1.0,7181341427.79174,9270341427.79174,22.1435185185,11.788028631,0.5435227273
41,2017-07-03 00:00:00+00:00,48.41,48.88,47.97,48.08,912348,43.7719602515,44.1969307394,43.3741155395,43.4735767175,912348,0.0,1.0,7268424388.86469,9357424388.86469,22.412037037,11.9309735736,0.5501136364
42,2017-07-05 00:00:00+00:00,48.12,48.95,48.0,48.3,1737013,43.5097444186,44.2602242163,43.4012413153,43.6724990735,1737013,0.0,1.0,7224882908.32821,9313882908.32821,22.2777777778,11.8595011023,0.5468181818
