,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,140.9,141.41,140.19,140.55,482650,140.9,141.41,140.19,140.55,482650,0.0,1.0,14414070000.0,19969670000.0,19.8171589311,2.5438689069,1.7725347711
1,2017-05-05 00:00:00+00:00,142.38,142.53,140.22,140.99,690222,142.38,142.53,140.22,140.99,690222,0.0,1.0,14565474000.0,20121074000.0,20.0253164557,2.5705894603,1.7911533052
2,2017-05-08 00:00:00+00:00,142.19,142.87,141.54,142.19,498935,142.19,142.87,141.54,142.19,498935,0.0,1.0,14546037000.0,20101637000.0,19.9985935302,2.567159119,1.788763088
3,2017-05-09 00:00:00+00:00,142.03,142.87,141.97,142.19,360338,142.03,142.87,141.97,142.19,360338,0.0,1.0,14529669000.0,20085269000.0,19.9760900141,2.5642704105,1.7867502735
4,2017-05-10 00:00:00+00:00,141.7,142.29,141.21,141.56,697907,141.7,142.29,141.21,141.56,697907,0.0,1.0,14495910000.0,20051510000.0,19.929676512,2.5583124493,1.7825988436
5,2017-05-11 00:00:00+00:00,141.13,142.43,140.79,141.29,759279,141.13,142.43,140.79,141.29,759279,0.0,1.0,14437599000.0,19993199000.0,19.8495077356,2.5480214253,1.7754281919
6,2017-05-12 00:00:00+00:00,139.32,141.36,138.31,140.56,721656,139.32,141.36,138.31,140.56,721656,0.0,1.0,14252436000.0,19808036000.0,19.5949367089,2.5153429106,1.7526582278
7,2017-05-15 00:00:00+00:00,140.53,141.02,139.16,139.4,594664,140.53,141.02,139.16,139.4,594664,0.0,1.0,14376219000.0,19931819000.0,19.7651195499,2.5371887685,1.7678801375
8,2017-05-16 00:00:00+00:00,138.14,140.87,137.58,140.87,750238,138.14,140.87,137.58,140.87,750238,0.0,1.0,14131722000.0,19687322000.0,19.4289732771,2.4940386855,1.7378137209
9,2017-05-17 00:00:00+00:00,137.51,138.65,136.61,138.14,882672,137.51,138.65,136.61,138.14,882672,0.0,1.0,14067273000.0,19622873000.0,19.3403656821,2.4826643959,1.7298882638
10,2017-05-18 00:00:00+00:00,138.26,139.22,137.17,137.64,712061,138.26,139.22,137.17,137.64,712061,0.0,1.0,14143998000.0,19699598000.0,19.4458509142,2.4962052169,1.7393233318
11,2017-05-19 00:00:00+00:00,139.35,139.68,137.6,138.57,361574,139.35,139.68,137.6,138.57,361574,0.0,1.0,14255505000.0,19811105000.0,19.5991561181,2.5158845434,1.7530356306
12,2017-05-22 00:00:00+00:00,140.3,140.61,138.87,139.0,526469,140.3,140.61,138.87,139.0,526469,0.0,1.0,14352690000.0,19908290000.0,19.7327707454,2.53303625,1.7649867167
13,2017-05-23 00:00:00+00:00,139.7,141.1,139.58,140.69,603800,139.7,141.1,139.58,140.69,603800,0.0,1.0,14291310000.0,19846910000.0,19.6483825598,2.5222035932,1.7574386623
14,2017-05-24 00:00:00+00:00,140.68,141.02,139.28,139.96,543181,140.68,141.02,139.28,139.96,543181,0.0,1.0,14391564000.0,19947164000.0,19.7862165963,2.5398969327,1.7697671511
15,2017-05-25 00:00:00+00:00,141.8,141.99,140.41,140.73,446521,141.8,141.99,140.41,140.73,446521,0.0,1.0,14506140000.0,20061740000.0,19.9437412096,2.5601178921,1.7838568526
16,2017-05-26 00:00:00+00:00,140.1,142.28,139.85,142.1,571463,140.1,142.28,139.85,142.1,571463,0.0,1.0,14332230000.0,19887830000.0,19.7046413502,2.5294253644,1.7624706985
17,2017-05-30 00:00:00+00:00,138.52,140.53,138.22,139.48,588623,138.52,140.53,138.22,139.48,588623,0.0,1.0,14170596000.0,19726196000.0,19.482419128,2.5008993682,1.7425941553
18,2017-05-31 00:00:00+00:00,139.0,139.43,138.0,138.65,796373,139.0,139.43,138.0,138.65,796373,0.0,1.0,14219700000.0,19775300000.0,19.5499296765,2.5095654936,1.7486325988
19,2017-06-01 00:00:00+00:00,142.07,142.9,139.0,139.68,926939,142.07,142.9,139.0,139.68,926939,0.0,1.0,14533761000.0,20089361000.0,19.9817158931,2.5649925876,1.7872534771
20,2017-06-02 00:00:00+00:00,141.58,142.9,141.29,142.36,610941,141.58,142.9,141.29,142.36,610941,0.0,1.0,14483634000.0,20039234000.0,19.9127988748,2.5561459179,1.7810892327
21,2017-06-05 00:00:00+00:00,139.92,141.51,139.52,141.29,710709,139.92,141.51,139.52,141.29,710709,0.0,1.0,14313816000.0,19869416000.0,19.6793248945,2.5261755674,1.7602062822
22,2017-06-06 00:00:00+00:00,139.29,139.83,138.5,139.69,540566,139.29,139.83,138.5,139.69,540566,0.0,1.0,14249367000.0,19804967000.0,19.5907172996,2.5148012778,1.7522808251
23,2017-06-07 00:00:00+00:00,140.47,140.5,139.32,139.59,739369,140.47,140.5,139.32,139.59,739369,0.0,1.0,14370081000.0,19925681000.0,19.7566807314,2.5361055028,1.7671253321
24,2017-06-08 00:00:00+00:00,139.87,140.5,139.51,140.47,530883,139.87,140.5,139.51,140.47,530883,0.0,1.0,14308701000.0,19864301000.0,19.6722925457,2.525272846,1.7595772777
25,2017-06-09 00:00:00+00:00,140.61,140.7,139.68,140.07,497672,140.61,140.7,139.68,140.07,497672,0.0,1.0,14384403000.0,19940003000.0,19.776371308,2.5386331227,1.7688865448
26,2017-06-12 00:00:00+00:00,140.72,140.77,137.82,140.4,762415,140.72,140.77,137.82,140.4,762415,0.0,1.0,14395656000.0,19951256000.0,19.7918424754,2.5406191098,1.7702703547
27,2017-06-13 00:00:00+00:00,141.64,142.24,140.55,140.6,431593,141.64,142.24,140.55,140.6,431593,0.0,1.0,14489772000.0,20045372000.0,19.9212376934,2.5572291836,1.7818440381
28,2017-06-14 00:00:00+00:00,141.11,142.36,140.39,142.25,468629,141.11,142.36,140.39,142.25,468629,0.0,1.0,14435553000.0,19991153000.0,19.8466947961,2.5476603367,1.7751765901
29,2017-06-15 00:00:00+00:00,140.4,141.64,140.17,140.83,437172,140.4,141.64,140.17,140.83,437172,0.0,1.0,14362920000.0,19918520000.0,19.746835443,2.5348416928,1.7662447257
