,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-10-01 00:00:00+00:00,168.87,169.1,165.29,165.58,2329700,164.0205714479,164.2439665532,160.5433780696,160.8250501589,2329700,0.0,1.0,,,-24.9807692308,-8344.7474824974,
1,2018-10-11 00:00:00+00:00,154.26,158.21,153.77,157.93,1977000,149.8301258456,153.6666939585,149.354197143,153.3947346999,1977000,0.0,1.0,,,-22.8195266272,-7622.7911804942,
2,2018-10-30 00:00:00+00:00,164.5,167.67,162.74,166.11,57375600,159.7760644471,162.855031768,158.06660625,161.3398301842,57375600,0.0,1.0,,,-24.3343195266,-8128.8029897011,
3,2018-10-31 00:00:00+00:00,165.47,165.6,161.31,161.74,18032219,160.7182090216,160.8444758203,156.6776714648,157.0953231834,18032219,0.0,1.0,,,-24.4778106509,-8176.7357489717,
4,2018-11-01 00:00:00+00:00,162.0,165.48,161.94,164.66,11423528,157.3478567807,160.7279218523,157.2895797967,159.9314697377,11423528,0.0,1.0,,,-23.9644970414,-8005.264950344,
5,2018-11-02 00:00:00+00:00,159.84,161.81,155.44,160.66,6835139,155.249885357,157.1633129981,150.9762398642,156.0463374715,6835139,0.0,1.0,,,-23.6449704142,-7898.5280843394,
6,2018-11-05 00:00:00+00:00,161.99,162.19,157.45,157.65,4477443,157.33814395,157.5324005634,152.9285188279,153.1227754412,4477443,0.0,1.0,,,-23.9630177515,-8004.7707981865,
7,2018-11-06 00:00:00+00:00,165.53,166.35,161.67,161.83,2510572,160.7764860056,161.5729381202,157.0273333687,157.1827386594,2510572,0.0,1.0,,,-24.4866863905,-8179.7006619163,
8,2018-11-07 00:00:00+00:00,166.85,166.85,164.23,164.54,7626295,162.0585796535,162.0585796535,159.5138180191,159.8149157697,7626295,0.0,1.0,,,-24.6819526627,-8244.9287466969,
9,2018-11-08 00:00:00+00:00,165.3,166.15,162.93,164.5,4010008,160.5530909003,161.3786815069,158.2511500326,159.7760644471,4010008,0.0,1.0,,,-24.4526627219,-8168.3351622954,
