,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,270.51,270.71,268.86,269.87,691113,250.7067438492,250.8921024266,249.1775355858,250.1135964016,691113,0.0,1.0,72565325347.4136,84625325347.4136,15.8100526008,49.5478178869,-2.0278110945
1,2017-05-05 00:00:00+00:00,273.03,273.1,270.21,270.68,808808,253.0422619244,253.1071374264,250.4287059832,250.86429864,808808,0.0,1.0,73241324829.4124,85301324829.4124,15.9573348919,50.0093923243,-2.0467016492
2,2017-05-08 00:00:00+00:00,272.5,274.0,272.1,272.92,674818,252.5510616943,253.9412510247,252.1803445395,252.9403147068,674818,0.0,1.0,73099150335.1826,85159150335.1826,15.9263588545,49.9123151609,-2.0427286357
3,2017-05-09 00:00:00+00:00,273.87,274.22,272.268,273.0,896669,253.8207679494,254.1451454598,252.3360457445,253.0144581378,896669,0.0,1.0,73466657990.0786,85526657990.0786,16.0064289889,50.1632504701,-2.0529985007
4,2017-05-10 00:00:00+00:00,271.74,273.71,270.17,272.88,934513,251.8466991002,253.6724810875,250.3916342677,252.9032429913,934513,0.0,1.0,72895277475.5322,84955277475.5322,15.8819403857,49.7731101718,-2.0370314843
5,2017-05-11 00:00:00+00:00,272.09,272.2499,270.2,271.14,602361,252.1710766106,252.3192707932,250.4194380543,251.290623368,602361,0.0,1.0,72989166292.4765,85049166292.4765,15.9023962595,49.8372177326,-2.0396551724
6,2017-05-12 00:00:00+00:00,271.26,271.7,270.75,270.91,590932,251.4018385145,251.8096273847,250.9291741421,251.077461004,590932,0.0,1.0,72766515669.4371,84826515669.4371,15.853886616,49.6851912313,-2.0334332834
7,2017-05-15 00:00:00+00:00,272.35,272.47,271.05,271.28,615549,252.4120427612,252.5232579077,251.2072120082,251.4203743722,615549,0.0,1.0,73058912270.7778,85118912270.7778,15.9175920514,49.884840492,-2.0416041979
8,2017-05-16 00:00:00+00:00,271.65,273.26,271.43,272.08,614088,251.7632877404,253.2554242884,251.5593933052,252.1618086818,614088,0.0,1.0,72871134636.8893,84931134636.8893,15.8766803039,49.7566253705,-2.0363568216
9,2017-05-17 00:00:00+00:00,269.24,270.73,268.9101,270.1,941221,249.5297168828,250.9106382844,249.2239679094,250.3267587656,941221,0.0,1.0,72224643068.7873,84284643068.7873,15.7358270018,49.3151990235,-2.0182908546
10,2017-05-18 00:00:00+00:00,267.32,269.0,266.01,268.54,1243970,247.7502745399,249.3072865899,246.536175858,248.8809618619,1243970,0.0,1.0,71709595844.4073,83769595844.4073,15.6236119229,48.9635232617,-2.003898051
11,2017-05-19 00:00:00+00:00,272.79,272.88,268.11,268.7,1249569,252.8198316315,252.9032429913,248.4824409206,249.0292487239,1249569,0.0,1.0,73176943926.365,85236943926.365,15.943308007,49.9654328541,-2.0449025487
12,2017-05-22 00:00:00+00:00,277.03,280.79,276.22,280.79,1598895,256.7494334722,260.2341747271,255.9987312337,260.2341747271,1598895,0.0,1.0,74314339880.2041,86374339880.2041,16.1911163063,50.7420501615,-2.0766866567
13,2017-05-23 00:00:00+00:00,278.36,278.62,276.1,278.0,872703,257.9820680118,258.2230341624,255.8875160873,257.6484225725,872703,0.0,1.0,74671117384.5922,86731117384.5922,16.2688486265,50.9856588924,-2.0866566717
14,2017-05-24 00:00:00+00:00,280.05,280.56,278.11,278.22,871689,259.5483479908,260.0210123631,257.7503697901,257.8523170076,871689,0.0,1.0,75124466243.5517,87184466243.5517,16.3676212741,51.2952068286,-2.0993253373
15,2017-05-25 00:00:00+00:00,282.06,282.33,280.56,281.0,832536,261.4112016935,261.661435773,260.0210123631,260.4288012334,832536,0.0,1.0,75663656306.5747,87723656306.5747,16.4850964348,51.6633673918,-2.1143928036
16,2017-05-26 00:00:00+00:00,283.65,284.0,281.54,282.04,851140,262.8848023838,263.2091798942,260.9292693923,261.3926658358,851140,0.0,1.0,76090179789.2644,88150179789.2644,16.578024547,51.9545988821,-2.1263118441
17,2017-05-30 00:00:00+00:00,280.09,282.84,279.73,281.83,900791,261.2721827605,263.8374242992,260.9363693227,262.8952810432,900791,1.82,1.0,75623418242.1699,87683418242.1699,16.3699590883,51.302533407,-2.0996251874
18,2017-05-31 00:00:00+00:00,281.13,281.28,279.27,279.47,1386944,262.2423104697,262.3822327354,260.5072743744,260.6938373954,1386944,0.0,1.0,75904214968.1218,87964214968.1218,16.430742256,51.4930244447,-2.1074212894
19,2017-06-01 00:00:00+00:00,280.96,281.7,279.5,281.18,826977,262.0837319018,262.7740150795,260.7218218485,262.2889512249,826977,0.0,1.0,75858315503.3026,87918315503.3026,16.4208065459,51.4618864866,-2.1061469265
20,2017-06-02 00:00:00+00:00,281.76,282.89,280.75,281.28,748536,262.8299839858,263.8840650545,261.8878407298,262.3822327354,748536,0.0,1.0,76074312984.8041,88134312984.8041,16.4675628288,51.6084180541,-2.112143928
21,2017-06-05 00:00:00+00:00,280.13,282.3,280.09,281.5,622466,261.3094953647,263.3337041425,261.2721827605,262.5874520585,622466,0.0,1.0,75634218116.2449,87694218116.2449,16.3722969024,51.3098599854,-2.0999250375
22,2017-06-06 00:00:00+00:00,276.88,279.9477,276.72,279.54,887939,258.2778462734,261.139443171,258.1285958566,260.7591344527,887939,0.0,1.0,74756728347.6454,86816728347.6454,16.1823495032,50.7145754926,-2.0755622189
23,2017-06-07 00:00:00+00:00,277.38,277.85,276.24,277.41,657969,258.7442538259,259.1826769253,257.6808446062,258.7722382791,657969,0.0,1.0,74891726773.5838,86951726773.5838,16.21157218,50.8061577223,-2.0793103448
24,2017-06-08 00:00:00+00:00,277.62,278.69,276.67,278.0,1111716,258.9681294511,259.9662416135,258.0819551014,259.322599191,1111716,0.0,1.0,74956526018.0343,87016526018.0343,16.2255990649,50.8501171925,-2.0811094453
25,2017-06-09 00:00:00+00:00,277.0,279.1899,276.61,277.66,1019314,258.389784086,260.4325558845,258.0259861951,259.0054420553,1019314,0.0,1.0,74789127969.8708,86849127969.8708,16.1893629456,50.7365552278,-2.0764617691
26,2017-06-12 00:00:00+00:00,276.89,277.225,273.73,277.09,835887,258.2871744245,258.5996674847,255.3394786927,258.4737374455,835887,0.0,1.0,74759428316.1641,86819428316.1641,16.1829339568,50.7164071372,-2.0756371814
27,2017-06-13 00:00:00+00:00,278.36,278.94,275.48,276.9,638517,259.6584126288,260.1994453897,256.9719051264,258.2965025755,638517,0.0,1.0,75156323688.4232,87216323688.4232,16.2688486265,50.9856588924,-2.0866566717
28,2017-06-14 00:00:00+00:00,280.3,282.32,278.0,278.1,825948,261.4680739325,263.3523604446,259.322599191,259.4158807015,825948,0.0,1.0,75680117581.0641,87740117581.0641,16.3822326125,51.3409979435,-2.1011994003
29,2017-06-15 00:00:00+00:00,280.93,281.57,277.773,279.75,616306,262.0557474487,262.6527491159,259.1108501622,260.9550256248,616306,0.0,1.0,75850215597.7464,87910215597.7464,16.4190531853,51.4563915528,-2.105922039
30,2017-06-16 00:00:00+00:00,281.11,282.2799,280.68,282.13,1285745,262.2236541676,263.3149545589,261.8225436724,263.1751255747,1285745,0.0,1.0,75898815031.0843,87958815031.0843,16.4295733489,51.4893611555,-2.1072713643
31,2017-06-19 00:00:00+00:00,282.3,284.4799,281.39,281.75,1060382,263.3337041425,265.3671477899,262.484842397,262.8206558348,1060382,0.0,1.0,76220111284.8176,88280111284.8176,16.4991233197,51.7073268621,-2.116191904
32,2017-06-20 00:00:00+00:00,282.89,284.98,282.395,282.95,932343,263.8840650545,265.833648624,263.4223215775,263.9400339608,932343,0.0,1.0,76379409427.4251,88439409427.4251,16.5336060783,51.8153938931,-2.1206146927
33,2017-06-21 00:00:00+00:00,282.99,284.21,282.21,283.68,749853,263.977346565,265.1153809931,263.2497507831,264.6209889875,749853,0.0,1.0,76406409112.6127,88466409112.6127,16.5394506137,51.833710339,-2.1213643178
34,2017-06-22 00:00:00+00:00,280.43,283.71,280.38,282.73,665095,261.5893398962,264.6489734406,261.5426991409,263.7348146377,665095,0.0,1.0,75715217171.8079,87775217171.8079,16.3898305085,51.3648093232,-2.102173913
35,2017-06-23 00:00:00+00:00,280.64,281.48,280.03,280.03,800339,261.7852310682,262.5687957564,261.2162138542,261.2162138542,800339,0.0,1.0,75771916510.7021,87831916510.7021,16.4021040327,51.4032738596,-2.1037481259
36,2017-06-26 00:00:00+00:00,279.7,283.2,279.49,281.17,886487,260.9083848695,264.1732377371,260.7124936975,262.2796230739,886487,0.0,1.0,75518119469.9381,87349119469.9381,16.4046920821,60.0127664374,-9.2139687195
37,2017-06-27 00:00:00+00:00,277.83,280.21,277.83,279.32,738867,259.1640206232,261.3841205731,259.1640206232,260.5539151296,738867,0.0,1.0,75013225356.9285,86844225356.9285,16.2950146628,59.6115370015,-9.1523665689
38,2017-06-28 00:00:00+00:00,280.02,280.92,278.37,279.08,955721,261.2068857031,262.0464192976,259.6677407799,260.3300395044,955721,0.0,1.0,75604518462.5386,87435518462.5386,16.4234604106,60.0814260201,-9.2245102639
39,2017-06-29 00:00:00+00:00,276.73,279.85,274.69,279.85,898343,258.1379240077,261.0483071353,256.2349811935,261.0483071353,898343,0.0,1.0,74716228819.864,86547228819.864,16.2304985337,59.3755196862,-9.1161300098
40,2017-06-30 00:00:00+00:00,277.61,278.92,276.32,277.62,1081075,258.9588013001,260.1807890876,257.7554698146,258.9681294511,1081075,0.0,1.0,74953826049.5155,86784826049.5155,16.282111437,59.5643335384,-9.1451192571
41,2017-07-03 00:00:00+00:00,278.92,280.48,277.2,277.39,462782,260.1807890876,261.6359806514,258.576347107,258.753581977,462782,0.0,1.0,75307521925.4742,87138521925.4742,16.3589442815,59.8454087048,-9.1882737048
42,2017-07-05 00:00:00+00:00,282.4,283.72,279.4,279.5,867180,263.426985653,264.6583015917,260.628540338,260.7218218485,867180,0.0,1.0,76247110970.0054,88078110970.0054,16.5630498534,60.5920816658,-9.302913001
43,2017-07-06 00:00:00+00:00,280.96,283.475,280.4,282.0,764515,262.0837319018,264.4297618909,261.561355443,263.053859611,764515,0.0,1.0,75858315503.3026,87689315503.3026,16.4785923754,60.283113544,-9.2554760508
44,2017-07-07 00:00:00+00:00,285.2,286.95,281.5,281.66,1165273,266.0388679471,267.6712943808,262.5874520585,262.7367024753,1165273,0.0,1.0,77003102155.2603,88834102155.2603,16.7272727273,61.1928530138,-9.3951515152
45,2017-07-10 00:00:00+00:00,285.57,287.91,284.22,285.5,1347785,266.3840095359,268.5667968816,265.1247091442,266.3187124786,1347785,0.0,1.0,77103000990.4549,88934000990.4549,16.748973607,61.2722406562,-9.407340176
46,2017-07-11 00:00:00+00:00,286.42,287.75,285.06,285.57,914714,267.1769023752,268.4175464648,265.9082738324,266.3840095359,914714,0.0,1.0,77332498314.5501,89163498314.5501,16.7988269795,61.4546176725,-9.4353411535
47,2017-07-12 00:00:00+00:00,286.36,288.77,286.36,287.15,806095,267.1209334689,269.3690178719,267.1209334689,267.8578574018,806095,0.0,1.0,77316298503.4373,89147298503.4373,16.7953079179,61.4417440008,-9.4333646139
48,2017-07-13 00:00:00+00:00,286.76,287.85,285.78,287.12,705050,267.4940595109,268.5108279753,266.579900708,267.8298729487,705050,0.0,1.0,77424297244.1882,89255297244.1882,16.8187683284,61.5275684791,-9.4465415445
49,2017-07-14 00:00:00+00:00,288.13,288.77,286.71,287.05,868789,268.7720162047,269.3690178719,267.4474187556,267.7645758913,868789,0.0,1.0,77794192931.2594,89625192931.2594,16.8991202346,61.8215173172,-9.4916725318
50,2017-07-17 00:00:00+00:00,288.49,290.06,287.61,288.5,1310606,269.1078296425,270.5723493574,268.2869523501,269.1171577936,1310606,0.0,1.0,77891391797.9349,89722391797.9349,16.9202346041,61.8987593476,-9.5035317693
51,2017-07-18 00:00:00+00:00,286.79,292.97,286.03,290.64,1806420,267.522043964,273.2868413129,266.8131044842,271.1133821183,1806420,0.0,1.0,77432397149.7444,89263397149.7444,16.8205278592,61.534005315,-9.4475298143
52,2017-07-19 00:00:00+00:00,290.67,291.28,287.04,287.68,1139655,271.1413665714,271.7103837855,267.7552477403,268.3522494075,1139655,0.0,1.0,78479984935.0263,90310984935.0263,17.0480938416,62.3665027543,-9.5753460411
53,2017-07-20 00:00:00+00:00,289.67,290.74,288.941,290.58,1145851,270.2085514664,271.2066636288,269.5285292549,271.057413212,1145851,0.0,1.0,77817594467.2128,89648594467.2128,16.9894428152,62.1519415586,-9.5424037146
54,2017-07-21 00:00:00+00:00,289.12,290.07,286.86,288.3,1221810,269.6955031587,270.5816775084,267.5873410214,268.9305947726,1221810,0.0,1.0,77669841241.2765,89500841241.2765,16.9571847507,62.0339329009,-9.524285435
55,2017-07-24 00:00:00+00:00,290.28,291.24,289.2,289.47,767078,270.7775686805,271.6730711813,269.7701283671,270.0219884454,767078,0.0,1.0,77981466226.8875,89812466226.8875,17.0252199413,62.2828238879,-9.5624985337
56,2017-07-25 00:00:00+00:00,289.83,292.07,289.72,291.48,800530,270.3578018832,272.4473077184,270.2551922217,271.8969468065,800530,0.0,1.0,77860577223.8486,89691577223.8486,16.9988269795,62.1862713499,-9.5476744868
57,2017-07-26 00:00:00+00:00,289.85,290.99,288.77,290.82,882401,270.3764581853,271.439867405,269.3690178719,271.2812888372,882401,0.0,1.0,77865950068.4281,89696950068.4281,17.0,62.1905625738,-9.5483333333
58,2017-07-27 00:00:00+00:00,288.13,290.49,286.17,290.2,1090805,268.7720162047,270.9734598525,266.9436985989,270.7029434721,1090805,0.0,1.0,77403885434.591,89234885434.591,16.8991202346,61.8215173172,-9.4916725318
59,2017-07-28 00:00:00+00:00,290.41,290.7699,286.58,288.07,1084076,270.8988346441,271.2345548004,267.326152792,268.7160472984,1084076,0.0,1.0,78016389716.6544,89847389716.6544,17.0328445748,62.3107168434,-9.5667810362
60,2017-07-31 00:00:00+00:00,292.13,293.84,291.03,291.42,1139163,272.5032766247,274.0983904543,271.4771800092,271.8409779002,1139163,0.0,1.0,78478454350.4914,90309454350.4914,17.1337243402,62.6797621,-9.6234418377
61,2017-08-01 00:00:00+00:00,292.65,294.33,291.895,293.93,1036716,272.9883404793,274.5554698557,272.2840650751,274.1823438137,1036716,0.0,1.0,78618148309.5585,90449148309.5585,17.1642228739,62.7913339218,-9.6405718475
62,2017-08-02 00:00:00+00:00,294.7,294.84,292.15,292.73,983723,274.9006114446,275.0312055593,272.5219329268,273.0629656877,983723,0.0,1.0,79168864878.9572,90999864878.9572,17.284457478,63.2311843729,-9.7081036168
63,2017-08-03 00:00:00+00:00,295.82,295.91,292.8001,294.0,981990,275.9453643622,276.0293177216,273.1283560266,274.2476408711,981990,0.0,1.0,79469744175.4096,91300744175.4096,17.3501466276,63.4714929121,-9.7449990225
64,2017-08-04 00:00:00+00:00,297.0,297.0,295.04,296.27,785717,277.0460861861,277.0460861861,275.2177685803,276.3651311594,785717,0.0,1.0,79786742005.6001,91617742005.6001,17.4193548387,63.7246751231,-9.7838709677
65,2017-08-07 00:00:00+00:00,297.15,297.73,296.6,297.31,768233,277.1860084519,277.7270412128,276.6729601441,277.3352588687,768233,0.0,1.0,79827038339.9465,91658038339.9465,17.4281524927,63.7568593024,-9.7888123167
66,2017-08-08 00:00:00+00:00,300.1,300.42,297.335,297.79,1007565,279.9378130116,280.2363138452,277.3585792463,277.7830101191,1007565,0.0,1.0,80619532915.4227,92450532915.4227,17.6011730205,64.3898148297,-9.8859921799
67,2017-08-09 00:00:00+00:00,305.22,305.54,301.0001,301.2,1727598,284.7138263492,285.0123271828,280.7774398876,280.9639096271,1727598,0.0,1.0,81994981127.7751,93825981127.7751,17.9014662757,65.4883681517,-10.0546568915
68,2017-08-10 00:00:00+00:00,303.25,307.1,303.0,306.55,1297888,282.8761805924,286.4675187466,282.6429768161,285.9544704389,1297888,0.0,1.0,81465755936.6943,93296755936.6943,17.7859237537,65.0656825962,-9.9897605083
69,2017-08-11 00:00:00+00:00,303.75,306.45,302.58,302.84,986506,283.3425881449,285.8611889284,282.251194472,282.4937263993,986506,0.0,1.0,81600077051.1819,93431077051.1819,17.8152492669,65.172963194,-10.0062316716
70,2017-08-14 00:00:00+00:00,307.58,308.06,304.26,305.45,1200833,286.915269997,287.3630212474,283.8183238484,284.9283738234,1200833,0.0,1.0,82628976788.1564,94459976788.1564,18.0398826979,65.9947325736,-10.132400782
71,2017-08-15 00:00:00+00:00,306.2,308.48,305.52,307.97,1010824,285.6279851521,287.7548035915,284.9936708807,287.279067888,1010824,0.0,1.0,82258250512.1708,94089250512.1708,17.9589442815,65.6986381235,-10.0869403715
72,2017-08-16 00:00:00+00:00,305.8,306.8072,305.35,305.88,1018260,285.2548591101,286.1943904839,284.8350923129,285.3294843185,1018260,0.0,1.0,82150793620.5809,93981793620.5809,17.935483871,65.6128136452,-10.0737634409
73,2017-08-17 00:00:00+00:00,301.42,305.65,301.27,305.26,1045855,281.1691289502,285.1149368444,281.0292066845,284.7511389534,1045855,0.0,1.0,80974140657.6698,92805140657.6698,17.6785923754,64.6730356081,-9.9294760508
74,2017-08-18 00:00:00+00:00,299.2,301.26,298.821,300.87,1200274,279.0982794171,281.0198785334,278.7447424923,280.6560806425,1200274,0.0,1.0,80377754909.3452,92208754909.3452,17.5483870968,64.1967097536,-9.856344086
75,2017-08-21 00:00:00+00:00,301.88,302.23,297.77,300.0,940962,281.5982238985,281.9247091853,277.764353817,279.8445315011,940962,0.0,1.0,81097716082.9985,92928716082.9985,17.7055718475,64.7717337581,-9.944629521
76,2017-08-22 00:00:00+00:00,304.8,305.48,302.97,303.51,956927,284.3220440051,284.9563582765,282.614992363,283.1187125197,956927,0.0,1.0,81882151391.6057,93713151391.6057,17.8768328446,65.3982524495,-10.0408211144
77,2017-08-23 00:00:00+00:00,302.84,304.56,302.53,304.0,690068,282.4937263993,284.0981683799,282.2045537168,283.5757919211,690068,0.0,1.0,81355612622.8147,93186612622.8147,17.7618768328,64.9777125059,-9.9762541544
78,2017-08-24 00:00:00+00:00,302.6,304.05,301.25,303.51,571360,282.2698507741,283.6224326764,281.0105503824,283.1187125197,571360,0.0,1.0,81291138487.8606,93122138487.8606,17.7478005865,64.926217819,-9.9683479961
79,2017-08-25 00:00:00+00:00,302.8,304.68,302.71,303.92,569301,282.4564137951,284.2101061925,282.3724604357,283.5011667127,569301,0.0,1.0,81344866933.6554,93175866933.6554,17.7595307918,64.9691300581,-9.9749364614
80,2017-08-28 00:00:00+00:00,303.61,303.85,302.51,303.73,813128,283.2119940302,283.4358696554,282.1858974147,283.3239318428,813128,0.0,1.0,81562467139.1252,93393467139.1252,17.8070381232,65.1429246266,-10.0016197458
81,2017-08-29 00:00:00+00:00,308.14,308.18,304.5,304.5,1275997,287.4376464558,287.47495906,284.0421994736,284.0421994736,1275997,0.0,1.0,82779416436.3824,94610416436.3824,18.0727272727,66.1148868432,-10.1508484848
82,2017-08-30 00:00:00+00:00,306.3,307.22,305.5,306.42,1271753,287.4189901537,288.2822793178,286.6683039242,287.5315930882,1271753,1.82,1.0,82774043591.8029,94605043591.8029,17.9648093842,65.7200942431,-10.0902346041
83,2017-08-31 00:00:00+00:00,305.39,306.86,304.97,306.86,977405,286.5650845676,287.9444705145,286.1709742971,287.9444705145,977405,0.0,1.0,82528126583.4172,94359126583.4172,17.9114369501,65.524843555,-10.060257087
84,2017-09-01 00:00:00+00:00,302.19,306.34,302.19,305.96,1187742,283.5623396492,287.4565244652,283.5623396492,287.0999485062,1187742,0.0,1.0,81663363477.0061,93494363477.0061,17.7237536657,64.8382477287,-9.9548416422
85,2017-09-05 00:00:00+00:00,302.2,304.53,301.91,304.45,1387219,283.5717232271,285.7580968708,283.2995994689,285.6830282478,1387219,0.0,1.0,81666065861.7134,93497065861.7134,17.724340176,64.8403933407,-9.9551710655
86,2017-09-06 00:00:00+00:00,301.45,303.94,301.31,303.41,1202743,282.8679548869,285.2044657765,282.7365847967,284.7071361494,1202743,0.0,1.0,81463387008.6484,93294387008.6484,17.6803519062,64.6794724439,-9.9304643206
87,2017-09-07 00:00:00+00:00,302.35,302.77,300.24,301.45,917644,283.7124768951,284.1065871657,281.7325419646,282.8679548869,917644,0.0,1.0,81706601632.3265,93537601632.3265,17.7331378299,64.8725775201,-9.9601124145
88,2017-09-08 00:00:00+00:00,302.9,303.66,301.52,301.52,1161066,284.228573678,284.9417255961,282.933639932,282.933639932,1161066,0.0,1.0,81855232791.2411,93686232791.2411,17.7653958944,64.9905861777,-9.978230694
89,2017-09-11 00:00:00+00:00,304.48,304.5925,302.21,303.7,901963,285.7111789814,285.8167442325,283.581106805,284.9792599076,901963,0.0,1.0,82282209575.0316,94113209575.0316,17.8580645161,65.3295928669,-10.0302795699
