,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,30.72,31.1031,30.67,31.02,5634379,29.1332284488,29.4965402919,29.0858110848,29.4177326329,5634379,0.0,1.0,16728251181.0781,28544093181.0781,14.0917431193,1.739460115,0.0704587156
1,2017-05-05 00:00:00+00:00,30.85,31.03,30.41,30.45,4775170,29.2565135952,29.4272161057,28.8392407919,28.8771746831,4775170,0.0,1.0,16799041306.5189,28614883306.5189,14.1513761468,1.7468211116,0.0707568807
2,2017-05-08 00:00:00+00:00,30.42,30.61,30.185,30.51,8089699,28.8487242647,29.028910248,28.6258626539,28.93407552,8089699,0.0,1.0,16564889353.1378,28380731353.1378,13.9541284404,1.7224731998,0.0697706422
3,2017-05-09 00:00:00+00:00,30.96,31.08,30.41,30.61,6145129,29.3608317961,29.4746334697,28.8392407919,29.028910248,6145129,0.0,1.0,16874829316.2784,28690671316.2784,14.2018348624,1.7530496472,0.0710091743
4,2017-05-10 00:00:00+00:00,31.23,31.29,30.69,30.92,6476713,29.6168855617,29.6737863985,29.1047780304,29.3228979049,6476713,0.0,1.0,17021993525.432,28837835525.432,14.3256880734,1.7683378708,0.0716284404
5,2017-05-11 00:00:00+00:00,30.98,31.2,30.69,31.09,5600602,29.3797987417,29.5884351433,29.1047780304,29.4841169425,5600602,0.0,1.0,16885730368.8083,28701572368.8083,14.2110091743,1.7541821082,0.0710550459
6,2017-05-12 00:00:00+00:00,31.15,31.2,30.84,30.84,5618563,29.5410177793,29.5884351433,29.2470301224,29.2470301224,5618563,0.0,1.0,16978389315.3124,28794231315.3124,14.2889908257,1.7638080268,0.0714449541
7,2017-05-15 00:00:00+00:00,31.68,31.7,31.11,31.17,8029754,30.0436418378,30.0626087834,29.5030838881,29.5599847249,8029754,0.0,1.0,17267267207.3546,29083109207.3546,14.5321100917,1.7938182436,0.0726605505
8,2017-05-16 00:00:00+00:00,32.2,32.275,31.61,31.77,8725425,30.5367824236,30.6079084696,29.9772575282,30.128993093,8725425,0.0,1.0,17550694573.1319,29366536573.1319,14.7706422018,1.8232622299,0.073853211
9,2017-05-17 00:00:00+00:00,31.15,31.945,31.09,31.72,8994698,29.5410177793,30.2949538671,29.4841169425,30.081575729,8994698,0.0,1.0,16978389315.3124,28794231315.3124,14.2889908257,1.7638080268,0.0714449541
10,2017-05-18 00:00:00+00:00,30.96,31.285,30.5001,30.6,7027170,29.3608317961,29.6690446621,28.9246868819,29.0194267752,7027170,0.0,1.0,16874829316.2784,28690671316.2784,14.2018348624,1.7530496472,0.0710091743
11,2017-05-19 00:00:00+00:00,31.25,31.71,31.12,31.18,5537172,29.6358525073,30.0720922562,29.5125673609,29.5694681977,5537172,0.0,1.0,17032894577.9619,28848736577.9619,14.3348623853,1.7694703318,0.0716743119
12,2017-05-22 00:00:00+00:00,31.57,31.925,31.42,31.5,10610915,29.939323637,30.2759869215,29.797071545,29.8729393274,10610915,0.0,1.0,17207311418.4402,29023153418.4402,14.4816513761,1.787589708,0.0724082569
13,2017-05-23 00:00:00+00:00,31.3,31.76,31.27,31.68,7747711,29.6832698713,30.1195096202,29.6548194529,30.0436418378,7747711,0.0,1.0,17060147209.2866,28875989209.2866,14.3577981651,1.7723014844,0.0717889908
14,2017-05-24 00:00:00+00:00,31.19,31.4193,31.06,31.18,5507114,29.5789516705,29.7964077019,29.4556665241,29.5694681977,5507114,0.0,1.0,17000191420.3722,28816033420.3722,14.3073394495,1.7660729488,0.0715366972
