,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,232.56,232.65,230.42,230.6,547593,232.56,232.65,230.42,230.6,547593,0.0,1.0,17252364064.32,19694182064.32,17.9860788863,2.833354119,1.0980974478
1,2017-05-05 00:00:00+00:00,232.2,233.92,231.99,232.71,297984,232.2,233.92,231.99,232.71,297984,0.0,1.0,17257111894.8,19698929894.8,17.9582366589,2.8289681219,1.0963976065
2,2017-05-08 00:00:00+00:00,234.09,235.12,232.06,234.12,463024,234.09,235.12,232.06,234.12,463024,0.0,1.0,17397576759.06,19839394759.06,18.1044083527,2.8519946066,1.1053217731
3,2017-05-09 00:00:00+00:00,234.39,235.3,233.83,234.14,325768,234.39,235.3,233.83,234.14,325768,0.0,1.0,17419872769.26,19861690769.26,18.1276102088,2.8556496042,1.1067383075
4,2017-05-10 00:00:00+00:00,233.7,234.93,232.57,233.6,290439,233.7,234.93,232.57,233.6,290439,0.0,1.0,17368591945.8,19810409945.8,18.0742459397,2.8472431098,1.1034802784
5,2017-05-11 00:00:00+00:00,234.81,234.97,231.46,232.7,403288,234.81,234.97,231.46,232.7,403288,0.0,1.0,17451087183.54,19892905183.54,18.1600928074,2.8607666008,1.1087214556
6,2017-05-12 00:00:00+00:00,230.53,234.48,229.92,234.3,414036,230.53,234.48,229.92,234.3,414036,0.0,1.0,17132997438.02,19574815438.02,17.8290796597,2.8086219687,1.0885122319
7,2017-05-15 00:00:00+00:00,232.2,233.36,230.16,231.05,448412,232.2,233.36,230.16,231.05,448412,0.0,1.0,17257111894.8,19698929894.8,17.9582366589,2.8289681219,1.0963976065
8,2017-05-16 00:00:00+00:00,231.27,233.65,231.1,233.37,487870,231.27,233.65,231.1,233.37,487870,0.0,1.0,17187994263.18,19629812263.18,17.8863109049,2.8176376294,1.09200635
9,2017-05-17 00:00:00+00:00,228.75,231.27,227.71,231.27,530701,228.75,231.27,227.71,231.27,530701,0.0,1.0,17000707777.5,19442525777.5,17.6914153132,2.7869356498,1.0801074612
10,2017-05-18 00:00:00+00:00,228.48,229.7,226.65,228.49,343866,228.48,229.7,226.65,228.49,343866,0.0,1.0,16980641368.32,19422459368.32,17.6705336427,2.783646152,1.0788325803
11,2017-05-19 00:00:00+00:00,230.02,231.11,228.48,228.94,396445,230.02,231.11,228.48,228.94,396445,0.0,1.0,17095094220.68,19536912220.68,17.7896365043,2.8024084729,1.0861041234
12,2017-05-22 00:00:00+00:00,231.58,232.0,230.55,230.65,200210,231.58,232.0,230.55,230.65,200210,0.0,1.0,17211033473.72,19652851473.72,17.9102861562,2.8214144602,1.0934701022
13,2017-05-23 00:00:00+00:00,232.87,234.5,231.86,232.53,673626,232.87,234.5,231.86,232.53,673626,0.0,1.0,17306906317.58,19748724317.58,18.0100541377,2.8371309498,1.0995612
14,2017-05-24 00:00:00+00:00,235.54,235.8,231.93,232.97,414935,235.54,235.8,231.93,232.97,414935,0.0,1.0,17505340808.36,19947158808.36,18.2165506574,2.8696604282,1.1121683559
15,2017-05-25 00:00:00+00:00,236.98,238.47,235.92,236.86,419335,236.98,238.47,235.92,236.86,419335,0.0,1.0,17612361657.32,20054179657.32,18.3279195669,2.8872044166,1.1189677209
16,2017-05-26 00:00:00+00:00,235.89,237.13,235.18,236.35,258030,235.89,237.13,235.18,236.35,258030,0.0,1.0,17531352820.26,19973170820.26,18.2436194896,2.873924592,1.1138209794
17,2017-05-30 00:00:00+00:00,237.25,237.63,234.78,235.83,219680,237.25,237.63,234.78,235.83,219680,0.0,1.0,17632428066.5,20074246066.5,18.3488012374,2.8904939144,1.1202426019
18,2017-05-31 00:00:00+00:00,239.3,239.43,236.37,238.48,511695,239.3,239.43,236.37,238.48,511695,0.0,1.0,17784784136.2,20226602136.2,18.5073472544,2.9154697311,1.1299222534
19,2017-06-01 00:00:00+00:00,238.98,240.59,237.66,239.08,574698,238.98,240.59,237.66,239.08,574698,0.0,1.0,17761001725.32,20202819725.32,18.4825986079,2.9115710671,1.1284112834
20,2017-06-02 00:00:00+00:00,239.4,240.0,238.48,239.07,313246,239.4,240.0,238.48,239.07,313246,0.0,1.0,17792216139.6,20234034139.6,18.5150812065,2.9166880637,1.1303944316
21,2017-06-05 00:00:00+00:00,240.22,240.32,238.58,239.89,247509,240.22,240.32,238.58,239.89,247509,0.0,1.0,17853158567.48,20294976567.48,18.5784996133,2.9266783904,1.1342662922
22,2017-06-06 00:00:00+00:00,239.72,240.61,238.37,239.0,297402,239.72,240.61,238.37,239.0,297402,0.0,1.0,17815998550.48,20257816550.48,18.5398298531,2.9205867277,1.1319054016
23,2017-06-07 00:00:00+00:00,240.18,241.23,239.17,240.46,260413,240.18,241.23,239.17,240.46,260413,0.0,1.0,17850185766.12,20292003766.12,18.5754060325,2.9261910573,1.1340774209
24,2017-06-08 00:00:00+00:00,239.21,241.1,237.69,240.18,289534,239.21,241.1,237.69,240.18,289534,0.0,1.0,17778095333.14,20219913333.14,18.5003866976,2.9143732319,1.1294972931
25,2017-06-09 00:00:00+00:00,240.16,241.43,238.89,239.5,250076,240.16,241.43,238.89,239.5,250076,0.0,1.0,17848699365.44,20290517365.44,18.5738592421,2.9259473908,1.1339829853
26,2017-06-12 00:00:00+00:00,239.54,240.52,238.02,239.52,290024,239.54,240.52,238.02,239.52,290024,0.0,1.0,17802620944.36,20244438944.36,18.5259087394,2.9183937292,1.1310554809
27,2017-06-13 00:00:00+00:00,241.95,242.33,239.16,239.75,338228,241.95,242.33,239.16,239.75,338228,0.0,1.0,17981732226.3,20423550226.3,18.7122969838,2.947755543,1.1424349737
28,2017-06-14 00:00:00+00:00,243.79,245.9,242.07,243.44,546467,243.79,245.9,242.07,243.44,546467,0.0,1.0,18118481088.86,20560299088.86,18.8546017015,2.9701728615,1.1511230512
29,2017-06-15 00:00:00+00:00,242.49,243.37,240.94,242.97,280360,242.49,243.37,240.94,242.97,280360,0.0,1.0,18021865044.66,20463683044.66,18.7540603248,2.9543345387,1.1449847356
30,2017-06-16 00:00:00+00:00,241.93,242.94,238.89,242.94,349104,241.93,242.94,238.89,242.94,349104,0.0,1.0,17980245825.62,20422063825.62,18.7107501933,2.9475118765,1.1423405381
31,2017-06-19 00:00:00+00:00,243.88,244.5,242.19,242.38,179541,243.88,244.5,242.19,242.38,179541,0.0,1.0,18125169891.92,20566987891.92,18.8615622583,2.9712693608,1.1515480116
32,2017-06-20 00:00:00+00:00,243.01,244.85,241.86,243.9,227742,243.01,244.85,241.86,243.9,227742,0.0,1.0,18060511462.34,20502329462.34,18.7942768755,2.9606698678,1.1474400619
33,2017-06-21 00:00:00+00:00,242.92,243.2,241.3,243.2,391233,242.92,243.2,241.3,243.2,391233,0.0,1.0,18053822659.28,20495640659.28,18.7873163186,2.9595733685,1.1470151016
34,2017-06-22 00:00:00+00:00,242.7,243.18,240.68,242.7,321132,242.7,243.18,240.68,242.7,321132,0.0,1.0,18037472251.8,20479290251.8,18.7703016241,2.956893037,1.1459763097
35,2017-06-23 00:00:00+00:00,246.5,246.74,243.11,244.25,927059,246.5,246.74,243.11,244.25,927059,0.0,1.0,18319888381.0,20761706381.0,19.064191802,3.0031896729,1.1639190784
36,2017-06-26 00:00:00+00:00,246.65,248.24,245.93,247.55,297884,246.65,248.24,245.93,247.55,297884,0.0,1.0,18331036386.1,20772854386.1,19.0757927301,3.0050171717,1.1646273456
37,2017-06-27 00:00:00+00:00,243.63,246.79,243.44,246.53,239035,243.63,246.79,243.44,246.53,239035,0.0,1.0,18106589883.42,20548407883.42,18.8422273782,2.9682235294,1.1503675662
38,2017-06-28 00:00:00+00:00,243.94,244.88,243.39,244.88,395039,243.94,244.88,243.39,244.88,395039,0.0,1.0,18129629093.96,20571447093.96,18.8662026295,2.9720003603,1.1518313184
39,2017-06-29 00:00:00+00:00,239.71,244.02,237.47,243.0,571205,239.71,244.02,237.47,243.0,571205,0.0,1.0,17815255350.14,20257073350.14,18.5390564578,2.9204648945,1.1318581837
40,2017-06-30 00:00:00+00:00,241.69,242.85,239.83,240.51,324063,241.69,242.85,239.83,240.51,324063,0.0,1.0,17962409017.46,20404227017.46,18.6921887084,2.9445878785,1.1412073106
41,2017-07-03 00:00:00+00:00,241.07,242.38,240.37,242.37,224363,241.07,242.38,240.37,242.37,224363,0.0,1.0,17916330596.38,20714609596.38,18.5438461538,2.7643513563,9.1129758242
42,2017-07-05 00:00:00+00:00,243.76,243.96,240.56,241.71,253336,243.76,243.96,240.56,241.71,253336,0.0,1.0,18116251487.84,20914530487.84,18.7507692308,2.7951976049,9.2146637363
43,2017-07-06 00:00:00+00:00,241.67,244.32,241.04,242.39,273678,241.67,244.32,241.04,242.39,273678,0.0,1.0,17960922616.78,20759201616.78,18.59,2.7712315604,9.1356571429
44,2017-07-07 00:00:00+00:00,245.75,247.33,242.65,242.77,368663,245.75,247.33,242.65,242.77,368663,0.0,1.0,18264148355.5,21062427355.5,18.9038461538,2.8180169486,9.2898901099
45,2017-07-10 00:00:00+00:00,246.64,247.27,245.02,245.92,368057,246.64,247.27,245.02,245.92,368057,0.0,1.0,18330293185.76,21128572185.76,18.9723076923,2.8282225848,9.3235340659
46,2017-07-11 00:00:00+00:00,246.53,246.78,244.89,246.68,350697,246.53,246.78,244.89,246.68,350697,0.0,1.0,18322117982.02,21120396982.02,18.9638461538,2.826961214,9.3193758242
47,2017-07-12 00:00:00+00:00,247.86,249.25,246.28,247.72,394344,247.86,249.25,246.28,247.72,394344,0.0,1.0,18420963627.24,21219242627.24,19.0661538462,2.8422123332,9.3696527473
48,2017-07-13 00:00:00+00:00,248.02,249.61,247.31,247.79,245717,248.02,249.61,247.31,247.79,245717,0.0,1.0,18432854832.68,21231133832.68,19.0784615385,2.8440470543,9.3757010989
49,2017-07-14 00:00:00+00:00,247.61,249.07,246.77,248.37,310221,247.61,249.07,246.77,248.37,310221,0.0,1.0,18402383618.74,21200662618.74,19.0469230769,2.8393455815,9.3602021978
50,2017-07-17 00:00:00+00:00,248.19,248.57,246.53,247.68,217509,248.19,248.57,246.53,247.68,217509,0.0,1.0,18445489238.46,21243768238.46,19.0915384615,2.8459964455,9.3821274725
51,2017-07-18 00:00:00+00:00,246.88,249.3,246.01,248.0,310290,246.88,249.3,246.01,248.0,310290,0.0,1.0,18348129993.92,21146408993.92,18.9907692308,2.8309746664,9.3326065934
52,2017-07-19 00:00:00+00:00,247.89,249.2,247.2,247.2,429033,247.89,249.2,247.2,247.2,429033,0.0,1.0,18423193228.26,21221472228.26,19.0684615385,2.8425563434,9.3707868132
53,2017-07-20 00:00:00+00:00,242.58,248.54,241.7,248.54,667880,242.58,248.54,241.7,248.54,667880,0.0,1.0,18028553847.72,20826832847.72,18.66,2.7816665367,9.1700571429
54,2017-07-21 00:00:00+00:00,245.12,246.79,241.89,242.24,563664,245.12,246.79,241.89,242.24,563664,0.0,1.0,18217326734.08,21015605734.08,18.8553846154,2.8107927343,9.2660747253
55,2017-07-24 00:00:00+00:00,244.02,245.73,243.87,244.6,456667,244.02,245.73,243.87,244.6,456667,0.0,1.0,18135574696.68,20933853696.68,18.7707692308,2.7981790267,9.2244923077
56,2017-07-25 00:00:00+00:00,241.27,245.0,240.09,245.0,1108227,241.27,245.0,240.09,245.0,1108227,0.0,1.0,17931194603.18,20729473603.18,18.5592307692,2.7666447577,9.1205362637
57,2017-07-26 00:00:00+00:00,240.13,244.56,239.35,243.74,637509,240.13,244.56,239.35,243.74,637509,0.0,1.0,17846469764.42,20644748764.42,18.4715384615,2.7535723698,9.0774417582
58,2017-07-27 00:00:00+00:00,238.34,241.08,236.48,240.21,882387,238.34,241.08,236.48,240.21,882387,0.0,1.0,17713436903.56,20511715903.56,18.3338461538,2.7330464274,9.0097758242
59,2017-07-28 00:00:00+00:00,248.65,251.69,242.28,243.57,1200720,248.65,251.69,242.28,243.57,1200720,0.0,1.0,18479676454.1,21277955454.1,19.1269230769,2.8512712687,9.3995164835
60,2017-07-31 00:00:00+00:00,248.99,249.92,247.5,249.75,587653,248.99,249.92,247.5,249.75,587653,0.0,1.0,18504945265.66,21303224265.66,19.1530769231,2.855170051,9.4123692308
61,2017-08-01 00:00:00+00:00,252.07,252.23,249.59,249.9,718964,252.07,252.23,249.59,249.9,718964,0.0,1.0,18733850970.38,21532129970.38,19.39,2.8904884323,9.5288
62,2017-08-02 00:00:00+00:00,251.7,252.89,250.24,251.72,392940,251.7,252.89,250.24,251.72,392940,0.0,1.0,18706352557.8,21504631557.8,19.3615384615,2.8862456397,9.5148131868
63,2017-08-03 00:00:00+00:00,250.98,251.81,249.02,251.56,321268,250.98,251.81,249.02,251.56,321268,0.0,1.0,18652842133.32,21451121133.32,19.3061538462,2.8779893948,9.4875956044
64,2017-08-04 00:00:00+00:00,250.88,252.09,249.21,251.18,267028,250.88,252.09,249.21,251.18,267028,0.0,1.0,18649961845.76,21448240845.76,19.2984615385,2.8768426941,9.4838153846
65,2017-08-07 00:00:00+00:00,249.38,250.14,247.91,250.01,505646,249.38,250.14,247.91,250.01,505646,0.0,1.0,18538454580.26,21336733580.26,19.1830769231,2.8596421837,9.4271120879
66,2017-08-08 00:00:00+00:00,248.96,250.74,247.34,249.07,339904,248.96,250.74,247.34,249.07,339904,0.0,1.0,18507232545.92,21305511545.92,19.1507692308,2.8548260408,9.4112351648
67,2017-08-09 00:00:00+00:00,249.68,250.2,248.19,249.07,372279,249.68,250.2,248.19,249.07,372279,0.0,1.0,18560756033.36,21359035033.36,19.2061538462,2.8630822858,9.4384527473
68,2017-08-10 00:00:00+00:00,246.41,248.7,246.1,247.91,419343,246.41,248.7,246.1,247.91,419343,0.0,1.0,18317670194.57,21115949194.57,18.9546153846,2.8255851732,9.3148395604
