,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,49.56,51.11,49.37,51.11,5731827,45.0449308027,46.4537210114,44.87224039,46.4537210114,5731827,0.0,1.0,23366490332.8185,33797490332.8185,21.7368421053,1.2577257278,0.0114404432
1,2017-05-05 00:00:00+00:00,50.66,50.73,49.46,49.78,5642387,46.0447174024,46.1083401861,44.9540411118,45.2448881226,5642387,0.0,1.0,23885117035.1208,34316117035.1208,22.2192982456,1.2856413513,0.0116943675
2,2017-05-08 00:00:00+00:00,51.34,51.5,50.41,50.62,5813245,46.6627673005,46.8081908059,45.8174931752,46.0083615261,5813245,0.0,1.0,24205722632.9076,34636722632.9076,22.5175438596,1.3028982822,0.0118513389
3,2017-05-09 00:00:00+00:00,51.46,51.68,50.965,51.5,3963132,46.7718349295,46.9717922495,46.3219309596,46.8081908059,3963132,0.0,1.0,24262300091.3406,34693300091.3406,22.5701754386,1.3059436229,0.0118790397
4,2017-05-10 00:00:00+00:00,52.34,52.665,51.31,51.83,5965594,47.5716642093,47.8670557047,46.6355003932,47.1081267858,5965594,0.0,1.0,24677201453.1824,35108201453.1824,22.9561403509,1.3282761217,0.0120821791
5,2017-05-11 00:00:00+00:00,52.51,53.24,52.27,52.5,4515837,47.7261766838,48.3896714273,47.5080414257,47.7170877147,4515837,0.0,1.0,24757352852.6291,35188352852.6291,23.0307017544,1.3325903545,0.012121422
6,2017-05-12 00:00:00+00:00,52.67,53.04,52.38,52.42,2927640,47.8716001892,48.2078920455,47.6080200857,47.644375962,2927640,0.0,1.0,24832789463.8731,35263789463.8731,23.100877193,1.3366508088,0.0121583564
7,2017-05-15 00:00:00+00:00,52.99,53.52,52.52,52.97,4678906,48.4896500873,48.9746380953,48.059566382,48.471348653,4678906,0.36,1.0,25153395061.66,35584395061.66,23.2412280702,1.3447717174,0.0122322253
8,2017-05-16 00:00:00+00:00,52.48,52.73,51.77,52.73,4950744,48.0229635135,48.2517314418,47.373262597,48.2517314418,4950744,0.0,1.0,24911307281.2967,35342307281.2967,23.0175438596,1.3318290193,0.0121144968
9,2017-05-17 00:00:00+00:00,52.05,52.84,51.79,51.79,4197536,47.6294826768,48.3523893303,47.3915640313,47.3915640313,4197536,0.0,1.0,24707194054.716,35138194054.716,22.8289473684,1.3209165483,0.0120152355
10,2017-05-18 00:00:00+00:00,51.94,52.46,51.3,51.66,3954415,47.5288247883,48.0046620792,46.9431788918,47.2726047086,3954415,0.0,1.0,24654979043.2651,35085979043.2651,22.7807017544,1.3181249859,0.011989843
11,2017-05-19 00:00:00+00:00,52.78,53.105,51.91,52.16,4336914,48.2974850275,48.5948833343,47.5013726369,47.7301405652,4336914,0.0,1.0,25053711857.981,35484711857.981,23.149122807,1.3394423711,0.0121837488
12,2017-05-22 00:00:00+00:00,52.98,53.18,52.69,52.94,2405418,48.4804993701,48.6635137128,48.2151285733,48.4438965016,2405418,0.0,1.0,25148648242.4371,35579648242.4371,23.2368421053,1.344517939,0.0122299169
13,2017-05-23 00:00:00+00:00,53.08,53.3189,52.75,53.0,2187698,48.5720065414,48.7906171738,48.2700328761,48.4988008044,2187698,0.0,1.0,25196116434.6652,35627116434.6652,23.2807017544,1.347055723,0.0122530009
14,2017-05-24 00:00:00+00:00,53.13,53.27,52.76,52.94,2917051,48.6177601271,48.745870167,48.2791835932,48.4438965016,2917051,0.0,1.0,25219850530.7793,35650850530.7793,23.3026315789,1.348324615,0.0122645429
15,2017-05-25 00:00:00+00:00,52.45,53.91,52.43,53.15,3937309,47.9955113621,49.3315160635,47.9772099278,48.6360615614,3937309,0.0,1.0,24897066823.6283,35328066823.6283,23.0043859649,1.3310676841,0.0121075716
16,2017-05-26 00:00:00+00:00,52.82,52.865,52.24,52.42,3828834,48.334087896,48.3752661231,47.8033463023,47.9680592107,3828834,0.0,1.0,25072699134.8722,35503699134.8722,23.1666666667,1.3404574847,0.0121929825
17,2017-05-30 00:00:00+00:00,52.42,53.19,52.32,52.42,4001104,47.9680592107,48.6726644299,47.8765520393,47.9680592107,4001104,0.0,1.0,24882826365.9599,35313826365.9599,22.9912280702,1.3303063489,0.0121006464
18,2017-05-31 00:00:00+00:00,52.04,52.77,51.63,52.3,4465804,47.6203319596,48.2883343103,47.2451525572,47.8582506051,4465804,0.0,1.0,24702447235.4932,35133447235.4932,22.8245614035,1.3206627699,0.0120129271
19,2017-06-01 00:00:00+00:00,53.13,53.57,52.383,52.43,8740741,48.6177601271,49.020391681,47.9342015573,47.9772099278,8740741,0.0,1.0,25219850530.7793,35650850530.7793,23.3026315789,1.348324615,0.0122645429
20,2017-06-02 00:00:00+00:00,52.7,53.13,52.44,52.86,4425525,48.2242792904,48.6177601271,47.9863606449,48.3706907645,4425525,0.0,1.0,25015737304.1985,35446737304.1985,23.1140350877,1.337412144,0.0121652816
21,2017-06-05 00:00:00+00:00,52.8,53.16,52.44,52.57,3217262,48.3157864617,48.6452122785,47.9863606449,48.1053199677,3217262,0.0,1.0,25063205496.4266,35494205496.4266,23.1578947368,1.3399499279,0.0121883657
22,2017-06-06 00:00:00+00:00,53.09,53.16,52.42,52.58,3249506,48.5811572586,48.6452122785,47.9680592107,48.1144706848,3249506,0.0,1.0,25200863253.888,35631863253.888,23.2850877193,1.3473095014,0.0122553093
23,2017-06-07 00:00:00+00:00,52.97,53.17,52.47,52.84,3634378,48.471348653,48.6543629956,48.0138127963,48.3523893303,3634378,0.0,1.0,25143901423.2143,35574901423.2143,23.2324561404,1.3442641607,0.0122276085
24,2017-06-08 00:00:00+00:00,53.43,53.96,52.86,52.89,4642728,48.8922816411,49.3772696491,48.3706907645,48.3981429159,4642728,0.0,1.0,25362255107.4635,35793255107.4635,23.4342105263,1.3559379668,0.012333795
25,2017-06-09 00:00:00+00:00,54.71,54.97,53.46,53.55,9652024,50.0635734341,50.3014920796,48.9197337925,49.0020902467,9652024,0.0,1.0,25969847967.9829,36400847967.9829,23.9956140351,1.3884216015,0.0126292705
