,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,86.1,86.79,85.4,86.32,908358,81.5776456142,82.2314037498,80.914412723,81.7860902371,908358,0.0,1.0,13439452938.1356,17068452938.1356,23.3333333333,-13.6783848515,0.0630630631
1,2017-05-05 00:00:00+00:00,84.44,87.69,83.6,87.43,2155710,80.0048361866,83.0841317527,79.2089567172,82.8377881074,2155710,0.0,1.0,13078299125.8893,16707299125.8893,22.8834688347,-13.4146668625,0.0618472131
2,2017-05-08 00:00:00+00:00,83.59,84.575,83.11,84.3,1775648,79.1994819616,80.132745387,78.7446936933,79.8721896083,1775648,0.0,1.0,12946648791.2493,16575648791.2493,22.6531165312,-13.2796305428,0.0612246393
3,2017-05-09 00:00:00+00:00,84.77,84.79,83.48,83.6,1091270,80.317503121,80.3364526321,79.0952596501,79.2089567172,1091270,0.0,1.0,13129410432.279,16758410432.279,22.972899729,-13.4670927278,0.0620889182
4,2017-05-10 00:00:00+00:00,85.77,85.77,84.035,84.63,1256324,81.2649786798,81.2649786798,79.6211085852,80.1848565427,1256324,0.0,1.0,13284293178.9143,16913293178.9143,23.243902439,-13.6259589862,0.0628213579
5,2017-05-11 00:00:00+00:00,85.36,86.965,84.53,85.34,923292,80.8765137007,82.3972119726,80.0901089869,80.8575641895,923292,0.0,1.0,13220791252.7938,16849791252.7938,23.1327913279,-13.5608238203,0.0625210576
6,2017-05-12 00:00:00+00:00,84.21,85.27,84.19,85.05,651811,79.786916808,80.7912409004,79.7679672969,80.5827962774,651811,0.0,1.0,13042676094.1632,16671676094.1632,22.8211382114,-13.378127623,0.0616787519
7,2017-05-15 00:00:00+00:00,84.48,84.99,84.32,84.5,589137,80.0427352089,80.5259477439,79.8911391195,80.0616847201,589137,0.0,1.0,13084494435.7547,16713494435.7547,22.8943089431,-13.4210215128,0.0618765107
8,2017-05-16 00:00:00+00:00,83.7,84.72,83.6,84.39,1135022,79.303704273,80.270129343,79.2089567172,79.9574624086,1135022,0.0,1.0,12963685893.3792,16592685893.3792,22.6829268293,-13.2971058312,0.0613052076
9,2017-05-17 00:00:00+00:00,81.85,83.26,81.58,83.02,1325533,77.5508744892,78.8868150272,77.2950560883,78.659420893,1325533,0.0,1.0,12677152812.1037,16306152812.1037,22.1815718157,-13.0032032531,0.0599501941
10,2017-05-18 00:00:00+00:00,80.83,81.7,80.68,81.22,1302345,76.5844494192,77.4087531554,76.4423280854,76.9539648872,1302345,0.0,1.0,12519172410.5357,16148172410.5357,21.9051490515,-12.8411596695,0.0592031055
11,2017-05-19 00:00:00+00:00,80.83,81.2,79.63,81.05,1571258,76.5844494192,76.935015376,75.4474787486,76.7928940422,1571258,0.0,1.0,12519172410.5357,16148172410.5357,21.9051490515,-12.8411596695,0.0592031055
12,2017-05-22 00:00:00+00:00,82.93,83.13,81.6308,81.95,1466515,78.5741480927,78.7636432045,77.3431878467,77.6456220451,1466515,0.0,1.0,12844426178.4699,16473426178.4699,22.4742547425,-13.1747788122,0.060741229
13,2017-05-23 00:00:00+00:00,82.11,82.93,81.78,82.93,980306,77.7972181345,78.5741480927,77.4845512001,78.5741480927,980306,0.0,1.0,12717422326.2289,16346422326.2289,22.2520325203,-13.0445084803,0.0601406284
14,2017-05-24 00:00:00+00:00,82.22,82.35,80.97,82.05,941791,77.901440446,78.0246122686,76.7170959975,77.740369601,941791,0.0,1.0,12734459428.3588,16363459428.3588,22.2818428184,-13.0619837688,0.0602211968
15,2017-05-25 00:00:00+00:00,82.27,83.224,81.89,82.67,1346209,77.9488142239,78.852705907,77.5887735116,78.3278044475,1346209,0.0,1.0,12742203565.6906,16371203565.6906,22.2953929539,-13.0699270817,0.0602578188
16,2017-05-26 00:00:00+00:00,81.86,82.72,81.67,82.28,952861,77.5603492448,78.3751782254,77.3803288886,77.9582889795,952861,0.0,1.0,12678701639.5701,16307701639.5701,22.1842818428,-13.0047919157,0.0599575185
17,2017-05-30 00:00:00+00:00,82.83,83.93,82.24,82.81,1316953,78.4794005369,79.5216236516,77.9203899572,78.4604510257,1316953,0.0,1.0,12828937903.8064,16457937903.8064,22.4471544715,-13.1588921864,0.0606679851
18,2017-05-31 00:00:00+00:00,83.57,83.5999,82.43,82.87,2009263,79.1805324504,79.2088619696,78.1004103133,78.5172995592,2009263,0.0,1.0,12943551136.3166,16572551136.3166,22.647696477,-13.2764532176,0.0612099905
19,2017-06-01 00:00:00+00:00,85.64,85.65,83.49,83.95,1489189,81.1418068571,81.1512816127,79.1047344057,79.5405731627,1489189,0.0,1.0,13264158421.8517,16893158421.8517,23.2086720867,-13.6053063726,0.0627261408
20,2017-06-02 00:00:00+00:00,86.62,86.79,85.195,85.58,1318849,82.0703329048,82.2314037498,80.7201802335,81.0849583236,1318849,0.0,1.0,13415943513.5544,17044943513.5544,23.4742547425,-13.7609953059,0.0634439317
21,2017-06-05 00:00:00+00:00,87.31,87.45,86.38,86.59,1077377,82.7240910404,82.8567376186,81.8429387707,82.041908638,1077377,0.0,1.0,13522812608.7328,17151812608.7328,23.6612466125,-13.8706130242,0.0639493152
22,2017-06-06 00:00:00+00:00,87.46,87.96,86.52,87.21,1000944,82.8662123742,83.3399501536,81.9755853489,82.6293434845,1000944,0.0,1.0,13546045020.7281,17175045020.7281,23.701897019,-13.894442963,0.0640591811
23,2017-06-07 00:00:00+00:00,86.18,87.97,85.67,87.78,1151629,81.6534436589,83.3494249092,81.1702311239,83.169404553,1151629,0.0,1.0,13347795105.0348,16976795105.0348,23.3550135501,-13.6910941522,0.0631216582
24,2017-06-08 00:00:00+00:00,86.65,86.735,85.21,85.94,831683,82.0987571715,82.179292594,80.7343923669,81.4260495248,831683,0.0,1.0,13420589995.9535,17049589995.9535,23.4823848238,-13.7657612936,0.0634659049
25,2017-06-09 00:00:00+00:00,86.17,87.77,85.39,86.75,1173774,81.6439689033,83.1599297974,80.9049379674,82.1935047274,1173774,0.0,1.0,13346246277.5685,16975246277.5685,23.352303523,-13.6895054896,0.0631143338
26,2017-06-12 00:00:00+00:00,86.11,86.21,85.1,85.74,1638261,81.5871203698,81.6818679257,80.6301700554,81.236554413,1638261,0.0,1.0,13336953312.7704,16965953312.7704,23.3360433604,-13.6799735141,0.0630703875
27,2017-06-13 00:00:00+00:00,86.04,86.89,85.64,86.3,1198242,81.9661105933,82.7758641266,81.5850501071,82.2137999094,1198242,0.47,1.0,13398906411.4245,17027906411.4245,23.3170731707,-13.668852876,0.0630191167
28,2017-06-14 00:00:00+00:00,84.87,86.03,84.5,86.03,875765,80.851508671,81.9565840812,80.4990277212,81.9565840812,875765,0.0,1.0,13216703709.1771,16845703709.1771,23.0,-13.4829793536,0.0621621622
29,2017-06-15 00:00:00+00:00,84.45,84.66,83.86,84.29,985456,80.4513951605,80.6514519157,79.8893309432,80.298970966,985456,0.0,1.0,13151297610.9344,16780297610.9344,22.8861788618,-13.4162555251,0.0618545375
30,2017-06-16 00:00:00+00:00,84.72,84.92,84.3,84.66,1170915,80.7086109887,80.8991412318,80.3084974781,80.6514519157,1170915,0.0,1.0,13193344388.3761,16822344388.3761,22.9593495935,-13.4591494149,0.0620522962
31,2017-06-19 00:00:00+00:00,86.2,86.3,84.92,85.05,781001,82.1185347878,82.2137999094,80.8991412318,81.0229858898,781001,0.0,1.0,13423823020.2789,17052823020.2789,23.3604336043,-13.6942714773,0.063136307
32,2017-06-20 00:00:00+00:00,85.74,86.03,85.41,86.0,730798,81.6803152286,81.9565840812,81.3659403275,81.9280045447,730798,0.0,1.0,13352187769.8226,16981187769.8226,23.2357723577,-13.6211929985,0.0627993848
33,2017-06-21 00:00:00+00:00,86.24,86.375,85.82,86.07,1094363,82.1566408364,82.2852487506,81.7565273259,81.9946901298,1094363,0.0,1.0,13430052172.4924,17059052172.4924,23.3712737127,-13.7006261277,0.0631656046
34,2017-06-22 00:00:00+00:00,87.36,87.7,85.95,86.25,1038945,83.223610198,83.5475116113,81.8803719839,82.1661673486,1038945,0.0,1.0,13604468434.4729,17233468434.4729,23.674796748,-13.8785563371,0.0639859372
35,2017-06-23 00:00:00+00:00,88.64,88.76,87.08,87.41,1631907,84.443003754,84.5573218998,82.9568678576,83.2712427587,1631907,0.0,1.0,13803801305.3076,17432801305.3076,24.0216802168,-14.0819051479,0.06492346
36,2017-06-26 00:00:00+00:00,88.42,89.15,88.39,88.75,758219,84.2334204865,84.9288558739,84.2048409501,84.5477953877,758219,0.0,1.0,13769540968.1329,17398540968.1329,23.9620596206,-14.0469545711,0.0647623233
37,2017-06-27 00:00:00+00:00,87.72,88.79,87.72,88.56,791981,83.5665646356,84.5859014363,83.5665646356,84.3667916567,791981,0.0,1.0,13660530804.3951,17289530804.3951,23.7723577236,-13.9357481902,0.0642496155
38,2017-06-28 00:00:00+00:00,88.13,88.67,87.8101,88.16,1108303,83.957151634,84.4715832904,83.6523985101,83.9857311705,1108303,0.0,1.0,13724379614.5844,17353379614.5844,23.8834688347,-14.0008833561,0.0645499158
39,2017-06-29 00:00:00+00:00,86.8,88.3,86.19,88.09,1436700,82.6901255172,84.1191023407,82.1090082757,83.9190455854,1436700,0.0,1.0,13517260303.4826,17146260303.4826,23.5230352304,-13.7895912324,0.0635757709
40,2017-06-30 00:00:00+00:00,86.74,87.56,86.68,87.0,1222479,82.6329664443,83.4141404411,82.5758073713,82.8806557603,1222479,0.0,1.0,13507916575.1623,17136916575.1623,23.5067750678,-13.7800592569,0.0635318245
41,2017-07-03 00:00:00+00:00,86.68,87.275,86.67,86.99,472307,82.5758073713,83.1426348446,82.5662808592,82.8711292482,472307,0.0,1.0,13498572846.8419,17160572846.8419,22.3979328165,-14.5179103737,0.7714843526
42,2017-07-05 00:00:00+00:00,86.83,87.215,86.42,86.83,813133,82.7187050537,83.0854757717,82.3281180553,82.7187050537,813133,0.0,1.0,13521932167.6428,17183932167.6428,22.4366925065,-14.5430336612,0.7728194086
43,2017-07-06 00:00:00+00:00,85.96,86.71,85.59,86.7,859703,81.8898984961,82.6043869078,81.5374175463,82.5948603956,859703,0.0,1.0,13386448106.9973,17048448106.9973,22.2118863049,-14.397318594,0.7650760838
44,2017-07-07 00:00:00+00:00,87.31,87.6,86.29,86.35,596663,83.1759776372,83.4522464897,82.2042733972,82.2614324702,596663,0.0,1.0,13596681994.2059,17258681994.2059,22.5607235142,-14.623428181,0.7770915877
45,2017-07-10 00:00:00+00:00,87.23,87.6,86.84,86.84,548465,83.0997655399,83.4522464897,82.7282315658,82.7282315658,548465,0.0,1.0,13584223689.7787,17246223689.7787,22.5400516796,-14.6100290944,0.7763795579
