,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,45.85,46.06,45.19,45.55,4256405,40.4088569608,40.593935695,39.8271809391,40.1444587692,4256405,0.0,1.0,19493232597.9033,29990332597.9033,19.5106382979,1.8386041331,0.0250136388
1,2017-05-05 00:00:00+00:00,46.39,46.46,45.85,45.99,4936504,40.8847737058,40.9464666172,40.4088569608,40.5322427836,4936504,0.0,1.0,19722814835.6976,30219914835.6976,19.7404255319,1.8602583584,0.0253082379
2,2017-05-08 00:00:00+00:00,51.93,52.87,50.85,51.2,142811,45.7673269788,46.595774646,44.8154934887,45.1239580457,142811,0.0,1.0,22078158534.55,32575258534.55,22.0978723404,2.0824146702,0.0283306056
3,2017-05-09 00:00:00+00:00,52.88,53.05,51.8,52.41,6460301,46.6045879191,46.754413561,45.652754429,46.1903640854,6460301,0.0,1.0,22482053212.151,32979153212.151,22.5021276596,2.1205100667,0.0288488816
4,2017-05-10 00:00:00+00:00,53.08,53.18,52.5,52.82,3853264,46.7808533802,46.8689861107,46.2696835429,46.5517082807,3853264,0.0,1.0,22599830267.9594,33096930267.9594,22.5872340426,2.1285301501,0.0289579924
5,2017-05-11 00:00:00+00:00,53.46,53.54,52.73,53.0,4583025,47.1157577563,47.1862639407,46.4723888232,46.7103471957,4583025,0.0,1.0,22761622572.0632,33258722572.0632,22.7489361702,2.1437683087,0.0291653028
6,2017-05-12 00:00:00+00:00,52.69,53.46,52.59,53.44,3447999,46.437135731,47.1157577563,46.3490030004,47.0981312102,3447999,0.0,1.0,22433780271.6425,32930880271.6425,22.4212765957,2.1128909874,0.0287452264
7,2017-05-15 00:00:00+00:00,53.0,53.12,52.73,52.75,6995022,46.7103471957,46.8161064724,46.4723888232,46.4900153693,6995022,0.0,1.0,22565768730.2534,33062868730.2534,22.5531914894,2.1253221167,0.0289143481
8,2017-05-16 00:00:00+00:00,53.07,53.26,52.83,53.0,2911080,46.7720401071,46.9394922952,46.5605215538,46.7103471957,2911080,0.0,1.0,22595572575.7462,33092672575.7462,22.5829787234,2.128129146,0.0289525368
9,2017-05-17 00:00:00+00:00,52.17,52.96,52.11,52.73,3903569,45.9788455321,46.6750941035,45.9259658938,46.4723888232,3903569,0.0,1.0,22212380276.5532,32709480276.5532,22.2,2.0920387704,0.0284615385
10,2017-05-18 00:00:00+00:00,51.87,52.1,51.17,52.1,2832335,45.7144473404,45.9171526207,45.0975182265,45.9171526207,2832335,0.0,1.0,22084649510.1556,32581749510.1556,22.0723404255,2.0800086452,0.0282978723
11,2017-05-19 00:00:00+00:00,52.8,53.17,51.63,51.92,4857125,46.5340817346,46.8601728377,45.5029287871,45.7585137057,4857125,0.0,1.0,22480614885.9883,32977714885.9883,22.4680851064,2.1173020333,0.0288052373
12,2017-05-22 00:00:00+00:00,52.79,53.21,52.62,53.1,2351323,46.5252684616,46.8954259299,46.3754428196,46.7984799263,2351323,0.0,1.0,22476357193.775,32973457193.775,22.4638297872,2.1169010291,0.0287997818
13,2017-05-23 00:00:00+00:00,52.84,53.3,52.4,52.4,3335239,46.5693348268,46.9747453874,46.1815508124,46.1815508124,3335239,0.0,1.0,22497645654.8413,32994745654.8413,22.485106383,2.11890605,0.0288270595
14,2017-05-24 00:00:00+00:00,52.81,52.935,52.32,52.81,2727023,46.5428950077,46.6530609209,46.1110446279,46.5428950077,2727023,0.0,1.0,22484872578.2016,32981972578.2016,22.4723404255,2.1177030375,0.0288106929
15,2017-05-25 00:00:00+00:00,53.28,53.355,52.86,53.0,2018833,46.9571188413,47.0232183892,46.5869613729,46.7103471957,2018833,0.0,1.0,22684984112.2246,33182084112.2246,22.6723404255,2.1365502336,0.0290671031
16,2017-05-26 00:00:00+00:00,53.19,53.305,52.78,52.88,2139734,47.0805046641,47.1822955653,46.7175979727,46.8061117999,2139734,0.23,1.0,22744591803.2101,33241691803.2101,22.6340425532,2.132941196,0.0290180033
17,2017-05-30 00:00:00+00:00,53.34,53.48,53.1489,53.26,3281114,47.2132754048,47.3371947628,47.0441254811,47.1424643431,3281114,0.0,1.0,22808733348.0584,33305833348.0584,22.6978723404,2.1389562586,0.0290998363
18,2017-05-31 00:00:00+00:00,52.95,53.63,52.68,53.43,5720718,46.8680714789,47.4699655036,46.6290841456,47.2929378492,5720718,0.0,1.0,22641965331.4529,33139065331.4529,22.5319148936,2.1233170959,0.0288870704
19,2017-06-01 00:00:00+00:00,53.01,53.33,52.64,53.0,2132292,46.9211797752,47.2044240221,46.5936786147,46.9123283925,2132292,0.0,1.0,22667621949.3922,33164721949.3922,22.5574468085,2.1257231209,0.0289198036
20,2017-06-02 00:00:00+00:00,53.35,53.55,52.76,53.02,2801141,47.2221267875,47.3991544418,46.6998952073,46.9300311579,2801141,0.0,1.0,22813009451.0484,33310109451.0484,22.7021276596,2.1393572628,0.0291052919
21,2017-06-05 00:00:00+00:00,53.09,53.26,52.85,53.16,1796457,46.9919908369,47.1424643431,46.7795576517,47.0539505159,1796457,0.0,1.0,22701830773.3113,33198930773.3113,22.5914893617,2.1289311543,0.0289634479
22,2017-06-06 00:00:00+00:00,52.73,53.26,52.66,53.0,2217978,46.6733410591,47.1424643431,46.6113813801,46.9123283925,2217978,0.0,1.0,22547891065.6754,33044991065.6754,22.4382978723,2.1144950041,0.0287670486
23,2017-06-07 00:00:00+00:00,52.95,53.08,52.68,52.91,1891310,46.8680714789,46.9831394542,46.6290841456,46.832665948,1891310,0.0,1.0,22641965331.4529,33139065331.4529,22.5319148936,2.1233170959,0.0288870704
24,2017-06-08 00:00:00+00:00,53.03,53.43,52.62,53.2,3257630,46.9388825406,47.2929378492,46.5759758493,47.0893560468,3257630,0.0,1.0,22676174155.372,33173274155.372,22.5659574468,2.1265251293,0.0289307147
25,2017-06-09 00:00:00+00:00,53.24,53.43,52.86,53.03,2602751,47.1247615776,47.2929378492,46.7884090345,46.9388825406,2602751,0.0,1.0,22765972318.1596,33263072318.1596,22.6553191489,2.1349462169,0.029045281
26,2017-06-12 00:00:00+00:00,52.75,53.49,52.56,53.2,2969553,46.6910438246,47.3460461455,46.522867553,47.0893560468,2969553,0.0,1.0,22556443271.6551,33053543271.6551,22.4468085106,2.1152970124,0.0287779596
27,2017-06-13 00:00:00+00:00,53.78,53.79,52.775,52.9,2223090,47.6027362443,47.611587627,46.7131722814,46.8238145653,2223090,0.0,1.0,22996881879.6135,33493981879.6135,22.885106383,2.1566004422,0.02933988
28,2017-06-14 00:00:00+00:00,54.78,55.055,53.8,54.0,4711794,48.4878745158,48.7312875405,47.6204390097,47.797466664,4711794,0.0,1.0,23424492178.6022,33921592178.6022,23.3106382979,2.1967008595,0.0298854337
29,2017-06-15 00:00:00+00:00,54.59,54.96,54.05,54.55,6272628,48.3196982442,48.6471994047,47.8417235776,48.2842927134,6272628,0.0,1.0,23343246221.7944,33840346221.7944,23.229787234,2.1890817802,0.0297817785
30,2017-06-16 00:00:00+00:00,54.85,55.06,54.249,54.48,4560147,48.5498341948,48.7357132319,48.0178660936,48.2223330344,4560147,0.0,1.0,23454424899.5315,33951524899.5315,23.3404255319,2.1995078887,0.0299236225
31,2017-06-19 00:00:00+00:00,54.54,55.08,54.36,54.91,3616025,48.2754413307,48.7534159973,48.1161164418,48.6029424911,3616025,0.0,1.0,23321865706.8449,33818965706.8449,23.2085106383,2.1870767594,0.0297545008
32,2017-06-20 00:00:00+00:00,53.35,54.55,53.21,54.45,4110237,47.2221267875,48.2842927134,47.0982074295,48.1957788862,4110237,0.0,1.0,22813009451.0484,33310109451.0484,22.7021276596,2.1393572628,0.0291052919
