,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,82.93,83.36,82.63,82.91,1792970,75.1009511033,75.4903567343,74.8292727562,75.0828392135,1792970,0.0,1.0,17613444537.0988,20114344537.0988,16.8556910569,7.2940533661,1.1669324578
1,2017-05-05 00:00:00+00:00,83.69,83.74,82.88,83.25,1367038,75.7892029162,75.8344826407,75.0556713788,75.3907413403,1367038,0.0,1.0,17774860404.0733,20275760404.0733,17.0101626016,7.3608986641,1.1776266417
2,2017-05-08 00:00:00+00:00,83.73,84.05,83.37,83.72,1489680,75.8254266958,76.1152169328,75.4994126792,75.8163707509,1489680,0.0,1.0,17783355976.0193,20284255976.0193,17.0182926829,7.3644168376,1.1781894934
3,2017-05-09 00:00:00+00:00,84.0,84.23,83.31,83.87,1473410,76.0699372082,76.2782239411,75.4450770098,75.9522099245,1473410,0.0,1.0,17840701086.655,20341601086.655,17.0731707317,7.3881645093,1.181988743
4,2017-05-10 00:00:00+00:00,84.07,84.495,83.61,83.71,1772117,76.1333288226,76.5182064811,75.7167553569,75.807314806,1772117,0.0,1.0,17719576320.9511,20220476320.9511,17.087398374,7.394321313,1.1829737336
5,2017-05-11 00:00:00+00:00,83.97,84.14,83.09,83.71,2158281,76.0427693735,76.1967204369,75.2458462218,75.807314806,2158281,0.0,1.0,17698499151.5435,20199399151.5435,17.0670731707,7.3855258791,1.1815666041
6,2017-05-12 00:00:00+00:00,83.12,83.86,82.7,83.86,1727454,75.2730140565,75.9431539796,74.8926643705,75.9431539796,1727454,0.0,1.0,17519343211.5791,20020243211.5791,16.8943089431,7.3107646906,1.1696060038
7,2017-05-15 00:00:00+00:00,82.3,83.14,82.11,82.98,2055450,74.5304265743,75.2911259464,74.3583636211,75.1462308279,2055450,0.0,1.0,17346510422.437,19847410422.437,16.7276422764,7.2386421323,1.1580675422
8,2017-05-16 00:00:00+00:00,81.91,82.61,81.88,82.53,1690398,74.1772447229,74.8111608663,74.1500768882,74.7387133071,1690398,0.0,1.0,17264309461.7474,19765209461.7474,16.6483739837,7.2043399399,1.1525797373
9,2017-05-17 00:00:00+00:00,81.68,82.43,81.28,81.59,2031132,73.9689579901,74.648153858,73.6067201939,73.887454486,2031132,0.0,1.0,17215831972.11,19716731972.11,16.6016260163,7.1841104419,1.1493433396
10,2017-05-18 00:00:00+00:00,82.37,82.87,81.59,81.68,1740221,74.5938181886,75.0466154339,73.887454486,73.9689579901,1740221,0.0,1.0,17361264441.0223,19862164441.0223,16.7418699187,7.2447989361,1.1590525328
11,2017-05-19 00:00:00+00:00,83.36,83.63,82.26,82.56,1396931,75.4903567343,75.7348672467,74.4942027946,74.7658811418,1396931,0.0,1.0,17569928418.1573,20070828418.1573,16.9430894309,7.3318737321,1.1729831144
12,2017-05-22 00:00:00+00:00,83.71,83.93,83.39,83.52,1201681,75.807314806,76.0065455939,75.517524569,75.6352518528,1201681,0.0,1.0,17643698511.0838,20144598511.0838,17.0142276423,7.3626577509,1.1779080675
13,2017-05-23 00:00:00+00:00,82.92,83.81,82.8,83.81,1081677,75.0918951584,75.897874255,74.9832238196,75.897874255,1081677,0.0,1.0,17477188872.764,19978088872.764,16.8536585366,7.2931738227,1.1667917448
14,2017-05-24 00:00:00+00:00,83.15,83.32,82.81,82.98,1130890,75.3001818913,75.4541329547,74.9922797645,75.1462308279,1130890,0.0,1.0,17525666362.4014,20026566362.4014,16.9004065041,7.3134033208,1.1700281426
15,2017-05-25 00:00:00+00:00,83.6,83.91,83.15,83.15,1046395,75.707699412,75.9884337041,75.3001818913,75.3001818913,1046395,0.0,1.0,17620513624.7355,20121413624.7355,16.9918699187,7.3529827735,1.1763602251
16,2017-05-26 00:00:00+00:00,83.26,83.98,83.08,83.59,1200985,75.3997972852,76.0518253184,75.2367902769,75.6986434671,1200985,0.0,1.0,17548851248.7497,20049751248.7497,16.9227642276,7.3230782981,1.171575985
17,2017-05-30 00:00:00+00:00,83.4,83.77,82.95,83.34,2215336,75.5265805139,75.8616504754,75.1190629931,75.4722448445,2215336,0.0,1.0,17578359285.9204,20079259285.9204,16.9512195122,7.3353919056,1.1735459662
18,2017-05-31 00:00:00+00:00,83.72,83.92,83.22,83.56,1742572,75.8163707509,75.997489649,75.3635735056,75.6714756324,1742572,0.0,1.0,17645806228.0246,20146706228.0246,17.0162601626,7.3635372943,1.1780487805
19,2017-06-01 00:00:00+00:00,85.26,85.26,83.42,83.69,1520272,77.2109862664,77.2109862664,75.5446924037,75.7892029162,1520272,0.0,1.0,17970394636.9013,20471294636.9013,17.3292682927,7.4989869769,1.1997185741
20,2017-06-02 00:00:00+00:00,85.12,85.44,84.68,85.33,1268546,77.0842030377,77.3739932747,76.6857414618,77.2743778807,1268546,0.0,1.0,17940886599.7307,20441786599.7307,17.3008130081,7.4866733694,1.1977485929
21,2017-06-05 00:00:00+00:00,84.42,84.73,84.02,84.57,1323996,76.4502868943,76.7310211864,76.0880490981,76.5861260679,1323996,0.0,1.0,17793346413.8776,20294246413.8776,17.1585365854,7.4251053318,1.1878986867
22,2017-06-06 00:00:00+00:00,82.68,83.5,82.67,83.5,2117191,74.8745524807,75.617139963,74.8654965358,75.617139963,2117191,0.0,1.0,17426603666.1858,19927503666.1858,16.8048780488,7.2720647813,1.1634146341
23,2017-06-07 00:00:00+00:00,80.75,82.83,80.71,82.57,2884458,73.1267551139,75.0103916543,73.0905313343,74.7749370867,2884458,0.0,1.0,17019814296.6195,19520714296.6195,16.412601626,7.1023129062,1.1362570356
24,2017-06-08 00:00:00+00:00,80.28,80.69,79.87,80.62,2561391,72.7011257033,73.0724194444,72.3298319622,73.0090278301,2561391,0.0,1.0,16920751600.4039,19421651600.4039,16.3170731707,7.0609743667,1.1296435272
25,2017-06-09 00:00:00+00:00,81.5,81.99,79.86,80.3,3213151,73.8059509818,74.2496922822,72.3207760173,72.7192375931,3213151,0.0,1.0,17177893067.1764,19678793067.1764,16.5650406504,7.1682786608,1.1468105066
