,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,58.02,59.64,57.2,59.5,11582090,47.1523452215,48.4689050157,46.4859384121,48.3551282434,11582090,0.0,1.0,36051821211.4951,44379821211.4951,-82.8857142857,2.1037137096,-1.6577142857
1,2017-05-05 00:00:00+00:00,60.4,60.42,58.13,58.24,7688744,49.0865503512,49.1028041759,47.2417412569,47.3311372923,7688744,0.0,1.0,37530679096.4202,45858679096.4202,-86.2857142857,2.1900087566,-1.7257142857
2,2017-05-08 00:00:00+00:00,60.6,60.67,60.05,60.26,5634378,49.2490885974,49.3059769836,48.8021084204,48.9727735789,5634378,0.0,1.0,37654952868.2626,45982952868.2626,-86.5714285714,2.1972604412,-1.7314285714
3,2017-05-09 00:00:00+00:00,59.88,60.62,59.8,60.58,4480960,48.6639509111,49.2653424221,48.5989356127,49.2328347728,4480960,0.0,1.0,37207567289.6298,45535567289.6298,-85.5428571429,2.1711543766,-1.7108571429
4,2017-05-10 00:00:00+00:00,61.33,61.48,60.24,60.24,5880688,49.8423531961,49.9642568807,48.9565197543,48.9565197543,5880688,0.0,1.0,38108552135.4876,46436552135.4876,-87.6142857143,2.2237290901,-1.7522857143
5,2017-05-11 00:00:00+00:00,61.07,61.65,60.78,61.49,3913272,49.631053476,50.10241439,49.395373019,49.972383793,3913272,0.0,1.0,37946996232.0924,46274996232.0924,-87.2428571429,2.2143019001,-1.7448571429
6,2017-05-12 00:00:00+00:00,60.87,61.39,60.77,60.86,3649302,49.4685152298,49.8911146699,49.3872461067,49.4603883175,3649302,0.0,1.0,37822722460.25,46150722460.25,-86.9571428571,2.2070502155,-1.7391428571
7,2017-05-15 00:00:00+00:00,61.31,62.12,61.06,62.07,5298561,49.8260993714,50.4843792685,49.6229265637,50.443744707,5298561,0.0,1.0,38096124758.3034,46424124758.3034,-87.5857142857,2.2230039216,-1.7517142857
8,2017-05-16 00:00:00+00:00,60.53,61.47,60.24,61.47,3513390,49.1922002113,49.9561299684,48.9565197543,49.9561299684,3513390,0.0,1.0,37611457048.1178,45939457048.1178,-86.4714285714,2.1947223516,-1.7294285714
9,2017-05-17 00:00:00+00:00,60.27,60.87,60.03,60.27,4047587,48.9809004912,49.4685152298,48.7858545958,48.9809004912,4047587,0.0,1.0,37449901144.7226,45777901144.7226,-86.1,2.1852951616,-1.722
10,2017-05-18 00:00:00+00:00,60.29,60.65,59.52,60.05,3478347,48.9971543158,49.289723159,48.371382068,48.8021084204,3478347,0.0,1.0,37462328521.9069,45790328521.9069,-86.1285714286,2.1860203301,-1.7225714286
11,2017-05-19 00:00:00+00:00,60.64,61.24,60.51,60.75,4440925,49.2815962467,49.7692109853,49.1759463867,49.3709922821,4440925,0.0,1.0,37679807622.6311,46007807622.6311,-86.6285714286,2.1987107782,-1.7325714286
12,2017-05-22 00:00:00+00:00,60.59,61.04,60.23,60.84,3008806,49.2409616851,49.6066727391,48.948392842,49.4441344929,3008806,0.0,1.0,37648739179.6705,45976739179.6705,-86.5571428571,2.196897857,-1.7311428571
13,2017-05-23 00:00:00+00:00,61.56,61.61,60.55,60.6,3822402,50.0292721792,50.0699067407,49.2084540359,49.2490885974,3822402,0.0,1.0,38251466973.1064,46579466973.1064,-87.9428571429,2.2320685274,-1.7588571429
14,2017-05-24 00:00:00+00:00,61.16,61.79,60.85,61.52,4686640,49.7041956868,50.2161911623,49.4522614052,49.9967645299,4686640,0.0,1.0,38002919429.4215,46330919429.4215,-87.3714285714,2.2175651582,-1.7474285714
15,2017-05-25 00:00:00+00:00,60.71,61.355,60.24,60.86,4661983,49.3384846328,49.8626704768,48.9565197543,49.4603883175,4661983,0.0,1.0,37723303442.776,46051303442.776,-86.7285714286,2.2012488678,-1.7345714286
16,2017-05-26 00:00:00+00:00,61.0,61.525,60.71,60.85,4674033,49.5741650898,50.0008279861,49.3384846328,49.4522614052,4674033,0.0,1.0,37903500411.9476,46231500411.9476,-87.1428571429,2.2117638105,-1.7428571429
17,2017-05-30 00:00:00+00:00,60.12,60.75,60.0,60.6,3363319,48.8589968066,49.3709922821,48.7614738589,49.2490885974,3363319,0.0,1.0,37356695815.8407,45684695815.8407,-85.8857142857,2.1798563981,-1.7177142857
18,2017-05-31 00:00:00+00:00,58.93,59.99,58.91,59.62,7019193,47.8918942417,48.7533469465,47.8756404171,48.4526511911,7019193,0.0,1.0,36617266873.3782,44945266873.3782,-84.1857142857,2.1367088746,-1.6837142857
19,2017-06-01 00:00:00+00:00,60.51,60.8,58.79,59.09,7524496,49.1759463867,49.4116268436,47.7781174694,48.0219248387,7524496,0.0,1.0,37599029670.9336,45927029670.9336,-86.4428571429,2.1939971831,-1.7288571429
20,2017-06-02 00:00:00+00:00,60.7,60.7,59.665,60.17,6765675,49.3303577205,49.3303577205,48.4892222965,48.8996313681,6765675,0.0,1.0,37717089754.1838,46045089754.1838,-86.7142857143,2.2008862835,-1.7342857143
21,2017-06-05 00:00:00+00:00,60.06,60.325,59.47,60.26,5207135,48.8102353327,49.0255985089,48.3307475064,48.9727735789,5207135,0.0,1.0,37319413684.288,45647413684.288,-85.8,2.1776808927,-1.716
22,2017-06-06 00:00:00+00:00,61.65,61.8625,59.89,60.0,7530141,50.10241439,50.2751112766,48.6720778234,48.7614738589,7530141,0.0,1.0,38307390170.4355,46635390170.4355,-88.0714285714,2.2353317855,-1.7614285714
23,2017-06-07 00:00:00+00:00,60.13,61.45,59.67,60.76,9849252,49.4847690544,50.5710802993,49.1062060449,50.0032357849,9849252,0.76,1.0,37835149837.4342,46163149837.4342,-85.9,2.1802189824,-1.718
24,2017-06-08 00:00:00+00:00,58.61,59.79,58.07,59.44,10770051,48.2338651967,49.2049616126,47.789465142,48.9169245401,10770051,0.0,1.0,36878731614.3692,45206731614.3692,-83.7285714286,2.1251061792,-1.6745714286
25,2017-06-09 00:00:00+00:00,61.01,61.2,58.67,58.68,6229366,50.208976551,50.3653395332,48.2832429806,48.2914726112,6229366,0.0,1.0,38388865650.7877,46716865650.7877,-87.1571428571,2.2121263947,-1.7431428571
26,2017-06-12 00:00:00+00:00,60.85,62.16,60.73,61.5,5817412,50.0773024607,51.1553840749,49.978546893,50.6122284525,5817412,0.0,1.0,38288190048.3597,46616190048.3597,-86.9285714286,2.206325047,-1.7385714286
27,2017-06-13 00:00:00+00:00,61.0,61.41,60.46,60.86,4039575,50.2007469203,50.5381617767,49.7563468656,50.0855320913,4039575,0.0,1.0,38382573425.6359,46710573425.6359,-87.1428571429,2.2117638105,-1.7428571429
28,2017-06-14 00:00:00+00:00,60.12,60.88,59.53,60.83,4894157,49.4765394238,50.1019913526,48.9909912159,50.0608431994,4894157,0.0,1.0,37828857612.2824,46156857612.2824,-85.8857142857,2.1798563981,-1.7177142857
29,2017-06-15 00:00:00+00:00,59.4,60.21,58.905,59.8,3974491,48.8840060175,49.5506060996,48.4766393007,49.2131912432,3974491,0.0,1.0,37375817401.3569,45703817401.3569,-84.8571428571,2.1537503335,-1.6971428571
30,2017-06-16 00:00:00+00:00,61.83,61.91,59.53,59.74,6422791,50.8838062637,50.9496433088,48.9909912159,49.1638134594,6422791,0.0,1.0,38904828113.2306,47232828113.2306,-88.3285714286,2.2418583017,-1.7665714286
31,2017-06-19 00:00:00+00:00,62.03,62.115,61.32,61.68,6770050,51.0483988765,51.118350737,50.4640951009,50.760361804,6770050,0.0,1.0,39030672616.2654,47358672616.2654,-88.6142857143,2.2491099863,-1.7722857143
32,2017-06-20 00:00:00+00:00,60.77,61.0,59.67,60.88,4146688,50.0114654156,50.2007469203,49.1062060449,50.1019913526,4146688,0.0,1.0,38237852247.1458,46565852247.1458,-86.8142857143,2.2034243732,-1.7362857143
33,2017-06-21 00:00:00+00:00,59.88,61.27,59.63,60.38,4970972,49.2790282884,50.4229469477,49.0732875223,49.6905098205,4970972,0.0,1.0,37677844208.6406,46005844208.6406,-85.5428571429,2.1711543766,-1.7108571429
34,2017-06-22 00:00:00+00:00,60.21,61.03,59.665,60.01,3688212,49.5506060996,50.2254358123,49.1020912295,49.3860134867,3688212,0.0,1.0,37885487638.6481,46213487638.6481,-86.0142857143,2.1831196562,-1.7202857143
35,2017-06-23 00:00:00+00:00,60.12,60.59,59.71,60.23,4587844,49.4765394238,49.863332064,49.1391245674,49.5670653609,4587844,0.0,1.0,37828857612.2824,46156857612.2824,-85.8857142857,2.1798563981,-1.7177142857
36,2017-06-26 00:00:00+00:00,60.01,60.44,59.39,60.11,3687327,49.3860134867,49.7398876043,48.8757763869,49.4683097931,3687327,0.0,1.0,37759643135.6132,46087643135.6132,-85.7285714286,2.1758679716,-1.7145714286
37,2017-06-27 00:00:00+00:00,59.63,60.34,59.59,60.11,2975539,49.0732875223,49.6575912979,49.0403689997,49.4683097931,2975539,0.0,1.0,37520538579.847,45848538579.847,-85.1857142857,2.1620897708,-1.7037142857
38,2017-06-28 00:00:00+00:00,59.57,60.08,59.32,59.9,4520797,49.0239097384,49.4436209012,48.8181689724,49.2954875496,4520797,0.0,1.0,37482785228.9365,45810785228.9365,-85.1,2.1599142654,-1.702
39,2017-06-29 00:00:00+00:00,59.8,60.7,59.69,59.69,3955166,49.2131912432,49.9538580011,49.1226653061,49.1226653061,3955166,0.0,1.0,37627506407.4266,45955506407.4266,-85.4285714286,2.1682537027,-1.7085714286
