,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,112.96,113.0,111.81,112.17,3484034,103.2937248502,103.3303019482,102.2421332817,102.571327164,3484034,0.0,1.0,147555212276.689,176685212276.689,24.1884368308,13.7993768421,0.5528785561
1,2017-05-05 00:00:00+00:00,113.22,113.28,112.7375,113.04,3020999,103.5314759874,103.5863416344,103.0902647423,103.3668790462,3020999,0.0,1.0,147894840066.986,177024840066.986,24.244111349,13.8311388639,0.5541511165
2,2017-05-08 00:00:00+00:00,113.22,113.43,112.78,113.2,3097170,103.5314759874,103.7235057521,103.129127909,103.5131874384,3097170,0.0,1.0,147894840066.986,177024840066.986,24.244111349,13.8311388639,0.5541511165
3,2017-05-09 00:00:00+00:00,112.72,113.41,112.55,113.24,2703041,103.074262262,103.7052172031,102.9188095953,103.5497645364,2703041,0.0,1.0,147241709701.031,176371709701.031,24.1370449679,13.7700580528,0.551703885
4,2017-05-10 00:00:00+00:00,112.84,112.87,112.48,112.7,2160101,103.1839935561,103.2114263796,102.8547996737,103.0559737129,2160101,0.0,1.0,147398460988.86,176528460988.86,24.1627408994,13.7847174475,0.5522912206
5,2017-05-11 00:00:00+00:00,113.04,113.09,112.53,112.64,2257363,103.3668790462,103.4126004188,102.9005210463,103.0011080659,2257363,0.0,1.0,147659713135.243,176789713135.243,24.2055674518,13.8091497719,0.5532701132
6,2017-05-12 00:00:00+00:00,112.91,113.3,112.72,112.93,2333333,103.2480034776,103.6046301835,103.074262262,103.2662920266,2333333,0.0,1.0,147489899240.094,176619899240.094,24.1777301927,13.793268761,0.552633833
7,2017-05-15 00:00:00+00:00,113.94,114.0,112.77,112.9,3247198,104.189863752,104.2447293991,103.1199836345,103.2388592031,3247198,0.0,1.0,148835347793.962,177965347793.962,24.3982869379,13.9190952319,0.55767513
8,2017-05-16 00:00:00+00:00,113.79,114.66,113.59,114.06,2439971,104.0526996344,104.8482515166,103.8698141442,104.2995950461,2439971,0.0,1.0,148639408684.176,177769408684.176,24.3661670236,13.9007709886,0.5569409605
9,2017-05-17 00:00:00+00:00,113.74,114.29,113.32,113.46,2988288,104.0069782618,104.5099133598,103.6229187325,103.7509385756,2988288,0.0,1.0,148574095647.58,177704095647.58,24.3554603854,13.8946629074,0.5566962374
10,2017-05-18 00:00:00+00:00,114.03,114.28,113.288,113.78,3419854,104.2721622226,104.5007690853,103.5936570541,104.0435553599,3419854,0.0,1.0,148952911259.834,178082911259.834,24.4175588865,13.9300897779,0.5581156317
11,2017-05-19 00:00:00+00:00,113.69,114.5,113.455,114.17,5738276,103.9612568893,104.7019431245,103.7463664383,104.4001820657,5738276,0.0,1.0,148508782610.985,177638782610.985,24.3447537473,13.8885548263,0.5564515142
