,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,84.45,84.58,83.84,84.11,728943,76.3246795436,76.4421716495,75.7733704315,76.0173924975,728943,0.0,1.0,8604706471.80253,13207865471.8025,20.3985507246,1.8934335236,0.0479965899
1,2017-05-05 00:00:00+00:00,84.87,85.35,84.45,84.85,766721,76.7042694241,77.1380864304,76.3246795436,76.6861937155,766721,0.0,1.0,8647500749.10457,13250659749.1046,20.5,1.9028502445,0.0482352941
2,2017-05-08 00:00:00+00:00,84.91,85.09,84.1899,84.99,512244,76.7404208413,76.9031022187,76.0896049534,76.8127236757,512244,0.0,1.0,8651576394.56191,13254735394.5619,20.5096618357,1.903747075,0.0482580278
3,2017-05-09 00:00:00+00:00,84.14,84.79,83.96,84.79,568845,76.0445060604,76.6319665898,75.8818246831,76.6319665898,568845,0.0,1.0,8573120219.50818,13176279219.5082,20.3236714976,1.8864830867,0.0478204035
4,2017-05-10 00:00:00+00:00,84.19,84.36,83.77,84.11,665200,76.0896953319,76.243338855,75.7101054514,76.0173924975,665200,0.0,1.0,8578214776.32984,13181373776.3298,20.3357487923,1.8876041249,0.0478488207
5,2017-05-11 00:00:00+00:00,84.29,84.29,83.625,84.05,661622,76.1800738749,76.1800738749,75.5790565641,75.9631653717,661622,0.0,1.0,8588403889.97319,13191562889.9732,20.3599033816,1.8898462013,0.047905655
6,2017-05-12 00:00:00+00:00,84.76,84.84,84.35,84.42,687842,76.6048530269,76.6771558612,76.2343010007,76.2975659807,687842,0.0,1.0,8636292724.09689,13239451724.0969,20.4734299517,1.9003839604,0.0481727764
7,2017-05-15 00:00:00+00:00,84.52,85.28,84.46,84.62,863832,76.3879445237,77.0748214503,76.3337173979,76.4783230667,863832,0.0,1.0,8611838851.35287,13214997851.3529,20.4154589372,1.8950029771,0.048036374
8,2017-05-16 00:00:00+00:00,83.89,84.88,83.78,84.53,700188,75.818559703,76.7133072784,75.7191433057,76.396982378,700188,0.0,1.0,8547647435.39982,13150806435.3998,20.2632850242,1.8808778957,0.0476783177
9,2017-05-17 00:00:00+00:00,84.1,84.41,83.7,83.89,696891,76.0083546432,76.2885281264,75.6468404713,75.818559703,696891,0.0,1.0,8569044574.05083,13172203574.0508,20.3140096618,1.8855862562,0.0477976698
10,2017-05-18 00:00:00+00:00,84.61,84.7699,83.52,84.38,1121598,76.4692852124,76.6138005026,75.484159094,76.2614145636,1121598,0.0,1.0,8621009053.63188,13224168053.6319,20.4371980676,1.8970208458,0.0480875249
11,2017-05-19 00:00:00+00:00,84.57,84.82,83.93,84.64,868071,76.4331337952,76.6590801526,75.8547111202,76.4963987753,868071,0.0,1.0,8616933408.17454,13220092408.1745,20.4275362319,1.8961240153,0.0480647911
12,2017-05-22 00:00:00+00:00,85.15,85.39,84.05,84.41,710888,76.9573293445,77.1742378476,75.9631653717,76.2885281264,710888,0.0,1.0,8676030267.30593,13279189267.3059,20.5676328502,1.9091280584,0.0483944302
13,2017-05-23 00:00:00+00:00,85.78,86.37,85.0,85.3,585180,77.5267141652,78.0599475688,76.82176153,77.0928971589,585180,0.0,1.0,8740221683.25899,13343380683.259,20.7198067633,1.9232531398,0.0487524865
14,2017-05-24 00:00:00+00:00,86.44,86.63,85.83,85.83,669136,78.1232125489,78.2949317805,77.5719034367,77.5719034367,669136,0.0,1.0,8807469833.30505,13410628833.305,20.8792270531,1.938050844,0.0491275931
15,2017-05-25 00:00:00+00:00,87.46,87.62,86.24,86.55,720631,79.0450736872,79.189679356,77.9424554629,78.2226289461,720631,0.0,1.0,8911398792.46714,13514557792.4671,21.1256038647,1.9609200233,0.0497073032
16,2017-05-26 00:00:00+00:00,87.4,87.8,87.2417,87.42,523289,78.9908465614,79.3523607333,78.8477773279,79.00892227,523289,0.0,1.0,8905285324.28113,13508444324.2811,21.1111111111,1.9595747775,0.0496732026
17,2017-05-30 00:00:00+00:00,87.72,87.78,87.23,87.4,758967,79.280057899,79.3342850248,78.8372030384,78.9908465614,758967,0.0,1.0,8937890487.93983,13541049487.9398,21.1884057971,1.966749422,0.0498550725
18,2017-05-31 00:00:00+00:00,88.35,88.65,87.83,87.88,900431,79.8494427197,80.1205783486,79.3794742962,79.4246635677,900431,0.0,1.0,9002081903.89288,13605240903.8929,21.3405797101,1.9808745033,0.0502131287
19,2017-06-01 00:00:00+00:00,89.03,89.05,87.91,88.3,599389,80.464016812,80.4820925206,79.4517771306,79.8042534482,599389,0.0,1.0,9071367876.66761,13674526876.6676,21.5048309179,1.9961206229,0.0505996022
20,2017-06-02 00:00:00+00:00,89.22,89.56,88.85,89.56,341246,80.6357360436,80.9430230897,80.3013354346,80.9430230897,341246,0.0,1.0,9090727192.58996,13693886192.59,21.5507246377,2.0003805681,0.0507075874
