,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,14.27,14.55,14.23,14.49,21097547,13.0091198626,13.2643793974,12.9726542148,13.2096809257,21097547,0.0,1.0,15679354802.7074,17315354802.7074,15.8555555556,1.0285277807,0.7927777778
1,2017-05-05 00:00:00+00:00,14.28,14.34,14.19,14.3,11098308,13.0182362746,13.0729347463,12.936188567,13.0364690985,11098308,0.0,1.0,15648741153.3367,17284741153.3367,15.8666666667,1.029248543,0.7933333333
2,2017-05-08 00:00:00+00:00,14.35,14.435,14.17,14.22,11614670,13.0820511583,13.1595406599,12.9179557431,12.9635378028,11614670,0.0,1.0,15725450668.7942,17361450668.7942,15.9444444444,1.034293879,0.7972222222
3,2017-05-09 00:00:00+00:00,14.21,14.51,14.15,14.37,11250693,12.9544213909,13.2279137496,12.8997229191,13.1002839822,11250693,0.0,1.0,15572031637.8792,17208031637.8792,15.7888888889,1.024203207,0.7894444444
4,2017-05-10 00:00:00+00:00,14.35,14.37,14.09,14.16,16698460,13.0820511583,13.1002839822,12.8450244474,12.9088393311,16698460,0.0,1.0,15725450668.7942,17361450668.7942,15.9444444444,1.034293879,0.7972222222
5,2017-05-11 00:00:00+00:00,14.18,14.41,14.11,14.28,13357645,12.927072155,13.13674963,12.8632572713,13.0182362746,13357645,0.0,1.0,15539156131.2545,17175156131.2545,15.7555555556,1.0220409201,0.7877777778
6,2017-05-12 00:00:00+00:00,14.13,14.14,13.89,14.05,13125148,12.8814900952,12.8906065072,12.6626962083,12.8085587996,13125148,0.0,1.0,15484363620.2135,17120363620.2135,15.7,1.0184371087,0.785
7,2017-05-15 00:00:00+00:00,14.34,14.34,14.19,14.19,10277284,13.0729347463,13.0729347463,12.936188567,12.936188567,10277284,0.0,1.0,15714492166.5861,17350492166.5861,15.9333333333,1.0335731167,0.7966666667
8,2017-05-16 00:00:00+00:00,14.54,14.61,14.3,14.35,17242707,13.2552629855,13.3190778692,13.0364690985,13.0820511583,17242707,0.0,1.0,15933662210.7505,17569662210.7505,16.1555555556,1.0479883624,0.8077777778
9,2017-05-17 00:00:00+00:00,13.97,14.27,13.85,14.17,39878505,12.7356275039,13.0091198626,12.6262305604,12.9179557431,39878505,0.0,1.0,15309027584.8819,16945027584.8819,15.5222222222,1.0069049122,0.7761111111
