,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,40.16,40.82,39.87,40.64,5618521,38.8012026854,39.438871853,38.5210147178,39.26496208,5618521,0.0,1.0,51798412758.3951,24960412758.3951,28.2816901408,3.1570112708,0.9427230047
1,2017-05-05 00:00:00+00:00,40.13,40.3,39.82,40.25,5249112,38.7722177232,38.9364658421,38.4727064475,38.8881575719,5249112,0.0,1.0,51759718724.9601,24921718724.9601,28.2605633803,3.1546529457,0.9420187793
2,2017-05-08 00:00:00+00:00,40.41,40.42,39.905,40.16,5508149,39.0427440367,39.0524056908,38.554830507,38.8012026854,5508149,0.0,1.0,52205336152.275,25367336152.275,28.4577464789,3.1766639804,0.9485915493
3,2017-05-09 00:00:00+00:00,40.5,40.81,40.35,40.44,5810527,39.1296989232,39.429210199,38.9847741124,39.0717289989,5810527,0.0,1.0,52321606388.6943,25483606388.6943,28.5211267606,3.1837389559,0.9507042254
4,2017-05-10 00:00:00+00:00,40.15,40.33,39.875,40.24,6333963,38.8688342638,39.0430905568,38.6026093715,38.9559624103,6333963,0.08,1.0,51972795679.4363,25134795679.4363,28.2746478873,3.1562251624,0.9424882629
5,2017-05-11 00:00:00+00:00,40.02,40.14,39.5901,39.89,7973917,38.7429824965,38.8591533586,38.3268003832,38.6171307293,7973917,0.0,1.0,51804515145.4805,24966515145.4805,28.1830985915,3.1460057535,0.9394366197
6,2017-05-12 00:00:00+00:00,39.61,39.89,39.25,39.78,5409431,38.3460653845,38.6171307293,37.9975527983,38.5106407724,5409431,0.0,1.0,51273784230.6966,24435784230.6966,27.8943661972,3.1137753097,0.9298122066
7,2017-05-15 00:00:00+00:00,40.54,40.57,39.72,39.72,6190001,39.2463895654,39.275432281,38.4525553414,38.4525553414,6190001,0.0,1.0,52477637281.3039,25639637281.3039,28.5492957746,3.1868833894,0.9516431925
8,2017-05-16 00:00:00+00:00,40.67,40.74,40.18,40.69,5694824,39.3722413327,39.4400076689,38.8978769793,39.391603143,5694824,0.0,1.0,52645917815.2597,25807917815.2597,28.6408450704,3.1971027984,0.9546948357
9,2017-05-17 00:00:00+00:00,38.12,39.83,37.725,39.79,13051301,36.9036105139,38.5590452983,36.5212147597,38.5203216776,13051301,0.0,1.0,49345030418.4337,22507030418.4337,26.8450704225,2.9966451605,0.8948356808
10,2017-05-18 00:00:00+00:00,38.33,38.64,37.86,38.49,8584708,37.1069095225,37.4070175829,36.6519069795,37.2618040053,8584708,0.0,1.0,49616868204.0546,22778868204.0546,26.9929577465,3.0131534365,0.8997652582
11,2017-05-19 00:00:00+00:00,38.26,38.71,38.21,38.46,8642057,37.0391431863,37.4747839191,36.9907386605,37.2327612898,8642057,0.0,1.0,49526255608.8477,22688255608.8477,26.9436619718,3.0076506778,0.8981220657
12,2017-05-22 00:00:00+00:00,38.52,38.7,38.13,38.7,5754788,37.2908467208,37.4651030139,36.9132914191,37.4651030139,5754788,0.0,1.0,49862816676.7594,23024816676.7594,27.1267605634,3.0280894958,0.9042253521
13,2017-05-23 00:00:00+00:00,38.87,39.125,38.1803,38.5,4586269,37.6296784018,37.8765414837,36.9619863721,37.2714849105,4586269,0.0,1.0,50315879652.7943,23477879652.7943,27.3732394366,3.0556032893,0.9124413146
14,2017-05-24 00:00:00+00:00,39.01,39.22,38.81,39.03,5462966,37.7652110742,37.9685100828,37.5715929708,37.7845728845,5462966,0.0,1.0,50497104843.2082,23659104843.2082,27.4718309859,3.0666088067,0.9157276995
15,2017-05-25 00:00:00+00:00,39.41,39.51,39.07,39.27,4565824,38.1524472811,38.2492563328,37.8232965052,38.0169146087,4565824,0.0,1.0,51014891101.5338,24176891101.5338,27.7535211268,3.098053142,0.9251173709
16,2017-05-26 00:00:00+00:00,39.52,39.63,39.12,39.3,4280872,38.2589372379,38.3654271948,37.8717010311,38.0459573242,4280872,0.0,1.0,51157282322.5734,24319282322.5734,27.8309859155,3.1067003342,0.9276995305
17,2017-05-30 00:00:00+00:00,38.66,39.34,38.62,39.3,7091691,37.4263793932,38.0846809449,37.3876557725,38.0459573242,7091691,0.0,1.0,50044041867.1733,23206041867.1733,27.2253521127,3.0390950132,0.9075117371
18,2017-05-31 00:00:00+00:00,38.75,38.895,37.63,38.65,12231802,37.5135075397,37.6538806647,36.4292461605,37.416698488,12231802,0.0,1.0,50160543775.2965,23322543775.2965,27.2887323944,3.0461699887,0.9096244131
19,2017-06-01 00:00:00+00:00,39.7,39.71,38.65,39.09,8066764,38.433193531,38.4428744362,37.416698488,37.8426583156,8066764,0.0,1.0,51390286138.82,24552286138.82,27.9577464789,3.1208502852,0.9319248826
20,2017-06-02 00:00:00+00:00,38.95,39.39,38.69,39.19,8765845,37.7071256432,38.1330854707,37.4554221087,37.9394673673,8765845,0.0,1.0,50419436904.4593,23581436904.4593,27.4295774648,3.0618921563,0.9143192488
21,2017-06-05 00:00:00+00:00,39.1,39.4,38.97,39.0,5950283,37.8523392207,38.1427663759,37.7264874535,37.755530169,5950283,0.0,1.0,50613606751.3315,23775606751.3315,27.5352112676,3.0736837821,0.9178403756
22,2017-06-06 00:00:00+00:00,38.72,38.89,38.33,38.7,7367734,37.4844648242,37.6490402121,37.1069095225,37.4651030139,7367734,0.0,1.0,50121709805.9222,23283709805.9222,27.2676056338,3.0438116635,0.9089201878
23,2017-06-07 00:00:00+00:00,38.87,39.27,38.64,38.75,5792315,37.6296784018,38.0169146087,37.4070175829,37.5135075397,5792315,0.0,1.0,50315879652.7943,23477879652.7943,27.3732394366,3.0556032893,0.9124413146
24,2017-06-08 00:00:00+00:00,39.76,40.01,38.78,38.95,8569611,38.4912789621,38.7333015914,37.5425502553,37.7071256432,8569611,0.0,1.0,51467954077.5688,24629954077.5688,28.0,3.1255669355,0.9333333333
25,2017-06-09 00:00:00+00:00,41.29,41.325,39.96,40.18,11590675,39.9724574533,40.0063406214,38.6848970655,38.8978769793,11590675,0.0,1.0,53448486515.6644,26610486515.6644,29.0774647887,3.2458415182,0.9692488263
26,2017-06-12 00:00:00+00:00,41.88,41.92,41.305,41.37,8075850,40.5436308584,40.5823544791,39.9869788111,40.0499046947,8075850,0.0,1.0,54212221246.6948,27374221246.6948,29.4929577465,3.2922219129,0.9830985915
27,2017-06-13 00:00:00+00:00,42.05,42.35,41.8801,41.99,6808000,40.7082062463,40.9986334015,40.5437276675,40.6501208153,6808000,0.0,1.0,54432280406.4831,27594280406.4831,29.6126760563,3.3055857554,0.9870892019
28,2017-06-14 00:00:00+00:00,42.3,42.33,41.11,41.5,9051552,40.9502288756,40.9792715912,39.7982011602,40.1757564619,9051552,0.0,1.0,54755896817.9367,27917896817.9367,29.7887323944,3.325238465,0.9929577465
29,2017-06-15 00:00:00+00:00,42.12,42.6,41.75,41.99,6688989,40.7759725825,41.2406560308,40.4177790912,40.6501208153,6688989,0.0,1.0,54522893001.6902,27684893001.6902,29.661971831,3.3110885141,0.9887323944
30,2017-06-16 00:00:00+00:00,41.92,42.35,41.84,42.24,8834441,40.5823544791,40.9986334015,40.5049072377,40.8921434446,8834441,0.0,1.0,54263999872.5273,27425999872.5273,29.5211267606,3.2953663464,0.9840375587
31,2017-06-19 00:00:00+00:00,42.46,42.61,42.14,42.22,4845506,41.1051233584,41.250336936,40.7953343929,40.8727816343,4845506,0.0,1.0,54963011321.2669,28125011321.2669,29.9014084507,3.3378161992,0.996713615
32,2017-06-20 00:00:00+00:00,42.14,42.415,42.0,42.33,6051712,40.7953343929,41.0615592851,40.6598017205,40.9792715912,6051712,0.0,1.0,54548782314.6064,27710782314.6064,29.676056338,3.3126607309,0.9892018779
33,2017-06-21 00:00:00+00:00,41.75,42.2,41.6,42.2,6362159,40.4177790912,40.8534198239,40.2725655136,40.8534198239,6362159,0.0,1.0,54043940712.7389,27205940712.7389,29.4014084507,3.2820025039,0.9800469484
34,2017-06-22 00:00:00+00:00,41.63,41.84,41.43,41.62,5801800,40.3016082291,40.5049072377,40.1079901257,40.291927324,5801800,0.0,1.0,53888604835.2412,27050604835.2412,29.3169014085,3.2725692033,0.9772300469
