,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,28.67,28.98,28.54,28.79,9812918,26.5488940169,26.8359591423,26.4285118675,26.6600160009,9812918,0.13,1.0,21787417005.3643,30589417005.3643,10.9011406844,1.6184121004,-0.8478664977
1,2017-05-05 00:00:00+00:00,28.61,29.25,28.42,28.84,10074652,26.4933330249,27.0859836063,26.3173898835,26.7063168276,10074652,0.0,1.0,21741820736.7797,30543820736.7797,10.8783269962,1.61502512,-0.8460920997
2,2017-05-08 00:00:00+00:00,28.38,28.7,28.35,28.58,8024962,26.2803492221,26.5766745129,26.2525687261,26.4655525289,8024962,0.0,1.0,21567035040.5386,30369035040.5386,10.7908745247,1.6020416954,-0.8392902408
3,2017-05-09 00:00:00+00:00,28.1,28.53,28.02,28.44,8661307,26.0210645927,26.4192517022,25.9469832701,26.3359102142,8661307,0.0,1.0,21354252453.8102,30156252453.8102,10.6844106464,1.5862357872,-0.8310097169
4,2017-05-10 00:00:00+00:00,27.76,28.12,27.68,28.01,11016654,25.7062189713,26.0395849234,25.6321376487,25.9377231047,11016654,0.0,1.0,21095873598.4971,29897873598.4971,10.5551330798,1.5670428987,-0.8209547951
5,2017-05-11 00:00:00+00:00,26.93,27.68,26.6,27.67,14143858,24.9376252485,25.6321376487,24.6320397924,25.6228774833,14143858,0.0,1.0,20465125216.4095,29267125216.4095,10.2395437262,1.5201896708,-0.7964089565
6,2017-05-12 00:00:00+00:00,26.59,26.8253,26.01,26.81,23117623,24.6227796271,24.8406713174,24.0856900376,24.8265032645,23117623,0.0,1.0,20206746361.0965,29008746361.0965,10.1102661597,1.5009967823,-0.7863540346
7,2017-05-15 00:00:00+00:00,27.11,27.395,26.52,26.77,14541211,25.1043082245,25.3682229366,24.5579584697,24.7894626031,14541211,0.0,1.0,20601914022.1634,29403914022.1634,10.3079847909,1.5303506118,-0.8017321504
8,2017-05-16 00:00:00+00:00,26.84,27.24,26.79,27.22,11189651,24.8542837605,25.2246903739,24.8079829338,25.2061700432,11189651,0.0,1.0,20396730813.5325,29198730813.5325,10.2053231939,1.5151092003,-0.7937473595
9,2017-05-17 00:00:00+00:00,26.5,26.68,26.145,26.2,11756236,24.5394381391,24.7061211151,24.2107022697,24.261633179,11756236,0.0,1.0,20138351958.2195,28940351958.2195,10.0760456274,1.4959163118,-0.7836924377
10,2017-05-18 00:00:00+00:00,26.5,26.775,26.41,26.43,7947742,24.5394381391,24.7940926858,24.456096651,24.4746169817,7947742,0.0,1.0,20138351958.2195,28940351958.2195,10.0760456274,1.4959163118,-0.7836924377
11,2017-05-19 00:00:00+00:00,26.84,27.82,26.805,27.76,13462704,24.8542837605,25.7617799634,24.8218731818,25.7062189713,13462704,0.0,1.0,20396730813.5325,29198730813.5325,10.2053231939,1.5151092003,-0.7937473595
12,2017-05-22 00:00:00+00:00,26.91,27.03,26.66,27.01,9221621,24.9191049178,25.0302269018,24.6876007844,25.0117065712,9221621,0.0,1.0,20449926460.2147,29251926460.2147,10.2319391635,1.5190606774,-0.7958174905
13,2017-05-23 00:00:00+00:00,26.84,27.01,26.68,27.01,6534515,24.8542837605,25.0117065712,24.7061211151,25.0117065712,6534515,0.0,1.0,20396730813.5325,29198730813.5325,10.2053231939,1.5151092003,-0.7937473595
14,2017-05-24 00:00:00+00:00,26.8,27.01,26.7,26.82,9157277,24.8172430991,25.0117065712,24.7246414458,24.8357634298,9157277,0.0,1.0,20366333301.1428,29168333301.1428,10.1901140684,1.5128512135,-0.7925644275
15,2017-05-25 00:00:00+00:00,27.23,27.41,26.72,26.97,12798759,25.2154302086,25.3821131846,24.7431617764,24.9746659098,12798759,0.0,1.0,20693106559.3328,29495106559.3328,10.3536121673,1.5371245725,-0.8052809463
16,2017-05-26 00:00:00+00:00,27.37,27.65,27.07,27.15,11403208,25.3450725233,25.6043571526,25.0672675632,25.1413488859,11403208,0.0,1.0,20799497852.6969,29601497852.6969,10.4068441065,1.5450275266,-0.8094212083
17,2017-05-30 00:00:00+00:00,27.1,27.46,27.005,27.31,9627645,25.0950480592,25.4284140113,25.0070764885,25.2895115312,9627645,0.0,1.0,20594314644.066,29396314644.066,10.3041825095,1.5297861151,-0.8014364174
18,2017-05-31 00:00:00+00:00,26.85,27.2,26.34,27.1,9142838,24.8635439258,25.1876497126,24.3912754937,25.0950480592,9142838,0.0,1.0,20404330191.63,29206330191.63,10.2091254753,1.5156736971,-0.7940430925
19,2017-06-01 00:00:00+00:00,27.22,27.47,26.84,26.99,8651407,25.2061700432,25.4376741766,24.8542837605,24.9931862405,8651407,0.0,1.0,20685507181.2353,29487507181.2353,10.3498098859,1.5365600758,-0.8049852134
20,2017-06-02 00:00:00+00:00,27.4,27.67,26.98,26.98,12363311,25.3728530193,25.6228774833,24.9839260752,24.9839260752,12363311,0.0,1.0,20822295986.9893,29624295986.9893,10.4182509506,1.5467210167,-0.8103084073
21,2017-06-05 00:00:00+00:00,27.96,28.0657,27.1,27.35,10972351,25.891422278,25.9893022256,25.0950480592,25.3265521926,10972351,0.0,1.0,21247861160.446,30049861160.446,10.6311787072,1.5783328331,-0.826869455
22,2017-06-06 00:00:00+00:00,28.29,28.445,27.51,27.72,14200544,26.1970077341,26.3405402968,25.474714838,25.66917831,14200544,0.0,1.0,21498640637.6616,30300640637.6616,10.7566539924,1.5969612249,-0.8366286439
23,2017-06-07 00:00:00+00:00,28.87,29.185,28.415,28.46,16055452,26.7340973236,27.0257925316,26.3127598008,26.3544305448,16055452,0.0,1.0,21939404567.3132,30741404567.3132,10.9771863118,1.6297020348,-0.8537811576
24,2017-06-08 00:00:00+00:00,28.67,29.24,28.63,28.83,8528476,26.5488940169,27.076723441,26.5118533555,26.6970566622,8528476,0.0,1.0,21787417005.3643,30589417005.3643,10.9011406844,1.6184121004,-0.8478664977
25,2017-06-09 00:00:00+00:00,28.7,28.98,28.52,28.93,7848042,26.5766745129,26.8359591423,26.4099915368,26.7896583156,7848042,0.0,1.0,21810215139.6566,30612215139.6566,10.9125475285,1.6201055905,-0.8487536967
26,2017-06-12 00:00:00+00:00,28.76,29.0,28.43,28.71,5664745,26.6322355049,26.8544794729,26.3266500488,26.5859346782,5664745,0.0,1.0,21855811408.2413,30657811408.2413,10.9353612167,1.6234925709,-0.8505280946
27,2017-06-13 00:00:00+00:00,28.99,29.085,28.43,28.83,5308227,26.8452193076,26.9331908783,26.3266500488,26.6970566622,5308227,0.0,1.0,22030597104.4825,30832597104.4825,11.0228136882,1.6364759954,-0.8573299535
28,2017-06-14 00:00:00+00:00,29.23,29.32,28.62,28.8,10161751,27.0674632757,27.1508047637,26.5025931902,26.6692761662,10161751,0.0,1.0,22212982178.821,31014982178.821,11.1140684411,1.6500239168,-0.8644275454
29,2017-06-15 00:00:00+00:00,29.47,29.66,28.97,28.98,8636164,27.2897072437,27.4656503851,26.8266989769,26.8359591423,8636164,0.0,1.0,22395367253.1596,31197367253.1596,11.2053231939,1.6635718381,-0.8715251373
30,2017-06-16 00:00:00+00:00,29.33,29.46,29.07,29.46,6826129,27.160064929,27.2804470784,26.9193006303,27.2804470784,6826129,0.0,1.0,22288975959.7955,31090975959.7955,11.1520912548,1.655668884,-0.8673848754
31,2017-06-19 00:00:00+00:00,29.42,29.47,29.1244,29.47,6865840,27.243406417,27.2897072437,26.9696759297,27.2897072437,6865840,0.0,1.0,22357370362.6725,31159370362.6725,11.1863117871,1.6607493545,-0.8700464723
32,2017-06-20 00:00:00+00:00,29.44,29.775,29.33,29.4,5686002,27.2619267477,27.5721422864,27.160064929,27.2248860864,5686002,0.0,1.0,22372569118.8673,31174569118.8673,11.1939163498,1.6618783479,-0.8706379383
33,2017-06-21 00:00:00+00:00,29.7,29.79,29.201,29.45,7813186,27.5026910464,27.5860325344,27.0406087962,27.271186913,7813186,0.0,1.0,22570152949.4008,31372152949.4008,11.2927756654,1.6765552627,-0.8783269962
34,2017-06-22 00:00:00+00:00,29.3,29.76,29.16,29.57,6379024,27.132284433,27.5582520384,27.0026421183,27.3823088971,6379024,0.0,1.0,22266177825.5031,31068177825.5031,11.1406844106,1.6539753938,-0.8664976764
35,2017-06-23 00:00:00+00:00,28.97,29.52,28.84,29.49,7454294,26.8266989769,27.3360080704,26.7063168276,27.3082275744,7454294,0.0,1.0,22015398348.2875,30817398348.2875,11.0152091255,1.635347002,-0.8567384875
36,2017-06-26 00:00:00+00:00,29.68,29.72,29.04,29.04,7016728,27.4841707158,27.5212113771,26.8915201343,26.8915201343,7016728,0.0,1.0,22554954193.2059,31356954193.2059,11.2851711027,1.6754262692,-0.8777355302
