,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,134.98,135.65,134.79,135.64,1038367,130.3664013689,131.0135008571,130.1828955439,131.0038426558,1038367,0.0,1.0,48726401657.9196,52732401657.9196,29.8628318584,5.1866356826,2.9319871279
1,2017-05-05 00:00:00+00:00,135.96,136.0,134.77,135.43,706245,131.3129050979,131.3515379032,130.1635791413,130.8010204282,706245,0.0,1.0,49080171650.6944,53086171650.6944,30.0796460177,5.2242923945,2.9532743363
2,2017-05-08 00:00:00+00:00,134.85,136.0,134.6,135.79,747589,130.2408447518,131.3515379032,129.9993897189,131.1487156756,747589,0.0,1.0,48679472985.4084,52685472985.4084,29.8340707965,5.1816404045,2.9291633146
3,2017-05-09 00:00:00+00:00,134.87,135.46,134.495,134.81,926346,130.2601611545,130.8299950321,129.8979786051,130.2022119466,926346,0.0,1.0,48686692781.1794,52692692781.1794,29.8384955752,5.1824089088,2.9295977474
4,2017-05-10 00:00:00+00:00,134.04,134.66,133.51,134.59,1653325,129.4585304452,130.0573389268,128.9466457754,129.9897315176,1653325,0.0,1.0,48387071256.6864,52393071256.6864,29.6548672566,5.1505159794,2.9115687852
5,2017-05-11 00:00:00+00:00,134.84,135.08,133.33,133.89,818698,130.2311865505,130.4629833821,128.7727981517,129.3136574254,818698,0.0,1.0,48675863087.5231,52681863087.5231,29.8318584071,5.1812561523,2.9289460981
6,2017-05-12 00:00:00+00:00,134.82,135.113,134.33,134.63,643972,130.2118701479,130.4948554464,129.7386182834,130.0283643229,643972,0.0,1.0,48668643291.7521,52674643291.7521,29.8274336283,5.180487648,2.9285116653
7,2017-05-15 00:00:00+00:00,136.03,136.16,134.17,134.81,750534,131.3805125072,131.5060691243,129.5840870623,130.2022119466,750534,0.0,1.0,49105440935.8926,53111440935.8926,30.0951327434,5.2269821596,2.9547948512
8,2017-05-16 00:00:00+00:00,134.77,136.69,134.36,135.82,1108636,130.1635791413,132.017953794,129.7675928873,131.1776902795,1108636,0.0,1.0,48650593802.3248,52656593802.3248,29.8163716814,5.1785663872,2.9274255833
9,2017-05-17 00:00:00+00:00,133.54,134.99,133.48,134.06,934544,128.9756203794,130.3760595703,128.9176711715,129.4778468478,934544,0.0,1.0,48206576362.4133,52212576362.4133,29.5442477876,5.1313033713,2.9007079646
10,2017-05-18 00:00:00+00:00,134.84,135.63,132.44,133.54,980478,130.2311865505,130.9941844545,127.9132182346,128.9756203794,980478,0.0,1.0,48675863087.5231,52681863087.5231,29.8318584071,5.1812561523,2.9289460981
11,2017-05-19 00:00:00+00:00,136.81,136.83,134.79,135.1,1331024,132.1338522098,132.1531686125,130.1828955439,130.4822997847,1331024,0.0,1.0,49387012970.9583,53393012970.9583,30.267699115,5.2569538283,2.9717377313
12,2017-05-22 00:00:00+00:00,138.64,139.21,136.82,136.82,1474972,133.9013030507,134.4518205258,132.1435104112,132.1435104112,1474972,0.0,1.0,50047624283.9974,54053624283.9974,30.6725663717,5.3272719739,3.0114883347
13,2017-05-23 00:00:00+00:00,139.9,140.3,138.64,138.7,1436876,135.1182364166,135.5045644693,133.9013030507,133.9592522586,1436876,0.0,1.0,50502471417.5652,54508471417.5652,30.9513274336,5.3756877463,3.0388576026
14,2017-05-24 00:00:00+00:00,139.99,140.34,139.83,139.96,1121358,135.2051602285,135.5431972745,135.0506290074,135.1761856245,1121358,0.0,1.0,50534960498.5341,54540960498.5341,30.9712389381,5.3791460158,3.0408125503
15,2017-05-25 00:00:00+00:00,140.85,141.205,139.77,140.26,1201834,136.0357655417,136.3786316884,134.9926797995,135.465931664,1201834,0.0,1.0,50845411716.6837,54851411716.6837,31.1615044248,5.4121917017,3.0594931617
16,2017-05-26 00:00:00+00:00,141.27,141.59,140.3955,140.97,826549,136.441409997,136.7504724391,135.5968002918,136.1516639575,826549,0.0,1.0,50997027427.8729,55003027427.8729,31.2544247788,5.4283302925,3.068616251
17,2017-05-30 00:00:00+00:00,141.98,142.05,140.85,140.99,779124,137.1271422904,137.1947496996,136.0357655417,136.1709803601,779124,0.0,1.0,51253330177.7403,55259330177.7403,31.4115044248,5.455612196,3.0840386163
18,2017-05-31 00:00:00+00:00,142.96,143.2,141.97,142.56,1634345,138.0736460194,138.305442851,137.1174840891,137.6873179668,1634345,0.0,1.0,51607100170.5155,55613100170.5155,31.6283185841,5.4932689079,3.1053258246
19,2017-06-01 00:00:00+00:00,144.7,144.7,142.44,142.8,969331,139.7541730485,139.7541730485,137.571419551,137.9191147984,969331,0.0,1.0,52235222402.5853,56241222402.5853,32.0132743363,5.5601287841,3.1431214803
20,2017-06-02 00:00:00+00:00,144.48,145.62,144.05,145.26,1469622,139.5416926195,140.6427275696,139.1263899629,140.2950323222,1469622,0.0,1.0,52155804649.1049,56161804649.1049,31.9646017699,5.5516752365,3.1383427192
21,2017-06-05 00:00:00+00:00,144.22,144.79,143.77,144.7,1076738,139.2905793853,139.8410968603,138.8559603261,139.7541730485,1076738,0.0,1.0,52061947304.0832,56067947304.0832,31.907079646,5.5416846803,3.1326950925
22,2017-06-06 00:00:00+00:00,144.05,144.66,143.75,143.75,776053,139.1263899629,139.7155402432,138.8366439234,138.8366439234,776053,0.0,1.0,52000579040.0305,56006579040.0305,31.8694690265,5.5351523935,3.1290024135
