,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,75.65,75.81,75.18,75.28,1106220,71.2856643539,71.4364337696,70.8427791953,70.9370100801,1106220,0.0,1.0,25308357443.2772,28487357443.2772,12.8875638842,3.0707081215,1.340306644
1,2017-05-05 00:00:00+00:00,75.45,76.85,75.125,75.95,1158106,71.0972025843,72.4164349716,70.7909522087,71.5683570083,1158106,0.0,1.0,25241448368.7411,28420448368.7411,12.8534923339,3.0625899242,1.3367632027
2,2017-05-08 00:00:00+00:00,75.82,75.87,75.2,75.27,951636,71.4458568581,71.4929723005,70.8616253723,70.9275869917,951636,0.0,1.0,25365230156.6329,28544230156.6329,12.9165247019,3.0776085892,1.343318569
3,2017-05-09 00:00:00+00:00,75.81,76.1609,75.58,75.7,920028,71.4364337696,71.7670899444,71.2197027346,71.3327797963,920028,0.0,1.0,25361884702.9061,28540884702.9061,12.9148211244,3.0772026793,1.3431413969
4,2017-05-10 00:00:00+00:00,76.26,76.26,75.58,75.77,1104201,71.8604727512,71.8604727512,71.2197027346,71.3987414157,1104201,0.0,1.0,25512430120.6123,28691430120.6123,12.9914821124,3.0954686232,1.3511141397
5,2017-05-11 00:00:00+00:00,76.47,76.49,75.49,75.81,1079644,72.0583576093,72.0772037863,71.1348949382,71.4364337696,1079644,0.0,1.0,25582684648.8752,28761684648.8752,13.0272572402,3.1039927304,1.354834753
6,2017-05-12 00:00:00+00:00,75.67,76.87,75.31,76.48,1634578,71.3045105309,72.4352811485,70.9652793456,72.0677806978,1634578,0.0,1.0,25315048350.7308,28494048350.7308,12.8909710392,3.0715199412,1.3406609881
7,2017-05-15 00:00:00+00:00,75.99,76.5601,75.64,75.94,1154372,71.6060493622,72.1432596365,71.2762412654,71.5589339198,1154372,0.0,1.0,25422102869.9886,28601102869.9886,12.9454855196,3.0845090569,1.346330494
8,2017-05-16 00:00:00+00:00,76.43,76.47,75.81,76.32,1393441,72.0206652554,72.0583576093,71.4364337696,71.9170112821,1393441,0.0,1.0,25569302833.968,28748302833.968,13.0204429302,3.1023690909,1.3541260647
9,2017-05-17 00:00:00+00:00,73.95,75.57,73.89,75.45,1330459,69.6837393123,71.2102796461,69.6272007814,71.0972025843,1330459,0.0,1.0,24739630309.7204,27918630309.7204,12.597955707,3.0017034446,1.3101873935
10,2017-05-18 00:00:00+00:00,73.89,74.25,73.01,73.59,1316254,69.6272007814,69.9664319667,68.7979689951,69.344508127,1316254,0.0,1.0,24719557587.3596,27898557587.3596,12.5877342419,2.9992679854,1.3091243612
11,2017-05-19 00:00:00+00:00,74.67,75.06,74.14,74.43,1335833,70.3622016828,70.7297021336,69.8627779934,70.1360475593,1335833,0.0,1.0,24980502978.0504,28159502978.0504,12.7206132879,3.0309289548,1.3229437819
12,2017-05-22 00:00:00+00:00,75.46,75.525,74.71,74.88,837615,71.1066256728,71.1678757479,70.3998940368,70.5600865409,837615,0.0,1.0,25244793822.4679,28423793822.4679,12.8551959114,3.0629958341,1.3369403748
13,2017-05-23 00:00:00+00:00,75.97,76.26,75.06,75.48,1199842,71.5872031853,71.8604727512,70.7297021336,71.1254718498,1199842,0.0,1.0,25415411962.535,28594411962.535,12.9420783646,3.0836972372,1.3459761499
14,2017-05-24 00:00:00+00:00,76.85,76.9,75.8,75.9,1717712,72.7933585108,72.8407191864,71.7987843216,71.893505673,1717712,0.4,1.0,25843630039.566,29022630039.566,13.0919931857,3.1194173052,1.3615672913
15,2017-05-25 00:00:00+00:00,78.17,78.32,76.8152,77.13,2061939,74.0436803486,74.1857623756,72.7603954805,73.0585782945,2061939,0.0,1.0,26287528434.5201,29466528434.5201,13.3168654174,3.1729974073,1.3849540034
16,2017-05-26 00:00:00+00:00,78.01,78.32,77.68,77.93,1251012,73.8921261864,74.1857623756,73.579545727,73.8163491053,1251012,0.0,1.0,26233722568.4651,29412722568.4651,13.2896081772,3.1665028494,1.3821192504
17,2017-05-30 00:00:00+00:00,79.01,79.15,77.5,78.0,2464543,74.8393396999,74.9719495918,73.4090472945,73.8826540513,2464543,0.0,1.0,26570009231.3091,29749009231.3091,13.4599659284,3.2070938358,1.3998364566
18,2017-05-31 00:00:00+00:00,78.85,79.5,78.62,79.14,1867331,74.6877855377,75.3034743215,74.4699264296,74.9624774566,1867331,0.0,1.0,26516203365.2541,29695203365.2541,13.4327086882,3.200599278,1.3970017036
19,2017-06-01 00:00:00+00:00,79.82,79.95,78.8,79.17,1690219,75.6065826458,75.7297204026,74.6404248621,74.990893862,1690219,0.0,1.0,26842401428.2128,30021401428.2128,13.597955707,3.2399725348,1.4141873935
20,2017-06-02 00:00:00+00:00,79.47,79.95,79.41,79.94,1034061,75.2750579161,75.7297204026,75.2182251053,75.7202482674,1034061,0.0,1.0,26724701096.2174,29903701096.2174,13.538330494,3.2257656896,1.4079863714
21,2017-06-05 00:00:00+00:00,79.88,80.33,79.51,79.69,1370862,75.6634154566,76.0896615377,75.3129464566,75.4834448891,1370862,0.0,1.0,26862578627.9835,30041578627.9835,13.6081771721,3.242407994,1.4152504259
22,2017-06-06 00:00:00+00:00,79.43,79.63,79.03,79.35,1311187,75.2371693755,75.4266120782,74.8582839702,75.1613922945,1311187,0.0,1.0,26711249629.7036,29890249629.7036,13.531516184,3.2241420501,1.4072776831
