,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,71.78,72.19,71.38,72.17,1533620,66.1826877867,66.5607165132,65.813879273,66.5422760875,1533620,0.0,1.0,15967785167.3654,14386985167.3654,13.8038461538,3.2004744627,0.4772186813
1,2017-05-05 00:00:00+00:00,71.9,71.94,71.36,71.94,1222922,66.2933303408,66.3302111922,65.7954388473,66.3302111922,1222922,0.0,1.0,15994479709.3003,14413679709.3003,13.8269230769,3.2058249354,0.4780164835
2,2017-05-08 00:00:00+00:00,71.05,72.0,70.5,71.85,2212015,65.5096122491,66.3855324692,65.0025005428,66.2472292766,2212015,0.0,1.0,15805393370.595,14224593370.595,13.6634615385,3.1679257533,0.4723653846
3,2017-05-09 00:00:00+00:00,71.52,71.605,70.81,71.19,1865885,65.9429622528,66.0213340619,65.2883271409,65.6386952289,1865885,0.0,1.0,15909946993.1732,14329146993.1732,13.7538461538,3.1888817717,0.4754901099
4,2017-05-10 00:00:00+00:00,72.05,72.05,71.15,71.38,1610144,66.4316335334,66.4316335334,65.6018143776,65.813879273,1610144,0.0,1.0,16027847886.7188,14447047886.7188,13.8557692308,3.2125130264,0.4790137363
5,2017-05-11 00:00:00+00:00,71.25,72.03,71.03,71.71,1552578,65.694016506,66.4131931077,65.4911718235,66.1181462968,1552578,0.0,1.0,15849884273.8198,14269084273.8198,13.7019230769,3.1768432079,0.4736950549
6,2017-05-12 00:00:00+00:00,71.26,71.49,70.89,71.14,1262183,65.7032367188,65.9153016142,65.3620888437,65.5925941647,1262183,0.0,1.0,15852108818.981,14271308818.981,13.7038461538,3.1772890807,0.4737615385
7,2017-05-15 00:00:00+00:00,72.05,72.46,71.26,71.26,1351689,66.4316335334,66.80966226,65.7032367188,65.7032367188,1351689,0.0,1.0,16027847886.7188,14447047886.7188,13.8557692308,3.2125130264,0.4790137363
8,2017-05-16 00:00:00+00:00,71.83,72.09,71.07,71.95,1351308,66.2287888509,66.4685143848,65.5280526748,66.339431405,1351308,0.0,1.0,15978907893.1716,14398107893.1716,13.8134615385,3.2027038263,0.4775510989
9,2017-05-17 00:00:00+00:00,69.23,70.9,68.94,70.6,2238771,63.8315335117,65.3713090565,63.5641473393,65.0947026712,2238771,0.0,1.0,15400526151.2498,13819726151.2498,13.3134615385,3.0867769163,0.4602653846
10,2017-05-18 00:00:00+00:00,69.71,69.97,69.1,69.24,1628730,64.2741037282,64.5138292621,63.7116707448,63.8407537246,1628730,0.0,1.0,15507304318.9892,13926504318.9892,13.4057692308,3.1081788074,0.4634565934
11,2017-05-19 00:00:00+00:00,70.63,70.75,69.44,69.74,1084903,65.1223633097,65.2330058638,64.0251579814,64.3017643667,1084903,0.0,1.0,15711962473.8231,14131162473.8231,13.5826923077,3.1491990986,0.4695730769
12,2017-05-22 00:00:00+00:00,71.3,71.43,70.64,70.96,1257527,65.7401175702,65.8599803372,65.1315835226,65.4266303336,1257527,0.0,1.0,15861006999.626,14280206999.626,13.7115384615,3.1790725716,0.4740274725
13,2017-05-23 00:00:00+00:00,71.06,71.29,70.48,71.23,1457153,65.518832462,65.7308973574,64.9840601171,65.6755760803,1457153,0.0,1.0,15807617915.7563,14226817915.7563,13.6653846154,3.168371626,0.4724318681
14,2017-05-24 00:00:00+00:00,68.68,69.51,67.62,69.07,5258211,63.3244218054,64.0896994713,62.347079244,63.6840101062,5258211,0.0,1.0,15278176167.3817,13697376167.3817,13.2076923077,3.0622539161,0.4566087912
15,2017-05-25 00:00:00+00:00,69.66,70.05,68.3,68.68,2548458,64.228002664,64.5875909648,62.9740537173,63.3244218054,2548458,0.0,1.0,15496181593.183,13915381593.183,13.3961538462,3.1059494437,0.4631241758
16,2017-05-26 00:00:00+00:00,69.7,70.13,69.04,69.57,1363253,64.2648835153,64.6613526676,63.6563494677,64.1450207484,1363253,0.0,1.0,15505079773.8279,13924279773.8279,13.4038461538,3.1077329346,0.4633901099
17,2017-05-30 00:00:00+00:00,69.78,70.05,69.38,69.49,1353172,64.3386452181,64.5875909648,63.9698367044,64.0712590456,1353172,0.0,1.0,15522876135.1178,13942076135.1178,13.4192307692,3.1112999165,0.463921978
18,2017-05-31 00:00:00+00:00,70.44,70.49,69.6,69.79,2245851,64.9471792657,64.9932803299,64.1726813869,64.3478654309,2245851,0.0,1.0,15669696115.7595,14088896115.7595,13.5461538462,3.1407275167,0.4683098901
19,2017-06-01 00:00:00+00:00,71.8,71.81,70.2,70.72,2154483,66.2011282124,66.2103484252,64.7258941575,65.2053452253,2154483,0.0,1.0,15972234257.6879,14391434257.6879,13.8076923077,3.2013662081,0.4773516484
20,2017-06-02 00:00:00+00:00,71.53,71.71,70.98,71.51,1501981,65.9521824656,66.1181462968,65.4450707592,65.9337420399,1501981,0.0,1.0,15912171538.3345,14331371538.3345,13.7557692308,3.1893276444,0.4755565934
21,2017-06-05 00:00:00+00:00,71.88,71.92,71.09,71.61,1099055,66.2748899151,66.3117707665,65.5464931005,66.0259441683,1099055,0.0,1.0,15990030618.9778,14409230618.9778,13.8230769231,3.20493319,0.4778835165
22,2017-06-06 00:00:00+00:00,71.06,71.84,70.78,71.72,1325890,65.518832462,66.2380090637,65.2606665024,66.1273665096,1325890,0.0,1.0,15807617915.7563,14226817915.7563,13.6653846154,3.168371626,0.4724318681
23,2017-06-07 00:00:00+00:00,71.9,72.0,71.25,71.43,1282394,66.2933303408,66.3855324692,65.694016506,65.8599803372,1282394,0.0,1.0,15994479709.3003,14413679709.3003,13.8269230769,3.2058249354,0.4780164835
24,2017-06-08 00:00:00+00:00,71.96,72.81,71.81,72.0,1481005,66.3486516178,67.1323697095,66.2103484252,66.3855324692,1481005,0.0,1.0,16007826980.2677,14427026980.2677,13.8384615385,3.2085001718,0.4784153846
25,2017-06-09 00:00:00+00:00,73.27,73.38,72.0,72.08,1665928,67.5564995003,67.6579218415,66.3855324692,66.459294172,1665928,0.0,1.0,16299242396.3899,14718442396.3899,14.0903846154,3.2669094996,0.4871247253
26,2017-06-12 00:00:00+00:00,73.92,73.97,72.6,73.26,1732820,68.1558133351,68.2019143993,66.9387452398,67.5472792874,1732820,0.0,1.0,16443837831.8703,14863037831.8703,14.2153846154,3.2958912271,0.4914461538
27,2017-06-13 00:00:00+00:00,73.36,73.82,72.76,73.69,1039007,68.1650335479,68.5924587855,67.6075223684,68.4716646966,1039007,0.57,1.0,16446062377.0316,14865262377.0316,14.1076923077,3.2709223541,0.4877230769
28,2017-06-14 00:00:00+00:00,73.24,73.31,72.19,73.0,1144651,68.053531312,68.1185742829,67.0778867479,67.8305268402,1144651,0.0,1.0,16419160421.1258,14838360421.1258,14.0846153846,3.2655718814,0.4869252747
