,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,62.97,63.21,62.29,62.67,2115904,59.5617155668,59.7887254403,58.9185209251,59.2779532249,2115904,0.0,1.0,21261070116.4559,27466070116.4559,12.7469635628,2.2962188944,-0.7648178138
1,2017-05-05 00:00:00+00:00,63.33,63.68,63.06,63.15,2768432,59.9022303771,60.2332864426,59.6468442693,59.7319729719,2768432,0.0,1.0,21382619826.5072,27587619826.5072,12.8198380567,2.3093463964,-0.7691902834
2,2017-05-08 00:00:00+00:00,59.48,62.01,59.1,62.01,10075641,56.2606136559,58.6536760727,55.9011813561,58.6536760727,10075641,0.0,1.0,20152709453.7819,26357709453.7819,12.04048583,2.1689550554,-0.7224291498
3,2017-05-09 00:00:00+00:00,57.88,59.58,57.81,59.51,5746872,54.747214499,56.3552011032,54.6810032859,56.2889898901,5746872,0.0,1.0,19610605635.2538,25815605635.2538,11.7165991903,2.110610602,-0.7029959514
4,2017-05-10 00:00:00+00:00,58.04,58.17,57.56,58.0,4426653,54.8985544147,55.0215180962,54.4445346677,54.8607194358,4426653,0.0,1.0,19664816017.1067,25869816017.1067,11.7489878543,2.1164450473,-0.7049392713
5,2017-05-11 00:00:00+00:00,58.05,58.2,57.46,57.87,3548962,54.9080131595,55.0498943304,54.3499472204,54.7377557543,3548962,0.0,1.0,19668204165.9724,25873204165.9724,11.7510121457,2.1168097002,-0.7050607287
6,2017-05-12 00:00:00+00:00,58.24,59.0,58.01,58.76,2748262,55.0877293093,55.8065939088,54.8701781805,55.5795840353,2748262,0.0,1.0,19732578994.4226,25937578994.4226,11.7894736842,2.123738104,-0.7073684211
7,2017-05-15 00:00:00+00:00,58.07,58.25,57.77,58.22,2477138,54.9269306489,55.0971880541,54.643168307,55.0688118199,2477138,0.0,1.0,19674980463.704,25879980463.704,11.7550607287,2.1175390058,-0.7053036437
8,2017-05-16 00:00:00+00:00,57.85,58.24,57.65,58.13,2907458,54.7188382649,55.0877293093,54.5296633703,54.9836831173,2907458,0.0,1.0,19600441188.6564,25805441188.6564,11.7105263158,2.1095166435,-0.7026315789
9,2017-05-17 00:00:00+00:00,58.02,58.25,57.59,57.67,2461643,54.8796369253,55.0971880541,54.4729109019,54.5485808597,2461643,0.0,1.0,19658039719.375,25863039719.375,11.7449392713,2.1157157417,-0.7046963563
10,2017-05-18 00:00:00+00:00,57.83,58.1893,57.44,57.88,2943648,54.6999207754,55.0397734736,54.3310297309,54.747214499,2943648,0.0,1.0,19593664890.9248,25798664890.9248,11.7064777328,2.1087873378,-0.702388664
11,2017-05-19 00:00:00+00:00,58.56,58.59,57.62,57.88,2333306,55.3904091407,55.4187853749,54.5012871361,54.747214499,2333306,0.0,1.0,19840999758.1283,26045999758.1283,11.8542510121,2.1354069947,-0.7112550607
12,2017-05-22 00:00:00+00:00,58.44,58.81,58.26,58.58,2378784,55.2769042039,55.626877759,55.1066467988,55.4093266302,2378784,0.0,1.0,19800341971.7387,26005341971.7387,11.8299595142,2.1310311607,-0.7097975709
13,2017-05-23 00:00:00+00:00,58.42,58.61,58.01,58.54,2760589,55.2579867145,55.4377028644,54.8701781805,55.3714916512,2760589,0.0,1.0,19793565674.0071,25998565674.0071,11.8259109312,2.130301855,-0.7095546559
14,2017-05-24 00:00:00+00:00,58.43,58.66,58.18,58.23,1678742,55.2674454592,55.484996588,55.030976841,55.0782705646,1678742,0.0,1.0,19796953822.8728,26001953822.8728,11.8279352227,2.1306665079,-0.7096761134
15,2017-05-25 00:00:00+00:00,58.1,58.73,57.82,58.49,1943211,54.9553068831,55.5512078011,54.6904620307,55.3241979276,1943211,0.0,1.0,19685144910.3014,25890144910.3014,11.7611336032,2.1186329643,-0.7056680162
16,2017-05-26 00:00:00+00:00,58.34,58.67,57.931,58.1,1711343,55.1823167566,55.4944553327,54.7954540972,54.9553068831,1711343,0.0,1.0,19766460483.0806,25971460483.0806,11.8097165992,2.1273846323,-0.708582996
17,2017-05-30 00:00:00+00:00,57.94,58.27,57.51,58.11,2115185,55.0167887239,55.3301394363,54.6084832501,55.1782118181,2115185,0.225,1.0,19707167877.9292,25912167877.9292,11.7287449393,2.112798519,-0.7037246964
18,2017-05-31 00:00:00+00:00,57.34,58.08,57.26,58.03,3484946,54.4470601558,55.1497253897,54.3710963467,55.1022480091,3484946,0.0,1.0,19503089508.4649,25708089508.4649,11.6072874494,2.090919349,-0.696437247
19,2017-06-01 00:00:00+00:00,58.48,58.57,57.2,57.52,3081934,55.5295444351,55.6150037203,54.3141234899,54.6179787262,3081934,0.0,1.0,19890838410.447,26095838410.447,11.8380566802,2.132489772,-0.7102834008
20,2017-06-02 00:00:00+00:00,57.89,58.95,57.7,58.41,2730912,54.9693113432,55.9758318135,54.7888972966,55.4630761022,2730912,0.0,1.0,19690161347.1405,25895161347.1405,11.7186234818,2.1109752548,-0.7031174089
21,2017-06-05 00:00:00+00:00,58.27,58.39,57.7,57.9,1948810,55.3301394363,55.4440851499,54.7888972966,54.9788068193,1948810,0.0,1.0,19819410981.1345,26024410981.1345,11.7955465587,2.1248320625,-0.7077327935
22,2017-06-06 00:00:00+00:00,59.37,59.66,58.27,58.46,2969184,56.3746418111,56.650010619,55.3301394363,55.5105534829,2969184,0.0,1.0,20193554658.4856,26398554658.4856,12.0182186235,2.1649438742,-0.7210931174
23,2017-06-07 00:00:00+00:00,60.47,60.61,59.13,59.24,3412656,57.4191441859,57.5520808518,56.1467503839,56.2512006214,3412656,0.0,1.0,20567698335.8367,26772698335.8367,12.2408906883,2.2050556859,-0.7344534413
24,2017-06-08 00:00:00+00:00,60.52,61.57,60.36,60.66,3816509,57.4666215666,58.4636465607,57.3146939484,57.5995582325,3816509,0.0,1.0,20584704866.6253,26789704866.6253,12.2510121457,2.2068789501,-0.7350607287
25,2017-06-09 00:00:00+00:00,60.75,61.36,60.23,60.52,2296301,57.6850175177,58.2642415619,57.1912527587,57.4666215666,2296301,0.0,1.0,20662934908.2533,26867934908.2533,12.2975708502,2.2152659653,-0.737854251
26,2017-06-12 00:00:00+00:00,61.27,61.99,61.03,61.11,2975643,58.1787822767,58.8624565584,57.9508908495,58.0268546585,2975643,0.0,1.0,20839802828.4556,27044802828.4556,12.4028340081,2.2342279126,-0.7441700405
27,2017-06-13 00:00:00+00:00,62.38,62.49,61.25,61.86,2340031,59.2327801276,59.3372303651,58.1597913244,58.7390153686,2340031,0.0,1.0,21217347811.9644,27422347811.9644,12.6275303644,2.2747043772,-0.7576518219
28,2017-06-14 00:00:00+00:00,62.51,63.03,62.12,62.6,2469070,59.3562213174,59.8499860764,58.9858977481,59.4416806026,2469070,0.0,1.0,21261564792.015,27466564792.015,12.6538461538,2.279444864,-0.7592307692
29,2017-06-15 00:00:00+00:00,61.96,62.73,61.875,62.44,2708865,58.83397013,59.5651217923,58.7532585828,59.2897529844,2708865,0.0,1.0,21074492953.3395,27279492953.3395,12.5425101215,2.2593889582,-0.7525506073
30,2017-06-16 00:00:00+00:00,61.61,61.93,60.53,61.85,4265665,58.5016284653,58.8054837016,57.4761170427,58.7295198925,4265665,0.0,1.0,20955447237.8187,27160447237.8187,12.471659919,2.246626109,-0.7482995951
