,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,63.66,64.42,63.56,64.11,1039823,63.66,64.42,63.56,64.11,1039823,0.0,1.0,6455773204.68,5426488204.68,87.2054794521,6.4317954712,0.9043531202
1,2017-05-05 00:00:00+00:00,65.42,65.44,63.55,63.55,1103908,65.42,65.44,63.55,63.55,1103908,0.0,1.0,6634255153.16,5604970153.16,89.6164383562,6.6096145103,0.929355657
2,2017-05-08 00:00:00+00:00,65.06,65.84,64.89,65.59,1047372,65.06,65.84,64.89,65.59,1047372,0.0,1.0,6597747481.88,5568462481.88,89.1232876712,6.5732424341,0.9242415018
3,2017-05-09 00:00:00+00:00,65.11,65.57,64.9,65.2,735428,65.11,65.57,64.9,65.2,735428,0.0,1.0,6602817991.78,5573532991.78,89.1917808219,6.5782941113,0.9249518011
4,2017-05-10 00:00:00+00:00,68.68,68.72,65.89,66.1,2983509,68.68,68.72,65.89,66.1,2983509,0.0,1.0,6964852398.64,5935567398.64,94.0821917808,6.9389838668,0.975667174
5,2017-05-11 00:00:00+00:00,68.59,68.66,67.49,68.64,1795288,68.59,68.66,67.49,68.64,1795288,0.0,1.0,6955725480.82,5926440480.82,93.9589041096,6.9298908477,0.9743886352
6,2017-05-12 00:00:00+00:00,67.98,68.77,67.93,68.57,1548778,67.98,68.77,67.93,68.57,1548778,0.0,1.0,6893865260.04,5864580260.04,93.1232876712,6.8682603853,0.9657229833
7,2017-05-15 00:00:00+00:00,69.27,69.31,67.85,68.0,1648576,69.27,69.31,67.85,68.0,1648576,0.0,1.0,7024684415.46,5995399415.46,94.8904109589,6.9985936583,0.9840487062
8,2017-05-16 00:00:00+00:00,70.37,70.53,69.32,69.4,1698400,70.37,70.53,69.32,69.4,1698400,0.0,1.0,7136235633.26,6106950633.26,96.397260274,7.1097305577,0.9996752917
9,2017-05-17 00:00:00+00:00,66.52,69.9,66.24,69.79,2958756,66.52,69.9,66.24,69.79,2958756,0.0,1.0,6745806370.96,5716521370.96,91.1232876712,6.7207514097,0.9449822425
10,2017-05-18 00:00:00+00:00,68.6,68.9,65.63,66.27,1378294,68.6,68.9,65.63,66.27,1378294,0.0,1.0,6956739582.8,5927454582.8,93.9726027397,6.9309011832,0.9745306951
11,2017-05-19 00:00:00+00:00,67.58,68.78,66.7,68.37,1749001,67.58,68.78,66.7,68.37,1749001,0.0,1.0,6853301180.84,5824016180.84,92.5753424658,6.8278469673,0.9600405885
12,2017-05-22 00:00:00+00:00,69.04,70.07,68.12,68.6,3647055,69.04,70.07,68.12,68.6,3647055,0.0,1.0,7001360069.92,5972075069.92,94.5753424658,6.975355943,0.9807813293
13,2017-05-23 00:00:00+00:00,72.83,76.7,71.16,72.5,119831,72.83,76.7,71.16,72.5,119831,0.0,1.0,7385704720.34,6356419720.34,99.7671232877,7.3582730783,1.0346220193
14,2017-05-24 00:00:00+00:00,77.73,77.76,73.31,73.76,5102514,77.73,77.76,73.31,73.76,5102514,0.0,1.0,8071241848.35,7041956848.35,106.4794520548,7.8533374485,1.1042313546
15,2017-05-25 00:00:00+00:00,78.53,79.58,78.01,78.84,3267942,78.53,79.58,78.01,78.84,3267942,0.0,1.0,8154311364.35,7125026364.35,107.5753424658,7.9341642845,1.1155961441
16,2017-05-26 00:00:00+00:00,77.07,78.87,76.9,78.69,2305052,77.07,78.87,76.9,78.69,2305052,0.0,1.0,8002709497.65,6973424497.65,105.5753424658,7.7866553089,1.0948554033
17,2017-05-30 00:00:00+00:00,76.07,76.78,75.26,76.68,2657413,76.07,76.78,75.26,76.68,2657413,0.0,1.0,7898872602.65,6869587602.65,104.2054794521,7.6856217639,1.0806494165
18,2017-05-31 00:00:00+00:00,76.74,77.17,75.78,76.37,1768216,76.74,77.17,75.78,76.37,1768216,0.0,1.0,7968443322.3,6939158322.3,105.1232876712,7.753314239,1.0901674277
19,2017-06-01 00:00:00+00:00,78.12,78.5,76.76,76.77,1967313,78.12,78.5,76.76,76.77,1967313,0.0,1.0,8111738237.4,7082453237.4,107.0136986301,7.8927405311,1.1097716895
20,2017-06-02 00:00:00+00:00,77.65,78.16,76.11,76.21,1572377,77.65,78.16,76.11,76.21,1572377,0.0,1.0,8062934896.75,7033649896.75,106.3698630137,7.8452547649,1.1030948757
21,2017-06-05 00:00:00+00:00,77.32,78.25,77.18,77.6,1008736,77.32,78.25,77.18,77.6,1008736,0.0,1.0,8028668721.4,6999383721.4,105.9178082192,7.8119136951,1.0984069001
22,2017-06-06 00:00:00+00:00,77.66,78.36,76.82,77.04,1459479,77.66,78.36,76.82,77.04,1459479,0.0,1.0,8063973265.7,7034688265.7,106.3835616438,7.8462651004,1.1032369356
23,2017-06-07 00:00:00+00:00,79.77,79.92,78.39,78.57,2495145,79.77,79.92,78.39,78.57,2495145,0.0,1.0,8283069114.15,7253784114.15,109.2739726027,8.0594458802,1.1332115677
24,2017-06-08 00:00:00+00:00,79.32,80.54,78.43,80.01,1615288,79.32,80.54,78.43,80.01,1615288,0.0,1.0,8236342511.4,7207057511.4,108.6575342466,8.013980785,1.1268188737
25,2017-06-09 00:00:00+00:00,75.3,80.12,73.31,79.62,3830280,75.3,80.12,73.31,79.62,3830280,0.0,1.0,7818918193.5,6789633193.5,103.1506849315,7.6078259343,1.0697108067
26,2017-06-12 00:00:00+00:00,73.83,74.84,71.2,73.83,4269224,73.83,74.84,71.2,73.83,4269224,0.0,1.0,7666277957.85,6636992957.85,101.1369863014,7.4593066232,1.0488280061
27,2017-06-13 00:00:00+00:00,74.62,75.4,73.37,75.27,2194016,74.62,75.4,73.37,75.27,2194016,0.0,1.0,7748309104.9,6719024104.9,102.2191780822,7.5391231238,1.0600507357
28,2017-06-14 00:00:00+00:00,74.38,75.57,73.3,75.0,1326745,74.38,75.57,73.3,75.0,1326745,0.0,1.0,7723388250.1,6694103250.1,101.8904109589,7.514875073,1.0566412988
29,2017-06-15 00:00:00+00:00,74.01,74.73,72.53,72.7,2639658,74.01,74.73,72.53,72.7,2639658,0.0,1.0,7684968598.95,6655683598.95,101.3835616438,7.4774926613,1.0513850837
30,2017-06-16 00:00:00+00:00,74.16,75.07,73.38,73.47,2121742,74.16,75.07,73.38,73.47,2121742,0.0,1.0,7700544133.2,6671259133.2,101.5890410959,7.4926476931,1.0535159817
31,2017-06-19 00:00:00+00:00,74.1,75.58,73.69,74.91,2156011,74.1,75.58,73.69,74.91,2156011,0.0,1.0,7694313919.5,6665028919.5,101.5068493151,7.4865856804,1.0526636225
32,2017-06-20 00:00:00+00:00,73.1,74.83,73.04,74.2,1795410,73.1,74.83,73.04,74.2,1795410,0.0,1.0,7590477024.5,6561192024.5,100.1369863014,7.3855521354,1.0384576357
33,2017-06-21 00:00:00+00:00,73.05,73.83,72.36,73.11,2049830,73.05,73.83,72.36,73.11,2049830,0.0,1.0,7585285179.75,6556000179.75,100.0684931507,7.3805004582,1.0377473364
34,2017-06-22 00:00:00+00:00,73.05,73.76,72.64,73.41,1500834,73.05,73.76,72.64,73.41,1500834,0.0,1.0,7585285179.75,6556000179.75,100.0684931507,7.3805004582,1.0377473364
35,2017-06-23 00:00:00+00:00,72.88,74.24,72.63,72.91,6554840,72.88,74.24,72.63,72.91,6554840,0.0,1.0,7567632907.6,6538347907.6,99.8356164384,7.3633247556,1.0353323186
36,2017-06-26 00:00:00+00:00,73.57,74.24,72.15,73.41,1749000,73.57,74.24,72.15,73.41,1749000,0.0,1.0,7639280365.15,6609995365.15,100.7808219178,7.4330379016,1.0451344495
