,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,18.48,18.89,18.36,18.6,24565295,18.48,18.89,18.36,18.6,24565295,0.0,1.0,13505795189.04,14032588189.04,-29.8064516129,2.8639505386,1.1922580645
1,2017-05-05 00:00:00+00:00,18.69,18.73,18.37,18.45,15021615,18.69,18.73,18.37,18.45,15021615,0.0,1.0,13659270134.37,14186063134.37,-30.1451612903,2.8964954311,1.2058064516
2,2017-05-08 00:00:00+00:00,18.31,18.68,18.16,18.68,18903525,18.31,18.68,18.16,18.68,18903525,0.0,1.0,13381553566.63,13908346566.63,-29.5322580645,2.8376046733,1.1812903226
3,2017-05-09 00:00:00+00:00,18.37,18.49,18.2,18.31,12461317,18.37,18.49,18.2,18.31,12461317,0.0,1.0,13425403551.01,13952196551.01,-29.6290322581,2.846903214,1.1851612903
4,2017-05-10 00:00:00+00:00,18.54,18.56,18.25,18.37,9925652,18.54,18.56,18.25,18.37,9925652,0.0,1.0,13549645173.42,14076438173.42,-29.9032258065,2.8732490793,1.1961290323
5,2017-05-11 00:00:00+00:00,18.39,18.75,18.31,18.63,12428561,18.39,18.75,18.31,18.63,12428561,0.0,1.0,13440020212.47,13966813212.47,-29.6612903226,2.8500027275,1.1864516129
6,2017-05-12 00:00:00+00:00,18.61,19.05,18.34,18.45,21953035,18.61,19.05,18.34,18.45,21953035,0.0,1.0,13600803488.53,14127596488.53,-30.0161290323,2.8840973768,1.2006451613
7,2017-05-15 00:00:00+00:00,19.23,19.32,18.63,18.69,22579879,19.23,19.32,18.63,18.69,22579879,0.0,1.0,14053919993.79,14580712993.79,-31.0161290323,2.9801822975,1.2406451613
8,2017-05-16 00:00:00+00:00,19.49,19.79,19.09,19.38,35530948,19.49,19.79,19.09,19.38,35530948,0.0,1.0,14243936592.77,14770729592.77,-31.435483871,3.0204759739,1.2574193548
9,2017-05-17 00:00:00+00:00,18.28,19.25,18.22,18.99,30011013,18.28,19.25,18.22,18.99,30011013,0.0,1.0,13359628574.44,13886421574.44,-29.4838709677,2.8329554029,1.1793548387
10,2017-05-18 00:00:00+00:00,18.51,18.61,17.97,18.17,19782310,18.51,18.61,17.97,18.17,19782310,0.0,1.0,13527720181.23,14054513181.23,-29.8548387097,2.868599809,1.1941935484
11,2017-05-19 00:00:00+00:00,18.35,18.9,18.27,18.68,16103068,18.35,18.9,18.27,18.68,16103068,0.0,1.0,13410786889.55,13937579889.55,-29.5967741935,2.8438037004,1.1838709677
12,2017-05-22 00:00:00+00:00,18.43,18.52,18.27,18.35,11279284,18.43,18.52,18.27,18.35,11279284,0.0,1.0,13469253535.39,13996046535.39,-29.7258064516,2.8562017547,1.1890322581
13,2017-05-23 00:00:00+00:00,18.15,18.51,17.98,18.41,16797183,18.15,18.51,17.98,18.41,16797183,0.0,1.0,13264620274.95,13791413274.95,-29.2741935484,2.8128085647,1.1709677419
14,2017-05-24 00:00:00+00:00,17.98,18.34,17.83,18.1,15459917,17.98,18.34,17.83,18.1,15459917,0.0,1.0,13140378652.54,13667171652.54,-29.0,2.7864626994,1.16
15,2017-05-25 00:00:00+00:00,17.95,18.27,17.94,18.04,9539766,17.95,18.27,17.94,18.04,9539766,0.0,1.0,13118453660.35,13645246660.35,-28.9516129032,2.781813429,1.1580645161
16,2017-05-26 00:00:00+00:00,18.23,18.3,17.95,17.99,10421985,18.23,18.3,17.95,17.99,10421985,0.0,1.0,13323086920.79,13849879920.79,-29.4032258065,2.825206619,1.1761290323
17,2017-05-30 00:00:00+00:00,18.43,18.72,18.18,18.21,18182979,18.43,18.72,18.18,18.21,18182979,0.0,1.0,13469253535.39,13996046535.39,-29.7258064516,2.8562017547,1.1890322581
18,2017-05-31 00:00:00+00:00,18.32,18.6,18.08,18.48,17259374,18.32,18.6,18.08,18.48,17259374,0.0,1.0,13388861897.36,13915654897.36,-29.5483870968,2.83915443,1.1819354839
19,2017-06-01 00:00:00+00:00,18.53,18.66,18.2,18.22,13157802,18.53,18.66,18.2,18.22,13157802,0.0,1.0,13542336842.69,14069129842.69,-29.8870967742,2.8716993225,1.195483871
20,2017-06-02 00:00:00+00:00,18.31,18.58,18.22,18.53,9367631,18.31,18.58,18.22,18.53,9367631,0.0,1.0,13381553566.63,13908346566.63,-29.5322580645,2.8376046733,1.1812903226
21,2017-06-05 00:00:00+00:00,18.23,18.34,18.02,18.29,10536991,18.23,18.34,18.02,18.29,10536991,0.0,1.0,13323086920.79,13849879920.79,-29.4032258065,2.825206619,1.1761290323
22,2017-06-06 00:00:00+00:00,17.57,18.15,17.47,18.1,22742960,17.57,18.15,17.47,18.1,22742960,0.0,1.0,12840737092.61,13367530092.61,-28.3387096774,2.7229226712,1.1335483871
23,2017-06-07 00:00:00+00:00,17.44,17.75,17.3,17.62,15839137,17.44,17.75,17.3,17.62,15839137,0.0,1.0,12745728793.12,13272521793.12,-28.1290322581,2.702775833,1.1251612903
24,2017-06-08 00:00:00+00:00,17.59,17.61,17.27,17.44,10528981,17.59,17.61,17.27,17.44,10528981,0.0,1.0,12855353754.07,13382146754.07,-28.3709677419,2.7260221847,1.1348387097
25,2017-06-09 00:00:00+00:00,16.9,17.66,16.45,17.65,21248699,16.9,17.66,16.45,17.65,21248699,0.0,1.0,12351078933.7,12877871933.7,-27.2580645161,2.6190889666,1.0903225806
26,2017-06-12 00:00:00+00:00,17.04,17.04,16.27,16.73,20486085,17.04,17.04,16.27,16.73,20486085,0.0,1.0,12453395563.92,12980188563.92,-27.4838709677,2.6407855616,1.0993548387
27,2017-06-13 00:00:00+00:00,16.97,17.22,16.76,17.12,13214278,16.97,17.22,16.76,17.12,13214278,0.0,1.0,12402237248.81,12929030248.81,-27.3709677419,2.6299372641,1.0948387097
28,2017-06-14 00:00:00+00:00,16.76,17.13,16.57,17.05,12606139,16.76,17.13,16.57,17.05,12606139,0.0,1.0,12248762303.48,12775555303.48,-27.0322580645,2.5973923716,1.0812903226
29,2017-06-15 00:00:00+00:00,16.83,16.89,16.46,16.53,11869318,16.83,16.89,16.46,16.53,11869318,0.0,1.0,12299920618.59,12826713618.59,-27.1451612903,2.6082406691,1.0858064516
30,2017-06-16 00:00:00+00:00,16.67,16.81,16.55,16.75,9916410,16.67,16.81,16.55,16.75,9916410,0.0,1.0,12182987326.91,12709780326.91,-26.8870967742,2.5834445605,1.075483871
31,2017-06-19 00:00:00+00:00,17.06,17.08,16.75,16.77,11299944,17.06,17.08,16.75,16.77,11299944,0.0,1.0,12468012225.38,12994805225.38,-27.5161290323,2.6438850751,1.1006451613
