,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,20.42,20.48,20.15,20.33,3457025,20.42,20.48,20.15,20.33,3457025,0.0,1.0,8954792034.04,9643716034.04,52.358974359,4.4329929432,-0.4188717949
1,2017-05-05 00:00:00+00:00,20.59,20.67,20.34,20.47,2739752,20.59,20.67,20.34,20.47,2739752,0.0,1.0,9029342212.58,9718266212.58,52.7948717949,4.4698983693,-0.4223589744
2,2017-05-08 00:00:00+00:00,20.53,20.7,20.33,20.57,3408713,20.53,20.7,20.33,20.57,3408713,0.0,1.0,9003030384.86,9691954384.86,52.641025641,4.4568729248,-0.4211282051
3,2017-05-09 00:00:00+00:00,21.39,21.48,20.53,20.53,5627109,21.39,21.48,20.53,20.53,5627109,0.0,1.0,9418412223.03,10107336223.03,54.8461538462,4.6435709625,-0.4387692308
4,2017-05-10 00:00:00+00:00,21.18,21.61,21.11,21.4,4504502,21.18,21.61,21.11,21.4,4504502,0.0,1.0,9325945342.86,10014869342.86,54.3076923077,4.5979819068,-0.4344615385
5,2017-05-11 00:00:00+00:00,20.99,21.58,20.45,21.58,7554944,20.99,21.58,20.45,21.58,7554944,0.0,1.0,9242284832.23,9931208832.23,53.8205128205,4.5567346659,-0.4305641026
6,2017-05-12 00:00:00+00:00,20.58,21.01,20.46,21.0,3999763,20.58,21.01,20.46,21.0,3999763,0.0,1.0,9061754256.66,9750678256.66,52.7692307692,4.4677274619,-0.4221538462
7,2017-05-15 00:00:00+00:00,20.29,20.84,20.18,20.62,3985455,20.29,20.84,20.18,20.62,3985455,0.0,1.0,8934061898.33,9622985898.33,52.0256410256,4.4047711468,-0.4162051282
8,2017-05-16 00:00:00+00:00,19.48,19.94,19.34,19.9,7964261,19.48,19.94,19.34,19.9,7964261,0.0,1.0,8577403931.96,9266327931.96,49.9487179487,4.2289276461,-0.3995897436
9,2017-05-17 00:00:00+00:00,18.94,19.48,18.9,19.48,5876599,18.94,19.48,18.9,19.48,5876599,0.0,1.0,8339631954.38,9028555954.38,48.5641025641,4.1116986457,-0.3885128205
10,2017-05-18 00:00:00+00:00,18.89,19.13,18.73,19.0,3401799,18.89,19.13,18.73,19.0,3401799,0.0,1.0,8317616030.53,9006540030.53,48.4358974359,4.1008441086,-0.3874871795
11,2017-05-19 00:00:00+00:00,19.1,19.19,18.35,18.69,5667109,19.1,19.19,18.35,18.69,5667109,0.0,1.0,8410082910.7,9099006910.7,48.9743589744,4.1464331643,-0.3917948718
12,2017-05-22 00:00:00+00:00,19.28,19.47,19.02,19.1,2752360,19.28,19.47,19.02,19.1,2752360,0.0,1.0,8489340236.56,9178264236.56,49.4358974359,4.1855094978,-0.3954871795
13,2017-05-23 00:00:00+00:00,19.49,19.54,19.25,19.27,2828134,19.49,19.54,19.25,19.27,2828134,0.0,1.0,8581807116.73,9270731116.73,49.9743589744,4.2310985535,-0.3997948718
14,2017-05-24 00:00:00+00:00,19.56,19.6,19.4,19.49,2484878,19.56,19.6,19.4,19.49,2484878,0.0,1.0,8612629410.12,9301553410.12,50.1538461538,4.2462949054,-0.4012307692
15,2017-05-25 00:00:00+00:00,19.49,20.0,19.43,19.68,2720549,19.49,20.0,19.43,19.68,2720549,0.0,1.0,8581807116.73,9270731116.73,49.9743589744,4.2310985535,-0.3997948718
16,2017-05-26 00:00:00+00:00,19.69,19.84,19.3,19.51,2598511,19.69,19.84,19.3,19.51,2598511,0.0,1.0,8669870812.13,9358794812.13,50.4871794872,4.2745167018,-0.4038974359
17,2017-05-30 00:00:00+00:00,19.56,20.02,19.52,19.67,2474881,19.56,20.02,19.52,19.67,2474881,0.0,1.0,8612629410.12,9301553410.12,50.1538461538,4.2462949054,-0.4012307692
18,2017-05-31 00:00:00+00:00,19.16,19.6,18.89,19.6,4257788,19.16,19.6,18.89,19.6,4257788,0.0,1.0,8436502019.32,9125426019.32,49.1282051282,4.1594586088,-0.393025641
19,2017-06-01 00:00:00+00:00,19.72,19.8,19.05,19.24,3371696,19.72,19.8,19.05,19.24,3371696,0.0,1.0,8683080366.44,9372004366.44,50.5641025641,4.2810294241,-0.4045128205
20,2017-06-02 00:00:00+00:00,20.11,20.3,19.89,19.91,4224667,20.11,20.3,19.89,19.91,4224667,0.0,1.0,8854804572.47,9543728572.47,51.5641025641,4.3656948133,-0.4125128205
21,2017-06-05 00:00:00+00:00,20.28,20.39,19.72,20.06,2333394,20.28,20.39,19.72,20.06,2333394,0.0,1.0,8929658713.56,9618582713.56,52.0,4.4026002394,-0.416
22,2017-06-06 00:00:00+00:00,20.22,20.4,19.87,20.09,2987709,20.22,20.4,19.87,20.09,2987709,0.0,1.0,8903239604.94,9592163604.94,51.8461538462,4.3895747949,-0.4147692308
23,2017-06-07 00:00:00+00:00,20.54,20.97,20.36,20.4,4621826,20.54,20.97,20.36,20.4,4621826,0.0,1.0,9044141517.58,9733065517.58,52.6666666667,4.4590438322,-0.4213333333
24,2017-06-08 00:00:00+00:00,21.16,21.5,20.54,20.54,5806323,21.16,21.5,20.54,20.54,5806323,0.0,1.0,9317138973.32,10006062973.32,54.2564102564,4.593640092,-0.4340512821
25,2017-06-09 00:00:00+00:00,21.88,21.91,21.16,21.29,5347176,21.88,21.91,21.16,21.29,5347176,0.0,1.0,9634168276.76,10323092276.76,56.1025641026,4.7499454259,-0.4488205128
26,2017-06-12 00:00:00+00:00,23.14,23.15,21.6,21.65,10860563,23.14,23.15,21.6,21.65,10860563,0.0,1.0,10188969557.78,10877893557.78,59.3333333333,5.0234797603,-0.4746666667
27,2017-06-13 00:00:00+00:00,22.95,23.46,22.52,23.21,8378048,22.95,23.46,22.52,23.21,8378048,0.0,1.0,10105309047.15,10794233047.15,58.8461538462,4.9822325194,-0.4707692308
28,2017-06-14 00:00:00+00:00,22.7,22.88,22.23,22.72,4666109,22.7,22.88,22.23,22.72,4666109,0.0,1.0,9995229427.9,10684153427.9,58.2051282051,4.927959834,-0.4656410256
29,2017-06-15 00:00:00+00:00,21.71,22.2,21.55,22.17,7135492,21.71,22.2,21.55,22.17,7135492,0.0,1.0,9559314135.67,10248238135.67,55.6666666667,4.7130399999,-0.4453333333
30,2017-06-16 00:00:00+00:00,20.99,21.72,20.51,21.72,7574412,20.99,21.72,20.51,21.72,7574412,0.0,1.0,9242284832.23,9931208832.23,53.8205128205,4.5567346659,-0.4305641026
31,2017-06-19 00:00:00+00:00,21.02,21.12,20.74,21.08,3381214,21.02,21.12,20.74,21.08,3381214,0.0,1.0,9255494386.54,9944418386.54,53.8974358974,4.5632473882,-0.4311794872
32,2017-06-20 00:00:00+00:00,20.48,21.14,20.35,21.06,4287291,20.48,21.14,20.35,21.06,4287291,0.0,1.0,9017722408.96,9706646408.96,52.5128205128,4.4460183877,-0.4201025641
33,2017-06-21 00:00:00+00:00,20.31,20.47,19.95,20.47,4683905,20.31,20.47,19.95,20.47,4683905,0.0,1.0,8942868267.87,9631792267.87,52.0769230769,4.4091129616,-0.4166153846
34,2017-06-22 00:00:00+00:00,20.65,21.46,20.15,20.34,5853120,20.65,21.46,20.15,20.34,5853120,0.0,1.0,9092576550.05,9781500550.05,52.9487179487,4.4829238138,-0.4235897436
35,2017-06-23 00:00:00+00:00,21.2,21.23,20.44,20.85,4001108,21.2,21.23,20.44,20.85,4001108,0.0,1.0,9334751712.4,10023675712.4,54.358974359,4.6023237216,-0.4348717949
36,2017-06-26 00:00:00+00:00,21.56,21.76,21.09,21.28,4698831,21.56,21.76,21.09,21.28,4698831,0.0,1.0,9493266364.12,10182190364.12,55.2820512821,4.6804763886,-0.4422564103
37,2017-06-27 00:00:00+00:00,21.77,21.86,21.38,21.58,5443183,21.77,21.86,21.38,21.58,5443183,0.0,1.0,9585733244.29,10274657244.29,55.8205128205,4.7260654443,-0.4465641026
38,2017-06-28 00:00:00+00:00,21.63,22.27,21.61,21.89,3458758,21.63,22.27,21.61,21.89,3458758,0.0,1.0,9524088657.51,10213012657.51,55.4615384615,4.6956727405,-0.4436923077
39,2017-06-29 00:00:00+00:00,21.31,22.04,21.03,21.91,5395042,21.31,22.04,21.03,21.91,5395042,0.0,1.0,9383186744.87,10072110744.87,54.641025641,4.6262037032,-0.4371282051
40,2017-06-30 00:00:00+00:00,21.76,21.99,21.49,21.7,3506791,21.76,21.99,21.49,21.7,3506791,0.0,1.0,9581330059.52,10370362059.52,45.3333333333,4.7343943853,-0.6044444444
41,2017-07-03 00:00:00+00:00,22.28,22.37,21.92,21.94,2299158,22.28,22.37,21.92,21.94,2299158,0.0,1.0,9810295667.56,10599327667.56,46.4166666667,4.8475324864,-0.6188888889
42,2017-07-05 00:00:00+00:00,22.14,22.28,21.88,22.07,3590005,22.14,22.28,21.88,22.07,3590005,0.0,1.0,9748651080.78,10537683080.78,46.125,4.8170722284,-0.615
43,2017-07-06 00:00:00+00:00,20.65,22.145,20.53,22.03,7782348,20.65,22.145,20.53,22.03,7782348,0.0,1.0,9092576550.05,9881608550.05,43.0208333333,4.4928880541,-0.5736111111
44,2017-07-07 00:00:00+00:00,20.64,20.93,20.4,20.65,3305231,20.64,20.93,20.4,20.65,3305231,0.0,1.0,9088173365.28,9877205365.28,43.0,4.4907123213,-0.5733333333
45,2017-07-10 00:00:00+00:00,20.6,20.64,20.15,20.6,2469835,20.6,20.64,20.15,20.6,2469835,0.0,1.0,9070560626.2,9859592626.2,42.9166666667,4.4820093905,-0.5722222222
46,2017-07-11 00:00:00+00:00,20.25,20.58,19.88,20.58,6208347,20.25,20.58,19.88,20.58,6208347,0.0,1.0,8916449159.25,9705481159.25,42.1875,4.4058587455,-0.5625
47,2017-07-12 00:00:00+00:00,19.96,20.57,19.9,20.43,4090860,19.96,20.57,19.9,20.43,4090860,0.0,1.0,8788756800.92,9577788800.92,41.5833333333,4.3427624968,-0.5544444444
48,2017-07-13 00:00:00+00:00,19.93,20.36,19.91,20.0,4146155,19.93,20.36,19.91,20.0,4146155,0.0,1.0,8775547246.61,9564579246.61,41.5208333333,4.3362352987,-0.5536111111
49,2017-07-14 00:00:00+00:00,20.39,20.44,19.91,19.92,3492762,20.39,20.44,19.91,19.92,3492762,0.0,1.0,8978093746.03,9767125746.03,42.4791666667,4.4363190035,-0.5663888889
50,2017-07-17 00:00:00+00:00,20.45,20.67,20.3,20.42,2763320,20.45,20.67,20.3,20.42,2763320,0.0,1.0,9004512854.65,9793544854.65,42.6041666667,4.4493733998,-0.5680555556
51,2017-07-18 00:00:00+00:00,20.22,20.465,19.74,20.21,3881061,20.22,20.465,19.74,20.21,3881061,0.0,1.0,8903239604.94,9692271604.94,42.125,4.3993315474,-0.5616666667
52,2017-07-19 00:00:00+00:00,20.49,20.63,20.16,20.22,1976550,20.49,20.63,20.16,20.22,1976550,0.0,1.0,9022125593.73,9811157593.73,42.6875,4.4580763306,-0.5691666667
53,2017-07-20 00:00:00+00:00,20.64,21.08,20.53,20.59,2978312,20.64,21.08,20.53,20.59,2978312,0.0,1.0,9088173365.28,9877205365.28,43.0,4.4907123213,-0.5733333333
54,2017-07-21 00:00:00+00:00,20.64,20.72,20.25,20.63,3349875,20.64,20.72,20.25,20.63,3349875,0.0,1.0,9088173365.28,9877205365.28,43.0,4.4907123213,-0.5733333333
55,2017-07-24 00:00:00+00:00,20.27,20.4,19.95,20.18,6738455,20.27,20.4,19.95,20.18,6738455,0.0,1.0,8925255528.79,9714287528.79,42.2291666667,4.4102102109,-0.5630555556
56,2017-07-25 00:00:00+00:00,20.11,20.43,20.05,20.06,4171420,20.11,20.43,20.05,20.06,4171420,0.0,1.0,8854804572.47,9643836572.47,41.8958333333,4.3753984875,-0.5586111111
57,2017-07-26 00:00:00+00:00,19.65,20.22,19.61,20.22,4278424,19.65,20.22,19.61,20.22,4278424,0.0,1.0,8652258073.05,9441290073.05,40.9375,4.2753147827,-0.5458333333
58,2017-07-27 00:00:00+00:00,19.42,19.8,19.31,19.68,5170607,19.42,19.8,19.31,19.68,5170607,0.0,1.0,8550984823.34,9340016823.34,40.4583333333,4.2252729303,-0.5394444444
59,2017-07-28 00:00:00+00:00,19.44,19.54,19.13,19.41,3596315,19.44,19.54,19.13,19.41,3596315,0.0,1.0,8559791192.88,9348823192.88,40.5,4.2296243957,-0.54
60,2017-07-31 00:00:00+00:00,20.02,20.84,19.43,19.45,10111123,20.02,20.84,19.43,19.45,10111123,0.0,1.0,8815175909.54,9604207909.54,41.7083333333,4.3558168931,-0.5561111111
61,2017-08-01 00:00:00+00:00,18.3,19.27,18.01,19.1,22246696,18.3,19.27,18.01,19.1,22246696,0.0,1.0,8057828129.1,8846860129.1,38.125,3.9815908663,-0.5083333333
62,2017-08-02 00:00:00+00:00,18.56,18.58,17.92,18.17,6251309,18.56,18.58,17.92,18.17,6251309,0.0,1.0,8172310933.12,8961342933.12,38.6666666667,4.0381599169,-0.5155555556
