,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,173.7,173.99,172.81,172.93,362689,173.7,173.99,172.81,172.93,362689,0.0,1.0,13910908844.7,15193848844.7,26.2386706949,5.808763789,1.9023036254
1,2017-05-05 00:00:00+00:00,174.0,174.17,172.73,173.94,386776,174.0,174.17,172.73,173.94,386776,0.0,1.0,13926530916.0,15209470916.0,26.2839879154,5.8187961963,1.9055891239
2,2017-05-08 00:00:00+00:00,173.07,174.03,172.71,174.03,341603,173.07,174.03,172.71,174.03,341603,0.0,1.0,13852096009.38,15135036009.38,26.1435045317,5.7876957339,1.8954040785
3,2017-05-09 00:00:00+00:00,174.5,174.78,173.0,173.56,300415,174.5,174.78,173.0,173.56,300415,0.0,1.0,13966549683.0,15249489683.0,26.3595166163,5.835516875,1.9110649547
4,2017-05-10 00:00:00+00:00,174.11,174.83,172.92,174.01,656515,174.11,174.83,172.92,174.01,656515,0.0,1.0,13935335044.74,15218275044.74,26.3006042296,5.8224747456,1.9067938066
5,2017-05-11 00:00:00+00:00,172.22,173.26,169.34,173.26,1003188,172.22,173.26,169.34,173.26,1003188,0.0,1.0,13784064105.48,15067004105.48,26.0151057402,5.75927058,1.8860951662
6,2017-05-12 00:00:00+00:00,172.41,173.02,172.0,172.25,279728,172.41,173.02,172.0,172.25,279728,0.0,1.0,13799271236.94,15082211236.94,26.0438066465,5.7656244379,1.8881759819
7,2017-05-15 00:00:00+00:00,174.71,174.95,172.03,172.68,581493,174.71,174.95,172.03,172.68,581493,0.0,1.0,13983357565.14,15266297565.14,26.3912386707,5.8425395601,1.9133648036
8,2017-05-16 00:00:00+00:00,174.91,175.26,173.99,174.93,294574,174.91,175.26,173.99,174.93,294574,0.0,1.0,13999365071.94,15282305071.94,26.4214501511,5.8492278316,1.915555136
9,2017-05-17 00:00:00+00:00,174.39,176.05,172.98,174.91,618693,174.39,176.05,172.98,174.91,618693,0.0,1.0,13957745554.26,15240685554.26,26.3429003021,5.8318383257,1.9098602719
10,2017-05-18 00:00:00+00:00,176.33,176.98,173.96,174.02,660826,176.33,176.98,173.96,174.02,660826,0.0,1.0,14113018370.22,15395958370.22,26.6359516616,5.8967145591,1.9311064955
11,2017-05-19 00:00:00+00:00,175.5,176.78,175.04,176.68,426398,175.5,176.78,175.04,176.68,426398,0.0,1.0,14046587217.0,15329527217.0,26.5105740181,5.8689582325,1.9220166163
12,2017-05-22 00:00:00+00:00,175.55,175.72,173.89,175.22,490592,175.55,175.72,173.89,175.22,490592,0.0,1.0,14050589093.7,15333529093.7,26.5181268882,5.8706303003,1.9225641994
13,2017-05-23 00:00:00+00:00,176.1,178.45,175.64,176.5,324695,176.1,178.45,175.64,176.5,324695,0.0,1.0,14094609737.4,15377549737.4,26.6012084592,5.8890230469,1.9285876133
14,2017-05-24 00:00:00+00:00,177.54,177.71,175.21,176.12,383903,177.54,177.71,175.21,176.12,383903,0.0,1.0,14209863786.36,15492803786.36,26.8187311178,5.9371786017,1.944358006
15,2017-05-25 00:00:00+00:00,178.6,179.07,177.0,178.25,234124,178.6,179.07,177.0,178.25,234124,0.0,1.0,14294703572.4,15577643572.4,26.9788519637,5.9726264406,1.9559667674
16,2017-05-26 00:00:00+00:00,178.07,178.81,177.73,178.06,274275,178.07,178.81,177.73,178.06,274275,0.0,1.0,14252283679.38,15535223679.38,26.8987915408,5.9549025211,1.9501623867
17,2017-05-30 00:00:00+00:00,178.56,178.95,177.63,177.81,418908,178.56,178.95,177.63,177.81,418908,0.0,1.0,14291502071.04,15574442071.04,26.9728096677,5.9712887863,1.9555287009
18,2017-05-31 00:00:00+00:00,179.62,181.03,178.89,179.36,867486,179.62,181.03,178.89,179.36,867486,0.0,1.0,14376341857.08,15659281857.08,27.1329305136,6.0067366251,1.9671374622
19,2017-06-01 00:00:00+00:00,181.01,181.21,179.3,180.55,505995,181.01,181.21,179.3,180.55,505995,0.0,1.0,14487594029.34,15770534029.34,27.3429003021,6.053220112,1.9823602719
20,2017-06-02 00:00:00+00:00,183.96,184.57,181.1,181.5,524259,183.96,184.57,181.1,181.5,524259,0.0,1.0,14723704754.64,16006644754.64,27.7885196375,6.1518721165,2.0146676737
21,2017-06-05 00:00:00+00:00,183.79,184.83,183.65,184.46,442949,183.79,184.83,183.65,184.46,442949,0.0,1.0,14710098373.86,15993038373.86,27.7628398792,6.1461870857,2.0128058912
22,2017-06-06 00:00:00+00:00,183.59,184.91,182.68,183.23,243913,183.59,184.91,182.68,183.23,243913,0.0,1.0,14694090867.06,15977030867.06,27.7326283988,6.1394988142,2.0106155589
23,2017-06-07 00:00:00+00:00,185.81,186.1,184.0,184.32,382439,185.81,186.1,184.0,184.32,382439,0.0,1.0,14871774192.54,16154714192.54,28.0679758308,6.2137386278,2.0349282477
24,2017-06-08 00:00:00+00:00,186.33,187.0,185.81,185.81,657283,186.33,187.0,185.81,185.81,657283,0.0,1.0,14913393710.22,16196333710.22,28.1465256798,6.2311281336,2.0406231118
25,2017-06-09 00:00:00+00:00,184.99,187.65,184.05,186.11,537276,184.99,187.65,184.05,186.11,537276,0.0,1.0,14806143414.66,16089083414.66,27.9441087613,6.1863167147,2.0259478852
26,2017-06-12 00:00:00+00:00,183.35,184.79,179.18,184.55,536473,183.35,184.79,179.18,184.55,536473,0.0,1.0,14674881858.9,15957821858.9,27.6963746224,6.1314728884,2.0079871601
27,2017-06-13 00:00:00+00:00,184.97,186.23,183.34,183.34,387198,184.97,186.23,183.34,183.34,387198,0.0,1.0,14804542663.98,16087482663.98,27.9410876133,6.1856478875,2.025728852
28,2017-06-14 00:00:00+00:00,184.97,185.94,184.07,185.08,317517,184.97,185.94,184.07,185.08,317517,0.0,1.0,14804542663.98,16087482663.98,27.9410876133,6.1856478875,2.025728852
29,2017-06-15 00:00:00+00:00,184.95,185.0,183.05,184.34,410039,184.95,185.0,183.05,184.34,410039,0.0,1.0,14802941913.3,16085881913.3,27.9380664653,6.1849790604,2.0255098187
30,2017-06-16 00:00:00+00:00,184.16,185.54,183.89,184.98,598060,184.16,185.54,183.89,184.98,598060,0.0,1.0,14739712261.44,16022652261.44,27.8187311178,6.158560388,2.016858006
31,2017-06-19 00:00:00+00:00,185.58,185.7,184.32,184.86,495944,185.58,185.7,184.32,184.86,495944,0.0,1.0,14853365559.72,16136305559.72,28.0332326284,6.2060471156,2.0324093656
32,2017-06-20 00:00:00+00:00,184.28,185.75,183.2,185.65,746782,184.28,185.75,183.2,185.65,746782,0.0,1.0,14749316765.52,16032256765.52,27.836858006,6.1625733509,2.0181722054
33,2017-06-21 00:00:00+00:00,185.43,185.65,184.27,184.3,484039,185.43,185.65,184.27,184.3,484039,0.0,1.0,14841359929.62,16124299929.62,28.0105740181,6.2010309119,2.0307666163
34,2017-06-22 00:00:00+00:00,184.89,186.04,183.9,185.56,320976,184.89,186.04,183.9,185.56,320976,0.0,1.0,14798139661.26,16081079661.26,27.9290030211,6.1829725789,2.024852719
35,2017-06-23 00:00:00+00:00,185.47,185.84,184.42,185.0,322614,185.47,185.84,184.42,185.0,322614,0.0,1.0,14844561430.98,16127501430.98,28.0166163142,6.2023685662,2.0312046828
36,2017-06-26 00:00:00+00:00,184.92,186.16,184.69,185.68,324591,184.92,186.16,184.69,185.68,324591,0.0,1.0,14800540787.28,16083480787.28,27.9335347432,6.1839758196,2.0251812689
37,2017-06-27 00:00:00+00:00,183.21,184.98,183.11,184.58,299887,183.21,184.98,183.11,184.58,299887,0.0,1.0,14663676604.14,15946616604.14,27.6752265861,6.1267910984,2.0064539275
38,2017-06-28 00:00:00+00:00,184.21,185.28,183.68,184.35,452410,184.21,185.28,183.68,184.35,452410,0.0,1.0,14743714138.14,16026654138.14,27.8262839879,6.1602324558,2.0174055891
39,2017-06-29 00:00:00+00:00,182.84,184.6,182.0,184.3,484182,182.84,184.6,182.0,184.3,484182,0.0,1.0,14634062716.56,15917002716.56,27.6193353474,6.1144177961,2.0024018127
40,2017-06-30 00:00:00+00:00,183.84,184.48,183.0,183.0,339984,183.84,184.48,183.0,183.0,339984,0.0,1.0,14714100250.56,15997040250.56,27.7703927492,6.1478591536,2.0133534743
