,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2017-05-04 00:00:00+00:00,55.18,55.6,54.87,55.27,16969121,50.2980187994,50.6808598268,50.01544566,50.3800561624,16969121,0.0,1.0,251659492895.463,274553492895.463,13.5245098039,1.3634609334,2.7049019608
1,2017-05-05 00:00:00+00:00,55.11,55.385,54.88,55.25,12948971,50.2342119614,50.4848816818,50.0245609226,50.3618256373,12948971,0.0,1.0,251036331952.124,273930331952.124,13.5073529412,1.3617312802,2.7014705882
2,2017-05-08 00:00:00+00:00,55.04,55.29,54.75,55.12,14242799,50.1704051235,50.3982866875,49.9060625093,50.243327224,14242799,0.0,1.0,250717468892.123,273611468892.123,13.4901960784,1.3600016269,2.6980392157
3,2017-05-09 00:00:00+00:00,54.68,55.37,54.45,55.14,13990312,49.8422556714,50.471208788,49.6326046326,50.2615577491,13990312,0.0,1.0,249077601726.404,271971601726.404,13.4019607843,1.3511062675,2.6803921569
4,2017-05-10 00:00:00+00:00,54.72,54.91,54.36,54.43,15879983,49.8787167216,50.0519067103,49.5505672695,49.6143741074,15879983,0.0,1.0,249259809189.262,272153809189.262,13.4117647059,1.3520946407,2.6823529412
5,2017-05-11 00:00:00+00:00,53.74,54.42,53.06,54.28,32020047,48.9854209909,49.6052588449,48.3655831369,49.4776451691,32020047,0.0,1.0,244795726349.249,267689726349.249,13.1715686275,1.3278794955,2.6343137255
6,2017-05-12 00:00:00+00:00,53.02,53.32,52.54,53.3,29423567,48.3291220867,48.6025799634,47.8915894838,48.5843494383,29423567,0.0,1.0,241515992017.812,264409992017.812,12.9950980392,1.3100887765,2.5990196078
7,2017-05-15 00:00:00+00:00,53.32,53.415,53.02,53.06,14888277,48.6025799634,48.6891749577,48.3291220867,48.3655831369,14888277,0.0,1.0,242882547989.244,265776547989.244,13.068627451,1.3175015761,2.6137254902
8,2017-05-16 00:00:00+00:00,53.26,53.44,52.95,53.4,12632926,48.5478883881,48.7119631141,48.2653152487,48.6755020639,12632926,0.0,1.0,242609236794.958,265503236794.958,13.0539215686,1.3160190162,2.6107843137
9,2017-05-17 00:00:00+00:00,52.24,52.65,51.65,52.04,33054732,47.6181316071,47.991857372,47.0803311161,47.4358263559,33054732,0.0,1.0,237962946492.088,260856946492.088,12.8039215686,1.2908154977,2.5607843137
10,2017-05-18 00:00:00+00:00,52.38,52.96,51.95,52.31,19765731,47.7457452829,48.2744305113,47.3537889929,47.681938445,19765731,0.0,1.0,238600672612.09,261494672612.09,12.8382352941,1.2942748041,2.5676470588
11,2017-05-19 00:00:00+00:00,53.06,53.34,52.39,52.57,16763038,48.3655831369,48.6208104885,47.7548605455,47.9189352715,16763038,0.0,1.0,241698199480.669,264592199480.669,13.0049019608,1.3110771498,2.6009803922
12,2017-05-22 00:00:00+00:00,53.01,53.32,52.5,53.27,13859828,48.3200068241,48.6025799634,47.8551284336,48.5570036506,13859828,0.0,1.0,241470440152.097,264364440152.097,12.9926470588,1.3098416832,2.5985294118
13,2017-05-23 00:00:00+00:00,53.39,53.5599,52.85,53.01,11714214,48.6663868013,48.8212551122,48.1741626232,48.3200068241,11714214,0.0,1.0,243201411049.245,266095411049.245,13.0857843137,1.3192312293,2.6171568627
14,2017-05-24 00:00:00+00:00,53.09,53.61,52.8024,53.49,11304419,48.3929289246,48.8669225776,48.1307739734,48.7575394269,11304419,0.0,1.0,241834855077.813,264728855077.813,13.012254902,1.3118184298,2.6024509804
15,2017-05-25 00:00:00+00:00,52.78,53.25,52.57,53.25,16594724,48.1103557852,48.5387731255,47.9189352715,48.5387731255,16594724,0.0,1.0,240422747240.666,263316747240.666,12.9362745098,1.3041585369,2.587254902
16,2017-05-26 00:00:00+00:00,52.41,52.81,52.37,52.63,14236079,47.7730910706,48.1377015729,47.7366300203,47.9736268469,14236079,0.0,1.0,238737328209.233,261631328209.233,12.8455882353,1.2950160841,2.5691176471
17,2017-05-30 00:00:00+00:00,52.16,52.5,51.9,52.16,19342645,47.5452095066,47.8551284336,47.3082126801,47.5452095066,19342645,0.0,1.0,237598531566.373,260492531566.373,12.7843137255,1.2888387511,2.5568627451
18,2017-05-31 00:00:00+00:00,51.14,52.25,50.83,52.23,30078357,46.6154527256,47.6272468696,46.3328795863,47.6090163445,30078357,0.0,1.0,232952241263.503,255846241263.503,12.5343137255,1.2636352326,2.5068627451
19,2017-06-01 00:00:00+00:00,52.08,52.21,51.06,51.53,20881557,47.4722874061,47.5907858194,46.5425306251,46.9709479654,20881557,0.0,1.0,237234116640.657,260128116640.657,12.7647058824,1.2868620046,2.5529411765
20,2017-06-02 00:00:00+00:00,51.81,52.24,51.53,51.67,19425798,47.226175317,47.6181316071,46.9709479654,47.0985616412,19425798,0.0,1.0,236004216266.368,258898216266.368,12.6985294118,1.2801904849,2.5397058824
